Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.6336,32.5122,Warrior,65.5554,69.8699,48.3561,0.3582,15.8604,1.9016,200,54.5914,341.3635,334.1467,400.1757,384.6990,289.4634,0.0390,0.0253,Population structure converged. Difference: 0.0088
1,1,54.3786,43.0472,Warrior,67.3420,71.7741,49.6740,0.2475,10.9623,1.9016,200,54.5914,102.6492,319.1414,305.2823,296.5192,132.9979,0.0324,0.0253,Population structure converged. Difference: 0.0088
1,2,54.2789,48.6731,Warrior,67.2393,71.6647,49.5982,0.2539,11.2439,1.9016,200,54.5914,20.0791,150.9731,90.8811,120.8899,92.8659,0.0138,0.0253,Population structure converged. Difference: 0.0088
1,3,54.4170,51.0079,Warrior,67.6595,72.1125,48.6583,0.2555,11.3142,1.9016,200,54.5914,10.2742,99.0032,29.0689,70.8229,54.0054,0.0044,0.0253,Population structure converged. Difference: 0.0088
1,4,54.4456,52.8650,Warrior,68.2399,70.9097,49.0757,0.3635,11.4112,1.9016,200,54.5914,1.0864,8.9144,12.8804,1.3572,8.6482,0.0003,0.0253,Population structure converged. Difference: 0.0088
1,5,54.4864,53.1979,Warrior,68.2768,70.9480,49.1022,0.2556,11.4174,1.9016,200,54.5914,1.1589,4.4028,4.2821,1.3578,9.6210,0.0002,0.0253,Population structure converged. Difference: 0.0088
1,6,54.5352,53.6934,Warrior,68.3277,71.0009,49.1388,0.2558,11.2767,1.9016,200,54.5914,0.8782,0.6945,0.3477,0.0023,4.4509,0.0000,0.0253,Population structure converged. Difference: 0.0088
1,7,54.5857,53.9584,Warrior,68.5277,70.8901,49.0622,0.2445,11.2755,1.9016,200,54.5914,0.8119,0.4742,0.2383,0.0027,3.1254,0.0000,0.0253,Population structure converged. Difference: 0.0088
1,8,54.5914,54.1177,Warrior,68.5341,70.8968,49.0668,0.2536,11.2487,1.9016,200,54.5914,0.6340,0.3668,0.2140,0.0028,1.9664,0.0000,0.0253,Population structure converged. Difference: 0.0088
2,0,48.4061,32.5412,Warrior,88.3135,53.2056,31.6432,15.9351,10.9026,1.8610,200,54.9559,427.7155,397.1620,400.7568,410.0600,550.7337,0.0450,0.0504,Population structure converged. Difference: 0.0085
2,1,51.5190,39.9915,Warrior,92.5582,55.7629,33.1641,7.0882,11.4266,1.8610,200,54.9559,426.7835,365.7867,223.4698,242.1250,328.3477,0.0300,0.0504,Population structure converged. Difference: 0.0085
2,2,53.0204,45.6896,Warrior,83.1794,85.5524,13.6854,6.7314,10.8514,1.8610,200,54.9559,218.1114,319.6774,183.2193,139.5727,108.9301,0.0146,0.0504,Population structure converged. Difference: 0.0085
2,3,53.7978,49.4236,Warrior,80.5591,74.4615,28.8648,6.1693,9.9453,1.8610,200,54.9559,98.5279,249.4628,130.2647,52.5654,50.3702,0.0038,0.0504,Population structure converged. Difference: 0.0085
2,4,53.8279,51.0140,Warrior,80.5963,74.4959,28.8781,6.1368,9.8929,1.8610,200,54.9559,50.6884,260.5256,130.2568,18.3300,20.2701,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,5,53.8279,51.8508,Warrior,80.5963,74.4959,28.8781,6.1368,9.8929,1.8610,200,54.9559,47.9830,228.4106,125.6611,8.1609,14.0450,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,6,53.9856,52.3702,Warrior,79.5731,72.1617,33.1029,5.6043,9.5579,1.8610,200,54.9559,54.2370,191.8084,115.0819,3.5479,0.7412,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,7,54.0598,52.8799,Warrior,81.6537,74.0485,28.8237,5.8504,9.6237,1.8610,200,54.9559,31.5399,120.0210,102.9536,1.7300,0.6880,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,8,54.0966,53.1152,Warrior,79.6365,75.5803,29.7107,5.5399,9.5326,1.8610,200,54.9559,22.1461,87.5401,89.6227,1.2810,0.7196,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,9,54.5856,53.3936,Warrior,78.2468,79.8803,28.7188,4.8621,8.2921,1.8610,200,54.9559,12.7278,51.7012,69.8577,1.5046,0.5340,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,10,54.5856,53.5205,Warrior,78.2468,79.8803,28.7188,4.8621,8.2921,1.8610,200,54.9559,13.9489,38.8363,56.3806,0.7169,0.5531,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,11,54.8526,53.7295,Warrior,82.7579,75.0499,28.9108,4.8946,8.3867,1.8610,200,54.9559,11.1378,30.6088,48.0831,0.5400,0.3123,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,12,54.8676,53.8907,Warrior,80.8063,77.9965,28.2291,4.7792,8.1889,1.8610,200,54.9559,11.1940,26.8761,34.0795,0.4131,0.4139,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,13,54.9273,54.1270,Warrior,82.8539,75.1369,28.9444,4.8677,8.1971,1.8610,200,54.9559,9.1733,10.2431,17.7498,0.2380,0.3202,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,14,54.9610,54.2633,Warrior,82.8926,75.1720,28.9579,4.7766,8.2009,1.8610,200,54.9559,6.3478,9.5077,14.0178,0.2338,0.3584,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,15,54.9610,54.4063,Warrior,82.8926,75.1720,28.9579,4.7766,8.2009,1.8610,200,54.9559,4.2627,7.2926,10.0546,0.2613,0.4008,0.0000,0.0504,Population structure converged. Difference: 0.0085
2,16,54.9559,54.4942,Warrior,82.8556,75.1385,29.0191,4.7800,8.2067,1.8610,200,54.9559,5.8299,3.8046,8.1799,0.2520,0.3450,0.0000,0.0504,Population structure converged. Difference: 0.0085
3,0,53.4003,35.5508,Warrior,77.0970,58.0950,56.9532,3.0356,4.8192,1.8488,200,57.1192,689.0985,287.4623,395.4648,414.8672,262.4698,0.0436,0.0377,Population structure converged. Difference: 0.0086
3,1,54.3041,43.7794,Warrior,85.3990,55.9943,51.5036,2.7451,4.3581,1.8488,200,57.1192,457.9077,73.9315,470.7415,260.1855,197.7398,0.0233,0.0377,Population structure converged. Difference: 0.0086
3,2,54.3041,50.2376,Warrior,85.3990,55.9943,51.5036,2.7451,4.3581,1.8488,200,57.1192,113.4739,34.7704,290.0329,101.9949,142.5098,0.0061,0.0377,Population structure converged. Difference: 0.0086
3,3,55.4824,52.7017,Warrior,81.6209,65.5523,46.3031,2.4679,4.0557,1.8488,200,57.1192,56.9355,33.6655,169.1859,13.4868,39.0072,0.0031,0.0377,Population structure converged. Difference: 0.0086
