Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,54.0309,39.5463,Warrior,66.2367,82.2226,39.4086,2.9215,9.2105,1.9306,200,54.0309,380.6796,571.5756,318.9919,578.6356,522.4823,0.0419,0.0126,Population structure converged. Difference: -0.0000
1,1,54.0309,48.4718,Warrior,66.2367,82.2226,39.4086,2.9215,9.2105,1.9306,200,54.0309,123.2276,311.3080,81.7360,251.1087,209.4953,0.0274,0.0126,Population structure converged. Difference: -0.0000
1,2,54.0309,53.1715,Warrior,66.2367,82.2226,39.4086,2.9215,9.2105,1.9306,200,54.0309,12.1168,26.8177,5.1249,29.6772,26.4274,0.0074,0.0126,Population structure converged. Difference: -0.0000
1,3,54.0309,54.0309,Warrior,66.2367,82.2226,39.4086,2.9215,9.2105,1.9306,200,54.0309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0126,Population structure converged. Difference: -0.0000
2,0,48.1242,32.8607,Warrior,66.1047,76.3985,28.8628,25.7120,2.9220,1.9386,200,54.0572,337.6714,506.6814,348.0395,319.1346,302.5347,0.0323,0.0285,Population structure converged. Difference: 0.0081
2,1,50.9067,40.7543,Warrior,72.6561,75.0946,28.3702,20.6675,3.2116,1.9386,200,54.0572,104.9150,289.6424,235.0532,94.7244,207.0879,0.0168,0.0285,Population structure converged. Difference: 0.0081
2,2,53.0443,46.1783,Warrior,70.6835,81.6902,30.8620,13.3475,3.4169,1.9386,200,54.0572,48.3268,78.4726,70.7897,34.4583,155.3767,0.0040,0.0285,Population structure converged. Difference: 0.0081
2,3,53.8332,49.2891,Warrior,73.8644,79.9158,30.1916,13.0576,2.9706,1.9386,200,54.0572,12.5820,17.8093,33.0011,29.5400,48.5053,0.0000,0.0285,Population structure converged. Difference: 0.0081
2,4,53.9315,51.3576,Warrior,75.2274,77.7523,30.7145,13.2837,3.0221,1.9386,200,54.0572,5.9678,8.8147,7.9418,26.7448,7.0138,0.0000,0.0285,Population structure converged. Difference: 0.0081
2,5,53.9476,52.4996,Warrior,75.4246,77.9561,30.2708,13.3185,3.0300,1.9386,200,54.0572,5.1366,5.4907,7.7274,11.7643,1.6984,0.0000,0.0285,Population structure converged. Difference: 0.0081
2,6,54.0666,53.0673,Warrior,75.5756,78.1121,30.2521,13.0837,2.9766,1.9386,200,54.0572,4.1165,3.7063,4.0147,2.1027,1.6993,0.0000,0.0285,Population structure converged. Difference: 0.0081
