Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.6468,33.7015,Warrior,70.8847,47.7357,49.5681,18.7088,13.1027,1.9310,200,52.4747,354.2074,497.4879,250.2694,275.7535,431.0219,0.0531,0.0473,Population structure converged. Difference: 0.0090
1,1,48.3807,40.6663,Warrior,73.6326,49.5862,51.4897,19.4341,5.8574,1.9310,200,52.4747,199.8099,235.5502,87.4241,88.9708,232.5565,0.0299,0.0473,Population structure converged. Difference: 0.0090
1,2,51.1657,44.5436,Warrior,71.8358,63.3733,42.8886,16.1878,5.7144,1.9310,200,52.4747,49.2940,144.1651,34.3138,12.3320,53.6130,0.0048,0.0473,Population structure converged. Difference: 0.0090
1,3,51.4467,45.7012,Warrior,69.7349,68.2729,40.9782,15.4667,5.5473,1.9310,200,52.4747,43.6481,115.4167,31.6071,14.1389,14.0347,0.0038,0.0473,Population structure converged. Difference: 0.0090
1,4,51.6851,47.4819,Warrior,71.0303,67.5073,40.5187,15.2933,5.6504,1.9310,200,52.4747,44.3810,71.9488,18.1187,15.5650,11.2778,0.0010,0.0473,Population structure converged. Difference: 0.0090
1,5,51.6851,48.9497,Warrior,71.0303,67.5073,40.5187,15.2933,5.6504,1.9310,200,52.4747,33.9426,49.3035,14.4885,10.0473,9.1262,0.0003,0.0473,Population structure converged. Difference: 0.0090
1,6,51.8167,49.8575,Warrior,71.5300,67.3320,40.4135,15.2536,5.4709,1.9310,200,52.4747,22.0589,33.8711,14.6469,9.4320,5.1730,0.0002,0.0473,Population structure converged. Difference: 0.0090
1,7,52.1273,50.6454,Warrior,75.3063,63.6578,40.4430,15.2647,5.3282,1.9310,200,52.4747,15.6042,22.0555,9.7342,3.3367,2.8834,0.0001,0.0473,Population structure converged. Difference: 0.0090
1,8,52.2017,50.9474,Warrior,74.6714,64.8074,40.1020,15.1360,5.2832,1.9310,200,52.4747,13.3654,18.8597,7.2680,2.6504,0.5019,0.0001,0.0473,Population structure converged. Difference: 0.0090
1,9,52.2017,51.3496,Warrior,74.6714,64.8074,40.1020,15.1360,5.2832,1.9310,200,52.4747,9.5839,9.5656,2.6618,1.3148,0.4846,0.0000,0.0473,Population structure converged. Difference: 0.0090
1,10,52.3376,51.6635,Warrior,76.6077,63.4236,39.5030,14.9099,5.5558,1.9310,200,52.4747,5.2484,5.7376,0.5801,0.0794,0.0240,0.0000,0.0473,Population structure converged. Difference: 0.0090
1,11,52.4476,51.7309,Warrior,77.2165,63.1999,39.3636,14.8573,5.3628,1.9310,200,52.4747,8.1554,7.3363,0.5145,0.0703,0.0274,0.0000,0.0473,Population structure converged. Difference: 0.0090
1,12,52.4146,51.7839,Warrior,77.7069,62.5426,39.4738,14.8989,5.3778,1.9310,200,52.4747,7.2707,5.7510,0.4549,0.1016,0.0230,0.0000,0.0473,Population structure converged. Difference: 0.0090
1,13,52.4702,51.9218,Warrior,77.6355,62.4851,39.8300,14.7319,5.3175,1.9310,200,52.4747,8.3077,5.6275,0.5323,0.1350,0.0270,0.0000,0.0473,Population structure converged. Difference: 0.0090
1,14,52.4747,52.0064,Warrior,77.6792,62.4628,39.8158,14.7266,5.3156,1.9310,200,52.4747,7.7819,5.4513,0.6188,0.1116,0.0308,0.0000,0.0473,Population structure converged. Difference: 0.0090
2,0,51.2700,35.4268,Warrior,83.8140,75.5334,19.9323,4.1705,16.5498,1.8414,200,55.7460,515.4978,331.0452,266.3396,473.5573,243.6134,0.0336,0.0436,Population structure converged. Difference: 0.0094
2,1,52.3844,42.6762,Warrior,93.1337,72.0861,19.0226,8.9585,6.7991,1.8414,200,55.7460,397.7773,221.2619,165.1997,273.9493,190.8654,0.0120,0.0436,Population structure converged. Difference: 0.0094
2,2,54.1747,47.8346,Warrior,88.0095,79.3144,20.9300,6.6779,5.0682,1.8414,200,55.7460,156.4345,188.5359,164.0106,103.8363,76.7475,0.0017,0.0436,Population structure converged. Difference: 0.0094
2,3,54.6907,50.4306,Warrior,96.2134,74.4697,20.1207,4.2100,4.9862,1.8414,200,55.7460,73.0727,137.4370,163.7837,20.1246,50.6928,0.0003,0.0436,Population structure converged. Difference: 0.0094
2,4,54.9418,52.1302,Warrior,92.5470,77.0132,21.1030,4.4155,4.9212,1.8414,200,55.7460,58.1772,121.3627,120.2069,6.0856,27.1903,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,5,55.5500,53.2262,Warrior,89.5802,81.0862,21.3976,3.5563,4.3796,1.8414,200,55.7460,43.3143,67.4533,87.7683,3.9941,15.8171,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,6,55.6488,53.9303,Warrior,89.6991,81.1938,21.4260,3.1777,4.5034,1.8414,200,55.7460,35.4935,40.2497,65.6010,2.0683,8.8221,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,7,55.6878,54.3285,Warrior,89.7546,81.2441,21.4393,3.1797,4.3823,1.8414,200,55.7460,33.2241,44.5856,98.5473,1.5634,2.9115,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,8,55.6878,54.6816,Warrior,89.7546,81.2441,21.4393,3.1797,4.3823,1.8414,200,55.7460,16.5786,42.1713,70.0633,1.3801,0.5477,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,9,55.7341,55.0559,Warrior,87.7225,79.4047,25.2677,3.1463,4.4588,1.8414,200,55.7460,9.9820,26.6982,40.9451,0.8799,0.4335,0.0000,0.0436,Population structure converged. Difference: 0.0094
2,10,55.7460,55.2295,Warrior,87.7414,79.4218,25.2732,3.1804,4.3833,1.8414,200,55.7460,6.8786,19.9412,29.6391,0.5359,0.3468,0.0000,0.0436,Population structure converged. Difference: 0.0094
3,0,47.8226,32.3916,Warrior,77.6321,64.7845,28.5967,22.5150,6.4717,1.8475,200,52.7686,486.6121,501.7850,457.1242,282.0822,374.6038,0.0349,0.0770,Population structure converged. Difference: 0.0098
3,1,49.6470,39.9481,Warrior,85.4659,71.3219,18.2537,17.8337,7.1248,1.8475,200,52.7686,266.9527,262.5546,293.8501,108.4798,256.3462,0.0223,0.0770,Population structure converged. Difference: 0.0098
3,2,49.6470,44.8992,Warrior,85.4659,71.3219,18.2537,17.8337,7.1248,1.8475,200,52.7686,99.0304,117.3141,142.9561,9.0899,70.2789,0.0103,0.0770,Population structure converged. Difference: 0.0098
3,3,49.6735,47.0845,Warrior,79.8710,66.6529,29.4215,18.3480,5.7066,1.8475,200,52.7686,63.5949,52.6993,64.2204,6.2175,21.4864,0.0026,0.0770,Population structure converged. Difference: 0.0098
3,4,50.1807,48.0778,Warrior,81.2940,67.8403,27.9853,17.4524,5.4281,1.8475,200,52.7686,17.2900,28.9627,44.3800,5.3602,10.3983,0.0004,0.0770,Population structure converged. Difference: 0.0098
3,5,50.1667,48.5361,Warrior,83.2079,74.9191,18.3699,17.9472,5.5558,1.8475,200,52.7686,13.7538,28.5814,33.8852,5.6248,1.1194,0.0002,0.0770,Population structure converged. Difference: 0.0098
3,6,50.4918,48.8182,Warrior,80.8950,69.7886,27.1329,16.9208,5.2627,1.8475,200,52.7686,11.2904,31.3539,34.4117,5.4650,1.7713,0.0003,0.0770,Population structure converged. Difference: 0.0098
3,7,51.0531,49.1324,Warrior,82.0347,68.8797,28.4140,15.1604,5.5112,1.8475,200,52.7686,10.5936,17.0579,26.7912,5.0979,1.8758,0.0001,0.0770,Population structure converged. Difference: 0.0098
3,8,51.0930,49.3858,Warrior,82.7565,68.4582,28.2402,15.0676,5.4775,1.8475,200,52.7686,8.7890,18.5203,33.4650,5.9160,2.0870,0.0001,0.0770,Population structure converged. Difference: 0.0098
3,9,51.2944,49.6966,Warrior,75.8907,68.3308,37.4857,13.2664,5.0265,1.8475,200,52.7686,7.9050,19.6111,31.9982,4.5027,1.3873,0.0001,0.0770,Population structure converged. Difference: 0.0098
3,10,51.3817,50.1794,Warrior,81.9244,70.7689,27.3843,14.6110,5.3115,1.8475,200,52.7686,4.5010,10.7507,19.8369,2.8686,0.5191,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,11,51.7914,50.4675,Warrior,78.5952,67.8930,35.9624,12.7273,4.8222,1.8475,200,52.7686,3.9747,7.8349,12.9663,2.5499,0.3663,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,12,51.8628,50.6399,Warrior,81.1306,66.1450,35.0364,12.3996,5.2885,1.8475,200,52.7686,2.9884,8.3350,15.7981,2.0824,0.3686,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,13,52.1613,50.8074,Warrior,80.9158,75.5987,25.5175,12.5959,5.3722,1.8475,200,52.7686,3.5106,8.3507,20.1365,2.2223,0.3045,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,14,52.1613,51.0861,Warrior,80.9158,75.5987,25.5175,12.5959,5.3722,1.8475,200,52.7686,2.2251,5.2131,12.8721,2.3640,0.1657,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,15,52.2664,51.3571,Warrior,81.0855,75.7572,25.5710,12.7539,4.8323,1.8475,200,52.7686,2.9668,7.1303,15.2755,2.6204,0.1539,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,16,52.4648,51.6041,Warrior,80.8336,70.1011,32.5682,11.6799,4.8173,1.8475,200,52.7686,2.1972,7.1815,9.6617,2.4384,0.1035,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,17,52.4836,51.8325,Warrior,81.0728,69.9604,32.5028,11.6564,4.8076,1.8475,200,52.7686,2.1766,6.3210,11.4239,2.0542,0.1010,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,18,52.5866,51.9225,Warrior,81.4200,76.0697,25.6765,11.6159,5.2179,1.8475,200,52.7686,1.9624,5.6584,9.5770,1.8251,0.0571,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,19,52.6390,52.0757,Warrior,80.2941,72.4325,31.0074,11.1202,5.1457,1.8475,200,52.7686,1.6578,5.0416,7.7151,1.3021,0.0518,0.0000,0.0770,Population structure converged. Difference: 0.0098
3,20,52.7686,52.2564,Warrior,81.6779,76.3107,25.6428,11.1468,5.2219,1.8475,200,52.7686,0.9795,4.0756,6.0319,0.6455,0.0507,0.0000,0.0770,Population structure converged. Difference: 0.0098
4,0,47.2463,33.1082,Warrior,77.8008,42.1762,60.2764,5.1081,14.6384,1.9766,200,52.7124,957.6610,621.4124,741.7539,445.3450,583.3178,0.0381,0.0640,Population structure converged. Difference: 0.0081
4,1,47.2463,40.1925,Warrior,77.8008,42.1762,60.2764,5.1081,14.6384,1.9766,200,52.7124,520.0521,277.6643,545.8750,134.8013,189.5799,0.0377,0.0640,Population structure converged. Difference: 0.0081
4,2,50.3250,43.4616,Warrior,71.3459,61.8614,50.3109,4.2636,12.2182,1.9766,200,52.7124,231.9548,154.4554,575.4059,25.4178,44.4520,0.0673,0.0640,Population structure converged. Difference: 0.0081
4,3,51.1236,45.7831,Warrior,75.2472,65.2441,42.2342,4.4686,12.8059,1.9766,200,52.7124,171.2436,132.1535,528.6565,11.5412,13.6567,0.0640,0.0640,Population structure converged. Difference: 0.0081
4,4,51.2619,48.3234,Warrior,76.4188,64.6313,41.8376,4.4267,12.6856,1.9766,200,52.7124,77.6734,83.7791,283.6458,3.8949,8.1517,0.0288,0.0640,Population structure converged. Difference: 0.0081
4,5,51.6542,49.2697,Warrior,76.9410,65.0730,42.1235,4.4569,11.4056,1.9766,200,52.7124,50.6688,41.9973,145.0864,1.9300,6.3143,0.0160,0.0640,Population structure converged. Difference: 0.0081
4,6,51.6402,49.7996,Warrior,77.1113,64.7744,42.2167,4.4668,11.4309,1.9766,200,52.7124,28.7859,36.1900,72.4561,0.8143,3.6259,0.0056,0.0640,Population structure converged. Difference: 0.0081
4,7,51.6402,50.4053,Warrior,77.1113,64.7744,42.2167,4.4668,11.4309,1.9766,200,52.7124,7.7515,18.8025,27.1381,0.2405,1.5043,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,8,51.6883,50.6578,Warrior,77.8241,64.3500,41.9401,4.4375,11.4483,1.9766,200,52.7124,11.1882,18.3161,38.2407,0.0580,0.9290,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,9,52.7020,50.8398,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,15.9053,22.1264,60.3318,0.0682,0.8874,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,10,52.7020,51.0496,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,12.9080,13.0523,42.3475,0.0711,0.8120,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,11,52.7020,51.2592,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,7.1153,7.2740,21.0638,0.0443,0.3162,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,12,52.7020,51.4610,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,5.7780,9.8051,20.8423,0.0766,0.4719,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,13,52.7020,51.6765,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,5.2260,9.3722,15.7621,0.0544,0.5053,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,14,52.7020,51.9543,Warrior,79.9003,69.2786,36.6662,3.8795,10.2754,1.9766,200,52.7124,4.2183,9.5088,13.0988,0.0606,0.5841,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,15,52.7057,52.1426,Warrior,79.8806,69.2615,36.7275,3.8860,10.2443,1.9766,200,52.7124,3.2732,6.8926,7.9203,0.0533,0.5789,0.0000,0.0640,Population structure converged. Difference: 0.0081
4,16,52.7124,52.2868,Warrior,79.8427,69.3953,36.6398,3.8767,10.2455,1.9766,200,52.7124,1.7082,7.2293,7.6688,0.0490,0.4682,0.0000,0.0640,Population structure converged. Difference: 0.0081
5,0,49.8210,33.0906,Warrior,64.4650,99.3910,16.0627,14.0915,5.9899,1.8929,200,59.3046,564.3438,594.0444,286.1712,328.6933,528.5149,0.0477,0.0387,Population structure converged. Difference: 0.0077
5,1,54.6403,41.4513,Warrior,92.5811,56.7173,36.0870,1.2569,13.3577,1.9120,200,59.3046,571.7079,714.9596,246.7711,170.3961,382.5651,0.0296,0.0387,Population structure converged. Difference: 0.0077
5,2,57.0055,47.3875,Warrior,95.9638,58.7896,37.4055,1.2004,6.6406,1.9120,200,59.3046,378.0544,632.4218,189.8262,129.8789,124.4382,0.0170,0.0387,Population structure converged. Difference: 0.0077
5,3,58.4195,50.8785,Warrior,90.5025,86.0814,16.0212,1.1321,6.2627,1.9120,200,59.3046,302.8527,420.9895,151.6594,97.3750,78.5913,0.0042,0.0387,Population structure converged. Difference: 0.0077
5,4,58.8332,53.5636,Warrior,84.5466,77.7772,30.7679,1.0576,5.8506,1.9120,200,59.3046,237.7361,284.9374,113.1244,69.2228,55.2766,0.0006,0.0387,Population structure converged. Difference: 0.0077
5,5,59.0243,55.5120,Warrior,84.6730,80.5367,28.4112,0.9766,5.4024,1.9120,200,59.3046,137.3530,222.8394,113.3763,34.7491,22.4859,0.0002,0.0387,Population structure converged. Difference: 0.0077
5,6,59.1979,56.6142,Warrior,86.5245,80.3240,27.0729,0.9306,5.1480,1.9120,200,59.3046,100.5565,178.5265,69.9279,25.7680,6.0903,0.0001,0.0387,Population structure converged. Difference: 0.0077
5,7,59.2386,57.8163,Warrior,85.0381,78.2293,30.9468,1.0499,4.7359,1.9120,200,59.3046,40.2412,66.9979,35.4796,10.7198,3.7545,0.0001,0.0387,Population structure converged. Difference: 0.0077
5,8,59.2739,58.5015,Warrior,88.7823,78.7259,26.5342,0.9121,5.0455,1.9120,200,59.3046,21.3307,32.3035,26.3048,2.9772,1.3137,0.0001,0.0387,Population structure converged. Difference: 0.0077
5,9,59.3015,58.6737,Warrior,87.0104,79.2084,27.9426,0.8939,4.9448,1.9120,200,59.3046,6.7570,13.1245,20.0815,5.8875,0.4678,0.0000,0.0387,Population structure converged. Difference: 0.0077
5,10,59.3046,58.8539,Warrior,87.4282,80.4218,26.3213,0.8602,4.9686,1.9120,200,59.3046,5.7039,11.1741,18.5638,2.9846,0.3404,0.0000,0.0387,Population structure converged. Difference: 0.0077
6,0,51.6911,35.6199,Warrior,77.1609,68.5578,41.3439,2.1316,10.8058,1.9855,200,53.3716,811.9354,427.7124,398.5932,587.5602,622.3091,0.0335,0.0388,Population structure converged. Difference: 0.0097
6,1,52.3372,44.3421,Warrior,75.3648,69.0094,42.3679,2.1844,11.0735,1.9779,200,53.3716,449.1370,266.0023,191.3600,296.3035,235.6810,0.0135,0.0388,Population structure converged. Difference: 0.0097
6,2,53.0394,48.5757,Warrior,84.9468,63.2132,39.6957,2.0009,10.1434,1.9779,200,53.3716,179.7887,147.2699,84.7508,89.4618,73.6660,0.0078,0.0388,Population structure converged. Difference: 0.0097
6,3,52.9919,50.2231,Warrior,80.1588,66.6452,40.9165,2.1095,10.1700,1.9779,200,53.3716,75.0971,89.3883,71.1965,24.1655,53.8534,0.0017,0.0388,Population structure converged. Difference: 0.0097
6,4,52.9919,51.1517,Warrior,80.1588,66.6452,40.9165,2.1095,10.1700,1.9779,200,53.3716,53.1536,54.0792,43.6666,13.5858,36.6644,0.0012,0.0388,Population structure converged. Difference: 0.0097
6,5,53.1321,51.9072,Warrior,82.4465,65.3730,40.1354,2.0693,9.9759,1.9779,200,53.3716,33.8163,40.4919,8.3343,0.0304,0.8999,0.0009,0.0388,Population structure converged. Difference: 0.0097
