Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.9139,39.6527,Warrior,62.7634,46.0684,66.8364,2.1375,22.1943,1.9299,200,56.8759,137.9222,265.3535,512.8958,264.1255,248.3217,0.0420,0.0180,Population structure converged. Difference: 0.0043
1,1,53.9960,46.7446,Warrior,72.8100,53.4427,69.5507,3.3247,0.8719,1.9299,200,56.8759,51.6831,63.8935,144.3382,0.4957,25.8962,0.0028,0.0180,Population structure converged. Difference: 0.0043
1,2,56.7387,48.1600,Warrior,80.1562,58.8348,56.3890,3.6602,0.9599,1.9299,200,56.8759,41.9906,25.9976,105.6347,0.3084,77.5232,0.0014,0.0180,Population structure converged. Difference: 0.0043
1,3,56.8787,52.9892,Warrior,80.2908,58.9336,56.4837,3.3303,0.9615,1.9299,200,56.8759,33.5102,30.5778,96.3479,0.3032,88.6153,0.0000,0.0180,Population structure converged. Difference: 0.0043
1,4,56.8759,55.7505,Warrior,80.2879,58.9315,56.4817,3.3358,0.9631,1.9299,200,56.8759,12.5248,6.7478,40.1390,0.0266,0.0018,0.0000,0.0180,Population structure converged. Difference: 0.0043
1,5,56.8759,56.6346,Warrior,80.2879,58.9315,56.4817,3.3358,0.9631,1.9299,200,56.8759,2.0970,1.1298,6.7159,0.0081,0.0003,0.0000,0.0180,Population structure converged. Difference: 0.0043
2,0,47.8138,40.4005,Warrior,83.4643,51.2254,54.1627,8.4725,2.6751,1.9989,200,47.8138,247.0071,167.3366,249.6391,201.5574,322.0674,0.0374,0.0067,Population structure converged. Difference: 0.0027
2,1,47.8138,47.6859,Warrior,83.4643,51.2254,54.1627,8.4725,2.6751,1.9989,200,47.8138,7.0739,2.2391,3.0064,1.4460,16.6520,0.0003,0.0067,Population structure converged. Difference: 0.0027
3,0,50.8069,38.3444,Warrior,62.6310,75.0068,44.9867,0.2529,17.1226,1.9543,200,54.6243,228.0712,274.7712,236.2117,224.8744,263.5207,0.0505,0.0309,Population structure converged. Difference: 0.0086
3,1,51.7496,45.8519,Warrior,63.5901,76.1553,45.6756,0.2568,14.3223,1.9543,200,54.6243,88.6350,144.9777,152.6014,70.4337,11.4788,0.0478,0.0309,Population structure converged. Difference: 0.0086
3,2,52.9721,50.2445,Warrior,65.2678,75.2187,45.1138,0.2536,14.1461,1.9390,200,54.6243,1.9117,58.6333,28.2498,16.8932,6.9652,0.0012,0.0309,Population structure converged. Difference: 0.0086
3,3,53.8978,51.0694,Warrior,68.6307,73.3412,43.9878,0.2473,13.7930,1.9390,200,54.6243,3.3818,27.2059,20.2855,0.6063,1.4789,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,4,53.8978,51.7757,Warrior,68.6307,73.3412,43.9878,0.2473,13.7930,1.9390,200,54.6243,9.9415,43.7265,20.5208,0.2256,1.9845,0.0001,0.0309,Population structure converged. Difference: 0.0086
3,5,54.0476,52.8240,Warrior,74.6581,61.4925,49.2718,0.2971,14.2805,1.9390,200,54.6243,14.2165,37.8456,7.2025,0.0989,1.0798,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,6,54.4688,53.4944,Warrior,76.7037,63.1774,45.1930,0.2541,14.6718,1.9390,200,54.6243,9.7278,29.4415,4.6962,0.0354,1.0190,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,7,54.4688,53.8182,Warrior,76.7037,63.1774,45.1930,0.2541,14.6718,1.9390,200,54.6243,5.7296,25.3014,3.7543,0.0003,0.7048,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,8,54.5385,53.8990,Warrior,76.5307,63.0348,45.9245,0.2582,14.2519,1.9390,200,54.6243,5.9622,19.4341,2.5727,0.0002,0.3587,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,9,54.6363,53.9964,Warrior,76.9020,63.3407,45.2986,0.2546,14.2040,1.9390,200,54.6243,10.7954,24.3937,2.5562,0.0001,0.1937,0.0000,0.0309,Population structure converged. Difference: 0.0086
3,10,54.6243,54.1579,Warrior,77.0198,63.1314,45.3680,0.2550,14.2258,1.9390,200,54.6243,14.0006,28.5563,2.6412,0.0001,0.2195,0.0000,0.0309,Population structure converged. Difference: 0.0086
4,0,52.6664,38.8583,Warrior,61.2874,82.1552,45.7527,4.7928,6.0119,1.9105,200,57.5002,177.0958,562.2097,428.6305,231.3877,281.9981,0.0311,0.0284,Population structure converged. Difference: 0.0086
4,1,54.2834,47.2797,Warrior,77.2221,103.5155,6.6561,5.5920,7.0144,1.9105,200,57.5002,36.8911,14.2618,431.3302,148.5597,3.8823,0.0014,0.0284,Population structure converged. Difference: 0.0086
4,2,54.5368,51.9574,Warrior,77.5319,103.9308,6.6828,4.8120,7.0425,1.9105,200,57.5002,13.7481,20.0047,168.1103,44.4060,1.2770,0.0002,0.0284,Population structure converged. Difference: 0.0086
4,3,56.1072,52.9455,Warrior,72.3264,81.3713,35.9652,3.7675,6.5697,1.9105,200,57.5002,28.0057,62.3178,178.9699,0.1971,0.1341,0.0000,0.0284,Population structure converged. Difference: 0.0086
4,4,56.2638,53.5469,Warrior,72.4985,81.5649,36.0508,3.7765,6.1093,1.9105,200,57.5002,55.8156,93.5986,296.1356,0.4554,0.2657,0.0000,0.0284,Population structure converged. Difference: 0.0086
4,5,56.9513,54.7125,Warrior,77.7993,75.6100,36.3280,4.1658,6.0968,1.9105,200,57.5002,40.2300,111.5506,252.3453,0.9327,0.3609,0.0000,0.0284,Population structure converged. Difference: 0.0086
4,6,56.9828,55.6875,Warrior,82.1816,68.9063,38.3743,4.4005,6.1373,1.9105,200,57.5002,21.7509,89.4529,151.5635,0.5823,0.2154,0.0000,0.0284,Population structure converged. Difference: 0.0086
4,7,57.0808,56.2406,Warrior,77.9342,75.7411,36.3624,3.8001,6.1622,1.9105,200,57.5002,14.7789,33.3056,41.0228,0.1435,0.1888,0.0000,0.0284,Population structure converged. Difference: 0.0086
