Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.8670,35.7992,Warrior,69.9565,64.2136,64.8098,0.3787,0.6415,1.8921,200,55.9198,206.1627,260.6172,196.8088,263.3645,329.6643,0.0356,0.0111,Population structure converged. Difference: 0.0007
1,1,55.9115,43.5215,Warrior,70.0070,64.2600,64.8565,0.3789,0.4976,1.8921,200,55.9198,58.4844,115.5792,96.1416,178.4302,196.6130,0.0250,0.0111,Population structure converged. Difference: 0.0007
1,2,55.9198,50.5854,Warrior,70.0397,64.2436,64.8400,0.3788,0.4978,1.8921,200,55.9198,41.4379,33.3328,31.9808,199.7546,18.7603,0.0054,0.0111,Population structure converged. Difference: 0.0007
1,3,55.9198,55.8787,Warrior,70.0397,64.2436,64.8400,0.3788,0.4978,1.8921,200,55.9198,0.0006,0.0004,0.0004,0.0001,0.0036,0.0000,0.0111,Population structure converged. Difference: 0.0007
2,0,47.1048,34.9912,Warrior,74.1465,75.9219,38.5055,2.1086,9.3174,1.5186,200,56.1839,175.9280,373.2038,355.5474,323.5370,215.5831,0.0472,0.0388,Population structure converged. Difference: 0.0056
2,1,50.8160,41.4715,Warrior,68.5176,70.1582,35.5823,8.3034,17.4385,1.9047,200,56.1839,84.2111,258.5896,154.5021,69.6631,169.4193,0.0568,0.0388,Population structure converged. Difference: 0.0056
2,2,51.8573,46.2307,Warrior,79.6121,43.3877,64.5515,2.2973,10.1514,1.9047,200,56.1839,77.1087,230.1195,82.7685,54.5253,73.0954,0.0389,0.0388,Population structure converged. Difference: 0.0056
2,3,53.5630,49.1957,Warrior,92.9060,50.6328,41.9337,2.6810,11.8465,1.9047,200,56.1839,21.9621,85.8496,51.8094,11.2737,20.2766,0.0350,0.0388,Population structure converged. Difference: 0.0056
2,4,54.2297,50.9868,Warrior,93.8818,51.1646,42.3742,2.3215,10.2580,1.9047,200,56.1839,39.1224,62.5781,47.7227,4.0823,5.4891,0.0044,0.0388,Population structure converged. Difference: 0.0056
2,5,54.2297,51.8284,Warrior,93.8818,51.1646,42.3742,2.3215,10.2580,1.9047,200,56.1839,104.1339,122.6751,91.5622,7.2495,8.4246,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,6,54.2297,53.1057,Warrior,93.8818,51.1646,42.3742,2.3215,10.2580,1.9047,200,56.1839,78.8219,52.0059,77.7357,2.8704,3.3809,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,7,55.2314,53.8785,Warrior,83.2823,55.0614,50.4681,2.0960,9.0921,1.9047,200,56.1839,46.5017,11.7600,17.1759,0.0455,0.9345,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,8,55.8724,54.2098,Warrior,75.6414,67.3168,45.7070,2.1235,9.2113,1.9047,200,56.1839,37.2937,13.7509,13.0652,0.0351,0.4351,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,9,55.8724,54.4233,Warrior,75.6414,67.3168,45.7070,2.1235,9.2113,1.9047,200,56.1839,42.8063,26.9770,11.3509,0.0663,0.3795,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,10,55.8724,54.9073,Warrior,75.6414,67.3168,45.7070,2.1235,9.2113,1.9047,200,56.1839,60.7725,50.1734,9.7690,0.1228,0.6368,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,11,56.1839,55.5646,Warrior,81.6249,63.6610,43.0802,2.7227,8.9112,1.9047,200,56.1839,28.7734,30.4210,1.4172,0.0762,0.3999,0.0000,0.0388,Population structure converged. Difference: 0.0056
2,12,56.1839,55.8686,Warrior,81.6249,63.6610,43.0802,2.7227,8.9112,1.9047,200,56.1839,5.2604,4.7907,0.7977,0.0456,0.0299,0.0000,0.0388,Population structure converged. Difference: 0.0056
3,0,43.0030,33.2613,Warrior,78.7831,73.9629,26.9699,12.1648,8.1193,1.5807,200,55.7348,636.5222,210.9977,375.1933,230.1321,267.3446,0.0474,0.0447,Population structure converged. Difference: 0.0065
3,1,47.4376,39.1310,Warrior,103.6399,64.1567,20.4275,5.6263,6.1497,1.4393,200,55.7348,756.2160,209.8803,362.7925,61.5703,148.0381,0.0363,0.0447,Population structure converged. Difference: 0.0065
3,2,47.7937,42.0541,Warrior,104.3944,64.6237,20.5762,5.6673,4.7384,1.4393,200,55.7348,550.8837,206.8706,208.8456,11.1435,42.6366,0.0232,0.0447,Population structure converged. Difference: 0.0065
3,3,52.7482,45.1365,Warrior,103.6314,64.1514,20.4258,5.6336,6.1577,1.8505,200,55.7348,247.0018,145.6361,258.5922,9.7449,49.4827,0.0253,0.0447,Population structure converged. Difference: 0.0065
3,4,53.9419,48.3258,Warrior,87.2938,54.0379,50.9518,3.6868,4.0298,1.8505,200,55.7348,48.9154,24.9542,141.4050,0.7881,0.5100,0.0263,0.0447,Population structure converged. Difference: 0.0065
3,5,55.3667,50.4138,Warrior,96.9002,71.7036,22.8304,4.0925,4.4732,1.8505,200,55.7348,76.1921,31.6881,227.1255,0.5396,0.6994,0.0423,0.0447,Population structure converged. Difference: 0.0065
3,6,55.3667,52.9701,Warrior,96.9002,71.7036,22.8304,4.0925,4.4732,1.8505,200,55.7348,58.7396,35.0664,196.1817,0.7983,0.8927,0.0033,0.0447,Population structure converged. Difference: 0.0065
3,7,55.3667,53.9654,Warrior,96.9002,71.7036,22.8304,4.0925,4.4732,1.8505,200,55.7348,57.8947,50.0153,202.2753,0.7705,0.5125,0.0000,0.0447,Population structure converged. Difference: 0.0065
3,8,55.7348,54.9505,Warrior,97.4363,72.1003,22.9567,3.5865,3.9202,1.8505,200,55.7348,19.0441,21.4061,51.7154,0.1514,0.0764,0.0000,0.0447,Population structure converged. Difference: 0.0065
3,9,55.7348,55.3739,Warrior,97.4363,72.1003,22.9567,3.5865,3.9202,1.8505,200,55.7348,0.7448,0.3186,0.1025,0.0196,0.0236,0.0000,0.0447,Population structure converged. Difference: 0.0065
4,0,49.5055,37.4715,Warrior,65.6806,71.2601,44.5638,0.8413,17.6542,1.8334,200,49.5055,108.0587,460.9582,471.2481,293.1574,283.3282,0.0297,0.0135,Population structure converged. Difference: -0.0000
4,1,49.5055,47.0020,Warrior,65.6806,71.2601,44.5638,0.8413,17.6542,1.8334,200,49.5055,20.7898,82.5601,123.6097,49.2400,8.4573,0.0184,0.0135,Population structure converged. Difference: -0.0000
4,2,49.5055,49.5055,Warrior,65.6806,71.2601,44.5638,0.8413,17.6542,1.8334,200,49.5055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0135,Population structure converged. Difference: -0.0000
5,0,51.0838,36.6022,Warrior,82.2531,75.2628,37.8913,0.8841,3.7086,1.4286,200,55.2917,194.5370,348.0241,264.3639,303.6897,372.5327,0.0478,0.0405,Population structure converged. Difference: 0.0068
