Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.4061,31.5584,Warrior,109.0563,47.3395,36.8852,1.3428,5.3763,1.9861,200,58.9343,349.3091,712.9291,416.7597,357.1613,370.2438,0.0470,0.0362,Population structure converged. Difference: 0.0094
1,1,52.4121,37.6406,Warrior,90.5676,56.9635,44.3839,1.6157,6.4693,1.9861,200,58.9343,286.0464,751.2326,272.7731,285.8854,234.6727,0.0368,0.0362,Population structure converged. Difference: 0.0094
1,2,56.7368,42.9177,Warrior,82.6883,61.0650,47.5796,1.7321,6.9351,1.9005,200,58.9343,211.8040,412.3859,202.3327,146.2889,186.2232,0.0348,0.0362,Population structure converged. Difference: 0.0094
1,3,57.4974,46.7239,Warrior,83.6501,61.7753,48.1330,1.7522,4.6894,1.9005,200,58.9343,225.6211,261.0939,222.4409,80.8229,96.8603,0.0217,0.0362,Population structure converged. Difference: 0.0094
1,4,57.5436,50.1043,Warrior,87.7468,59.6001,46.4382,1.6905,4.5243,1.9005,200,58.9343,208.6544,214.7045,245.9975,54.8377,50.2326,0.0118,0.0362,Population structure converged. Difference: 0.0094
1,5,58.3040,52.5738,Warrior,82.3701,81.0884,28.9293,1.5633,6.0489,1.9005,200,58.9343,115.9616,149.2106,122.2099,32.2369,33.7811,0.0095,0.0362,Population structure converged. Difference: 0.0094
1,6,58.3024,54.5029,Warrior,87.1137,74.2404,30.5953,1.6533,6.3973,1.9005,200,58.9343,71.1406,119.9956,92.8214,18.2197,28.4273,0.0057,0.0362,Population structure converged. Difference: 0.0094
1,7,58.3024,56.2313,Warrior,87.1137,74.2404,30.5953,1.6533,6.3973,1.9005,200,58.9343,43.7894,104.7715,62.9042,5.6048,10.6631,0.0010,0.0362,Population structure converged. Difference: 0.0094
1,8,58.7938,57.1587,Warrior,82.1912,80.9122,30.8107,1.5250,4.5608,1.9005,200,58.9343,28.3316,74.6227,48.9768,2.0754,1.0337,0.0005,0.0362,Population structure converged. Difference: 0.0094
1,9,58.8025,57.7233,Warrior,83.8060,74.6563,35.4471,1.6567,4.4338,1.9005,200,58.9343,11.8762,61.8720,50.5739,0.4400,0.8376,0.0002,0.0362,Population structure converged. Difference: 0.0094
1,10,58.9343,58.1076,Warrior,84.9445,77.2816,31.6162,1.5649,4.5928,1.9005,200,58.9343,9.3736,47.8416,38.6946,0.2892,0.8498,0.0000,0.0362,Population structure converged. Difference: 0.0094
1,11,58.9343,58.3853,Warrior,84.9445,77.2816,31.6162,1.5649,4.5928,1.9005,200,58.9343,8.0532,24.2658,20.7227,0.1533,0.8378,0.0000,0.0362,Population structure converged. Difference: 0.0094
2,0,43.8853,31.3294,Warrior,71.1263,63.8435,52.8811,9.2682,2.8810,1.7194,200,59.4773,438.9964,425.3729,356.1988,347.8363,433.6850,0.0444,0.0310,Population structure converged. Difference: 0.0065
2,1,56.8832,36.2253,Warrior,72.3946,66.9685,59.0461,1.2443,0.3465,1.9364,200,59.4773,358.9142,251.1783,340.2442,268.4914,273.4287,0.0449,0.0310,Population structure converged. Difference: 0.0065
2,2,57.9119,40.9913,Warrior,79.8292,63.0668,55.6060,1.1718,0.3263,1.8861,200,59.4773,184.0151,147.7691,188.0248,150.6336,97.4521,0.0346,0.0310,Population structure converged. Difference: 0.0065
2,3,58.5371,44.0991,Warrior,103.7607,90.0185,4.5347,1.2620,0.4241,1.8861,200,59.4773,120.6184,106.1313,236.4000,80.5572,82.0183,0.0252,0.0310,Population structure converged. Difference: 0.0065
2,4,58.7939,47.1483,Warrior,96.1053,97.2401,4.8985,1.3633,0.3928,1.8861,200,59.4773,111.3269,120.0801,356.8980,73.0384,82.7006,0.0217,0.0310,Population structure converged. Difference: 0.0065
2,5,58.9298,50.9082,Warrior,76.7691,77.6756,44.3078,0.9337,0.3138,1.8861,200,59.4773,151.4606,146.6601,486.9260,75.3896,89.0969,0.0116,0.0310,Population structure converged. Difference: 0.0065
2,6,59.1767,55.2800,Warrior,81.6788,69.8525,47.1414,0.9934,0.3338,1.8861,200,59.4773,140.6648,175.8477,491.6467,43.3013,38.1105,0.0049,0.0310,Population structure converged. Difference: 0.0065
2,7,59.4652,57.2139,Warrior,82.8862,70.8851,44.9628,0.9475,0.3184,1.8861,200,59.4773,134.3335,239.5647,547.4479,21.5657,22.8634,0.0005,0.0310,Population structure converged. Difference: 0.0065
2,8,59.4652,58.1727,Warrior,82.8862,70.8851,44.9628,0.9475,0.3184,1.8861,200,59.4773,107.7052,225.5654,540.7958,6.2459,8.4240,0.0003,0.0310,Population structure converged. Difference: 0.0065
2,9,59.4652,58.8119,Warrior,82.8862,70.8851,44.9628,0.9475,0.3184,1.8861,200,59.4773,70.3414,167.1210,394.1395,0.7564,2.5304,0.0000,0.0310,Population structure converged. Difference: 0.0065
2,10,59.4773,59.0904,Warrior,83.0244,71.0033,44.6582,0.9977,0.3162,1.8861,200,59.4773,37.8178,77.4276,189.0082,0.0085,0.0017,0.0000,0.0310,Population structure converged. Difference: 0.0065
3,0,42.1664,30.9286,Warrior,83.7292,49.0194,35.1975,12.0777,19.9762,1.4294,200,57.1773,533.5204,383.6098,329.2514,337.3962,305.3995,0.0330,0.0597,Population structure converged. Difference: 0.0063
3,1,48.8136,35.7836,Warrior,84.9691,49.7453,35.7188,12.2566,17.3102,1.9202,200,57.1773,431.0071,242.3510,314.0997,282.0334,190.2903,0.0300,0.0597,Population structure converged. Difference: 0.0063
3,2,48.8136,39.0251,Warrior,84.9691,49.7453,35.7188,12.2566,17.3102,1.9202,200,57.1773,282.3904,194.2395,294.3044,128.1847,95.1356,0.0271,0.0597,Population structure converged. Difference: 0.0063
3,3,50.2903,41.7547,Warrior,88.0610,51.5554,37.0185,17.9620,5.4031,1.9202,200,57.1773,174.6924,171.5688,280.3500,52.7515,61.2037,0.0308,0.0597,Population structure converged. Difference: 0.0063
3,4,52.1707,44.0915,Warrior,90.3480,52.8944,37.9799,13.0325,5.7452,1.9202,200,57.1773,117.5175,98.8171,159.0686,38.3555,31.0703,0.0374,0.0597,Population structure converged. Difference: 0.0063
