Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.7333,30.9974,Warrior,78.0535,79.3537,7.0235,33.3880,2.1813,1.9919,200,55.2161,382.7980,234.5959,317.9126,467.4571,286.7362,0.0460,0.0315,Population structure converged. Difference: 0.0390
1,1,48.8694,34.9458,Warrior,93.2108,69.0057,16.0810,10.1550,11.5475,1.9838,200,55.2161,319.4102,233.3013,260.8476,345.8689,256.2258,0.0496,0.0315,Population structure converged. Difference: 0.0390
1,2,50.5945,39.3141,Warrior,87.9259,65.0932,29.2118,6.8763,10.8928,1.9838,200,55.2161,249.4291,168.2614,331.0486,159.7549,228.9933,0.0407,0.0315,Population structure converged. Difference: 0.0390
1,3,50.5945,42.1848,Warrior,87.9259,65.0932,29.2118,6.8763,10.8928,1.9838,200,55.2161,165.4555,140.5984,341.4314,139.0817,196.7851,0.0227,0.0315,Population structure converged. Difference: 0.0390
1,4,51.9002,45.1314,Warrior,93.5076,59.0493,31.9254,7.5150,8.0026,1.9704,200,55.2161,113.2870,94.8535,242.5883,64.8585,137.6964,0.0106,0.0315,Population structure converged. Difference: 0.0390
1,5,52.7788,47.7009,Warrior,84.3350,67.2352,32.5894,7.6713,8.1691,1.9704,200,55.2161,101.7491,82.2953,152.6939,46.2096,96.0903,0.0057,0.0315,Population structure converged. Difference: 0.0390
1,6,54.1300,49.6896,Warrior,85.0003,67.7656,30.4111,10.5720,6.2510,1.8817,200,55.2161,70.3617,55.4157,90.4294,24.6252,21.8673,0.0015,0.0315,Population structure converged. Difference: 0.0390
1,7,54.2629,50.9211,Warrior,90.9262,72.4900,19.8010,7.5801,9.2028,1.8817,200,55.2161,44.0844,47.0076,65.1511,15.4546,6.0848,0.0012,0.0315,Population structure converged. Difference: 0.0390
1,8,55.0295,52.2943,Warrior,85.9438,68.5178,30.7487,7.1625,7.6272,1.8817,200,55.2161,20.1661,35.2005,39.9557,4.9161,5.1118,0.0011,0.0315,Population structure converged. Difference: 0.0390
1,9,55.2161,53.1427,Warrior,89.1095,67.0542,30.0919,7.5591,6.1854,1.8817,200,55.2161,7.5254,35.5180,37.0795,1.9722,2.6154,0.0017,0.0315,Population structure converged. Difference: 0.0390
2,0,47.5003,32.3657,Warrior,64.0343,57.7083,59.4881,5.1320,13.6374,1.8329,200,52.6358,395.5987,382.6668,518.1386,323.6186,321.5536,0.0330,0.0222,Population structure converged. Difference: 0.0363
2,1,51.4706,37.8895,Warrior,69.4767,55.3984,57.1069,4.9265,13.0915,1.9157,200,52.6358,228.8197,316.3760,485.2901,175.5684,130.0616,0.0465,0.0222,Population structure converged. Difference: 0.0363
2,2,51.4706,41.2300,Warrior,69.4767,55.3984,57.1069,4.9265,13.0915,1.9157,200,52.6358,195.4427,299.9031,433.7338,60.5376,72.3391,0.0388,0.0222,Population structure converged. Difference: 0.0363
2,3,51.5006,44.0977,Warrior,73.4384,98.5782,8.8374,0.2540,18.8920,1.8833,200,52.6358,122.2163,259.9138,327.9376,38.8555,43.8023,0.0127,0.0222,Population structure converged. Difference: 0.0363
2,4,52.5444,47.3139,Warrior,73.8550,99.1373,8.8875,4.9545,13.1658,1.9157,200,52.6358,44.2341,265.6202,325.5858,30.4808,33.4254,0.0013,0.0222,Population structure converged. Difference: 0.0363
2,5,52.5444,49.5639,Warrior,73.8550,99.1373,8.8875,4.9545,13.1658,1.9157,200,52.6358,20.8336,245.4074,305.6963,20.2829,22.8075,0.0006,0.0222,Population structure converged. Difference: 0.0363
