Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.2253,31.6547,Warrior,74.7345,77.8134,14.7851,9.8362,22.8308,1.9226,200,53.4489,328.1571,412.7551,378.0612,245.5131,334.4302,0.0444,0.0261,Population structure converged. Difference: 0.0286
1,1,49.2253,36.9169,Warrior,74.7345,77.8134,14.7851,9.8362,22.8308,1.9226,200,53.4489,209.9481,405.6957,348.6745,178.9765,201.0508,0.0475,0.0261,Population structure converged. Difference: 0.0286
1,2,49.7906,41.0741,Warrior,73.1499,72.8215,23.8174,18.6355,11.5757,1.9066,200,53.4489,128.7375,427.1823,238.7345,126.3131,162.1939,0.0350,0.0261,Population structure converged. Difference: 0.0286
1,3,50.5261,43.9222,Warrior,67.7324,79.8795,26.0779,9.2553,17.0549,1.9226,200,53.4489,147.0868,404.1322,194.6044,87.7394,138.7129,0.0101,0.0261,Population structure converged. Difference: 0.0286
1,4,52.0640,46.8708,Warrior,79.5309,79.1739,17.1744,11.4257,12.6951,1.8917,200,53.4489,66.4118,184.3549,87.8731,53.0980,84.0782,0.0002,0.0261,Population structure converged. Difference: 0.0286
1,5,53.0443,48.5895,Warrior,76.7848,76.4401,24.8617,9.8476,12.0658,1.9066,200,53.4489,54.5355,94.8652,47.3117,29.8795,51.6111,0.0002,0.0261,Population structure converged. Difference: 0.0286
1,6,53.0443,49.9554,Warrior,76.7848,76.4401,24.8617,9.8476,12.0658,1.9066,200,53.4489,16.9236,40.6616,20.7251,17.2753,19.1724,0.0002,0.0261,Population structure converged. Difference: 0.0286
1,7,53.4783,50.8891,Warrior,78.2817,77.9303,22.8928,9.4839,11.4111,1.9226,200,53.4489,17.2223,36.7298,18.5639,8.5378,17.5771,0.0001,0.0261,Population structure converged. Difference: 0.0286
1,8,53.4489,51.9621,Warrior,77.1815,76.8350,25.1301,9.0242,11.8292,1.9226,200,53.4489,9.9651,10.2526,10.4176,5.2681,4.6051,0.0001,0.0261,Population structure converged. Difference: 0.0286
2,0,44.0929,29.7877,Warrior,72.0857,68.6553,11.5170,22.8084,24.9337,1.8965,200,60.4526,370.5090,510.9355,475.7053,534.1203,467.8071,0.0379,0.0366,Population structure converged. Difference: 0.0305
