Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.4510,36.8898,Warrior,81.2390,58.8351,47.7847,1.7010,10.4402,1.9249,200,56.1160,493.7828,320.1602,233.7617,479.3802,392.5452,0.0382,0.0092,Population structure converged. Difference: 0.0443
1,1,55.7689,48.9121,Warrior,84.0902,58.4687,45.8034,1.6304,10.0073,1.9249,200,56.1160,246.7837,182.5281,70.7243,178.1084,279.7880,0.0173,0.0092,Population structure converged. Difference: 0.0443
1,2,56.1160,53.7371,Warrior,89.0798,61.9380,36.6540,1.7272,10.6011,1.9249,200,56.1160,68.0466,57.5557,22.3043,78.1758,56.5379,0.0019,0.0092,Population structure converged. Difference: 0.0443
2,0,50.4982,35.0817,Warrior,88.8788,47.6355,43.6246,16.7270,3.1342,1.9066,200,51.1256,458.8738,371.1401,380.0983,259.8994,482.9597,0.0455,0.0100,Population structure converged. Difference: 0.0412
2,1,50.4982,44.7983,Warrior,88.8788,47.6355,43.6246,16.7270,3.1342,1.9066,200,51.1256,347.6805,99.5019,176.6465,114.8296,314.6507,0.0248,0.0100,Population structure converged. Difference: 0.0412
2,2,51.1256,49.1003,Warrior,96.0345,35.3717,61.1845,4.0229,3.3865,1.9066,200,51.1256,91.8822,17.8623,36.5740,32.0287,94.5243,0.0096,0.0100,Population structure converged. Difference: 0.0412
3,0,52.0188,36.7760,Warrior,65.3474,72.9244,56.2687,2.3016,3.1579,1.8389,200,55.7717,258.6309,484.2192,261.9779,444.8543,547.5993,0.0246,0.0219,Population structure converged. Difference: 0.0372
3,1,55.1731,45.4671,Warrior,78.5553,87.6637,27.2181,2.7668,3.7961,1.8389,200,55.7717,128.2818,294.3659,185.1404,320.3306,339.9637,0.0133,0.0219,Population structure converged. Difference: 0.0372
3,2,54.3211,50.7169,Warrior,86.1864,59.8892,46.5905,2.8381,4.4958,1.8389,200,55.7717,51.5711,63.1191,53.5946,79.5427,36.2476,0.0006,0.0219,Population structure converged. Difference: 0.0372
3,3,55.3526,52.1221,Warrior,78.7660,87.8988,27.2911,2.5481,3.4961,1.8389,200,55.7717,30.0676,21.8663,34.4404,0.2920,0.0859,0.0001,0.0219,Population structure converged. Difference: 0.0372
3,4,55.5230,52.4488,Warrior,79.8748,87.0948,27.0415,2.5248,3.4641,1.8389,200,55.7717,25.5684,31.6450,35.9737,0.0249,0.0839,0.0000,0.0219,Population structure converged. Difference: 0.0372
3,5,55.6882,53.0259,Warrior,83.0420,77.0894,33.2077,2.8081,3.8528,1.8389,200,55.7717,42.3077,43.0772,49.9623,0.0433,0.1487,0.0000,0.0219,Population structure converged. Difference: 0.0372
3,6,55.7717,53.7719,Warrior,81.7474,85.7371,26.6199,2.4854,3.4101,1.8389,200,55.7717,47.3927,62.6618,73.7528,0.0460,0.2029,0.0000,0.0219,Population structure converged. Difference: 0.0372
4,0,51.1192,33.6872,Warrior,71.6029,76.9952,26.6114,2.9865,21.8040,1.8809,200,58.0457,325.4140,335.3851,512.2199,532.9370,285.4905,0.0410,0.0205,Population structure converged. Difference: 0.0339
4,1,52.6965,42.4885,Warrior,65.3533,85.2787,35.5863,5.9455,7.8361,1.8809,200,58.0457,160.1061,286.4958,390.3255,226.3618,173.4632,0.0399,0.0205,Population structure converged. Difference: 0.0339
4,2,56.9464,47.9414,Warrior,79.7264,81.3675,27.7586,2.7270,8.4204,1.9250,200,58.0457,38.3521,323.5315,402.9811,25.9540,66.0398,0.0222,0.0205,Population structure converged. Difference: 0.0339
4,3,57.4012,50.2421,Warrior,78.5529,84.7579,29.2943,0.3988,6.9961,1.8809,200,58.0457,27.6821,282.5784,367.0929,2.4630,49.1414,0.0095,0.0205,Population structure converged. Difference: 0.0339
4,4,57.5837,52.7478,Warrior,80.5365,83.4222,28.4596,0.4089,7.1727,1.8809,200,58.0457,35.0313,151.2447,160.8695,2.2002,47.3735,0.0048,0.0205,Population structure converged. Difference: 0.0339
4,5,57.8169,54.6725,Warrior,80.6613,82.3217,28.0841,0.4137,8.5192,1.9250,200,58.0457,28.4161,86.6814,66.5401,1.3333,36.8771,0.0050,0.0205,Population structure converged. Difference: 0.0339
4,6,58.0457,56.1440,Warrior,78.6708,80.1965,33.4656,0.4135,7.2536,1.9250,200,58.0457,14.6342,21.1452,10.9685,0.8797,13.6056,0.0004,0.0205,Population structure converged. Difference: 0.0339
