Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.3211,32.1447,Warrior,62.7791,47.2335,61.1406,4.1172,24.7295,1.9343,200,57.0695,360.8982,443.6214,331.1567,291.1922,439.3861,0.0303,0.0299,Population structure converged. Difference: 0.0394
1,1,47.8760,37.4664,Warrior,64.9589,51.0000,57.1005,3.8452,23.0954,1.9343,200,57.0695,259.3415,212.4387,317.0554,202.7521,285.2901,0.0260,0.0299,Population structure converged. Difference: 0.0394
1,2,51.7808,42.0095,Warrior,70.8779,53.3269,69.0281,4.6484,2.1187,1.9569,200,57.0695,90.9611,133.6240,364.3048,125.2924,161.3927,0.0165,0.0299,Population structure converged. Difference: 0.0394
1,3,53.9301,45.7307,Warrior,96.9766,53.5893,40.1753,6.3600,2.8988,1.9569,200,57.0695,61.3487,118.5243,356.8949,47.8575,74.9564,0.0083,0.0299,Population structure converged. Difference: 0.0394
1,4,55.9047,48.8079,Warrior,76.7445,72.3642,43.5641,5.0331,2.2941,1.9569,200,57.0695,50.3693,99.0782,279.8113,23.5041,74.4044,0.0031,0.0299,Population structure converged. Difference: 0.0394
1,5,55.7179,51.4823,Warrior,76.5131,72.1461,43.4328,5.0179,2.8901,1.9569,200,57.0695,65.7958,70.8357,180.0268,12.1802,54.0507,0.0002,0.0299,Population structure converged. Difference: 0.0394
1,6,56.2557,53.0067,Warrior,85.7682,58.3852,47.6661,5.6891,2.4915,1.9343,200,57.0695,144.1902,44.0196,112.8321,0.6417,14.5903,0.0003,0.0299,Population structure converged. Difference: 0.0394
1,7,56.7887,53.9903,Warrior,87.0196,66.4432,39.9996,4.4790,2.0585,1.9569,200,57.0695,140.3995,47.3863,62.5144,0.5617,6.8035,0.0004,0.0299,Population structure converged. Difference: 0.0394
1,8,57.0695,54.9054,Warrior,84.7129,61.8830,46.3931,4.9625,2.0485,1.9343,200,57.0695,86.3360,32.6376,44.5990,0.7529,1.3715,0.0005,0.0299,Population structure converged. Difference: 0.0394
2,0,47.4917,31.4049,Warrior,62.2139,63.6110,48.6386,17.6667,7.8697,1.8767,200,57.9479,287.8292,345.1401,351.3983,317.7588,299.9222,0.0331,0.0268,Population structure converged. Difference: 0.0477
2,1,52.5345,36.6367,Warrior,80.9826,59.1772,54.4278,3.6375,1.7748,1.8173,200,57.9479,195.6173,375.6643,309.6687,191.9063,237.2929,0.0367,0.0268,Population structure converged. Difference: 0.0477
2,2,52.5345,42.1113,Warrior,80.9826,59.1772,54.4278,3.6375,1.7748,1.8173,200,57.9479,106.6719,462.5185,422.6736,111.8659,175.2204,0.0358,0.0268,Population structure converged. Difference: 0.0477
2,3,53.6741,46.0526,Warrior,95.6701,69.9100,27.3576,4.7465,2.3158,1.8173,200,57.9479,96.2220,439.6023,386.9590,69.9892,167.5287,0.0181,0.0268,Population structure converged. Difference: 0.0477
2,4,53.8301,49.2644,Warrior,95.9297,70.0996,27.4318,4.7594,1.7796,1.8173,200,57.9479,113.7983,422.8336,226.5340,44.5221,89.5358,0.0031,0.0268,Population structure converged. Difference: 0.0477
