Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.1574,35.6898,Warrior,61.2859,94.1801,36.8386,0.7170,6.9784,1.7988,200,52.3805,200.6360,541.6139,318.2943,203.8301,419.2565,0.0261,0.0395,Population structure converged. Difference: 0.0088
1,1,51.0880,42.5701,Warrior,71.9029,83.2486,36.2704,0.7993,7.7788,1.7988,200,52.3805,36.4841,179.3877,119.0988,71.4394,70.9897,0.0102,0.0395,Population structure converged. Difference: 0.0088
1,2,51.1197,46.1215,Warrior,71.9490,83.3020,36.2937,0.8915,7.5637,1.7988,200,52.3805,11.3734,85.9631,4.3448,107.9575,1.0559,0.0007,0.0395,Population structure converged. Difference: 0.0088
1,3,51.7202,49.0072,Warrior,77.4026,74.3185,39.0447,0.8604,8.3738,1.7988,200,52.3805,28.8298,38.6945,3.9699,43.6326,0.3299,0.0000,0.0395,Population structure converged. Difference: 0.0088
1,4,51.7202,50.4766,Warrior,77.4026,74.3185,39.0447,0.8604,8.3738,1.7988,200,52.3805,16.4774,19.2012,2.4132,13.6119,0.2835,0.0000,0.0395,Population structure converged. Difference: 0.0088
1,5,52.0453,51.1946,Warrior,78.7534,75.6155,36.9034,0.8132,7.9145,1.7988,200,52.3805,6.7184,13.7275,1.3644,0.0025,0.2251,0.0000,0.0395,Population structure converged. Difference: 0.0088
1,6,52.2444,51.4721,Warrior,79.5225,76.3540,35.7897,0.7765,7.5573,1.7988,200,52.3805,6.9567,15.1809,1.6904,0.0023,0.3090,0.0000,0.0395,Population structure converged. Difference: 0.0088
1,7,52.3606,51.6972,Warrior,79.1818,76.0268,37.1042,0.8176,6.8696,1.7988,200,52.3805,4.8700,11.1351,2.0368,0.0018,0.2821,0.0000,0.0395,Population structure converged. Difference: 0.0088
1,8,52.3805,51.9239,Warrior,79.2044,76.0245,37.1554,0.8196,6.7961,1.7988,200,52.3805,3.0160,6.1313,1.6034,0.0011,0.3264,0.0000,0.0395,Population structure converged. Difference: 0.0088
2,0,50.6340,36.3724,Warrior,84.2110,45.2503,54.0725,2.0908,14.3755,1.8608,200,54.3787,376.5102,349.8680,474.7073,455.5337,448.0093,0.0319,0.0436,Population structure converged. Difference: 0.0082
