Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.6070,30.5765,Warrior,54.8395,63.6236,50.1876,2.7695,28.5798,1.9217,200,56.0242,249.0009,334.7873,425.0575,318.6394,403.2243,0.0432,0.0272,Population structure converged. Difference: 0.0332
1,1,50.4717,34.8346,Warrior,64.0842,77.0524,35.6967,9.2927,13.8740,1.8984,200,56.0242,122.7362,292.7579,379.3113,205.0390,283.2632,0.0397,0.0272,Population structure converged. Difference: 0.0332
1,2,50.4717,39.2377,Warrior,64.0842,77.0524,35.6967,9.2927,13.8740,1.8984,200,56.0242,63.9644,208.0423,234.0531,255.3674,203.2215,0.0360,0.0272,Population structure converged. Difference: 0.0332
1,3,51.6030,44.5333,Warrior,68.0778,61.4588,60.7045,3.3499,6.4089,1.8519,200,56.0242,33.7561,130.8707,79.6078,116.3963,85.1697,0.0122,0.0272,Population structure converged. Difference: 0.0332
1,4,53.1120,47.2144,Warrior,69.8929,63.7729,50.3053,2.7760,13.2528,1.8984,200,56.0242,35.0714,115.5150,94.0006,23.5710,66.1843,0.0017,0.0272,Population structure converged. Difference: 0.0332
1,5,53.2702,49.3051,Warrior,73.2434,64.9911,51.2662,3.6041,6.8952,1.8519,200,56.0242,26.9030,92.3242,78.3610,10.8932,53.9639,0.0004,0.0272,Population structure converged. Difference: 0.0332
1,6,53.5335,50.9048,Warrior,68.0778,61.4588,60.7045,3.3499,6.4089,1.9217,200,56.0242,25.7351,74.5402,81.5025,9.6437,26.8314,0.0006,0.0272,Population structure converged. Difference: 0.0332
1,7,56.0242,52.4495,Warrior,85.6364,61.1242,41.6956,3.4818,8.0619,1.8984,200,56.0242,16.0069,29.4340,46.7764,4.0861,19.1489,0.0006,0.0272,Population structure converged. Difference: 0.0332
1,8,56.0242,53.2713,Warrior,85.6364,61.1242,41.6956,3.4818,8.0619,1.8984,200,56.0242,9.8234,12.1941,15.4569,0.5349,11.0234,0.0009,0.0272,Population structure converged. Difference: 0.0332
1,9,56.0242,54.2247,Warrior,85.6364,61.1242,41.6956,3.4818,8.0619,1.8984,200,56.0242,13.9897,8.8810,15.8846,0.1370,5.3422,0.0008,0.0272,Population structure converged. Difference: 0.0332
2,0,45.8826,31.6148,Warrior,64.7130,40.6311,69.5260,6.2004,18.9294,1.8995,200,57.4914,334.4202,387.6058,447.0963,337.6877,400.6192,0.0382,0.0219,Population structure converged. Difference: 0.0474
