Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.0038,28.3697,Warrior,68.2774,49.4365,60.3303,5.2506,16.7052,1.8579,200,55.5142,604.7340,473.5755,721.8227,449.2191,405.8864,0.0405,0.0473,Population structure converged. Difference: 0.0093
1,1,48.0038,32.9572,Warrior,68.2774,49.4365,60.3303,5.2506,16.7052,1.8579,200,55.5142,477.0873,441.8376,690.9929,359.3240,349.5154,0.0403,0.0473,Population structure converged. Difference: 0.0093
1,2,48.9248,36.7756,Warrior,66.1572,81.2887,26.7454,6.1720,19.6367,1.8579,200,55.5142,268.4877,350.5248,723.4744,256.1907,237.3734,0.0362,0.0473,Population structure converged. Difference: 0.0093
1,3,50.3126,41.5126,Warrior,65.6650,82.1407,33.2559,10.0460,8.8923,1.9632,200,55.5142,106.2466,283.2722,504.2515,164.1061,173.7365,0.0222,0.0473,Population structure converged. Difference: 0.0093
1,4,50.9969,45.1570,Warrior,71.7365,53.1008,64.8021,5.6398,4.7207,1.9632,200,55.5142,51.8779,211.5346,320.6738,67.4015,81.8443,0.0091,0.0473,Population structure converged. Difference: 0.0093
1,5,53.1379,47.0269,Warrior,68.6076,85.8216,34.7461,5.8925,4.9323,1.9632,200,55.5142,46.5615,229.5364,348.9382,30.4564,50.7301,0.0040,0.0473,Population structure converged. Difference: 0.0093
1,6,53.2353,48.6403,Warrior,68.6076,85.8216,34.7461,5.8925,4.9323,1.8579,200,55.5142,45.5152,243.1105,324.1974,4.9395,32.8664,0.0015,0.0473,Population structure converged. Difference: 0.0093
1,7,54.0850,50.1138,Warrior,72.9947,87.5435,28.8033,5.5678,5.0906,1.9632,200,55.5142,36.1385,211.6285,236.7694,4.4237,29.9957,0.0024,0.0473,Population structure converged. Difference: 0.0093
1,8,54.0850,51.4338,Warrior,72.9947,87.5435,28.8033,5.5678,5.0906,1.9632,200,55.5142,38.0179,112.8130,117.4776,3.7860,35.8984,0.0028,0.0473,Population structure converged. Difference: 0.0093
1,9,54.4218,52.4561,Warrior,76.5564,81.0487,30.5910,6.4255,5.3784,1.9632,200,55.5142,28.9017,79.4424,73.7387,3.7196,25.7684,0.0027,0.0473,Population structure converged. Difference: 0.0093
1,10,54.7575,53.1955,Warrior,81.9943,72.0231,34.0384,6.5019,5.4423,1.9632,200,55.5142,23.6954,50.6201,42.2024,1.8588,14.3087,0.0026,0.0473,Population structure converged. Difference: 0.0093
1,11,55.3048,53.7287,Warrior,84.5155,74.2377,29.9634,5.8722,5.4112,1.8579,200,55.5142,17.6255,44.0697,16.8044,0.5940,4.0592,0.0023,0.0473,Population structure converged. Difference: 0.0093
1,12,55.3048,54.0373,Warrior,84.5155,74.2377,29.9634,5.8722,5.4112,1.8579,200,55.5142,21.9709,52.1706,17.1338,0.6962,3.0762,0.0022,0.0473,Population structure converged. Difference: 0.0093
1,13,55.3648,54.4085,Warrior,83.6075,71.7472,33.9080,5.3842,5.3531,1.8579,200,55.5142,19.2748,47.3954,18.7635,0.5142,2.1953,0.0022,0.0473,Population structure converged. Difference: 0.0093
1,14,55.4217,54.7702,Warrior,84.6303,74.3385,30.3608,5.4634,5.2069,1.9632,200,55.5142,17.4054,43.4392,18.7337,0.3015,0.5766,0.0024,0.0473,Population structure converged. Difference: 0.0093
1,15,55.5142,55.0024,Warrior,85.6795,75.2601,28.1989,5.4510,5.4105,1.8579,200,55.5142,16.2049,35.2438,17.9656,0.0764,0.1952,0.0028,0.0473,Population structure converged. Difference: 0.0093
2,0,43.4182,29.6421,Warrior,64.8282,73.1845,35.5112,13.9129,12.5633,1.4383,200,54.5764,577.9584,539.7682,534.3607,455.2185,451.1697,0.0330,0.0346,Population structure converged. Difference: 0.0099
2,1,46.3322,35.4344,Warrior,78.4361,60.2452,41.2320,5.7758,14.3108,1.4383,200,54.5764,380.4348,599.7455,404.4711,257.3813,240.8635,0.0323,0.0346,Population structure converged. Difference: 0.0099
2,2,50.1097,39.7152,Warrior,84.5190,64.9174,44.4296,3.7320,2.4020,1.4383,200,54.5764,241.5045,329.1844,303.7305,144.7069,64.2839,0.0276,0.0346,Population structure converged. Difference: 0.0099
2,3,50.1097,42.5181,Warrior,84.5190,64.9174,44.4296,3.7320,2.4020,1.4383,200,54.5764,168.7724,193.9893,209.6405,68.9659,41.8932,0.0240,0.0346,Population structure converged. Difference: 0.0099
2,4,53.6598,44.6196,Warrior,83.6013,65.4333,44.7827,3.7616,2.4211,1.8190,200,54.5764,126.4904,174.8323,176.7069,58.3180,28.0458,0.0218,0.0346,Population structure converged. Difference: 0.0099
2,5,54.5014,46.5639,Warrior,88.1211,67.6840,39.0691,2.8186,2.3072,1.8190,200,54.5764,90.1990,134.7733,125.3466,37.3757,20.9884,0.0262,0.0346,Population structure converged. Difference: 0.0099
2,6,54.5014,48.6406,Warrior,88.1211,67.6840,39.0691,2.8186,2.3072,1.8190,200,54.5764,68.4963,95.8878,70.8000,32.9211,14.8529,0.0303,0.0346,Population structure converged. Difference: 0.0099
2,7,54.5015,50.4677,Warrior,87.5337,68.0394,39.2742,2.8334,2.3193,1.8190,200,54.5764,50.1264,65.1451,37.2836,22.4920,10.3991,0.0326,0.0346,Population structure converged. Difference: 0.0099
2,8,54.5186,51.7369,Warrior,87.6354,68.1184,39.1145,2.8218,2.3099,1.8190,200,54.5764,44.2608,50.8096,19.6406,9.6692,12.7289,0.0296,0.0346,Population structure converged. Difference: 0.0099
2,9,54.5458,52.9434,Warrior,86.3929,69.2296,39.2306,2.8302,2.3167,1.8190,200,54.5764,34.3214,25.7552,9.6040,4.8036,3.5365,0.0208,0.0346,Population structure converged. Difference: 0.0099
2,10,54.5764,54.0390,Warrior,89.3141,68.6571,36.7926,2.8792,2.3569,1.8190,200,54.5764,22.3833,17.4742,5.1156,0.1682,1.2574,0.0056,0.0346,Population structure converged. Difference: 0.0099
3,0,46.0585,29.0579,Warrior,109.4651,60.9154,11.0980,14.6825,3.8390,1.9866,200,57.5882,528.7987,407.1777,349.4887,494.7020,549.3150,0.0362,0.0444,Population structure converged. Difference: 0.0071
3,1,51.3434,32.3071,Warrior,81.3401,79.8390,14.5456,19.2437,5.0316,1.8824,200,57.5882,478.0981,381.0305,379.2734,338.1178,484.2252,0.0354,0.0444,Population structure converged. Difference: 0.0071
3,2,51.6441,36.0839,Warrior,81.2806,79.7805,14.5350,19.2296,5.1743,1.9344,200,57.5882,471.9127,333.3895,422.2266,245.8472,382.1976,0.0341,0.0444,Population structure converged. Difference: 0.0071
3,3,52.1082,40.2762,Warrior,79.0331,49.1883,59.0784,8.2284,4.4717,1.8824,200,57.5882,380.0999,304.8369,461.8120,115.1861,330.8701,0.0239,0.0444,Population structure converged. Difference: 0.0071
3,4,55.4949,44.9610,Warrior,79.1312,73.8525,34.3262,7.9468,4.7433,1.8824,200,57.5882,265.4621,283.1656,441.9638,65.2681,156.0341,0.0183,0.0444,Population structure converged. Difference: 0.0071
3,5,56.0047,48.7329,Warrior,80.4164,73.0672,33.9612,7.8623,4.6929,1.9344,200,57.5882,141.1480,238.3623,380.7342,48.5376,53.3548,0.0080,0.0444,Population structure converged. Difference: 0.0071
3,6,56.8427,50.8797,Warrior,84.5878,83.0267,21.2554,5.7453,5.3848,1.9344,200,57.5882,100.8655,161.9634,324.3651,30.2039,13.8258,0.0050,0.0444,Population structure converged. Difference: 0.0071
3,7,56.8427,52.6402,Warrior,84.5878,83.0267,21.2554,5.7453,5.3848,1.9344,200,57.5882,53.4665,119.2320,195.9699,24.0633,8.5435,0.0038,0.0444,Population structure converged. Difference: 0.0071
3,8,57.0275,53.8012,Warrior,84.8280,83.2625,21.3158,5.7616,4.8321,1.9344,200,57.5882,50.6897,95.9842,137.0686,17.8458,5.2231,0.0036,0.0444,Population structure converged. Difference: 0.0071
3,9,57.0298,55.5396,Warrior,84.9420,83.1056,21.3444,5.7694,4.8386,1.9344,200,57.5882,17.7280,47.5006,62.9059,8.4527,2.1006,0.0003,0.0444,Population structure converged. Difference: 0.0071
3,10,57.1999,56.0868,Warrior,91.5813,75.5341,22.8575,6.1783,3.8488,1.9344,200,57.5882,11.6613,35.8151,45.3158,5.2248,1.4716,0.0003,0.0444,Population structure converged. Difference: 0.0071
3,11,57.3532,56.5887,Warrior,91.7689,75.6888,22.9043,5.7814,3.8567,1.9344,200,57.5882,6.9049,24.5679,26.2575,2.1243,0.7716,0.0001,0.0444,Population structure converged. Difference: 0.0071
3,12,57.5033,56.8270,Warrior,86.7830,82.6814,21.1670,5.7214,3.6471,1.9344,200,57.5882,7.4256,20.0944,14.8681,1.1826,0.6208,0.0001,0.0444,Population structure converged. Difference: 0.0071
3,13,57.5675,56.9942,Warrior,88.8330,79.6542,22.1716,5.6079,3.7333,1.9344,200,57.5882,7.9063,13.7212,6.0855,0.8613,0.6720,0.0000,0.0444,Population structure converged. Difference: 0.0071
3,14,57.5882,57.1825,Warrior,88.6848,79.8921,22.1346,5.5614,3.7271,1.9344,200,57.5882,8.2518,9.8912,3.3157,0.2656,0.3757,0.0000,0.0444,Population structure converged. Difference: 0.0071
4,0,43.1882,30.8841,Warrior,80.4606,48.3277,33.7557,34.3399,3.1161,1.8612,200,58.4851,322.2938,316.7275,366.3320,341.3594,360.6110,0.0387,0.0445,Population structure converged. Difference: 0.0087
4,1,43.9463,34.9056,Warrior,67.7704,49.6452,44.9445,21.0331,16.6069,1.9658,200,58.4851,267.7234,207.4550,273.7084,298.2649,303.5711,0.0389,0.0445,Population structure converged. Difference: 0.0087
4,2,51.4739,38.7920,Warrior,84.0493,50.4832,51.2777,10.9348,3.2551,1.8612,200,58.4851,175.7066,154.6917,184.8608,147.3447,221.9100,0.0330,0.0445,Population structure converged. Difference: 0.0087
4,3,51.9635,42.1144,Warrior,85.8863,51.5866,48.7954,10.4054,3.3262,1.8612,200,58.4851,138.5945,115.8342,123.9226,124.2037,132.4119,0.0259,0.0445,Population structure converged. Difference: 0.0087
4,4,56.3463,45.1580,Warrior,101.8903,72.9591,20.1701,1.4388,3.5418,1.9658,200,58.4851,62.5442,57.3391,113.4895,104.9014,71.6107,0.0153,0.0445,Population structure converged. Difference: 0.0087
4,5,57.6075,47.8390,Warrior,93.3744,79.2919,21.9208,1.5637,3.8492,1.8612,200,58.4851,69.0717,43.1360,108.6405,80.7889,56.1435,0.0093,0.0445,Population structure converged. Difference: 0.0087
4,6,57.6075,50.0903,Warrior,93.3744,79.2919,21.9208,1.5637,3.8492,1.8612,200,58.4851,89.5045,60.9525,116.4139,46.0539,56.8274,0.0061,0.0445,Population structure converged. Difference: 0.0087
4,7,57.8935,52.0365,Warrior,91.4548,81.2828,22.4712,1.6029,3.1882,1.8612,200,58.4851,91.6228,102.0751,139.2939,45.5421,32.4050,0.0038,0.0445,Population structure converged. Difference: 0.0087
4,8,57.8571,53.8132,Warrior,91.9128,81.6898,21.5823,1.6110,3.2041,1.8612,200,58.4851,68.9894,162.5433,178.2832,38.3234,14.0477,0.0015,0.0445,Population structure converged. Difference: 0.0087
