Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.2234,29.8211,Warrior,74.9765,74.5284,32.3050,1.8952,16.2948,1.4024,200,60.0622,241.9648,731.1713,587.8688,394.9980,467.6958,0.0432,0.0704,Population structure converged. Difference: 0.0080
1,1,58.7876,33.6476,Warrior,80.3459,77.2422,37.7263,2.4685,2.2171,1.8953,200,60.0622,240.0616,483.8048,358.9403,394.0335,422.4286,0.0421,0.0704,Population structure converged. Difference: 0.0080
1,2,58.6726,37.1767,Warrior,78.1344,77.6674,39.3152,2.5725,2.3105,1.9130,200,60.0622,178.3813,347.5910,310.5599,325.5797,303.0976,0.0416,0.0704,Population structure converged. Difference: 0.0080
1,3,58.7668,41.0284,Warrior,79.4961,75.5355,40.0004,2.6173,2.3508,1.9130,200,60.0622,156.5859,234.5083,234.0719,242.9694,196.5107,0.0490,0.0704,Population structure converged. Difference: 0.0080
1,4,59.0282,45.0972,Warrior,81.5040,76.4014,37.0010,2.6834,2.4101,1.9130,200,60.0622,103.8070,242.8561,158.2620,145.7707,123.7736,0.0450,0.0704,Population structure converged. Difference: 0.0080
1,5,59.0929,48.5369,Warrior,80.8417,74.9671,39.6994,2.1013,2.3906,1.9130,200,60.0622,92.0239,180.1249,96.7499,66.6043,89.5193,0.0378,0.0704,Population structure converged. Difference: 0.0080
1,6,59.4635,51.1656,Warrior,82.7349,79.5389,33.2656,2.0867,2.3740,1.9130,200,60.0622,70.7109,94.4742,53.1104,35.3914,53.9271,0.0241,0.0704,Population structure converged. Difference: 0.0080
1,7,59.5844,53.5285,Warrior,81.4105,75.4946,39.9787,1.9790,1.1372,1.9130,200,60.0622,55.7970,46.3587,37.9821,16.8513,49.0445,0.0145,0.0704,Population structure converged. Difference: 0.0080
1,8,59.6442,55.4041,Warrior,82.1507,74.9968,39.7151,1.9925,1.1449,1.9130,200,60.0622,38.1538,28.0006,25.5003,5.9848,53.1225,0.0046,0.0704,Population structure converged. Difference: 0.0080
1,9,59.9509,56.5626,Warrior,83.6997,79.9100,33.1938,2.0300,1.1665,1.9130,200,60.0622,15.9815,10.5698,12.7601,0.0998,41.4698,0.0004,0.0704,Population structure converged. Difference: 0.0080
1,10,60.0406,57.5017,Warrior,85.2260,77.8043,33.7991,1.9829,1.1878,1.9130,200,60.0622,14.1696,9.4395,12.9681,0.0945,37.9761,0.0004,0.0704,Population structure converged. Difference: 0.0080
1,11,60.0482,58.4264,Warrior,85.4736,78.0303,33.2902,2.0359,1.1699,1.9130,200,60.0622,11.2527,13.2801,10.6536,0.0752,23.6294,0.0001,0.0704,Population structure converged. Difference: 0.0080
1,12,60.0482,58.9580,Warrior,85.4736,78.0303,33.2902,2.0359,1.1699,1.9130,200,60.0622,7.2315,10.1195,7.3005,0.0365,16.7239,0.0001,0.0704,Population structure converged. Difference: 0.0080
1,13,60.0502,59.3986,Warrior,85.4760,78.0325,33.2911,2.0360,1.1644,1.9130,200,60.0622,4.1236,5.6271,6.6963,0.0276,5.9970,0.0000,0.0704,Population structure converged. Difference: 0.0080
