Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.4623,30.1774,Warrior,61.3030,52.4629,59.6001,10.3975,16.2366,1.9889,200,58.2865,539.2261,411.5097,337.5687,366.0319,495.2096,0.0443,0.0623,Population structure converged. Difference: 0.0083
1,1,46.4505,32.1942,Warrior,76.4801,50.6124,39.1031,15.5725,18.2319,1.9597,200,58.2865,376.9361,386.5621,301.8804,375.6269,415.4391,0.0495,0.0623,Population structure converged. Difference: 0.0083
1,2,47.8875,35.0822,Warrior,68.5977,47.0795,58.2790,10.1670,15.8767,1.9018,200,58.2865,209.9007,378.3826,329.2041,278.6939,305.1493,0.0494,0.0623,Population structure converged. Difference: 0.0083
1,3,48.6744,38.7058,Warrior,64.9299,100.8074,9.6115,9.6234,15.0278,1.9018,200,58.2865,143.7881,397.1201,280.2805,136.1346,225.7816,0.0349,0.0623,Population structure converged. Difference: 0.0083
1,4,50.2593,41.4350,Warrior,57.8159,74.4928,56.2098,7.9041,3.5774,1.9319,200,58.2865,135.6752,481.5282,319.0169,88.8903,175.1862,0.0268,0.0623,Population structure converged. Difference: 0.0083
1,5,51.7483,43.2559,Warrior,62.5019,71.2917,53.7943,8.5447,3.8674,1.9319,200,58.2865,111.1125,617.1369,394.6257,39.4022,184.9029,0.0116,0.0623,Population structure converged. Difference: 0.0083
1,6,52.5118,45.1891,Warrior,89.7377,83.9045,10.7654,10.7788,4.8135,1.9711,200,58.2865,159.5739,469.2034,372.5542,25.7287,129.9369,0.0107,0.0623,Population structure converged. Difference: 0.0083
1,7,53.6273,47.0663,Warrior,81.1893,52.9857,53.2933,8.6270,3.9046,1.9319,200,58.2865,122.3580,412.2935,395.6877,20.8368,99.7533,0.0174,0.0623,Population structure converged. Difference: 0.0083
1,8,56.4133,48.5922,Warrior,84.2549,63.3008,42.6122,6.7686,3.0635,1.9319,200,58.2865,137.4872,295.9788,400.3307,12.3737,107.5071,0.0042,0.0623,Population structure converged. Difference: 0.0083
1,9,56.2739,50.7472,Warrior,86.3750,71.3435,29.4379,8.2105,4.6331,1.9018,200,58.2865,124.8843,257.4199,370.4258,9.8668,35.8435,0.0008,0.0623,Population structure converged. Difference: 0.0083
1,10,56.7023,52.1995,Warrior,76.1172,77.7156,36.8076,5.8465,3.5130,1.9319,200,58.2865,109.5565,205.1450,324.9957,7.8249,21.7222,0.0008,0.0623,Population structure converged. Difference: 0.0083
1,11,56.7023,53.4052,Warrior,76.1172,77.7156,36.8076,5.8465,3.5130,1.9319,200,58.2865,104.6424,133.2466,316.6591,5.1845,6.7296,0.0008,0.0623,Population structure converged. Difference: 0.0083
1,12,57.1998,54.5243,Warrior,92.9054,86.8663,11.1455,6.3443,2.7386,1.9319,200,58.2865,71.4822,100.4835,248.6898,3.8692,6.4565,0.0007,0.0623,Population structure converged. Difference: 0.0083
1,13,57.7971,55.4710,Warrior,79.9543,74.7571,38.0854,5.0313,2.1718,1.9319,200,58.2865,46.1635,81.3078,177.5930,2.6948,0.7114,0.0006,0.0623,Population structure converged. Difference: 0.0083
1,14,58.0751,56.0346,Warrior,82.7793,77.3984,32.2582,5.1239,2.4401,1.9319,200,58.2865,39.8327,68.2930,145.6130,2.4796,0.4547,0.0004,0.0623,Population structure converged. Difference: 0.0083
