Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.0170,31.0197,Warrior,70.4426,62.8083,42.8439,18.5416,5.3636,1.9378,200,55.9826,329.7523,532.2246,409.0969,414.8411,530.1258,0.0481,0.0306,Population structure converged. Difference: 0.0073
1,1,53.8270,38.1615,Warrior,68.2266,65.1771,57.4329,3.9686,5.1949,1.9378,200,55.9826,176.1013,436.2933,276.2752,198.4629,456.9495,0.0361,0.0306,Population structure converged. Difference: 0.0073
1,2,55.2532,43.8851,Warrior,71.5458,70.6512,48.1938,4.1617,5.4476,1.9378,200,55.9826,59.5621,296.0370,166.8206,157.8196,224.4840,0.0244,0.0306,Population structure converged. Difference: 0.0073
1,3,55.5056,47.8749,Warrior,74.8000,66.6936,48.5124,4.3283,5.6657,1.9378,200,55.9826,57.7544,96.8683,99.8717,97.4390,123.1052,0.0103,0.0306,Population structure converged. Difference: 0.0073
1,4,55.8852,50.6042,Warrior,76.0480,67.8063,46.2532,4.2844,5.6082,1.9378,200,55.9826,48.4373,49.5541,57.4794,65.4706,66.3538,0.0009,0.0306,Population structure converged. Difference: 0.0073
1,5,55.8852,52.1523,Warrior,76.0480,67.8063,46.2532,4.2844,5.6082,1.9378,200,55.9826,56.7292,42.7019,48.1581,45.5278,75.0920,0.0009,0.0306,Population structure converged. Difference: 0.0073
1,6,55.8852,54.0084,Warrior,76.0480,67.8063,46.2532,4.2844,5.6082,1.9378,200,55.9826,20.5593,17.0426,30.4819,16.4805,1.8005,0.0004,0.0306,Population structure converged. Difference: 0.0073
1,7,55.9853,54.7925,Warrior,76.1559,67.9025,46.3188,4.1676,5.4553,1.9378,200,55.9826,10.5605,8.2171,16.5551,6.0057,0.0819,0.0000,0.0306,Population structure converged. Difference: 0.0073
1,8,55.9853,55.2025,Warrior,76.1559,67.9025,46.3188,4.1676,5.4553,1.9378,200,55.9826,8.1783,3.2834,12.5414,2.7555,0.0594,0.0000,0.0306,Population structure converged. Difference: 0.0073
1,9,55.9826,55.5785,Warrior,76.1372,67.9127,46.3258,4.1682,5.4561,1.9378,200,55.9826,4.0800,1.2949,6.0279,0.0057,0.0197,0.0000,0.0306,Population structure converged. Difference: 0.0073
