Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.1078,32.8526,Warrior,68.5560,64.8191,28.3803,24.2861,13.9584,1.9446,200,55.4326,328.9418,435.4787,310.5063,530.7418,315.9132,0.0346,0.0277,Population structure converged. Difference: 0.0369
1,1,49.5645,38.6872,Warrior,66.2079,75.3848,31.8927,13.0342,13.4803,1.9446,200,55.4326,174.6723,388.1612,249.8501,249.6556,230.7555,0.0314,0.0277,Population structure converged. Difference: 0.0369
1,2,49.5645,42.9507,Warrior,66.2079,75.3848,31.8927,13.0342,13.4803,1.9446,200,55.4326,62.5274,238.4123,162.1135,72.7986,191.0417,0.0163,0.0277,Population structure converged. Difference: 0.0369
1,3,54.4842,45.3099,Warrior,79.7670,77.7155,24.4782,4.2897,13.7496,1.9329,200,55.4326,45.0825,148.6932,78.1294,54.3640,178.3436,0.0073,0.0277,Population structure converged. Difference: 0.0369
1,4,55.1332,47.5956,Warrior,80.5170,78.4462,24.7084,1.6834,14.6450,1.9329,200,55.4326,59.2801,107.9279,64.2968,27.3427,123.9525,0.0058,0.0277,Population structure converged. Difference: 0.0369
1,5,55.1332,50.0703,Warrior,80.5170,78.4462,24.7084,1.6834,14.6450,1.9329,200,55.4326,44.2509,88.9602,43.8565,21.9850,79.7499,0.0031,0.0277,Population structure converged. Difference: 0.0369
1,6,55.4326,52.1862,Warrior,80.8740,78.7940,24.8180,1.6909,13.8231,1.9329,200,55.4326,35.3807,48.1393,18.2938,12.1011,57.3216,0.0016,0.0277,Population structure converged. Difference: 0.0369
1,7,55.4326,53.4595,Warrior,80.8740,78.7940,24.8180,1.6909,13.8231,1.9329,200,55.4326,25.4472,26.4373,5.8905,8.6629,27.0199,0.0007,0.0277,Population structure converged. Difference: 0.0369
2,0,51.7272,34.0581,Warrior,87.1583,48.1982,51.2152,4.5133,8.9150,1.8567,200,53.8571,649.2233,295.8887,424.7527,444.9968,346.9662,0.0398,0.0185,Population structure converged. Difference: 0.0408
2,1,53.6232,42.8271,Warrior,78.0375,64.0838,45.8557,4.0410,7.9821,1.8512,200,53.8571,505.6023,141.7100,146.6714,303.9225,274.0075,0.0256,0.0185,Population structure converged. Difference: 0.0408
2,2,53.6232,49.1807,Warrior,78.0375,64.0838,45.8557,4.0410,7.9821,1.8512,200,53.8571,174.6440,46.3388,70.3932,109.2122,87.0231,0.0057,0.0185,Population structure converged. Difference: 0.0408
2,3,53.8571,51.1708,Warrior,80.7928,62.6360,44.8197,3.9497,7.8017,1.8512,200,53.8571,34.8816,31.5706,5.1279,1.1075,29.3557,0.0046,0.0185,Population structure converged. Difference: 0.0408
2,4,53.8571,51.7448,Warrior,80.7928,62.6360,44.8197,3.9497,7.8017,1.8512,200,53.8571,22.4231,20.1479,3.1486,0.5633,19.0920,0.0000,0.0185,Population structure converged. Difference: 0.0408
