Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.1929,30.3702,Warrior,61.1091,60.6197,58.2259,7.7704,12.2750,1.9229,200,54.7624,410.9227,347.4849,290.2517,432.8797,409.8716,0.0445,0.0370,Population structure converged. Difference: 0.0088
1,1,49.1929,33.6122,Warrior,61.1091,60.6197,58.2259,7.7704,12.2750,1.9229,200,54.7624,284.2224,313.3790,276.4637,385.4698,324.8697,0.0517,0.0370,Population structure converged. Difference: 0.0088
1,2,53.7628,37.7419,Warrior,74.9457,60.0370,50.7469,8.3085,5.9619,1.9229,200,54.7624,163.7501,255.2275,162.5569,313.1921,238.3170,0.0456,0.0370,Population structure converged. Difference: 0.0088
1,3,53.7628,42.8956,Warrior,74.9457,60.0370,50.7469,8.3085,5.9619,1.9229,200,54.7624,68.7049,186.6386,95.8046,139.3064,137.4408,0.0305,0.0370,Population structure converged. Difference: 0.0088
1,4,54.5325,45.8690,Warrior,78.2524,62.6860,44.3817,8.5469,6.1329,1.9229,200,54.7624,58.5135,141.3791,58.3284,85.3144,92.5837,0.0152,0.0370,Population structure converged. Difference: 0.0088
1,5,54.6255,49.4372,Warrior,78.3458,62.7608,44.4347,8.3184,6.1403,1.9229,200,54.7624,54.0094,68.9556,32.9525,35.4424,41.8789,0.0029,0.0370,Population structure converged. Difference: 0.0088
1,6,54.6255,50.8076,Warrior,78.3458,62.7608,44.4347,8.3184,6.1403,1.9229,200,54.7624,53.9164,43.2773,32.5118,19.5097,38.7055,0.0005,0.0370,Population structure converged. Difference: 0.0088
1,7,54.6255,52.5623,Warrior,78.3458,62.7608,44.4347,8.3184,6.1403,1.9229,200,54.7624,37.7786,25.4121,25.3890,12.6916,7.5782,0.0000,0.0370,Population structure converged. Difference: 0.0088
1,8,54.7624,53.3445,Warrior,78.5608,62.9331,44.5192,8.5734,5.4135,1.9229,200,54.7624,24.1911,7.3454,18.4963,6.0949,5.7645,0.0000,0.0370,Population structure converged. Difference: 0.0088
1,9,54.7624,54.0462,Warrior,78.5608,62.9331,44.5192,8.5734,5.4135,1.9229,200,54.7624,11.8911,4.1376,12.1693,1.3181,2.6038,0.0000,0.0370,Population structure converged. Difference: 0.0088
1,10,54.7624,54.2837,Warrior,78.5608,62.9331,44.5192,8.5734,5.4135,1.9229,200,54.7624,7.8856,2.8630,6.0902,1.2606,1.1896,0.0000,0.0370,Population structure converged. Difference: 0.0088
2,0,52.4258,32.0763,Warrior,88.0145,86.3961,3.5922,10.3138,11.6834,1.9067,200,58.6794,430.0681,461.5053,495.9613,444.8260,268.4896,0.0423,0.0688,Population structure converged. Difference: 0.0073
2,1,55.0942,38.7221,Warrior,95.1781,58.2403,33.3709,0.5763,12.6344,1.9067,200,58.6794,365.7584,498.0423,451.0500,301.0796,245.8870,0.0284,0.0688,Population structure converged. Difference: 0.0073
2,2,56.1193,44.8377,Warrior,78.9055,73.1403,34.3542,0.5933,13.0066,1.9067,200,58.6794,276.1700,333.1346,370.3862,110.5646,92.5880,0.0161,0.0688,Population structure converged. Difference: 0.0073
2,3,56.1497,48.1418,Warrior,79.3022,73.5079,33.5387,0.5792,13.0720,1.9067,200,58.6794,214.6472,178.9340,316.3713,73.0269,46.6676,0.0130,0.0688,Population structure converged. Difference: 0.0073
2,4,56.5583,50.9161,Warrior,85.5347,69.7121,31.8068,0.5493,12.3970,1.9067,200,58.6794,120.9978,133.5396,244.5394,58.7410,20.6999,0.0061,0.0688,Population structure converged. Difference: 0.0073
2,5,57.3549,53.3656,Warrior,81.3496,65.4178,44.7670,0.5870,7.8785,1.9067,200,58.6794,82.3558,122.7817,208.9762,26.7377,4.4240,0.0021,0.0688,Population structure converged. Difference: 0.0073
2,6,57.4291,54.7292,Warrior,77.2657,71.6202,42.9855,0.5636,7.5650,1.9067,200,58.6794,50.3331,82.9227,159.3029,18.7661,3.2384,0.0014,0.0688,Population structure converged. Difference: 0.0073
2,7,58.0097,55.9392,Warrior,84.4526,78.2820,28.0440,0.6140,8.6074,1.9067,200,58.6794,30.2101,29.6320,57.8766,8.8035,3.1013,0.0001,0.0688,Population structure converged. Difference: 0.0073
2,8,58.2139,56.5666,Warrior,81.3303,75.3879,35.4099,0.6116,7.2603,1.9067,200,58.6794,17.4107,22.1839,44.4329,2.9918,4.8717,0.0002,0.0688,Population structure converged. Difference: 0.0073
2,9,58.3742,56.8511,Warrior,84.4402,78.2706,29.1164,0.6349,7.5379,1.9067,200,58.6794,17.2628,21.9931,56.9439,1.6706,4.4055,0.0002,0.0688,Population structure converged. Difference: 0.0073
2,10,58.6794,57.3728,Warrior,84.8191,78.6055,29.2409,0.6377,6.6969,1.9067,200,58.6794,14.9820,14.4318,27.0368,0.3465,3.0355,0.0001,0.0688,Population structure converged. Difference: 0.0073
2,11,58.6794,57.7672,Warrior,84.8191,78.6055,29.2409,0.6377,6.6969,1.9067,200,58.6794,8.9071,12.9788,21.6779,0.0016,2.2859,0.0000,0.0688,Population structure converged. Difference: 0.0073
2,12,58.6794,57.9998,Warrior,84.8191,78.6055,29.2409,0.6377,6.6969,1.9067,200,58.6794,6.0436,14.6212,21.9279,0.0022,1.2700,0.0000,0.0688,Population structure converged. Difference: 0.0073
2,13,58.6794,58.2558,Warrior,84.8191,78.6055,29.2409,0.6377,6.6969,1.9067,200,58.6794,4.2063,12.0595,18.9827,0.0023,0.3832,0.0000,0.0688,Population structure converged. Difference: 0.0073
3,0,48.2060,31.0785,Warrior,87.8107,55.4823,36.3800,13.7136,6.6134,1.9860,200,57.8547,273.4012,408.2148,379.0895,323.1631,387.8861,0.0290,0.0537,Population structure converged. Difference: 0.0073
3,1,51.8576,35.8524,Warrior,83.7263,66.1059,30.7480,7.7812,11.6386,1.8484,200,57.8547,218.4388,443.6145,307.8506,256.1661,364.6083,0.0258,0.0537,Population structure converged. Difference: 0.0073
3,2,51.8576,41.3094,Warrior,83.7263,66.1059,30.7480,7.7812,11.6386,1.8484,200,57.8547,224.1699,251.6996,188.8730,127.2113,298.4718,0.0229,0.0537,Population structure converged. Difference: 0.0073
3,3,52.3468,44.9443,Warrior,84.2191,75.5096,21.6458,7.4630,11.1626,1.8484,200,57.8547,175.9447,142.6353,110.6209,88.2501,113.7328,0.0145,0.0537,Population structure converged. Difference: 0.0073
3,4,52.3468,47.5374,Warrior,84.2191,75.5096,21.6458,7.4630,11.1626,1.8484,200,57.8547,140.7606,100.7824,37.8321,43.1315,56.9548,0.0094,0.0537,Population structure converged. Difference: 0.0073
3,5,52.3468,49.4297,Warrior,84.2191,75.5096,21.6458,7.4630,11.1626,1.8484,200,57.8547,100.8115,79.2503,42.3735,32.1039,24.4829,0.0073,0.0537,Population structure converged. Difference: 0.0073
3,6,53.9212,50.9113,Warrior,76.3725,75.2564,30.7684,9.2334,8.3692,1.8870,200,57.8547,62.6493,72.5185,57.2407,19.3280,11.1061,0.0042,0.0537,Population structure converged. Difference: 0.0073
3,7,54.7315,51.8533,Warrior,77.2846,76.1551,31.1359,8.0563,7.3681,1.8870,200,57.8547,35.9604,49.1444,46.6607,8.6744,3.6025,0.0018,0.0537,Population structure converged. Difference: 0.0073
3,8,56.2354,52.4399,Warrior,86.9109,65.2722,36.1735,2.1192,9.5241,1.8870,200,57.8547,26.6592,47.1518,48.9778,11.2126,3.3611,0.0019,0.0537,Population structure converged. Difference: 0.0073
3,9,56.4184,53.3845,Warrior,87.2330,68.8745,32.0358,2.1580,9.6986,1.8870,200,57.8547,19.0624,34.8973,37.0921,10.2281,3.2116,0.0010,0.0537,Population structure converged. Difference: 0.0073
3,10,57.1976,54.1079,Warrior,88.4010,77.7082,23.7312,2.4831,7.6764,1.8870,200,57.8547,17.9836,34.9742,30.0030,10.8527,3.1933,0.0007,0.0537,Population structure converged. Difference: 0.0073
3,11,57.3163,54.9108,Warrior,88.5450,77.8347,23.7698,2.1616,7.6889,1.8870,200,57.8547,17.6720,39.7706,37.7061,9.5564,2.7521,0.0005,0.0537,Population structure converged. Difference: 0.0073
3,12,57.5607,55.4735,Warrior,88.7304,70.0569,32.5858,2.1951,6.4319,1.8870,200,57.8547,18.4895,37.2887,43.0306,6.5157,2.6623,0.0004,0.0537,Population structure converged. Difference: 0.0073
3,13,57.7911,56.0942,Warrior,87.1741,81.1068,23.2503,2.0381,6.4307,1.8870,200,57.8547,14.9703,33.8955,38.8412,4.4588,2.8039,0.0002,0.0537,Population structure converged. Difference: 0.0073
3,14,57.8235,56.5336,Warrior,88.0448,80.4800,23.0707,2.0224,6.3822,1.8870,200,57.8547,12.8258,30.4368,36.3105,2.6000,2.3819,0.0001,0.0537,Population structure converged. Difference: 0.0073
3,15,57.8235,57.0768,Warrior,88.0448,80.4800,23.0707,2.0224,6.3822,1.8870,200,57.8547,9.0665,28.7472,25.4398,0.7482,1.6983,0.0000,0.0537,Population structure converged. Difference: 0.0073
3,16,57.8547,57.4378,Warrior,87.2559,81.1829,23.2722,2.0400,6.2490,1.8870,200,57.8547,4.6349,27.7227,24.8228,0.3536,0.4833,0.0000,0.0537,Population structure converged. Difference: 0.0073
4,0,38.6679,28.7075,Warrior,47.3393,55.7906,45.9503,5.4413,45.4785,1.9238,200,51.0652,452.6414,290.8502,364.7203,407.4382,450.2277,0.0392,0.0431,Population structure converged. Difference: 0.0089
4,1,42.3317,31.9994,Warrior,53.1284,55.7454,51.5649,19.1597,20.4015,1.9238,200,51.0652,260.3408,226.2783,274.3579,266.6825,299.8937,0.0381,0.0431,Population structure converged. Difference: 0.0089
4,2,48.9136,34.6364,Warrior,64.2468,75.7164,30.0534,6.5465,23.4369,1.9238,200,51.0652,184.9715,112.0667,195.2730,222.2359,196.3927,0.0435,0.0431,Population structure converged. Difference: 0.0089
4,3,49.0175,37.5499,Warrior,68.8569,66.7983,32.2099,7.0162,25.1187,1.9238,200,51.0652,114.7466,86.4331,143.1443,169.0051,122.6012,0.0401,0.0431,Population structure converged. Difference: 0.0089
4,4,49.1682,41.0011,Warrior,69.7731,67.6872,30.4533,6.6336,25.4529,1.9238,200,51.0652,97.1682,101.9941,124.7214,139.2906,115.6310,0.0289,0.0431,Population structure converged. Difference: 0.0089
4,5,50.0373,43.7122,Warrior,70.7644,68.6488,30.8859,6.7278,22.9729,1.9238,200,51.0652,65.0953,98.7205,91.5105,97.7904,86.1361,0.0163,0.0431,Population structure converged. Difference: 0.0089
4,6,50.0486,46.2176,Warrior,71.2951,68.1947,30.6816,6.6833,23.1452,1.9238,200,51.0652,60.5454,53.8899,82.8884,46.1232,34.5644,0.0054,0.0431,Population structure converged. Difference: 0.0089
4,7,50.0578,48.1075,Warrior,71.0611,68.4236,30.7846,6.6614,23.0693,1.9238,200,51.0652,26.0988,24.8386,49.0806,3.9699,15.6326,0.0039,0.0431,Population structure converged. Difference: 0.0089
4,8,50.0788,49.1416,Warrior,71.2933,68.1930,30.7838,6.6612,23.0687,1.9238,200,51.0652,12.9174,9.6977,26.9825,0.1626,2.1804,0.0001,0.0431,Population structure converged. Difference: 0.0089
4,9,50.3760,49.6003,Warrior,70.4455,72.2591,28.6811,6.2476,22.3668,1.9238,200,51.0652,6.5199,5.9845,9.3518,0.0665,1.0397,0.0000,0.0431,Population structure converged. Difference: 0.0089
