Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.3955,30.7565,Warrior,67.7012,66.2889,21.6725,27.4696,16.8678,1.8835,200,56.4867,274.6228,352.1427,436.9097,291.7775,379.8452,0.0476,0.0295,Population structure converged. Difference: 0.0417
1,1,44.3955,35.2783,Warrior,67.7012,66.2889,21.6725,27.4696,16.8678,1.8835,200,56.4867,177.0719,222.2152,491.7471,174.2929,281.3814,0.0469,0.0295,Population structure converged. Difference: 0.0417
1,2,52.3703,39.5257,Warrior,73.0391,60.6719,46.9449,8.0416,11.3026,1.8996,200,56.4867,77.7296,180.3387,415.3282,111.2741,89.2417,0.0259,0.0295,Population structure converged. Difference: 0.0417
1,3,52.3703,42.1776,Warrior,73.0391,60.6719,46.9449,8.0416,11.3026,1.8996,200,56.4867,63.1812,152.9863,250.2464,70.6958,71.4842,0.0024,0.0295,Population structure converged. Difference: 0.0417
1,4,52.3703,44.3323,Warrior,73.0391,60.6719,46.9449,8.0416,11.3026,1.8996,200,56.4867,65.7639,112.2719,197.4752,76.8437,52.6529,0.0020,0.0295,Population structure converged. Difference: 0.0417
1,5,53.2790,46.5508,Warrior,77.6379,76.2468,24.9282,8.8077,12.3794,1.8996,200,56.4867,76.7913,118.3454,188.9047,73.8076,37.3878,0.0028,0.0295,Population structure converged. Difference: 0.0417
1,6,53.6145,48.9919,Warrior,78.0582,76.6596,25.0631,8.8554,11.3638,1.8996,200,56.4867,41.6894,105.2041,175.5935,45.5816,24.7914,0.0024,0.0295,Population structure converged. Difference: 0.0417
1,7,55.5178,51.2470,Warrior,80.1730,78.7365,25.7421,2.5648,12.7836,1.8996,200,56.4867,20.0742,60.1444,123.2662,17.3712,6.6450,0.0012,0.0295,Population structure converged. Difference: 0.0417
1,8,56.4853,52.3676,Warrior,80.9999,80.1788,26.2137,2.6117,9.9958,1.8996,200,56.4867,25.5946,47.8876,123.1084,12.4936,4.6125,0.0005,0.0295,Population structure converged. Difference: 0.0417
1,9,56.4853,53.1582,Warrior,80.9999,80.1788,26.2137,2.6117,9.9958,1.8996,200,56.4867,22.7797,61.9254,152.4470,16.3308,3.6934,0.0002,0.0295,Population structure converged. Difference: 0.0417
1,10,56.4867,54.2248,Warrior,81.7677,79.4828,25.9861,2.5891,10.1743,1.8996,200,56.4867,22.8230,58.4686,148.1029,12.6482,1.5681,0.0000,0.0295,Population structure converged. Difference: 0.0417
2,0,43.8217,31.1896,Warrior,72.6633,62.7673,18.0547,30.2899,16.2247,1.9422,200,53.6047,381.8239,350.4845,503.3406,456.9439,234.7212,0.0387,0.0272,Population structure converged. Difference: 0.0437
2,1,44.3594,36.3292,Warrior,71.1883,58.2472,26.4964,22.3002,21.7679,1.8714,200,53.6047,288.5667,148.1612,495.6213,267.3364,192.6999,0.0422,0.0272,Population structure converged. Difference: 0.0437
2,2,48.6884,39.8126,Warrior,65.0298,54.9822,56.8934,0.4402,22.6544,1.8712,200,53.6047,194.5481,97.5076,489.4512,205.2431,152.1482,0.0445,0.0272,Population structure converged. Difference: 0.0437
2,3,48.6884,41.7118,Warrior,65.0298,54.9822,56.8934,0.4402,22.6544,1.8712,200,53.6047,91.2714,81.8176,324.1285,141.7527,138.2413,0.0276,0.0272,Population structure converged. Difference: 0.0437
2,4,48.6884,43.5567,Warrior,65.0298,54.9822,56.8934,0.4402,22.6544,1.8712,200,53.6047,29.1119,46.3962,244.9261,107.7133,72.5565,0.0107,0.0272,Population structure converged. Difference: 0.0437
2,5,51.7866,44.9125,Warrior,73.4643,72.8037,31.3566,0.6374,21.7380,1.8714,200,53.6047,29.6339,55.0836,296.6509,123.9439,36.9595,0.0064,0.0272,Population structure converged. Difference: 0.0437
2,6,52.2895,47.0272,Warrior,78.7840,77.2127,22.2099,0.7487,21.0447,1.8714,200,53.6047,32.9825,65.5235,337.2316,125.1891,14.4184,0.0058,0.0272,Population structure converged. Difference: 0.0437
2,7,53.1549,48.6787,Warrior,77.6595,83.0181,20.7304,0.6625,17.9294,1.8714,200,53.6047,37.0143,95.6596,274.8001,81.9795,9.7685,0.0019,0.0272,Population structure converged. Difference: 0.0437
2,8,53.5747,50.4097,Warrior,83.5689,76.0170,21.8660,0.5283,18.0198,1.8714,200,53.6047,34.1682,94.1706,206.6652,39.2152,7.7332,0.0029,0.0272,Population structure converged. Difference: 0.0437
2,9,53.6047,51.3582,Warrior,83.6067,76.0514,21.8759,0.5286,17.9375,1.8714,200,53.6047,32.4657,60.8062,140.7954,16.1993,4.1970,0.0025,0.0272,Population structure converged. Difference: 0.0437
3,0,41.4001,29.9168,Warrior,58.4251,77.4983,25.6350,10.2261,28.2156,1.7996,200,57.3824,326.6261,419.4247,441.3881,293.6052,412.9811,0.0377,0.0248,Population structure converged. Difference: 0.0500
3,1,49.1799,34.6671,Warrior,80.8279,53.2692,38.7399,3.0171,24.1458,1.9583,200,57.3824,150.4526,366.8457,423.6755,244.8601,310.2830,0.0370,0.0248,Population structure converged. Difference: 0.0500
3,2,49.1799,37.4191,Warrior,80.8279,53.2692,38.7399,3.0171,24.1458,1.9583,200,57.3824,132.2462,369.5730,411.4591,204.0357,241.0821,0.0311,0.0248,Population structure converged. Difference: 0.0500
3,3,50.3944,40.9856,Warrior,66.3139,79.3689,36.8301,14.6920,2.7951,1.9626,200,57.3824,83.0713,312.4142,293.0050,160.3683,168.7402,0.0140,0.0248,Population structure converged. Difference: 0.0500
3,4,55.4399,44.2092,Warrior,70.6525,93.7175,31.0000,3.5571,1.0730,1.9583,200,57.3824,89.1187,160.1001,251.9443,119.0970,144.0116,0.0113,0.0248,Population structure converged. Difference: 0.0500
3,5,57.1560,47.4241,Warrior,78.7571,82.4666,33.7374,3.8712,1.1677,1.9583,200,57.3824,72.1148,137.9970,100.3311,109.3876,135.2208,0.0054,0.0248,Population structure converged. Difference: 0.0500
3,6,57.1560,49.8200,Warrior,78.7571,82.4666,33.7374,3.8712,1.1677,1.9583,200,57.3824,54.8224,163.2631,71.4307,54.5535,105.6439,0.0031,0.0248,Population structure converged. Difference: 0.0500
3,7,57.1560,51.8446,Warrior,78.7571,82.4666,33.7374,3.8712,1.1677,1.9583,200,57.3824,43.4671,159.1502,29.1098,39.6665,94.8765,0.0032,0.0248,Population structure converged. Difference: 0.0500
3,8,57.3824,54.6509,Warrior,79.2511,87.4874,28.9392,3.3206,1.0017,1.9583,200,57.3824,45.4885,155.4032,37.8199,6.8412,58.0437,0.0030,0.0248,Population structure converged. Difference: 0.0500
4,0,46.7593,32.4404,Warrior,64.9330,77.2419,22.1712,24.9640,10.6898,1.9230,200,58.1142,236.9792,245.7643,469.3529,381.3911,439.5422,0.0473,0.0242,Population structure converged. Difference: 0.0454
4,1,51.8672,37.3340,Warrior,68.0259,62.2072,55.2295,13.0001,1.5373,1.9199,200,58.1142,268.0689,233.8107,455.8127,208.3724,325.4910,0.0483,0.0242,Population structure converged. Difference: 0.0454
4,2,54.1585,42.0359,Warrior,81.9862,75.8446,22.4823,6.5003,13.1866,1.9199,200,58.1142,150.0922,168.4968,336.3365,120.4426,178.3170,0.0357,0.0242,Population structure converged. Difference: 0.0454
4,3,57.0339,45.4757,Warrior,78.0156,86.9825,25.7839,7.4549,1.7630,1.9199,200,58.1142,72.6274,125.2579,296.8089,80.6960,75.4385,0.0136,0.0242,Population structure converged. Difference: 0.0454
4,4,57.0339,48.3333,Warrior,78.0156,86.9825,25.7839,7.4549,1.7630,1.9199,200,58.1142,55.5223,71.4959,292.9483,66.2114,32.6442,0.0028,0.0242,Population structure converged. Difference: 0.0454
4,5,57.0339,50.4508,Warrior,78.0156,86.9825,25.7839,7.4549,1.7630,1.9199,200,58.1142,46.2022,66.4612,223.3161,42.6839,30.6147,0.0008,0.0242,Population structure converged. Difference: 0.0454
4,6,57.1410,52.4250,Warrior,78.1808,87.1667,25.8385,7.4707,1.3432,1.9230,200,58.1142,39.2506,80.9508,170.2557,36.2025,23.6297,0.0000,0.0242,Population structure converged. Difference: 0.0454
4,7,57.4678,53.9545,Warrior,83.2416,80.7914,26.3005,8.0274,1.6391,1.9199,200,58.1142,38.8942,88.4059,146.3975,28.5483,30.1674,0.0000,0.0242,Population structure converged. Difference: 0.0454
4,8,58.1142,55.5924,Warrior,88.4424,79.5885,23.5921,6.8212,1.5558,1.9199,200,58.1142,17.8313,60.0964,53.9853,21.9257,20.1577,0.0000,0.0242,Population structure converged. Difference: 0.0454
5,0,51.9103,32.1928,Warrior,80.7311,101.3319,0.4893,3.4482,13.9995,1.8754,200,57.7117,310.3869,467.4320,436.1184,367.5448,363.5256,0.0325,0.0224,Population structure converged. Difference: 0.0499
5,1,55.6548,37.1437,Warrior,90.8433,100.5067,0.6232,4.3914,3.6354,1.8754,200,57.7117,211.1425,346.1544,443.6734,218.8322,235.3305,0.0280,0.0224,Population structure converged. Difference: 0.0499
5,2,55.6548,41.3213,Warrior,90.8433,100.5067,0.6232,4.3914,3.6354,1.8754,200,57.7117,221.9889,326.5846,375.7639,160.2290,136.8278,0.0230,0.0224,Population structure converged. Difference: 0.0499
5,3,55.6548,45.5449,Warrior,90.8433,100.5067,0.6232,4.3914,3.6354,1.8754,200,57.7117,193.2324,331.5640,357.3711,120.9031,109.1114,0.0151,0.0224,Population structure converged. Difference: 0.0499
5,4,55.6548,49.4643,Warrior,90.8433,100.5067,0.6232,4.3914,3.6354,1.8754,200,57.7117,139.1487,274.0867,355.1176,81.5594,63.3297,0.0056,0.0224,Population structure converged. Difference: 0.0499
5,5,57.7117,52.5777,Warrior,83.8731,81.9904,27.2625,3.7374,3.1366,1.8754,200,57.7117,90.7800,329.7646,334.8157,52.2296,12.8546,0.0026,0.0224,Population structure converged. Difference: 0.0499
5,6,57.7117,53.8915,Warrior,83.8731,81.9904,27.2625,3.7374,3.1366,1.8754,200,57.7117,67.1389,264.4237,291.2228,35.8683,9.2295,0.0018,0.0224,Population structure converged. Difference: 0.0499
5,7,57.7117,54.9695,Warrior,83.8731,81.9904,27.2625,3.7374,3.1366,1.8754,200,57.7117,67.4362,156.1932,260.2082,20.6848,7.6921,0.0009,0.0224,Population structure converged. Difference: 0.0499
6,0,49.5103,29.8598,Warrior,82.4927,74.1503,17.4938,14.9473,10.9160,1.8450,200,56.5707,492.7332,477.0296,486.3119,354.0317,433.0608,0.0387,0.0250,Population structure converged. Difference: 0.0461
6,1,49.5103,34.3471,Warrior,82.4927,74.1503,17.4938,14.9473,10.9160,1.8450,200,56.5707,346.6980,426.1587,473.8472,230.7364,331.3550,0.0387,0.0250,Population structure converged. Difference: 0.0461
6,2,50.4027,39.2752,Warrior,66.7987,66.2602,49.1402,13.6400,4.1609,1.9541,200,56.5707,296.6591,467.9537,593.1894,78.9548,282.0098,0.0449,0.0250,Population structure converged. Difference: 0.0461
6,3,53.2636,43.6952,Warrior,87.5115,78.6616,18.5581,3.6888,11.5801,1.8450,200,56.5707,248.0361,452.6756,532.3237,61.0098,229.1312,0.0478,0.0250,Population structure converged. Difference: 0.0461
6,4,56.2269,47.0206,Warrior,80.5510,89.4162,21.0953,3.9199,5.0176,1.9541,200,56.5707,167.6393,171.1685,257.9146,30.1310,46.3168,0.0344,0.0250,Population structure converged. Difference: 0.0461
6,5,56.2269,48.8504,Warrior,80.5510,89.4162,21.0953,3.9199,5.0176,1.9541,200,56.5707,102.3836,96.0519,156.9280,22.2628,27.7965,0.0183,0.0250,Population structure converged. Difference: 0.0461
