Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.3520,30.4827,Warrior,53.8105,76.1862,62.7055,1.1653,6.1325,1.8233,200,57.5538,409.7749,628.7479,472.8018,394.9900,497.6412,0.0399,0.0399,Population structure converged. Difference: 0.0491
1,1,48.8754,34.0897,Warrior,61.2920,68.4169,61.9786,1.3273,6.9852,1.8233,200,57.5538,249.6455,635.4142,422.3346,291.2113,423.0399,0.0407,0.0399,Population structure converged. Difference: 0.0491
1,2,47.2248,38.1704,Warrior,63.7707,62.4947,56.6137,9.8532,7.2677,1.8233,200,57.5538,109.2346,592.7625,360.8871,166.1621,311.5355,0.0400,0.0399,Population structure converged. Difference: 0.0491
1,3,48.2579,40.9199,Warrior,57.7242,75.3256,60.7446,0.9909,5.2148,1.8233,200,57.5538,89.9030,380.3476,353.7999,114.8543,220.6843,0.0301,0.0399,Population structure converged. Difference: 0.0491
1,4,49.8927,43.2920,Warrior,60.0211,70.4410,63.0924,1.0292,5.4163,1.9720,200,57.5538,88.5977,181.3788,371.5378,84.5029,113.4632,0.0240,0.0399,Population structure converged. Difference: 0.0491
1,5,54.7622,44.4366,Warrior,73.6038,62.0890,56.0524,1.2750,6.9798,1.9491,200,57.5538,55.1785,163.7186,272.7532,59.3926,73.3858,0.0144,0.0399,Population structure converged. Difference: 0.0491
1,6,54.7622,46.2507,Warrior,73.6038,62.0890,56.0524,1.2750,6.9798,1.9491,200,57.5538,52.4808,76.7825,195.5165,38.4667,35.5059,0.0091,0.0399,Population structure converged. Difference: 0.0491
1,7,56.5522,47.8169,Warrior,74.4104,72.9803,46.3188,1.1262,5.1644,1.9491,200,57.5538,46.9237,61.0805,108.1275,21.7242,30.7626,0.0087,0.0399,Population structure converged. Difference: 0.0491
1,8,57.4251,50.0097,Warrior,77.7628,82.4371,33.4122,1.1436,5.2443,1.9491,200,57.5538,45.6500,52.0599,112.6199,6.2417,14.6672,0.0081,0.0399,Population structure converged. Difference: 0.0491
1,9,57.4251,51.5693,Warrior,77.7628,82.4371,33.4122,1.1436,5.2443,1.9491,200,57.5538,47.5147,49.8415,104.7445,3.4022,13.3527,0.0051,0.0399,Population structure converged. Difference: 0.0491
1,10,57.4251,53.0264,Warrior,77.7628,82.4371,33.4122,1.1436,5.2443,1.9491,200,57.5538,37.9652,60.3269,116.0532,4.4883,13.4190,0.0037,0.0399,Population structure converged. Difference: 0.0491
