Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.6614,29.3299,Warrior,58.3854,57.2419,68.9114,14.5566,0.9047,1.8827,200,59.5754,305.7679,317.4229,626.4276,386.1690,519.7934,0.0399,0.0458,Population structure converged. Difference: 0.0495
1,1,48.2716,32.5787,Warrior,71.4305,44.6597,68.5333,14.4768,0.8997,1.8827,200,59.5754,194.6576,294.1238,639.6178,269.9269,442.7583,0.0465,0.0458,Population structure converged. Difference: 0.0495
1,2,53.3600,36.2523,Warrior,77.9276,95.7350,9.5589,16.0756,0.7030,1.9256,200,59.5754,194.2525,351.2981,647.1206,221.1047,358.5431,0.0456,0.0458,Population structure converged. Difference: 0.0495
1,3,53.3600,40.0088,Warrior,77.9276,95.7350,9.5589,16.0756,0.7030,1.9256,200,59.5754,140.3552,382.4901,629.3190,156.2096,251.9916,0.0403,0.0458,Population structure converged. Difference: 0.0495
1,4,54.0264,43.2262,Warrior,83.4601,81.5923,20.8350,3.4175,10.6951,1.9662,200,59.5754,127.4133,285.9504,500.7290,100.9278,193.8445,0.0344,0.0458,Population structure converged. Difference: 0.0495
1,5,58.2765,46.5643,Warrior,78.4698,96.4011,20.9800,3.4413,0.7078,1.9256,200,59.5754,122.8110,192.4175,419.8905,45.4164,115.1870,0.0147,0.0458,Population structure converged. Difference: 0.0495
1,6,58.2765,48.6329,Warrior,78.4698,96.4011,20.9800,3.4413,0.7078,1.9256,200,59.5754,144.5672,213.7105,379.8198,31.6185,59.5602,0.0063,0.0458,Population structure converged. Difference: 0.0495
1,7,58.9128,50.4697,Warrior,80.0314,81.4795,33.6987,3.5098,1.2807,1.9256,200,59.5754,149.8852,190.6634,403.6869,27.3262,39.7251,0.0018,0.0458,Population structure converged. Difference: 0.0495
1,8,58.9370,52.5697,Warrior,81.7337,90.6578,23.1499,3.5147,0.9438,1.9256,200,59.5754,132.0232,282.9740,430.5097,22.2594,34.0221,0.0016,0.0458,Population structure converged. Difference: 0.0495
1,9,59.3271,53.9826,Warrior,91.5739,77.8738,25.5077,4.1840,0.8606,1.9256,200,59.5754,105.1821,315.0116,365.0571,13.1513,25.3024,0.0015,0.0458,Population structure converged. Difference: 0.0495
1,10,59.3271,55.2020,Warrior,91.5739,77.8738,25.5077,4.1840,0.8606,1.9256,200,59.5754,79.0890,304.2134,284.5797,13.9695,25.5188,0.0012,0.0458,Population structure converged. Difference: 0.0495
1,11,59.4888,56.1338,Warrior,92.2626,78.4594,24.6659,3.7449,0.8671,1.9256,200,59.5754,72.8372,233.9664,228.6967,10.6885,18.8951,0.0009,0.0458,Population structure converged. Difference: 0.0495
1,12,59.5754,56.7642,Warrior,92.3642,78.5458,24.6931,3.5288,0.8680,1.9256,200,59.5754,49.1171,202.3978,192.0118,6.9917,12.1235,0.0008,0.0458,Population structure converged. Difference: 0.0495
2,0,51.1601,27.8851,Warrior,88.9360,49.0050,40.6039,7.9123,13.5428,1.9123,200,56.1458,506.0304,415.7199,559.9339,477.6255,346.5342,0.0470,0.0458,Population structure converged. Difference: 0.0439
2,1,51.1601,31.0384,Warrior,88.9360,49.0050,40.6039,7.9123,13.5428,1.9123,200,56.1458,491.0837,323.9328,427.3773,379.3747,253.0133,0.0426,0.0458,Population structure converged. Difference: 0.0439
2,2,52.0802,36.0730,Warrior,90.3722,49.7964,41.2597,8.0401,10.5315,1.9123,200,56.1458,425.1610,261.3291,279.0160,192.5427,233.9921,0.0376,0.0458,Population structure converged. Difference: 0.0439
2,3,53.1408,38.9517,Warrior,91.5302,50.4345,41.7884,2.3091,13.9378,1.9123,200,56.1458,363.2392,220.9167,188.3374,129.2398,187.4483,0.0294,0.0458,Population structure converged. Difference: 0.0439
2,4,54.2752,40.9960,Warrior,92.4828,51.6123,42.7643,2.3631,10.7775,1.9123,200,56.1458,312.6692,191.8390,115.8755,109.5172,195.0069,0.0251,0.0458,Population structure converged. Difference: 0.0439
2,5,54.2752,43.7649,Warrior,92.4828,51.6123,42.7643,2.3631,10.7775,1.9123,200,56.1458,288.1559,113.0743,65.9008,95.8196,182.0094,0.0237,0.0458,Population structure converged. Difference: 0.0439
2,6,55.2948,46.8325,Warrior,76.4216,64.8663,45.3222,2.4174,10.9725,1.9123,200,56.1458,156.7185,76.4564,43.2087,64.4930,88.7316,0.0163,0.0458,Population structure converged. Difference: 0.0439
2,7,55.2948,49.2513,Warrior,76.4216,64.8663,45.3222,2.4174,10.9725,1.9123,200,56.1458,101.1187,53.9343,23.2180,48.1721,60.0603,0.0049,0.0458,Population structure converged. Difference: 0.0439
2,8,55.1514,50.3336,Warrior,76.0178,64.5235,45.8985,2.4481,11.1120,1.9123,200,56.1458,109.0335,62.3610,29.6321,47.6673,38.7708,0.0046,0.0458,Population structure converged. Difference: 0.0439
2,9,55.7092,50.8405,Warrior,82.4281,61.1875,43.5254,2.3216,10.5375,1.9123,200,56.1458,94.2637,57.9474,29.4015,56.3683,35.1975,0.0039,0.0458,Population structure converged. Difference: 0.0439
2,10,55.7092,51.8104,Warrior,82.4281,61.1875,43.5254,2.3216,10.5375,1.9123,200,56.1458,84.6618,31.4345,7.6734,33.4063,32.4516,0.0022,0.0458,Population structure converged. Difference: 0.0439
2,11,55.8725,52.7751,Warrior,81.0846,63.0178,43.2482,2.2837,10.3657,1.9123,200,56.1458,69.0666,36.7657,6.3566,22.8659,15.0730,0.0022,0.0458,Population structure converged. Difference: 0.0439
2,12,56.1458,53.7845,Warrior,83.7881,61.8300,42.4330,2.2407,9.7083,1.9161,200,56.1458,56.8939,42.4808,5.8088,17.2518,7.6340,0.0000,0.0458,Population structure converged. Difference: 0.0439
3,0,44.5573,30.0385,Warrior,70.5930,75.7703,29.8973,11.5620,12.1775,1.4856,200,55.3350,366.9618,451.4414,278.0446,223.8562,412.1965,0.0372,0.0591,Population structure converged. Difference: 0.0411
3,1,44.5573,33.9451,Warrior,70.5930,75.7703,29.8973,11.5620,12.1775,1.4856,200,55.3350,244.9789,323.6024,173.9158,128.9626,279.4829,0.0410,0.0591,Population structure converged. Difference: 0.0411
3,2,44.5573,36.2279,Warrior,70.5930,75.7703,29.8973,11.5620,12.1775,1.4856,200,55.3350,196.0964,233.8576,166.8097,95.3268,219.5262,0.0447,0.0591,Population structure converged. Difference: 0.0411
3,3,45.3228,38.5330,Warrior,67.0152,60.4001,38.9090,31.2162,2.4594,1.9486,200,55.3350,144.6339,192.1409,144.0221,68.7608,166.4388,0.0431,0.0591,Population structure converged. Difference: 0.0411
3,4,49.4782,40.1577,Warrior,81.8326,49.3395,47.7284,18.3770,2.7225,1.8764,200,55.3350,122.4268,179.4822,114.2074,55.2315,110.2246,0.0418,0.0591,Population structure converged. Difference: 0.0411
3,5,49.4782,41.8694,Warrior,81.8326,49.3395,47.7284,18.3770,2.7225,1.8764,200,55.3350,104.5615,191.4288,95.2170,49.4607,87.1112,0.0434,0.0591,Population structure converged. Difference: 0.0411
3,6,50.9062,43.3737,Warrior,70.4255,75.5906,29.8263,10.3577,13.7999,1.9486,200,55.3350,67.3383,193.4595,106.6724,52.1215,146.5392,0.0408,0.0591,Population structure converged. Difference: 0.0411
3,7,50.9769,46.1523,Warrior,79.4394,57.9024,42.1758,17.8395,2.6429,1.8764,200,55.3350,41.0560,142.3430,70.5126,36.1189,92.0302,0.0264,0.0591,Population structure converged. Difference: 0.0411
3,8,55.3711,47.4694,Warrior,83.7464,74.0842,29.2320,10.1513,2.7862,1.8764,200,55.3350,40.8276,123.1121,73.8641,28.2977,84.2587,0.0203,0.0591,Population structure converged. Difference: 0.0411
3,9,54.7431,48.3479,Warrior,77.6551,78.0987,30.6716,10.6512,2.9234,1.8764,200,55.3350,38.9630,121.6175,66.8934,21.5665,79.5373,0.0143,0.0591,Population structure converged. Difference: 0.0411
3,10,54.5374,49.1065,Warrior,76.4510,78.7295,31.0649,10.7878,2.9668,1.8764,200,55.3350,41.9408,120.8851,60.9672,19.0044,65.1882,0.0100,0.0591,Population structure converged. Difference: 0.0411
3,11,54.5628,50.3591,Warrior,83.4582,60.9756,43.1911,8.9358,3.4392,1.9486,200,55.3350,41.0343,106.0908,59.0903,12.5969,41.2470,0.0013,0.0591,Population structure converged. Difference: 0.0411
3,12,55.1314,50.9378,Warrior,80.5215,76.2689,29.9530,10.4017,2.8549,1.9486,200,55.3350,40.3270,105.6040,59.6199,10.9622,33.0524,0.0013,0.0591,Population structure converged. Difference: 0.0411
3,13,55.1788,51.6309,Warrior,82.7265,74.4499,29.3763,10.2014,3.2460,1.8764,200,55.3350,40.3146,93.5540,46.0909,7.3666,37.3727,0.0013,0.0591,Population structure converged. Difference: 0.0411
