Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.2592,32.0632,Warrior,80.3303,79.5499,25.3687,0.1444,14.6066,1.4256,200,50.2139,309.2241,582.8111,433.9415,373.1241,412.3749,0.0381,0.0204,Population structure converged. Difference: 0.0453
1,1,48.3075,37.6057,Warrior,80.3999,79.6188,25.3907,0.1445,14.4460,1.4256,200,50.2139,299.5992,503.6371,330.8479,248.0324,200.7952,0.0428,0.0204,Population structure converged. Difference: 0.0453
1,2,48.9426,42.1381,Warrior,73.7227,66.8356,44.2422,2.9274,12.2721,1.7920,200,50.2139,185.8711,369.2529,261.2828,207.3117,145.0047,0.0429,0.0204,Population structure converged. Difference: 0.0453
1,3,49.6056,45.3953,Warrior,80.0767,81.1229,23.0444,0.1542,15.6018,1.7920,200,50.2139,76.2741,274.9534,192.5343,140.0242,67.6868,0.0320,0.0204,Population structure converged. Difference: 0.0453
1,4,49.6841,47.0687,Warrior,80.8618,80.5918,22.8935,0.1532,15.4996,1.7920,200,50.2139,41.7899,132.6751,106.0631,64.0178,44.2162,0.0232,0.0204,Population structure converged. Difference: 0.0453
1,5,50.2139,48.0369,Warrior,77.2754,70.0565,39.6751,0.1296,12.8635,1.7920,200,50.2139,38.6885,62.6434,78.8655,10.4045,18.1148,0.0314,0.0204,Population structure converged. Difference: 0.0453
2,0,48.7460,30.4771,Warrior,79.1430,46.1860,72.2796,1.6565,0.7349,1.7987,200,60.2391,525.2781,289.3770,425.4631,330.1140,408.5850,0.0312,0.0298,Population structure converged. Difference: 0.0415
2,1,51.6767,36.0199,Warrior,106.7804,62.3145,27.0942,2.8194,0.9915,1.7987,200,60.2391,578.4422,272.9469,409.7961,255.0056,328.5101,0.0249,0.0298,Population structure converged. Difference: 0.0415
2,2,52.3196,41.0638,Warrior,123.7220,53.1797,20.0815,2.0897,0.9271,1.9073,200,60.2391,595.3593,231.6626,564.3856,255.5840,218.3014,0.0152,0.0298,Population structure converged. Difference: 0.0415
2,3,53.6470,45.8521,Warrior,91.2744,39.2327,67.2673,1.5417,0.6839,1.9217,200,60.2391,597.9727,163.7598,576.3920,129.8359,75.0596,0.0054,0.0298,Population structure converged. Difference: 0.0415
2,4,57.2508,48.0765,Warrior,108.9502,63.4783,23.9705,2.4944,1.1066,1.9073,200,60.2391,378.0650,150.7041,428.6046,77.8449,54.3652,0.0031,0.0298,Population structure converged. Difference: 0.0415
2,5,59.5143,50.7263,Warrior,84.9098,80.2389,30.2995,3.1530,1.3988,1.9217,200,60.2391,400.2104,149.4869,406.6320,11.8620,20.3755,0.0041,0.0298,Population structure converged. Difference: 0.0415
2,6,59.9394,52.7860,Warrior,83.6527,74.4769,39.3613,1.7381,0.7711,1.9073,200,60.2391,384.6893,186.7089,341.2347,6.5286,20.1503,0.0042,0.0298,Population structure converged. Difference: 0.0415
2,7,59.9394,55.5640,Warrior,83.6527,74.4769,39.3613,1.7381,0.7711,1.9073,200,60.2391,345.5004,200.1838,262.1869,2.3853,15.0635,0.0028,0.0298,Population structure converged. Difference: 0.0415
2,8,60.2391,57.8361,Warrior,83.1803,85.0239,29.6824,1.3997,0.7138,1.9217,200,60.2391,178.3652,146.8473,156.9341,2.2878,0.0929,0.0007,0.0298,Population structure converged. Difference: 0.0415
3,0,48.9843,30.8312,Warrior,57.7531,112.3406,18.1211,0.1986,11.5866,1.8948,200,60.1058,325.8983,433.6291,375.2245,355.8039,390.9208,0.0463,0.0327,Population structure converged. Difference: 0.0384
3,1,54.7909,35.9697,Warrior,75.6625,85.1572,23.7405,0.2602,15.1796,1.8948,200,60.1058,145.7660,353.6164,229.6719,295.8638,300.7348,0.0416,0.0327,Population structure converged. Difference: 0.0384
3,2,54.7909,40.5582,Warrior,75.6625,85.1572,23.7405,0.2602,15.1796,1.8948,200,60.1058,91.0861,336.5544,183.4456,171.7299,160.2132,0.0436,0.0327,Population structure converged. Difference: 0.0384
3,3,56.2354,44.8796,Warrior,80.6591,82.4754,28.6341,5.8064,2.4250,1.9595,200,60.1058,83.9796,324.6386,190.0921,157.5476,104.0095,0.0441,0.0327,Population structure converged. Difference: 0.0384
3,4,56.3744,48.1192,Warrior,79.2080,89.1477,24.8529,4.7906,2.0008,1.9595,200,60.1058,82.1804,389.3294,258.0244,147.6761,57.0966,0.0295,0.0327,Population structure converged. Difference: 0.0384
3,5,58.7469,52.3714,Warrior,97.9943,70.0712,29.0662,0.3186,2.5497,1.9504,200,60.1058,70.6705,242.1665,267.4084,38.4783,46.4654,0.0179,0.0327,Population structure converged. Difference: 0.0384
