Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.4724,30.2491,Warrior,73.3416,67.0519,24.0681,24.8900,10.6484,1.8900,200,57.6209,432.1858,498.6561,366.3986,376.1401,570.0583,0.0488,0.0343,Population structure converged. Difference: 0.0427
1,1,48.7684,34.9307,Warrior,60.4878,73.0829,44.5309,6.6973,15.2010,1.8663,200,57.6209,274.8563,426.5996,356.0664,263.6989,420.5081,0.0434,0.0343,Population structure converged. Difference: 0.0427
1,2,53.3117,38.7259,Warrior,79.1843,62.8547,38.9669,7.4974,11.4967,1.8900,200,57.6209,190.9599,306.6813,333.4337,184.7184,276.9090,0.0406,0.0343,Population structure converged. Difference: 0.0427
1,3,53.5660,41.6541,Warrior,76.2731,63.8619,42.4123,6.3787,11.0741,1.8900,200,57.6209,165.7720,215.7437,258.9918,154.6268,148.4412,0.0299,0.0343,Population structure converged. Difference: 0.0427
1,4,55.3032,44.8074,Warrior,77.8372,68.3257,42.3587,8.1499,3.3284,1.9435,200,57.6209,115.0405,203.9142,211.5367,115.5864,130.6580,0.0221,0.0343,Population structure converged. Difference: 0.0427
1,5,55.4030,47.3367,Warrior,74.9242,70.3906,44.4603,6.6867,3.5382,1.9435,200,57.6209,115.2658,172.8310,176.3778,92.2376,98.6557,0.0095,0.0343,Population structure converged. Difference: 0.0427
1,6,55.7791,49.6283,Warrior,78.3366,68.7641,42.6305,7.2911,2.9777,1.9435,200,57.6209,72.5788,114.9971,178.7991,79.7415,60.2913,0.0035,0.0343,Population structure converged. Difference: 0.0427
1,7,56.4571,51.7448,Warrior,79.6198,96.8149,14.8272,5.2057,3.5324,1.8933,200,57.6209,51.8269,79.7117,125.3461,34.3088,50.3883,0.0011,0.0343,Population structure converged. Difference: 0.0427
1,8,57.4080,53.2853,Warrior,93.8543,82.3856,14.9497,5.2487,3.5616,1.8933,200,57.6209,37.0946,67.8721,140.8432,25.3091,26.3219,0.0008,0.0343,Population structure converged. Difference: 0.0427
1,9,57.6209,54.5141,Warrior,83.9331,74.4685,32.8501,4.9655,3.7828,1.8933,200,57.6209,37.5139,72.6754,163.1417,13.4924,16.9630,0.0007,0.0343,Population structure converged. Difference: 0.0427
1,10,57.6209,55.2593,Warrior,83.9331,74.4685,32.8501,4.9655,3.7828,1.8933,200,57.6209,48.6960,58.9899,139.5849,5.0857,7.7295,0.0006,0.0343,Population structure converged. Difference: 0.0427
2,0,43.4844,27.9525,Warrior,59.7394,47.9224,60.4737,20.7474,11.1171,1.8797,200,58.8571,420.3953,393.9792,467.4360,469.7804,497.7188,0.0330,0.0358,Population structure converged. Difference: 0.0482
2,1,51.8156,30.7407,Warrior,71.0140,71.2190,39.1578,16.0258,2.5834,1.8797,200,58.8571,235.7112,290.0368,434.5130,386.0429,444.0967,0.0332,0.0358,Population structure converged. Difference: 0.0482
2,2,52.9963,35.0217,Warrior,73.5243,58.9805,52.2252,1.5876,13.6823,1.8797,200,58.8571,126.4365,274.4919,434.1916,185.1725,237.0048,0.0331,0.0358,Population structure converged. Difference: 0.0482
2,3,56.2682,39.4680,Warrior,71.5041,71.7105,52.5857,1.5985,2.6013,1.8797,200,58.8571,99.3716,225.7717,417.5941,132.8477,184.0707,0.0287,0.0358,Population structure converged. Difference: 0.0482
2,4,55.9760,41.8199,Warrior,84.8583,53.6870,56.9095,1.7300,2.8151,1.8797,200,58.8571,94.6625,143.8889,418.5232,91.7479,104.9441,0.0237,0.0358,Population structure converged. Difference: 0.0482
2,5,55.9760,44.4408,Warrior,84.8583,53.6870,56.9095,1.7300,2.8151,1.8797,200,58.8571,120.5934,127.9937,385.6276,62.7278,69.3730,0.0139,0.0358,Population structure converged. Difference: 0.0482
2,6,58.4660,46.8245,Warrior,85.2380,78.3277,30.8128,2.1397,3.4818,1.8797,200,58.8571,90.7014,133.5073,286.6747,54.3097,44.7332,0.0078,0.0358,Population structure converged. Difference: 0.0482
2,7,58.6921,49.5664,Warrior,85.5231,78.5897,30.9158,2.1468,2.8246,1.8797,200,58.8571,99.9301,98.9233,185.8617,49.2889,41.2832,0.0037,0.0358,Population structure converged. Difference: 0.0482
2,8,58.6921,52.4092,Warrior,85.5231,78.5897,30.9158,2.1468,2.8246,1.8797,200,58.8571,104.9698,84.3460,119.6822,46.3467,27.7211,0.0000,0.0358,Population structure converged. Difference: 0.0482
2,9,58.8549,54.6743,Warrior,85.6992,78.7515,30.9795,1.7394,2.8304,1.8797,200,58.8571,87.5539,88.9833,117.8965,29.6842,19.2753,0.0000,0.0358,Population structure converged. Difference: 0.0482
2,10,58.8571,56.1519,Warrior,85.7608,78.7066,30.9618,1.7384,2.8324,1.8797,200,58.8571,66.0502,98.6891,157.4824,11.0276,6.7995,0.0000,0.0358,Population structure converged. Difference: 0.0482
3,0,41.9533,28.4022,Warrior,65.5032,79.5671,2.8015,28.7839,23.3443,1.9307,200,56.0583,343.0335,319.4222,375.1144,380.1803,443.0369,0.0380,0.0353,Population structure converged. Difference: 0.0478
3,1,45.3800,31.8778,Warrior,84.6514,65.4179,36.8031,7.0364,6.0913,1.3768,200,56.0583,167.0864,196.0384,269.0015,346.7208,295.3569,0.0422,0.0353,Population structure converged. Difference: 0.0478
3,2,45.3800,34.2623,Warrior,84.6514,65.4179,36.8031,7.0364,6.0913,1.3768,200,56.0583,153.8178,185.4244,232.7523,279.1318,255.5625,0.0448,0.0353,Population structure converged. Difference: 0.0478
3,3,49.1862,36.6413,Warrior,62.6173,74.5272,39.3493,1.6406,21.8656,1.9571,200,56.0583,124.0571,162.4067,280.8057,230.6513,283.5537,0.0446,0.0353,Population structure converged. Difference: 0.0478
3,4,51.7994,39.0460,Warrior,79.4462,61.3953,34.5400,6.6037,18.0148,1.9307,200,56.0583,134.5313,159.6930,338.4757,167.5700,204.5063,0.0456,0.0353,Population structure converged. Difference: 0.0478
3,5,54.6015,41.0802,Warrior,80.2469,65.8948,37.0714,7.0877,9.6992,1.9247,200,56.0583,127.1181,106.6850,328.6189,126.1135,183.5874,0.0531,0.0353,Population structure converged. Difference: 0.0478
3,6,54.3861,43.0355,Warrior,72.4984,72.2551,40.6496,7.7718,6.8252,1.9307,200,56.0583,104.5594,126.6288,342.2187,126.4060,125.4101,0.0674,0.0353,Population structure converged. Difference: 0.0478
3,7,55.4974,45.5348,Warrior,83.1809,64.2815,38.8141,7.3558,6.3678,1.9247,200,56.0583,81.6397,112.7833,303.9235,113.9220,87.0516,0.0681,0.0353,Population structure converged. Difference: 0.0478
3,8,55.4974,47.5237,Warrior,83.1809,64.2815,38.8141,7.3558,6.3678,1.9247,200,56.0583,60.6224,123.3665,228.1202,67.5016,66.1792,0.0618,0.0353,Population structure converged. Difference: 0.0478
3,9,55.4980,49.2835,Warrior,83.1878,64.2868,38.8007,7.3564,6.3683,1.9247,200,56.0583,68.1700,103.8569,129.0750,34.8006,60.7031,0.0472,0.0353,Population structure converged. Difference: 0.0478
3,10,55.8614,51.6544,Warrior,78.6764,70.9059,37.4373,6.9574,6.0230,1.9247,200,56.0583,65.7214,66.6277,80.8904,15.9308,45.3561,0.0258,0.0353,Population structure converged. Difference: 0.0478
3,11,56.0583,53.5001,Warrior,81.9556,67.4032,38.2424,7.4458,4.9530,1.9247,200,56.0583,42.1859,40.0548,32.0008,7.3442,25.6562,0.0091,0.0353,Population structure converged. Difference: 0.0478
4,0,55.7940,29.4290,Warrior,98.4035,62.9401,32.6533,5.0332,0.9699,1.8564,200,59.5207,499.6030,481.9860,655.8808,417.5644,417.2382,0.0386,0.0231,Population structure converged. Difference: 0.0439
4,1,56.4755,33.7427,Warrior,88.0397,69.3606,35.9843,5.5466,1.0689,1.8564,200,59.5207,388.1196,437.9687,601.0920,330.4645,381.9608,0.0396,0.0231,Population structure converged. Difference: 0.0439
4,2,57.2129,38.4372,Warrior,87.7464,55.2969,55.0124,1.2684,0.6759,1.8799,200,59.5207,346.3046,367.9792,547.8905,292.9206,260.6569,0.0334,0.0231,Population structure converged. Difference: 0.0439
4,3,57.7885,43.7109,Warrior,87.5331,70.9268,34.1418,1.2274,6.1709,1.8799,200,59.5207,279.3343,345.1296,496.7480,164.1277,199.0492,0.0279,0.0231,Population structure converged. Difference: 0.0439
4,4,57.9887,49.7075,Warrior,101.1337,63.7334,32.0103,1.8599,1.2627,1.8799,200,59.5207,196.1728,238.4350,319.7598,129.2565,102.4576,0.0137,0.0231,Population structure converged. Difference: 0.0439
4,5,59.4738,53.6349,Warrior,89.9770,72.5500,34.9231,1.2555,1.2944,1.8799,200,59.5207,81.5718,154.3371,222.9356,45.9539,29.9718,0.0057,0.0231,Population structure converged. Difference: 0.0439
4,6,59.3970,55.5589,Warrior,90.3226,70.6750,36.5874,1.2955,1.1195,1.8799,200,59.5207,35.3701,75.3288,150.5658,33.1485,21.5725,0.0020,0.0231,Population structure converged. Difference: 0.0439
4,7,59.5207,57.0151,Warrior,90.7028,70.3406,36.9939,1.2611,0.7016,1.8799,200,59.5207,9.2474,42.1020,66.0768,0.8737,4.2331,0.0002,0.0231,Population structure converged. Difference: 0.0439
5,0,51.0712,30.5645,Warrior,80.7741,79.3611,19.8452,3.0293,16.9903,1.8356,200,58.7946,332.6301,426.5007,419.6857,357.4185,405.7948,0.0405,0.0354,Population structure converged. Difference: 0.0409
5,1,50.9412,33.5149,Warrior,83.9712,76.3574,19.0941,2.9147,17.6627,1.8356,200,58.7946,293.2002,501.7090,351.1800,409.1807,183.2358,0.0442,0.0354,Population structure converged. Difference: 0.0409
5,2,50.9412,36.7643,Warrior,83.9712,76.3574,19.0941,2.9147,17.6627,1.8356,200,58.7946,232.0506,462.5365,310.8493,281.8364,155.1837,0.0460,0.0354,Population structure converged. Difference: 0.0409
5,3,51.0215,41.0338,Warrior,72.6673,67.9939,39.1801,11.7012,8.4575,1.9629,200,58.7946,109.1187,318.4124,245.0581,124.7001,145.3599,0.0366,0.0354,Population structure converged. Difference: 0.0409
5,4,51.8615,44.5190,Warrior,79.4791,64.3565,37.0841,11.0753,8.0051,1.9629,200,58.7946,95.6436,272.9846,259.3584,75.7749,103.5766,0.0203,0.0354,Population structure converged. Difference: 0.0409
5,5,55.6903,47.5742,Warrior,69.4124,70.7641,54.6109,3.3513,1.8612,1.8947,200,58.7946,79.6742,160.7249,202.7801,46.8548,77.7503,0.0208,0.0354,Population structure converged. Difference: 0.0409
