Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.7046,33.7973,Warrior,80.3538,64.5722,22.5338,8.9708,23.5694,1.7564,200,50.6789,350.8590,314.6290,294.5178,289.6162,249.0647,0.0316,0.0301,Population structure converged. Difference: 0.0349
1,1,48.7151,40.1688,Warrior,74.7734,67.5839,23.5848,9.3892,24.6687,1.9358,200,50.6789,232.9829,121.8837,251.7357,109.6036,86.8164,0.0171,0.0301,Population structure converged. Difference: 0.0349
1,2,49.0465,42.6281,Warrior,78.1726,65.7494,22.9446,9.1343,23.9991,1.9358,200,50.6789,97.8384,16.3649,89.7758,12.0205,24.8893,0.0109,0.0301,Population structure converged. Difference: 0.0349
1,3,50.6441,45.1394,Warrior,77.2160,69.7917,24.3553,9.5299,19.1071,1.9358,200,50.6789,16.4230,10.8577,34.7973,1.9877,3.8388,0.0146,0.0301,Population structure converged. Difference: 0.0349
1,4,50.6575,47.5917,Warrior,79.1669,68.3289,23.8448,9.0697,19.5898,1.9358,200,50.6789,7.9669,3.4985,2.5789,0.1231,4.7426,0.0095,0.0301,Population structure converged. Difference: 0.0349
1,5,50.6789,48.9721,Warrior,78.9742,68.1626,24.2960,9.5067,19.0606,1.9358,200,50.6789,4.9998,2.3540,0.3293,0.0748,5.4692,0.0027,0.0301,Population structure converged. Difference: 0.0349
2,0,55.3187,37.0191,Warrior,74.1083,88.2598,29.3693,3.9700,4.2926,1.8618,200,56.5432,508.9859,613.3584,262.9203,397.1411,280.6787,0.0321,0.0203,Population structure converged. Difference: 0.0416
2,1,55.3187,48.6098,Warrior,74.1083,88.2598,29.3693,3.9700,4.2926,1.8618,200,56.5432,113.5505,275.1786,89.5655,128.3370,78.8881,0.0040,0.0203,Population structure converged. Difference: 0.0416
2,2,55.6659,51.8570,Warrior,76.0609,85.3157,30.1431,4.0746,4.4057,1.8618,200,56.5432,24.4420,108.5187,43.3861,7.9300,94.6380,0.0002,0.0203,Population structure converged. Difference: 0.0416
2,3,56.5432,54.2829,Warrior,75.3304,89.7153,29.8536,0.7373,4.3634,1.8618,200,56.5432,4.1676,6.0499,0.8331,2.1761,40.7515,0.0000,0.0203,Population structure converged. Difference: 0.0416
