Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.1376,32.3068,Warrior,56.4139,58.7928,52.9723,19.8726,11.9483,1.9467,200,52.8857,221.7767,346.6226,210.9021,340.4948,383.9285,0.0368,0.0372,Population structure converged. Difference: 0.0086
1,1,49.6677,38.3074,Warrior,58.8798,75.0492,49.1736,6.1097,10.7877,1.9467,200,52.8857,83.1001,234.1377,114.3350,201.4486,196.7468,0.0174,0.0372,Population structure converged. Difference: 0.0086
1,2,50.3430,42.5898,Warrior,64.0891,63.9944,53.5242,6.6502,11.7421,1.9467,200,52.8857,52.8424,125.0450,49.0760,94.7559,68.5671,0.0079,0.0372,Population structure converged. Difference: 0.0086
1,3,51.0829,46.5416,Warrior,64.8387,70.4160,46.1378,6.7280,11.8794,1.9467,200,52.8857,27.5075,54.9599,19.9229,39.0908,51.4733,0.0010,0.0372,Population structure converged. Difference: 0.0086
1,4,51.4189,48.9958,Warrior,65.3864,68.1437,49.4705,6.1466,10.8528,1.9467,200,52.8857,11.9277,31.5237,15.0087,29.7792,15.7116,0.0003,0.0372,Population structure converged. Difference: 0.0086
1,5,51.6237,50.0616,Warrior,67.5448,64.6843,50.4388,6.2669,11.0652,1.9467,200,52.8857,10.1732,17.6261,10.4737,5.6149,4.9250,0.0001,0.0372,Population structure converged. Difference: 0.0086
1,6,51.7714,50.7652,Warrior,66.6897,69.9302,45.8195,6.7507,10.8100,1.9467,200,52.8857,7.0481,11.0286,8.0624,0.3276,0.8532,0.0001,0.0372,Population structure converged. Difference: 0.0086
1,7,52.2694,51.1809,Warrior,67.3829,67.2833,47.2318,6.9588,11.1432,1.9223,200,52.8857,5.6379,8.2785,7.3044,0.0775,0.3702,0.0001,0.0372,Population structure converged. Difference: 0.0086
1,8,52.7586,51.5213,Warrior,67.8600,67.7597,47.5663,6.0796,10.7345,1.9223,200,52.8857,2.8889,6.1954,5.3255,0.0921,0.1905,0.0001,0.0372,Population structure converged. Difference: 0.0086
1,9,52.8086,51.8058,Warrior,67.6358,68.9333,46.6724,6.0595,10.6990,1.9223,200,52.8857,1.8072,3.4772,3.0590,0.1019,0.1506,0.0002,0.0372,Population structure converged. Difference: 0.0086
1,10,52.8351,52.1306,Warrior,67.7720,68.8439,46.6119,6.0516,10.7206,1.9223,200,52.8857,1.5835,2.2665,1.9491,0.1058,0.0845,0.0001,0.0372,Population structure converged. Difference: 0.0086
1,11,52.8857,52.4342,Warrior,68.4767,67.7605,46.7976,6.0757,10.8894,1.9223,200,52.8857,1.2019,1.3116,0.8864,0.0781,0.0431,0.0001,0.0372,Population structure converged. Difference: 0.0086
2,0,49.2342,34.0185,Warrior,74.8685,43.1827,65.5666,9.4764,6.9058,1.8830,200,58.6061,364.3166,379.0227,355.7898,524.7880,390.9979,0.0444,0.0321,Population structure converged. Difference: 0.0089
2,1,53.6325,42.5679,Warrior,69.0449,71.0577,44.9121,6.7673,8.2180,1.9061,200,58.6061,220.3367,238.1598,194.5976,278.6041,215.5210,0.0399,0.0321,Population structure converged. Difference: 0.0089
2,2,56.9674,47.6488,Warrior,78.5869,76.3831,37.4213,7.0461,0.5626,1.8830,200,58.6061,69.4716,97.2650,216.6649,50.2521,176.6350,0.0248,0.0321,Population structure converged. Difference: 0.0089
2,3,57.1950,51.3903,Warrior,80.3622,78.1087,33.7486,7.2053,0.5753,1.8830,200,58.6061,35.9986,105.9337,164.9435,18.6666,100.0300,0.0106,0.0321,Population structure converged. Difference: 0.0089
2,4,57.6290,54.3913,Warrior,81.6508,73.9356,36.2223,7.5260,0.6653,1.9061,200,58.6061,25.7371,85.0347,66.8448,1.7733,58.9793,0.0058,0.0321,Population structure converged. Difference: 0.0089
2,5,57.8974,56.2735,Warrior,81.4140,84.7619,26.0658,7.0950,0.6634,1.9061,200,58.6061,7.3517,31.7455,33.0063,0.8431,14.1637,0.0027,0.0321,Population structure converged. Difference: 0.0089
2,6,58.2154,57.0919,Warrior,81.7433,85.1047,26.1712,6.3147,0.6660,1.9061,200,58.6061,3.6407,8.4885,16.0673,0.3757,2.3588,0.0003,0.0321,Population structure converged. Difference: 0.0089
2,7,58.3988,57.5823,Warrior,85.4705,79.8659,27.3645,6.6026,0.6964,1.9061,200,58.6061,4.5903,16.0741,24.4721,0.2005,0.0028,0.0001,0.0321,Population structure converged. Difference: 0.0089
2,8,58.4353,57.8481,Warrior,86.0743,79.4449,27.2202,6.5678,0.6927,1.9061,200,58.6061,7.2459,16.0287,25.0892,0.2788,0.0033,0.0001,0.0321,Population structure converged. Difference: 0.0089
2,9,58.6061,58.0912,Warrior,84.2653,80.4896,28.6429,5.9723,0.6299,1.9061,200,58.6061,6.5036,13.0399,20.2769,0.2128,0.0020,0.0000,0.0321,Population structure converged. Difference: 0.0089
3,0,47.3429,33.5094,Warrior,71.0639,69.1088,26.2173,27.8002,5.8098,1.8845,200,58.6756,371.6678,382.7964,364.7478,267.9441,413.1034,0.0403,0.0285,Population structure converged. Difference: 0.0075
3,1,52.3515,39.4148,Warrior,68.3709,66.4899,50.1596,9.3899,5.5897,1.8845,200,58.6756,171.3484,270.4282,243.2765,118.1704,299.0226,0.0275,0.0285,Population structure converged. Difference: 0.0075
3,2,54.2989,44.2420,Warrior,78.3636,76.2077,28.9103,10.3545,6.1638,1.8845,200,58.6756,84.9628,202.3515,176.6077,81.7298,95.1139,0.0085,0.0285,Population structure converged. Difference: 0.0075
3,3,57.8924,48.5457,Warrior,88.0798,85.6566,18.7147,0.3479,7.2010,1.8845,200,58.6756,33.6546,141.6642,192.9537,100.3134,49.8009,0.0002,0.0285,Population structure converged. Difference: 0.0075
3,4,58.4474,52.2613,Warrior,88.7952,86.3522,18.8667,0.3508,5.6351,1.8845,200,58.6756,47.2931,132.0351,169.5177,59.4210,5.7223,0.0000,0.0285,Population structure converged. Difference: 0.0075
3,5,58.5502,54.8995,Warrior,86.3544,83.9786,23.6372,0.3533,5.6765,1.8845,200,58.6756,60.1398,98.5681,166.3701,37.5575,0.8652,0.0000,0.0285,Population structure converged. Difference: 0.0075
3,6,58.6239,56.9180,Warrior,87.7246,82.9661,23.3523,0.3491,5.6080,1.8845,200,58.6756,44.9149,61.1621,115.9682,15.7744,0.5524,0.0000,0.0285,Population structure converged. Difference: 0.0075
