Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.3313,36.5093,Warrior,71.6556,72.3229,18.6308,24.4917,12.8990,1.8448,200,55.7008,158.6531,435.5817,321.6346,232.1624,254.8050,0.0269,0.0235,Population structure converged. Difference: 0.0069
1,1,51.1103,41.8212,Warrior,58.5104,93.1607,37.8433,3.5874,6.8983,1.8855,200,55.7008,64.9840,260.2266,202.1474,204.6028,106.3139,0.0028,0.0235,Population structure converged. Difference: 0.0069
1,2,51.1103,46.5015,Warrior,58.5104,93.1607,37.8433,3.5874,6.8983,1.8855,200,55.7008,63.3167,194.0767,160.7398,78.5248,98.8124,0.0006,0.0235,Population structure converged. Difference: 0.0069
1,3,53.9546,50.7105,Warrior,67.9509,75.9223,43.9492,4.1662,8.0113,1.8855,200,55.7008,11.7236,100.6296,46.1154,16.3554,10.5135,0.0002,0.0235,Population structure converged. Difference: 0.0069
1,4,55.4001,51.3502,Warrior,72.9504,73.6298,42.6221,3.6915,7.1062,1.8855,200,55.7008,9.8203,71.0805,25.2545,0.0259,2.4351,0.0001,0.0235,Population structure converged. Difference: 0.0069
1,5,55.4001,52.7042,Warrior,72.9504,73.6298,42.6221,3.6915,7.1062,1.8855,200,55.7008,23.0846,76.5303,28.5778,0.0777,2.5144,0.0000,0.0235,Population structure converged. Difference: 0.0069
1,6,55.6455,54.7640,Warrior,75.3163,76.0177,36.8183,4.0534,7.7944,1.8855,200,55.7008,8.8569,16.0421,3.9843,0.0426,0.6274,0.0000,0.0235,Population structure converged. Difference: 0.0069
1,7,55.7008,55.3164,Warrior,76.3170,74.3703,37.3075,4.1072,7.8979,1.8855,200,55.7008,1.2359,2.3255,2.2050,0.0183,0.7520,0.0000,0.0235,Population structure converged. Difference: 0.0069
2,0,52.4387,40.5581,Warrior,79.0470,66.8066,35.0619,6.3719,12.7126,1.9612,200,55.5150,156.1679,221.8640,236.9856,133.4212,177.6426,0.0282,0.0225,Population structure converged. Difference: 0.0031
2,1,52.4387,47.6117,Warrior,79.0470,66.8066,35.0619,6.3719,12.7126,1.9612,200,55.5150,34.7310,21.5607,62.6635,16.7098,63.5714,0.0051,0.0225,Population structure converged. Difference: 0.0031
