Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.9797,36.5651,Warrior,73.6727,67.5335,20.4508,3.9390,34.4040,1.8938,200,58.1661,330.8058,476.2273,377.9974,328.7592,336.1607,0.0298,0.0256,Population structure converged. Difference: 0.0073
1,1,49.3216,42.6635,Warrior,67.2473,61.6435,48.4604,11.8322,10.8165,1.8664,200,58.1661,168.4009,201.1033,246.5007,130.7120,143.9777,0.0152,0.0256,Population structure converged. Difference: 0.0073
1,2,51.3708,46.5242,Warrior,69.9547,64.1253,50.4114,12.3086,3.1999,1.8664,200,58.1661,40.7100,33.5840,121.4259,35.3475,128.8233,0.0015,0.0256,Population structure converged. Difference: 0.0073
1,3,51.5735,48.2487,Warrior,79.6125,72.9783,24.3367,12.0536,11.0188,1.8664,200,58.1661,13.3389,11.7306,184.5923,43.2672,218.7963,0.0001,0.0256,Population structure converged. Difference: 0.0073
1,4,56.8736,49.7876,Warrior,87.0021,80.3551,24.3335,4.6868,3.6224,1.8664,200,58.1661,20.1775,19.6995,133.1946,25.9891,102.0294,0.0000,0.0256,Population structure converged. Difference: 0.0073
1,5,57.9676,52.0088,Warrior,87.5992,79.8854,24.1913,4.6925,3.6316,1.8938,200,58.1661,49.4400,48.6003,145.4995,23.7955,25.0870,0.0000,0.0256,Population structure converged. Difference: 0.0073
1,6,57.9728,55.0394,Warrior,87.6057,79.8913,24.1931,4.6872,3.6227,1.8938,200,58.1661,42.8530,45.4244,102.5246,24.5012,3.9841,0.0000,0.0256,Population structure converged. Difference: 0.0073
1,7,57.9756,56.8678,Warrior,87.5434,79.8346,24.3180,4.6839,3.6201,1.8938,200,58.1661,6.6537,5.8070,11.6126,4.8322,0.0215,0.0001,0.0256,Population structure converged. Difference: 0.0073
1,8,57.9794,57.3814,Warrior,87.3421,80.1133,24.2603,4.6727,3.6115,1.8938,200,58.1661,2.2210,0.9287,0.0687,2.3161,0.0093,0.0002,0.0256,Population structure converged. Difference: 0.0073
1,9,58.1661,57.7474,Warrior,87.8612,80.1244,24.2637,4.7009,3.0499,1.8938,200,58.1661,0.6074,0.4233,0.0255,0.0010,0.0049,0.0001,0.0256,Population structure converged. Difference: 0.0073
2,0,46.7844,34.0797,Warrior,79.4459,49.3293,45.4512,9.5684,16.2052,1.8232,200,52.1668,278.6337,380.7923,327.1610,253.7537,319.0638,0.0412,0.0272,Population structure converged. Difference: 0.0090
2,1,46.7844,39.1281,Warrior,79.4459,49.3293,45.4512,9.5684,16.2052,1.8232,200,52.1668,200.1801,430.3219,252.3956,108.6339,300.6517,0.0478,0.0272,Population structure converged. Difference: 0.0090
2,2,46.7844,43.8303,Warrior,79.4459,49.3293,45.4512,9.5684,16.2052,1.8232,200,52.1668,110.5648,199.2093,102.0626,30.3921,80.2920,0.0258,0.0272,Population structure converged. Difference: 0.0090
2,3,48.3246,46.1207,Warrior,71.9344,63.5750,41.1539,8.6638,14.6730,1.8232,200,52.1668,43.4556,70.4878,32.8790,6.5844,17.6631,0.0087,0.0272,Population structure converged. Difference: 0.0090
2,4,51.4735,46.7372,Warrior,76.5210,78.6857,28.9120,1.5459,14.3354,1.8232,200,52.1668,9.6745,34.4796,24.0158,4.1726,5.3052,0.0041,0.0272,Population structure converged. Difference: 0.0090
2,5,51.4735,47.6169,Warrior,76.5210,78.6857,28.9120,1.5459,14.3354,1.8232,200,52.1668,10.6025,117.6601,40.8201,10.4781,1.3330,0.0039,0.0272,Population structure converged. Difference: 0.0090
