Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.5723,32.9669,Warrior,64.9437,95.4242,23.1675,8.9677,7.4968,1.7956,200,55.9871,133.8503,235.3002,450.4715,175.6875,301.4783,0.0443,0.0178,Population structure converged. Difference: 0.0268
1,1,53.8934,38.2107,Warrior,84.9765,73.0347,29.7805,11.5275,0.6809,1.8464,200,55.9871,117.0706,160.5703,460.9007,133.2728,186.3373,0.0430,0.0178,Population structure converged. Difference: 0.0268
1,2,53.9508,43.0333,Warrior,85.0639,73.1099,29.8111,11.5394,0.4757,1.8464,200,55.9871,91.6416,169.5042,250.1044,84.8635,46.0291,0.0053,0.0178,Population structure converged. Difference: 0.0268
1,3,55.9309,48.1155,Warrior,84.8240,72.9036,35.7094,5.8834,0.6796,1.8464,200,55.9871,102.8605,220.2799,293.9945,47.7474,22.2137,0.0026,0.0178,Population structure converged. Difference: 0.0268
1,4,55.9481,52.8602,Warrior,84.3692,73.5850,35.5180,5.8518,0.6760,1.8464,200,55.9871,37.6576,31.9000,149.1531,8.1379,7.1603,0.0006,0.0178,Population structure converged. Difference: 0.0268
1,5,55.9871,54.5250,Warrior,84.9844,72.9104,35.7127,5.8839,0.5085,1.8464,200,55.9871,8.6009,6.7523,43.2519,6.1201,0.0083,0.0000,0.0178,Population structure converged. Difference: 0.0268
2,0,55.8919,36.0357,Warrior,96.0056,57.4236,36.9505,2.4387,7.1817,1.8947,200,57.8697,152.8497,248.2398,268.3359,159.9400,219.6875,0.0369,0.0126,Population structure converged. Difference: 0.0282
2,1,57.7198,43.8326,Warrior,88.9081,80.4318,21.4459,2.5635,6.6507,1.8947,200,57.8697,138.3501,124.2854,193.6185,85.1093,252.2222,0.0126,0.0126,Population structure converged. Difference: 0.0282
2,2,57.7198,51.7187,Warrior,88.9081,80.4318,21.4459,2.5635,6.6507,1.8947,200,57.8697,131.4673,139.9393,131.5713,163.2252,11.3021,0.0013,0.0126,Population structure converged. Difference: 0.0282
2,3,57.8697,56.2821,Warrior,87.9995,81.4619,21.7206,2.2353,6.5828,1.8947,200,57.8697,57.1581,130.3156,43.5387,0.0395,0.7238,0.0004,0.0126,Population structure converged. Difference: 0.0282
3,0,42.7067,33.1175,Warrior,64.4180,38.7231,54.9973,4.7870,37.0746,1.9295,200,53.5138,221.9364,168.4260,496.1210,186.7861,297.7532,0.0403,0.0228,Population structure converged. Difference: 0.0490
3,1,43.9522,38.6322,Warrior,62.0719,56.4351,39.9894,9.0198,32.4837,1.9579,200,53.5138,89.3190,100.0143,376.9913,80.0825,220.8529,0.0402,0.0228,Population structure converged. Difference: 0.0490
3,2,47.5711,41.4034,Warrior,76.6251,43.4344,54.6139,10.5881,14.7384,1.9549,200,53.5138,45.3016,109.4391,322.3926,12.0565,124.9985,0.0525,0.0228,Population structure converged. Difference: 0.0490
3,3,50.9072,43.8832,Warrior,67.5831,67.4333,47.7827,10.7777,6.4233,1.9579,200,53.5138,52.6494,82.3155,88.8389,9.5291,188.5486,0.0555,0.0228,Population structure converged. Difference: 0.0490
3,4,52.4568,46.2613,Warrior,75.8302,63.2335,44.8067,10.1064,6.0232,1.9579,200,53.5138,54.9725,77.4306,72.5132,12.7563,124.1615,0.0680,0.0228,Population structure converged. Difference: 0.0490
3,5,53.5138,48.9695,Warrior,76.1366,58.1074,54.9260,4.9912,5.8388,1.9549,200,53.5138,32.9138,78.6650,28.2738,11.0945,27.3246,0.0154,0.0228,Population structure converged. Difference: 0.0490
3,6,53.5138,51.0147,Warrior,76.1366,58.1074,54.9260,4.9912,5.8388,1.9549,200,53.5138,30.4577,84.7459,33.4136,3.7288,9.2138,0.0002,0.0228,Population structure converged. Difference: 0.0490
4,0,41.0793,31.7343,Warrior,54.3179,49.9161,56.2713,6.8932,32.6015,1.9728,200,57.0239,218.9364,212.0267,419.2455,332.5483,324.5288,0.0410,0.0195,Population structure converged. Difference: 0.0400
4,1,43.6420,37.1822,Warrior,91.9526,36.4632,62.0240,3.9265,5.6337,1.7557,200,57.0239,149.9858,132.0272,243.4206,165.0206,177.0246,0.0372,0.0195,Population structure converged. Difference: 0.0400
4,2,46.9048,40.8335,Warrior,78.5868,50.5662,43.5484,23.5599,3.7388,1.8585,200,57.0239,197.7736,49.6267,225.8571,99.0878,205.6850,0.0314,0.0195,Population structure converged. Difference: 0.0400
4,3,54.7230,43.3299,Warrior,87.3742,56.2204,48.4179,3.8307,4.1569,1.8585,200,57.0239,153.0280,110.9176,127.1964,125.1814,134.6061,0.0235,0.0195,Population structure converged. Difference: 0.0400
4,4,56.3715,47.5855,Warrior,71.8356,72.2412,48.4546,3.0675,4.4012,1.9166,200,57.0239,115.5265,101.5448,136.5111,81.6900,88.1730,0.0188,0.0195,Population structure converged. Difference: 0.0400
4,5,56.3715,51.8768,Warrior,71.8356,72.2412,48.4546,3.0675,4.4012,1.9166,200,57.0239,38.7926,292.9239,291.6723,25.3899,1.5846,0.0180,0.0195,Population structure converged. Difference: 0.0400
4,6,57.0239,54.8295,Warrior,76.7089,65.5653,51.4820,3.2925,2.9514,1.9166,200,57.0239,31.1751,78.9266,72.9879,1.5095,0.4870,0.0007,0.0195,Population structure converged. Difference: 0.0400
5,0,43.9202,33.3023,Warrior,82.8842,42.4261,60.6128,8.3220,5.7548,1.4852,200,59.7584,244.8949,362.6095,308.8023,171.0721,306.4036,0.0309,0.0261,Population structure converged. Difference: 0.0176
5,1,46.2600,38.4485,Warrior,71.1147,64.0781,52.5930,7.2209,4.9934,1.4852,200,59.7584,112.6569,437.3968,367.4411,108.7370,219.9989,0.0286,0.0261,Population structure converged. Difference: 0.0176
5,2,55.4376,42.0233,Warrior,76.1701,84.6861,37.0788,0.7958,1.2692,1.8273,200,59.7584,72.4197,408.7271,415.0469,128.4346,174.6189,0.0198,0.0261,Population structure converged. Difference: 0.0176
5,3,55.5297,46.1803,Warrior,79.8765,76.6213,40.3477,1.8235,1.3310,1.8273,200,59.7584,49.9314,308.3721,300.4326,113.0970,24.8455,0.0336,0.0261,Population structure converged. Difference: 0.0176
5,4,57.6700,50.3215,Warrior,74.8930,67.4825,55.3873,0.8622,1.3750,1.8965,200,59.7584,36.9497,94.8217,76.3145,35.6994,63.6280,0.0378,0.0261,Population structure converged. Difference: 0.0176
5,5,59.4122,54.3602,Warrior,81.0606,73.0398,43.4781,0.9332,1.4882,1.8965,200,59.7584,23.6670,67.5550,42.5329,10.4422,10.5507,0.0040,0.0261,Population structure converged. Difference: 0.0176
