Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.3189,30.6550,Warrior,86.3555,69.1074,32.9535,0.4790,11.1046,1.6778,200,55.9154,241.1402,350.5910,318.1053,356.6730,276.7699,0.0355,0.0335,Population structure converged. Difference: 0.0415
1,1,45.3189,34.4157,Warrior,86.3555,69.1074,32.9535,0.4790,11.1046,1.6778,200,55.9154,195.8406,245.7975,219.4455,265.1879,171.6946,0.0270,0.0335,Population structure converged. Difference: 0.0415
1,2,45.3189,37.8061,Warrior,86.3555,69.1074,32.9535,0.4790,11.1046,1.6778,200,55.9154,114.3125,252.0912,118.3250,135.6173,90.8647,0.0230,0.0335,Population structure converged. Difference: 0.0415
1,3,50.0578,40.8793,Warrior,95.0465,46.5468,37.2001,0.2022,21.0044,1.8872,200,55.9154,124.5797,238.9597,89.0585,99.8296,94.9561,0.0173,0.0335,Population structure converged. Difference: 0.0415
1,4,54.5234,44.1935,Warrior,80.7697,58.3674,46.8012,0.1341,13.9277,1.8872,200,55.9154,77.4278,145.8110,58.8082,35.5965,58.2708,0.0125,0.0335,Population structure converged. Difference: 0.0415
1,5,54.8992,46.4156,Warrior,87.6478,63.3378,33.6668,0.2339,15.1137,1.8872,200,55.9154,63.3045,106.1340,48.7937,14.3074,47.2870,0.0153,0.0335,Population structure converged. Difference: 0.0415
1,6,55.5305,49.1485,Warrior,80.3217,71.3208,34.0090,0.1163,14.2321,1.8872,200,55.9154,66.9627,88.0596,47.6989,9.3916,44.5596,0.0094,0.0335,Population structure converged. Difference: 0.0415
1,7,55.5695,51.6804,Warrior,75.7899,68.7907,43.5204,0.4920,11.4070,1.8872,200,55.9154,42.1374,49.0364,44.9575,4.0173,24.1324,0.0038,0.0335,Population structure converged. Difference: 0.0415
1,8,55.9154,53.6889,Warrior,78.5420,67.2665,42.5561,0.4811,11.1543,1.8872,200,55.9154,26.9584,33.0522,30.7651,0.6786,10.8885,0.0011,0.0335,Population structure converged. Difference: 0.0415
2,0,54.6594,30.9716,Warrior,86.2536,53.3606,55.3893,4.6780,0.3184,1.9613,200,56.6716,459.1445,440.2927,434.4791,310.5665,525.6248,0.0392,0.0299,Population structure converged. Difference: 0.0362
2,1,54.6594,37.6204,Warrior,86.2536,53.3606,55.3893,4.6780,0.3184,1.9613,200,56.6716,341.0368,366.8573,296.4308,210.1843,349.2107,0.0548,0.0299,Population structure converged. Difference: 0.0362
2,2,54.6594,42.6026,Warrior,86.2536,53.3606,55.3893,4.6780,0.3184,1.9613,200,56.6716,224.9325,227.5889,288.2332,202.1068,110.8173,0.0505,0.0299,Population structure converged. Difference: 0.0362
2,3,54.6594,48.0392,Warrior,86.2536,53.3606,55.3893,4.6780,0.3184,1.9613,200,56.6716,128.9713,114.1904,263.7684,78.6566,69.5053,0.0190,0.0299,Population structure converged. Difference: 0.0362
2,4,55.2643,51.0619,Warrior,103.8265,64.2320,25.6691,5.8726,0.3998,1.9613,200,56.6716,58.5907,101.3673,201.4219,35.6464,62.7032,0.0117,0.0299,Population structure converged. Difference: 0.0362
2,5,56.5110,53.1968,Warrior,94.0257,75.8511,21.9059,4.7761,3.4412,1.8632,200,56.6716,43.7152,49.5009,143.9847,24.1741,27.1505,0.0037,0.0299,Population structure converged. Difference: 0.0362
2,6,56.6716,53.9507,Warrior,94.2324,76.0178,21.9540,4.3471,3.4487,1.8632,200,56.6716,45.2732,51.2352,136.2254,9.8902,23.6804,0.0036,0.0299,Population structure converged. Difference: 0.0362
