Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.9573,30.6908,Warrior,56.7592,72.4543,54.1436,5.2120,11.4309,1.7841,200,54.4309,759.4888,381.3452,524.0602,394.0045,398.9996,0.0372,0.0581,Population structure converged. Difference: 0.0078
1,1,49.3759,36.1681,Warrior,62.6922,64.1259,47.9200,4.6129,20.6490,1.9214,200,54.4309,495.6043,292.2761,537.8989,223.6815,186.9488,0.0373,0.0581,Population structure converged. Difference: 0.0078
1,2,50.3427,40.9360,Warrior,78.4244,43.2041,59.9453,5.7704,12.6558,1.9214,200,54.4309,186.4950,177.6845,183.8042,132.1482,54.0855,0.0269,0.0581,Population structure converged. Difference: 0.0078
1,3,52.2053,44.8006,Warrior,65.7213,67.2243,50.2354,4.8357,11.9832,1.9214,200,54.4309,105.2785,119.6059,75.1719,93.7634,28.0656,0.0112,0.0581,Population structure converged. Difference: 0.0078
1,4,52.8871,47.2671,Warrior,78.7772,60.7207,45.3753,4.7372,10.3896,1.8573,200,54.4309,79.7267,118.8071,42.0039,44.3589,21.4058,0.0045,0.0581,Population structure converged. Difference: 0.0078
1,5,53.5644,49.1954,Warrior,73.1462,63.0682,47.1296,5.4137,11.2424,1.9214,200,54.4309,76.5950,130.5643,46.0593,13.4284,22.0901,0.0036,0.0581,Population structure converged. Difference: 0.0078
1,6,53.9653,51.0087,Warrior,75.5850,61.4911,46.8593,4.9142,11.1504,1.9214,200,54.4309,58.7101,80.4950,24.2961,0.9356,14.8373,0.0030,0.0581,Population structure converged. Difference: 0.0078
1,7,54.1917,52.1944,Warrior,76.1083,61.4923,46.8602,4.5767,10.9625,1.9214,200,54.4309,22.3236,45.0726,19.0964,0.2084,8.5866,0.0007,0.0581,Population structure converged. Difference: 0.0078
1,8,54.3986,53.1439,Warrior,79.6772,60.4115,44.0484,4.9677,10.8952,1.9214,200,54.4309,8.7517,22.3691,11.9384,0.1597,3.0106,0.0003,0.0581,Population structure converged. Difference: 0.0078
1,9,54.4286,53.6768,Warrior,79.7079,60.4348,44.0653,4.8736,10.9183,1.9214,200,54.4309,3.1264,9.6740,6.3035,0.1005,0.4097,0.0002,0.0581,Population structure converged. Difference: 0.0078
1,10,54.4309,54.0112,Warrior,79.7076,60.4346,44.0652,4.8310,10.9616,1.9214,200,54.4309,2.9923,1.0382,1.7716,0.0603,0.2848,0.0001,0.0581,Population structure converged. Difference: 0.0078
2,0,46.1515,30.4910,Warrior,68.7607,51.5609,50.4467,14.7973,14.4344,1.8481,200,53.6687,322.5590,434.3138,397.3837,480.6321,305.6816,0.0375,0.0756,Population structure converged. Difference: 0.0086
2,1,46.7357,36.2859,Warrior,69.6621,52.2368,51.1080,14.9913,12.0019,1.8481,200,53.6687,220.6514,388.4525,253.7574,231.7554,266.3606,0.0272,0.0756,Population structure converged. Difference: 0.0086
2,2,47.7288,41.0730,Warrior,72.5554,62.8850,34.0917,14.0616,16.4063,1.8481,200,53.6687,137.6159,227.0715,154.4892,78.1941,164.3134,0.0138,0.0756,Population structure converged. Difference: 0.0086
2,3,49.2563,44.3086,Warrior,74.8312,60.7000,32.9071,13.5730,17.9886,1.9012,200,53.6687,72.7245,133.9448,119.7939,32.2965,92.9581,0.0060,0.0756,Population structure converged. Difference: 0.0086
2,4,50.6471,46.8303,Warrior,68.1637,68.9896,37.4012,10.2771,15.1684,1.9012,200,53.6687,45.9858,83.1501,86.0322,14.4319,12.0215,0.0019,0.0756,Population structure converged. Difference: 0.0086
2,5,50.6471,48.0799,Warrior,68.1637,68.9896,37.4012,10.2771,15.1684,1.9012,200,53.6687,28.0188,42.1248,60.4923,4.8498,2.8140,0.0009,0.0756,Population structure converged. Difference: 0.0086
2,6,51.4580,49.0717,Warrior,70.4906,70.3654,34.8376,9.3231,14.9834,1.9012,200,53.6687,24.3972,30.2623,56.8146,3.9474,2.5149,0.0004,0.0756,Population structure converged. Difference: 0.0086
