Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.3469,33.5597,Warrior,80.1784,64.5637,42.0279,9.5301,3.6999,1.9904,200,57.1749,352.5081,429.2907,399.2532,289.5826,359.5106,0.0431,0.0288,Population structure converged. Difference: 0.0285
1,1,50.3469,39.3954,Warrior,80.1784,64.5637,42.0279,9.5301,3.6999,1.9904,200,57.1749,370.7644,245.4649,325.2790,198.5034,248.6104,0.0511,0.0288,Population structure converged. Difference: 0.0285
1,2,51.6878,45.6681,Warrior,68.1012,71.0713,46.2640,10.4906,4.0728,1.9599,200,57.1749,254.5973,137.9344,199.4578,82.1820,183.8149,0.0358,0.0288,Population structure converged. Difference: 0.0285
1,3,54.4075,49.0537,Warrior,71.6593,66.4335,55.2643,1.8733,4.7697,1.9599,200,57.1749,74.2053,65.3204,65.0589,43.2845,61.2671,0.0165,0.0288,Population structure converged. Difference: 0.0285
1,4,54.8721,50.6172,Warrior,70.9094,74.0020,48.1717,1.9505,4.9663,1.9599,200,57.1749,54.1908,20.1202,64.2534,7.5562,1.2294,0.0015,0.0288,Population structure converged. Difference: 0.0285
1,5,57.0205,51.6360,Warrior,95.1665,78.2530,19.9715,1.8637,4.7453,1.9599,200,57.1749,67.8023,21.6895,102.0623,13.4322,0.6782,0.0008,0.0288,Population structure converged. Difference: 0.0285
1,6,57.0173,52.9910,Warrior,95.1619,78.2493,19.9705,1.8663,4.7519,1.9599,200,57.1749,88.4810,23.8410,121.9192,17.4195,0.3119,0.0002,0.0288,Population structure converged. Difference: 0.0285
1,7,57.1749,54.2017,Warrior,89.7138,79.6540,23.6831,1.9505,4.9986,1.9599,200,57.1749,89.0455,23.3376,148.2636,8.8698,0.2502,0.0002,0.0288,Population structure converged. Difference: 0.0285
1,8,57.1749,55.5880,Warrior,89.7138,79.6540,23.6831,1.9505,4.9986,1.9599,200,57.1749,115.9655,21.9208,185.6632,2.3848,0.2605,0.0000,0.0288,Population structure converged. Difference: 0.0285
2,0,47.6431,31.8480,Warrior,68.0864,57.1409,51.7824,4.3858,18.6045,1.9794,200,53.4714,383.5778,517.4617,313.0226,287.9678,238.0131,0.0382,0.0201,Population structure converged. Difference: 0.0480
2,1,47.6431,37.4329,Warrior,68.0864,57.1409,51.7824,4.3858,18.6045,1.9794,200,53.4714,244.8042,260.7879,288.7056,225.7251,220.6314,0.0467,0.0201,Population structure converged. Difference: 0.0480
2,2,52.7951,43.0547,Warrior,75.8369,63.6454,54.1290,4.9976,1.3911,1.9794,200,53.4714,119.9842,103.0600,71.8790,160.3807,101.9613,0.0581,0.0201,Population structure converged. Difference: 0.0480
2,3,52.8723,46.9829,Warrior,75.5462,63.4014,53.9216,4.9785,2.1523,1.8332,200,53.4714,22.3772,34.2183,31.0630,46.6438,39.2093,0.0165,0.0201,Population structure converged. Difference: 0.0480
2,4,53.2980,48.7891,Warrior,76.9755,64.6010,52.5599,4.4517,1.4120,1.9794,200,53.4714,14.6972,27.6441,44.3646,35.4503,73.4330,0.0066,0.0201,Population structure converged. Difference: 0.0480
2,5,53.4714,51.0224,Warrior,76.3335,51.7864,64.9032,5.4971,1.4798,1.8844,200,53.4714,15.1765,22.4956,29.4171,12.1460,49.7978,0.0047,0.0201,Population structure converged. Difference: 0.0480
3,0,47.8216,31.7312,Warrior,88.2220,70.2698,28.1034,10.5717,2.8332,1.4836,200,58.8189,331.2662,345.5155,402.7191,251.1926,373.2058,0.0444,0.0320,Population structure converged. Difference: 0.0373
3,1,48.9563,36.1461,Warrior,90.6345,72.1914,28.8720,5.8892,2.4128,1.7507,200,58.8189,206.7168,248.2584,350.5494,212.0867,269.2549,0.0375,0.0320,Population structure converged. Difference: 0.0373
3,2,48.9563,41.4605,Warrior,90.6345,72.1914,28.8720,5.8892,2.4128,1.7507,200,58.8189,179.9159,139.8456,304.5181,83.9599,202.7371,0.0406,0.0320,Population structure converged. Difference: 0.0373
3,3,48.9876,46.0924,Warrior,68.8288,70.4955,28.1937,10.6056,21.8764,1.9195,200,58.8189,114.0839,92.9448,207.4569,40.9169,94.8713,0.0348,0.0320,Population structure converged. Difference: 0.0373
3,4,50.5036,47.5396,Warrior,81.8166,63.5155,25.4021,9.5555,19.7103,1.9195,200,58.8189,91.2392,49.1860,108.3765,15.1772,65.6214,0.0266,0.0320,Population structure converged. Difference: 0.0373
3,5,57.1728,48.6804,Warrior,78.2946,80.1905,32.0711,6.6991,2.7447,1.9195,200,58.8189,57.4581,16.7565,62.3175,4.9036,43.3934,0.0169,0.0320,Population structure converged. Difference: 0.0373
3,6,57.7049,49.4507,Warrior,80.0317,81.9696,29.5125,6.0199,2.4664,1.9195,200,58.8189,81.8470,14.0245,27.2275,4.3144,76.0964,0.0259,0.0320,Population structure converged. Difference: 0.0373
3,7,58.6790,50.7507,Warrior,91.3779,72.7836,29.1088,4.2971,2.4326,1.9195,200,58.8189,65.7703,25.9586,8.7921,3.4899,83.9373,0.0311,0.0320,Population structure converged. Difference: 0.0373
3,8,58.8178,53.8881,Warrior,86.1293,78.0548,29.1623,4.3050,2.3486,1.9195,200,58.8189,50.0505,44.5353,9.3729,2.0252,72.6359,0.0088,0.0320,Population structure converged. Difference: 0.0373
3,9,58.8189,56.7065,Warrior,86.1307,78.0561,29.1628,4.3051,2.3453,1.9195,200,58.8189,38.1691,26.3250,4.9217,1.4354,34.7567,0.0024,0.0320,Population structure converged. Difference: 0.0373
