Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.5441,31.6148,Warrior,65.5026,70.2938,45.2723,14.6456,4.2857,1.9453,200,57.2342,271.7850,355.9925,459.8780,422.2942,480.7681,0.0447,0.0214,Population structure converged. Difference: 0.0468
1,1,56.1743,37.7896,Warrior,70.4200,75.5709,48.6710,0.7307,4.6074,1.9453,200,57.2342,155.1669,231.9218,406.6258,286.9508,337.0849,0.0544,0.0214,Population structure converged. Difference: 0.0468
1,2,56.2192,44.3515,Warrior,70.4685,75.6230,48.7045,0.7312,4.4728,1.9453,200,57.2342,112.8132,101.5934,165.9016,82.3194,151.0949,0.0415,0.0214,Population structure converged. Difference: 0.0468
1,3,56.8413,49.1258,Warrior,78.9283,63.0578,52.8195,0.7299,4.4646,1.9453,200,57.2342,66.4055,35.3657,74.9892,50.9899,10.9001,0.0175,0.0214,Population structure converged. Difference: 0.0468
1,4,56.8413,52.0216,Warrior,78.9283,63.0578,52.8195,0.7299,4.4646,1.9453,200,57.2342,37.5085,34.0379,64.0781,36.3303,0.3831,0.0000,0.0214,Population structure converged. Difference: 0.0468
1,5,57.2342,54.6772,Warrior,77.5255,67.3752,50.3241,0.7852,3.9900,1.9453,200,57.2342,31.7986,40.7268,41.5889,16.6649,0.3064,0.0000,0.0214,Population structure converged. Difference: 0.0468
2,0,43.7831,32.3108,Warrior,60.9416,69.3906,25.3140,23.0895,21.2642,1.9429,200,55.9523,265.2696,388.2861,266.2455,223.0021,294.3815,0.0433,0.0468,Population structure converged. Difference: 0.0434
2,1,50.8733,36.8601,Warrior,68.6993,64.4613,44.5076,4.9803,17.3514,1.9476,200,55.9523,204.6367,258.2803,231.2655,216.3086,168.3457,0.0376,0.0468,Population structure converged. Difference: 0.0434
2,2,51.0640,41.4006,Warrior,68.6993,64.4613,44.5076,4.9803,17.3514,1.9429,200,55.9523,150.4270,228.2905,132.7218,96.9558,62.4238,0.0248,0.0468,Population structure converged. Difference: 0.0434
2,3,51.7682,44.7211,Warrior,70.1243,79.8463,29.1284,13.3077,7.5933,1.9429,200,55.9523,87.8547,126.5483,84.3807,67.5232,36.9570,0.0279,0.0468,Population structure converged. Difference: 0.0434
2,4,53.7966,48.2708,Warrior,74.5640,61.5186,51.5602,5.7695,6.5877,1.9476,200,55.9523,31.9865,70.0490,44.9865,31.4325,19.7209,0.0131,0.0468,Population structure converged. Difference: 0.0434
2,5,55.2017,50.7092,Warrior,83.8192,69.1545,33.1352,6.4856,7.4054,1.9476,200,55.9523,22.3357,18.0705,42.1223,10.3070,23.1535,0.0037,0.0468,Population structure converged. Difference: 0.0434
2,6,55.9286,51.9667,Warrior,84.6925,69.8750,33.4804,5.3730,6.5791,1.9476,200,55.9523,24.3366,33.1775,66.5670,11.1648,33.2399,0.0000,0.0468,Population structure converged. Difference: 0.0434
2,7,55.9523,53.6270,Warrior,85.6683,70.6801,31.5618,5.4349,6.6549,1.9476,200,55.9523,20.9828,44.5489,73.9739,6.0085,17.6928,0.0000,0.0468,Population structure converged. Difference: 0.0434
3,0,50.1074,31.9562,Warrior,67.9917,69.3840,36.1064,1.2873,25.2305,1.9439,200,58.5264,316.2415,303.2549,475.1989,302.1433,320.3848,0.0338,0.0383,Population structure converged. Difference: 0.0419
3,1,50.8772,38.0353,Warrior,91.3502,73.7744,10.1759,1.1991,23.5005,1.9439,200,58.5264,253.7571,239.6040,371.5926,154.7402,209.7161,0.0376,0.0383,Population structure converged. Difference: 0.0419
3,2,52.6288,45.2571,Warrior,81.3156,65.6705,30.9899,1.1049,20.9190,1.9439,200,58.5264,141.8211,168.6510,309.7821,92.2418,83.9049,0.0318,0.0383,Population structure converged. Difference: 0.0419
3,3,57.9149,49.0513,Warrior,84.8078,66.9744,42.4899,1.7717,3.9562,1.9441,200,58.5264,136.5223,89.0627,218.0837,11.5076,46.2973,0.0127,0.0383,Population structure converged. Difference: 0.0419
3,4,57.9149,51.3863,Warrior,84.8078,66.9744,42.4899,1.7717,3.9562,1.9441,200,58.5264,102.1232,42.0707,202.7784,1.7826,46.9525,0.0039,0.0383,Population structure converged. Difference: 0.0419
3,5,58.2465,53.4576,Warrior,90.6085,70.1622,33.1096,1.8929,4.2268,1.9441,200,58.5264,42.3161,23.0741,127.2042,0.0909,60.7336,0.0007,0.0383,Population structure converged. Difference: 0.0419
3,6,58.5264,56.1729,Warrior,90.9324,70.4131,33.2280,1.1847,4.2419,1.9441,200,58.5264,32.5097,18.2329,114.7730,0.0967,59.3508,0.0000,0.0383,Population structure converged. Difference: 0.0419
4,0,42.6062,30.7772,Warrior,82.4607,52.6588,36.0484,0.8588,27.9734,1.5086,200,56.4161,241.9193,345.7660,373.7294,343.9841,240.7484,0.0346,0.0302,Population structure converged. Difference: 0.0443
4,1,44.0279,35.5978,Warrior,72.9097,69.7245,31.8731,0.7593,24.7334,1.5086,200,56.4161,210.8576,215.2299,329.2794,181.3626,161.8492,0.0336,0.0302,Population structure converged. Difference: 0.0443
4,2,47.6645,39.3129,Warrior,71.5609,48.7259,50.8026,17.7090,11.2016,1.9137,200,56.4161,218.1355,116.7689,296.5421,99.4186,101.9259,0.0324,0.0302,Population structure converged. Difference: 0.0443
4,3,51.6278,42.3944,Warrior,72.9097,69.7245,31.8731,0.7593,24.7334,1.9137,200,56.4161,117.3778,55.7746,130.8836,44.0217,65.5164,0.0373,0.0302,Population structure converged. Difference: 0.0443
4,4,53.5792,45.4957,Warrior,67.7073,64.7494,54.7808,0.8320,11.9305,1.9137,200,56.4161,44.6125,59.0475,48.0251,28.0184,63.5825,0.0311,0.0302,Population structure converged. Difference: 0.0443
