Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,55.0681,31.2045,Warrior,99.7712,71.1985,15.2578,0.9677,12.8048,1.9182,200,58.3085,492.7860,396.6585,375.2873,433.0434,387.4894,0.0370,0.0349,Population structure converged. Difference: 0.0049
1,1,56.0924,36.9911,Warrior,93.1321,66.4607,27.3447,1.1097,11.9527,1.9182,200,58.3085,467.5223,357.0995,363.7126,281.0569,349.7650,0.0445,0.0349,Population structure converged. Difference: 0.0049
1,2,56.1729,43.5225,Warrior,91.9031,67.2250,27.6592,1.1225,12.0902,1.9182,200,58.3085,421.1118,300.6145,303.4405,158.5389,168.9055,0.0447,0.0349,Population structure converged. Difference: 0.0049
1,3,56.4212,49.4142,Warrior,87.6740,72.8608,25.8455,1.0489,12.5708,1.9182,200,58.3085,299.3056,172.6483,213.9398,72.3732,65.4218,0.0306,0.0349,Population structure converged. Difference: 0.0049
1,4,57.9733,52.8589,Warrior,94.7879,78.7728,17.9557,1.1389,7.3447,1.9182,200,58.3085,135.4244,80.7108,93.2998,46.1335,23.1441,0.0150,0.0349,Population structure converged. Difference: 0.0049
1,5,58.2283,55.0736,Warrior,89.1280,74.0691,28.1179,1.1659,7.5191,1.9182,200,58.3085,57.8365,59.0090,64.6750,16.4231,13.0905,0.0003,0.0349,Population structure converged. Difference: 0.0049
1,6,58.2990,55.8258,Warrior,89.2178,74.1438,28.1462,1.1400,7.3521,1.9182,200,58.3085,25.4330,34.1041,27.7349,6.6367,8.0221,0.0001,0.0349,Population structure converged. Difference: 0.0049
1,7,58.2990,56.4735,Warrior,89.2178,74.1438,28.1462,1.1400,7.3521,1.9182,200,58.3085,12.5389,35.0368,26.3632,0.1399,5.1822,0.0000,0.0349,Population structure converged. Difference: 0.0049
1,8,58.2990,57.0342,Warrior,89.2178,74.1438,28.1462,1.1400,7.3521,1.9182,200,58.3085,13.1689,23.9411,24.8430,0.0062,5.1995,0.0000,0.0349,Population structure converged. Difference: 0.0049
1,9,58.2995,57.6212,Warrior,88.8829,74.3679,28.2313,1.1435,7.3744,1.9182,200,58.3085,7.6425,14.2510,24.0723,0.0046,4.0172,0.0000,0.0349,Population structure converged. Difference: 0.0049
1,10,58.3085,58.0265,Warrior,88.8944,74.3775,28.2349,1.1402,7.3531,1.9182,200,58.3085,3.5835,7.6738,15.3287,0.0014,1.7673,0.0000,0.0349,Population structure converged. Difference: 0.0049
2,0,54.3811,32.2627,Warrior,70.1502,56.0329,70.8839,0.3594,2.5737,1.9227,200,60.4995,364.9799,423.4508,498.6563,436.7609,355.7932,0.0446,0.0311,Population structure converged. Difference: 0.0063
2,1,56.9105,38.2540,Warrior,73.2928,66.2202,56.4242,1.0824,2.9804,1.9227,200,60.4995,160.9206,246.1141,443.5527,226.0432,266.1682,0.0322,0.0311,Population structure converged. Difference: 0.0063
2,2,59.4100,42.2222,Warrior,84.8445,90.5813,20.5005,1.0854,2.9884,1.9227,200,60.4995,123.6801,171.3670,322.1518,221.3671,181.6221,0.0206,0.0311,Population structure converged. Difference: 0.0063
