Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.6635,31.5299,Warrior,97.8361,63.4596,31.4806,0.4915,6.7322,1.9893,200,57.9903,396.4118,381.6855,464.6162,449.6151,309.5453,0.0409,0.0260,Population structure converged. Difference: 0.0477
1,1,54.6331,39.0437,Warrior,80.2276,92.6021,12.5252,4.0148,10.6303,1.9393,200,57.9903,399.4339,247.8935,267.2756,415.5539,248.0649,0.0341,0.0260,Population structure converged. Difference: 0.0477
1,2,55.5674,46.7535,Warrior,89.9194,85.1089,11.5117,3.6900,9.7701,1.9393,200,57.9903,341.7291,159.8322,121.1376,226.8843,148.8565,0.0208,0.0260,Population structure converged. Difference: 0.0477
1,3,55.5674,51.6158,Warrior,89.9194,85.1089,11.5117,3.6900,9.7701,1.9393,200,57.9903,82.2741,107.7382,90.4005,15.2136,50.1697,0.0030,0.0260,Population structure converged. Difference: 0.0477
1,4,56.3810,52.8287,Warrior,81.7565,77.3827,28.6227,3.3550,8.8832,1.9393,200,57.9903,44.2178,98.2498,64.8781,1.4718,9.3618,0.0015,0.0260,Population structure converged. Difference: 0.0477
1,5,57.8443,53.2142,Warrior,81.1430,76.8020,34.2059,0.5341,7.3150,1.9393,200,57.9903,42.7391,113.7310,72.5302,1.8619,7.7015,0.0016,0.0260,Population structure converged. Difference: 0.0477
1,6,57.9858,54.2772,Warrior,83.5909,79.1189,29.2650,0.5461,7.4792,1.9393,200,57.9903,48.0710,145.6634,103.7350,2.5117,4.1116,0.0006,0.0260,Population structure converged. Difference: 0.0477
1,7,57.9903,55.3494,Warrior,83.5959,79.1237,29.2667,0.5341,7.4796,1.9393,200,57.9903,40.4305,127.2723,106.4302,2.4241,3.7598,0.0004,0.0260,Population structure converged. Difference: 0.0477
2,0,42.6948,30.9260,Warrior,73.7896,88.3208,15.6065,18.0334,4.2496,1.3856,200,56.0220,314.8855,364.4551,301.0509,426.3593,291.1461,0.0332,0.0410,Population structure converged. Difference: 0.0458
2,1,42.6948,35.5935,Warrior,73.7896,88.3208,15.6065,18.0334,4.2496,1.3856,200,56.0220,185.4894,318.8614,213.8118,318.0906,295.7817,0.0349,0.0410,Population structure converged. Difference: 0.0458
2,2,45.2194,38.8637,Warrior,59.0270,98.6516,17.4320,20.1428,4.7467,1.9670,200,56.0220,61.3156,279.3862,117.0427,110.8857,248.1289,0.0278,0.0410,Population structure converged. Difference: 0.0458
2,3,47.5314,40.7558,Warrior,80.1421,62.9447,40.2658,2.6053,14.0420,1.4349,200,56.0220,50.6108,323.7621,147.4503,57.1279,158.3249,0.0267,0.0410,Population structure converged. Difference: 0.0458
2,4,49.9361,42.4624,Warrior,84.0484,66.0127,42.2285,2.7323,4.9780,1.4349,200,56.0220,55.0742,321.8405,193.2331,56.5247,118.9142,0.0449,0.0410,Population structure converged. Difference: 0.0458
2,5,49.9361,44.2726,Warrior,84.0484,66.0127,42.2285,2.7323,4.9780,1.4349,200,56.0220,72.3905,290.2363,178.5351,72.8188,78.1327,0.0533,0.0410,Population structure converged. Difference: 0.0458
