Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.0734,28.9325,Warrior,65.4041,55.5978,32.6352,39.0190,7.3438,1.9194,200,55.4700,521.5534,391.5471,390.4216,446.9507,416.4520,0.0482,0.0601,Population structure converged. Difference: 0.0073
1,1,49.6350,33.0257,Warrior,65.1730,53.1210,65.2135,9.1746,7.3179,1.9194,200,55.4700,428.1657,249.2098,344.5066,278.7440,434.9583,0.0430,0.0601,Population structure converged. Difference: 0.0073
1,2,49.6350,37.4259,Warrior,65.1730,53.1210,65.2135,9.1746,7.3179,1.9194,200,55.4700,206.9662,262.4256,341.5775,133.0681,291.6281,0.0504,0.0601,Population structure converged. Difference: 0.0073
1,3,51.2216,40.0675,Warrior,69.7147,61.7959,47.5800,13.0816,7.8278,1.9194,200,55.4700,146.2094,279.8460,406.6713,119.3022,127.7453,0.0547,0.0601,Population structure converged. Difference: 0.0073
1,4,52.4896,43.7485,Warrior,83.5011,58.1357,37.4082,12.2791,8.6759,1.9194,200,55.4700,113.1517,243.5226,396.6193,87.3717,95.0349,0.0513,0.0601,Population structure converged. Difference: 0.0073
1,5,52.9075,46.6863,Warrior,71.3440,63.2401,48.6919,9.3594,7.3646,1.9194,200,55.4700,93.9339,131.3275,283.0840,67.1455,61.1356,0.0355,0.0601,Population structure converged. Difference: 0.0073
1,6,53.8654,49.0619,Warrior,76.8861,68.1527,36.6544,10.2686,8.0382,1.9194,200,55.4700,60.2232,74.7805,180.8969,28.1349,34.3728,0.0241,0.0601,Population structure converged. Difference: 0.0073
1,7,55.2890,50.3313,Warrior,84.6957,65.2647,35.1011,8.3602,6.5783,1.9194,200,55.4700,88.3241,68.8205,138.0022,18.7701,15.0581,0.0132,0.0601,Population structure converged. Difference: 0.0073
1,8,55.4700,51.3788,Warrior,83.4901,67.1826,34.6015,8.2412,6.4847,1.9194,200,55.4700,60.3353,59.7857,89.5550,14.8262,16.6997,0.0087,0.0601,Population structure converged. Difference: 0.0073
1,9,55.4700,52.3954,Warrior,83.4901,67.1826,34.6015,8.2412,6.4847,1.9194,200,55.4700,44.2656,49.8104,54.3419,9.8755,11.2704,0.0059,0.0601,Population structure converged. Difference: 0.0073
1,10,55.4700,53.6242,Warrior,83.4901,67.1826,34.6015,8.2412,6.4847,1.9194,200,55.4700,25.7182,20.5306,33.4401,4.8477,1.9042,0.0030,0.0601,Population structure converged. Difference: 0.0073
1,11,55.4700,54.3569,Warrior,83.4901,67.1826,34.6015,8.2412,6.4847,1.9194,200,55.4700,16.6620,17.1779,30.3799,3.4896,0.7242,0.0029,0.0601,Population structure converged. Difference: 0.0073
1,12,55.4700,54.8268,Warrior,83.4901,67.1826,34.6015,8.2412,6.4847,1.9194,200,55.4700,8.3295,11.3517,18.7284,2.0463,0.6098,0.0000,0.0601,Population structure converged. Difference: 0.0073
