Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.0354,30.5914,Warrior,79.5700,82.9797,23.0077,8.3777,6.0648,1.9715,200,55.3642,400.9519,586.1794,772.6290,448.3016,517.5844,0.0428,0.0893,Population structure converged. Difference: 0.0090
1,1,53.0354,35.9583,Warrior,79.5700,82.9797,23.0077,8.3777,6.0648,1.9715,200,55.3642,315.9539,731.6309,763.6917,317.2498,415.5910,0.0480,0.0893,Population structure converged. Difference: 0.0090
1,2,54.3382,40.9031,Warrior,79.2740,82.6711,22.9221,8.7781,6.3547,1.9522,200,55.3642,292.1100,722.2564,574.6049,176.5907,343.7080,0.0376,0.0893,Population structure converged. Difference: 0.0090
1,3,54.3849,45.3279,Warrior,79.3349,82.7346,22.9397,8.7849,6.2060,1.9522,200,55.3642,171.8465,651.4312,539.2598,136.4868,122.1041,0.0247,0.0893,Population structure converged. Difference: 0.0090
1,4,54.6561,48.2631,Warrior,79.6449,83.0579,23.0294,8.1973,6.0705,1.9522,200,55.3642,94.9266,431.3699,375.4683,68.3245,71.9612,0.0106,0.0893,Population structure converged. Difference: 0.0090
1,5,54.6634,49.7064,Warrior,79.8421,82.8758,22.9789,8.2176,6.0856,1.9522,200,55.3642,121.1476,324.0986,188.5966,57.9052,55.0242,0.0076,0.0893,Population structure converged. Difference: 0.0090
1,6,54.6681,51.2120,Warrior,79.8482,82.8820,22.9806,8.2182,6.0710,1.9522,200,55.3642,94.7949,200.5598,102.9537,29.7211,38.8173,0.0051,0.0893,Population structure converged. Difference: 0.0090
1,7,54.8326,52.5431,Warrior,81.8109,80.9463,22.9547,8.2089,6.0792,1.9522,200,55.3642,22.7004,100.0295,32.4368,24.0706,21.6261,0.0038,0.0893,Population structure converged. Difference: 0.0090
1,8,54.8326,53.4504,Warrior,81.8109,80.9463,22.9547,8.2089,6.0792,1.9522,200,55.3642,14.9928,15.1592,16.7628,7.5957,1.4978,0.0019,0.0893,Population structure converged. Difference: 0.0090
1,9,55.0780,53.9834,Warrior,91.4289,73.5570,21.5948,7.7098,5.7096,1.9522,200,55.3642,6.8713,8.0028,14.7252,2.2280,1.2102,0.0010,0.0893,Population structure converged. Difference: 0.0090
1,10,55.0780,54.3290,Warrior,91.4289,73.5570,21.5948,7.7098,5.7096,1.9522,200,55.3642,4.9782,4.3789,3.6536,1.0078,0.8866,0.0000,0.0893,Population structure converged. Difference: 0.0090
1,11,55.3587,54.4587,Warrior,87.3191,77.5011,21.9777,7.3817,5.8204,1.9522,200,55.3642,7.4571,6.2548,2.4548,0.7871,0.8023,0.0000,0.0893,Population structure converged. Difference: 0.0090
1,12,55.3587,54.6995,Warrior,87.3191,77.5011,21.9777,7.3817,5.8204,1.9522,200,55.3642,10.5986,8.5195,1.8400,0.2489,0.3625,0.0000,0.0893,Population structure converged. Difference: 0.0090
