Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.1326,30.8590,Warrior,63.1599,67.3722,43.8536,9.9402,15.6741,1.9739,200,53.3596,362.6558,351.8425,382.9601,385.3595,350.3487,0.0391,0.0242,Population structure converged. Difference: 0.0486
1,1,47.1326,36.1333,Warrior,63.1599,67.3722,43.8536,9.9402,15.6741,1.9739,200,53.3596,330.4130,210.2665,301.0824,243.8478,304.9250,0.0401,0.0242,Population structure converged. Difference: 0.0486
1,2,52.5485,40.2048,Warrior,103.2739,80.7582,7.9014,2.0186,6.0479,1.9845,200,53.3596,379.1755,146.9728,307.3705,160.2016,188.0923,0.0483,0.0242,Population structure converged. Difference: 0.0486
1,3,52.5485,43.2939,Warrior,103.2739,80.7582,7.9014,2.0186,6.0479,1.9845,200,53.3596,290.5433,123.0766,416.8032,84.4141,121.7896,0.0419,0.0242,Population structure converged. Difference: 0.0486
1,4,52.5485,45.1587,Warrior,103.2739,80.7582,7.9014,2.0186,6.0479,1.9845,200,53.3596,213.0909,108.4559,313.1142,71.8485,81.5702,0.0307,0.0242,Population structure converged. Difference: 0.0486
1,5,52.5485,47.2673,Warrior,103.2739,80.7582,7.9014,2.0186,6.0479,1.9845,200,53.3596,191.9543,88.2188,288.8233,55.4890,48.8561,0.0190,0.0242,Population structure converged. Difference: 0.0486
1,6,52.5680,49.1927,Warrior,82.7167,69.9090,30.0389,11.0729,6.2625,1.8509,200,53.3596,206.7801,112.8117,287.9170,38.6984,39.2104,0.0071,0.0242,Population structure converged. Difference: 0.0486
1,7,53.3596,50.8865,Warrior,89.2576,69.7977,25.9620,9.5701,5.4126,1.8509,200,53.3596,182.2928,138.1311,328.6202,33.5226,20.9198,0.0025,0.0242,Population structure converged. Difference: 0.0486
2,0,43.5826,28.3791,Warrior,82.7302,49.5344,47.9087,16.1419,3.6848,1.4846,200,58.3006,305.4983,362.6747,521.5948,412.1263,451.5002,0.0375,0.0345,Population structure converged. Difference: 0.0433
2,1,47.0807,32.3798,Warrior,55.7849,56.9326,74.5765,7.3302,5.3758,1.9103,200,58.3006,287.3235,213.7261,504.9012,383.5578,423.6562,0.0301,0.0345,Population structure converged. Difference: 0.0433
2,2,51.6872,36.2390,Warrior,64.3677,65.6919,55.2797,8.4579,6.2029,1.9103,200,58.3006,253.5349,160.6157,415.6550,289.2557,369.8223,0.0290,0.0345,Population structure converged. Difference: 0.0433
2,3,52.5093,40.3051,Warrior,103.5863,48.3627,41.6727,0.5595,5.8188,1.9695,200,58.3006,192.4237,112.1278,301.0415,121.4819,352.4509,0.0290,0.0345,Population structure converged. Difference: 0.0433
2,4,54.6328,44.0004,Warrior,103.2007,48.1827,41.5175,0.5574,6.5416,1.9103,200,58.3006,175.9108,76.3080,247.1088,87.8268,153.9279,0.0295,0.0345,Population structure converged. Difference: 0.0433
2,5,55.5077,47.4264,Warrior,71.5516,62.1684,60.1282,0.7926,5.3592,1.9103,200,58.3006,149.9970,78.6975,176.3135,42.5712,105.7034,0.0184,0.0345,Population structure converged. Difference: 0.0433
2,6,57.4628,49.5517,Warrior,78.4829,68.1908,45.5394,0.6114,7.1754,1.9103,200,58.3006,204.8194,81.7937,144.3342,35.3578,53.3703,0.0144,0.0345,Population structure converged. Difference: 0.0433
2,7,57.2932,51.6941,Warrior,88.2716,56.3806,49.3987,0.6633,5.2858,1.9103,200,58.3006,275.6444,67.7898,117.5884,20.0680,35.0335,0.0061,0.0345,Population structure converged. Difference: 0.0433
2,8,58.1926,53.0826,Warrior,83.7300,63.7699,46.8571,0.6291,5.0138,1.9103,200,58.3006,252.6744,62.4940,97.2875,8.9851,24.6919,0.0028,0.0345,Population structure converged. Difference: 0.0433
2,9,58.3006,54.5349,Warrior,83.8649,63.8726,46.9326,0.6441,4.6858,1.9103,200,58.3006,173.2685,46.3276,77.2911,4.5413,6.1787,0.0011,0.0345,Population structure converged. Difference: 0.0433
2,10,58.3006,55.8800,Warrior,83.8649,63.8726,46.9326,0.6441,4.6858,1.9103,200,58.3006,79.9326,31.5076,40.7110,2.0891,6.0031,0.0008,0.0345,Population structure converged. Difference: 0.0433
3,0,54.6065,31.4866,Warrior,72.0431,61.6094,62.5738,3.3116,0.4621,1.8718,200,59.4377,341.7344,314.8839,289.9923,583.1317,387.5238,0.0426,0.0253,Population structure converged. Difference: 0.0338
3,1,57.3835,37.0980,Warrior,78.3791,72.4342,45.0811,3.6029,0.5027,1.8718,200,59.4377,239.2613,220.9654,241.2441,249.6812,309.1322,0.0352,0.0253,Population structure converged. Difference: 0.0338
3,2,57.3835,41.5073,Warrior,78.3791,72.4342,45.0811,3.6029,0.5027,1.8718,200,59.4377,126.0250,109.2249,150.6000,147.2942,231.0257,0.0300,0.0253,Population structure converged. Difference: 0.0338
3,3,58.7177,46.3074,Warrior,102.1644,69.2018,26.7912,1.2191,0.6236,1.9483,200,59.4377,60.2055,78.3220,170.1910,66.7887,208.4321,0.0239,0.0253,Population structure converged. Difference: 0.0338
3,4,59.3387,49.1088,Warrior,83.0945,82.6903,32.0133,1.4567,0.7451,1.9483,200,59.4377,77.6908,66.3358,185.9788,51.7260,172.8620,0.0158,0.0253,Population structure converged. Difference: 0.0338
3,5,59.4017,51.9485,Warrior,96.7522,73.0299,28.2733,1.2865,0.6581,1.9483,200,59.4377,102.5322,71.3374,190.5095,54.4818,94.5018,0.0042,0.0253,Population structure converged. Difference: 0.0338
3,6,59.4374,55.3234,Warrior,83.2016,82.7968,32.0545,1.2882,0.6589,1.9483,200,59.4377,154.1718,59.1001,134.0855,35.4720,45.9249,0.0017,0.0253,Population structure converged. Difference: 0.0338
3,7,59.4377,57.4960,Warrior,83.2019,82.7972,32.0546,1.2882,0.6581,1.9483,200,59.4377,117.6766,48.4099,124.6310,14.6305,8.7749,0.0015,0.0253,Population structure converged. Difference: 0.0338
4,0,45.0541,30.1804,Warrior,93.3159,33.6809,61.7803,1.1799,10.0431,1.7937,200,58.2188,431.1561,463.5273,391.1447,384.4530,418.6277,0.0332,0.0413,Population structure converged. Difference: 0.0351
4,1,48.0859,34.0620,Warrior,93.5977,52.4642,47.4652,6.2239,0.2490,1.4681,200,58.2188,298.8941,438.5640,326.3854,364.4688,291.8028,0.0300,0.0413,Population structure converged. Difference: 0.0351
4,2,49.9860,37.1755,Warrior,93.5977,52.4642,47.4652,6.2239,0.2490,1.7937,200,58.2188,264.2250,297.2391,226.8999,290.6137,316.1282,0.0344,0.0413,Population structure converged. Difference: 0.0351
4,3,50.8282,40.5487,Warrior,102.2155,57.2947,35.5557,4.6622,0.2719,1.7937,200,58.2188,312.6827,290.8787,160.6880,168.2633,274.7299,0.0301,0.0413,Population structure converged. Difference: 0.0351
4,4,56.6637,43.9476,Warrior,102.2155,57.2947,35.5557,4.6622,0.2719,1.8939,200,58.2188,284.3895,161.5652,132.7732,74.2818,255.9249,0.0333,0.0413,Population structure converged. Difference: 0.0351
4,5,56.6637,46.8672,Warrior,102.2155,57.2947,35.5557,4.6622,0.2719,1.8939,200,58.2188,145.9980,81.8496,84.0228,60.3638,129.3981,0.0329,0.0413,Population structure converged. Difference: 0.0351
4,6,57.5358,48.7018,Warrior,95.7245,53.6563,48.5438,1.8209,0.2546,1.8939,200,58.2188,104.2755,56.2079,63.2502,32.4629,74.8734,0.0323,0.0413,Population structure converged. Difference: 0.0351
4,7,57.7919,50.4869,Warrior,103.6977,58.1255,36.0713,1.8473,0.2583,1.8939,200,58.2188,104.0655,43.2329,88.6907,7.7736,39.7413,0.0318,0.0413,Population structure converged. Difference: 0.0351
4,8,57.7919,53.2283,Warrior,103.6977,58.1255,36.0713,1.8473,0.2583,1.8939,200,58.2188,102.0891,28.1835,131.9637,5.6881,3.0985,0.0159,0.0413,Population structure converged. Difference: 0.0351
4,9,58.2188,55.0390,Warrior,100.9585,58.8406,38.1509,1.7985,0.2515,1.8939,200,58.2188,93.1742,16.6831,118.6812,3.4950,1.9253,0.0092,0.0413,Population structure converged. Difference: 0.0351
4,10,58.2188,56.2420,Warrior,100.9585,58.8406,38.1509,1.7985,0.2515,1.8939,200,58.2188,41.5820,7.1297,53.6684,2.9893,0.9155,0.0005,0.0413,Population structure converged. Difference: 0.0351
5,0,47.5362,30.4622,Warrior,66.8746,70.0856,57.9039,3.3106,1.8253,1.4474,200,54.8287,192.0763,330.7708,471.4411,378.9362,403.6449,0.0445,0.0546,Population structure converged. Difference: 0.0349
5,1,49.3018,34.8516,Warrior,61.3927,56.8313,76.2036,3.5919,1.9805,1.8648,200,54.8287,114.2785,149.1503,508.4079,282.6863,298.3277,0.0462,0.0546,Population structure converged. Difference: 0.0349
5,2,49.3018,37.8086,Warrior,61.3927,56.8313,76.2036,3.5919,1.9805,1.8648,200,54.8287,83.2522,115.5375,434.6313,291.1862,203.6853,0.0450,0.0546,Population structure converged. Difference: 0.0349
5,3,49.3140,40.5142,Warrior,78.5820,47.2293,58.2003,3.4795,12.5088,1.9758,200,54.8287,73.3591,110.0359,291.2792,148.0954,75.7249,0.0431,0.0546,Population structure converged. Difference: 0.0349
5,4,52.2729,42.9278,Warrior,71.2234,54.7920,67.5198,4.1671,2.2976,1.8648,200,54.8287,55.0591,129.9023,223.2158,66.6428,61.2388,0.0440,0.0546,Population structure converged. Difference: 0.0349
5,5,54.4247,45.3579,Warrior,76.1806,58.6056,59.2160,3.5403,2.4575,1.8648,200,54.8287,58.3043,92.2028,203.1197,36.2115,58.9336,0.0477,0.0546,Population structure converged. Difference: 0.0349
5,6,54.7979,47.9170,Warrior,78.6513,57.5307,58.2516,3.4826,2.0838,1.8648,200,54.8287,48.1410,63.6851,132.5850,16.1898,27.7727,0.0335,0.0546,Population structure converged. Difference: 0.0349
5,7,54.7979,49.7952,Warrior,78.6513,57.5307,58.2516,3.4826,2.0838,1.8648,200,54.8287,47.3905,36.5559,83.8652,9.2334,22.4265,0.0151,0.0546,Population structure converged. Difference: 0.0349
5,8,54.7979,51.4040,Warrior,78.6513,57.5307,58.2516,3.4826,2.0838,1.8648,200,54.8287,36.2377,25.8760,42.6721,5.7896,15.3128,0.0083,0.0546,Population structure converged. Difference: 0.0349
5,9,54.8287,52.9791,Warrior,77.2826,59.4533,57.5144,3.7162,2.0336,1.8648,200,54.8287,22.9713,17.3125,18.7303,5.2818,9.0117,0.0014,0.0546,Population structure converged. Difference: 0.0349
6,0,45.3435,30.9502,Warrior,93.0160,54.5845,39.6034,7.1025,5.6936,1.7343,200,60.1108,490.3474,243.3879,283.3138,414.6016,391.8205,0.0356,0.0430,Population structure converged. Difference: 0.0458
6,1,49.9587,35.0820,Warrior,57.1521,75.7616,53.2868,7.6594,6.1401,1.9150,200,60.1108,470.5627,194.4797,192.8263,282.0928,401.4738,0.0390,0.0430,Population structure converged. Difference: 0.0458
6,2,52.9133,40.0633,Warrior,98.8049,48.7428,39.6433,7.1096,5.6994,1.9020,200,60.1108,341.9037,173.9227,139.7553,195.3070,296.3783,0.0352,0.0430,Population structure converged. Difference: 0.0458
6,3,53.0183,44.0172,Warrior,98.8049,48.7428,39.6433,7.1096,5.6994,1.9150,200,60.1108,321.0733,116.5126,93.7707,136.2582,114.8603,0.0214,0.0430,Population structure converged. Difference: 0.0458
6,4,55.9912,47.0739,Warrior,83.7898,61.7236,43.4132,6.2402,4.8333,1.9020,200,60.1108,237.8040,96.0855,68.0486,50.9825,53.3417,0.0252,0.0430,Population structure converged. Difference: 0.0458
6,5,58.4440,50.2468,Warrior,82.2244,62.1650,53.4305,1.2794,0.9006,1.9020,200,60.1108,211.5747,92.5288,65.1699,26.4075,14.1391,0.0177,0.0430,Population structure converged. Difference: 0.0458
6,6,58.5633,52.2171,Warrior,82.2244,62.1650,53.4305,1.2794,0.9006,1.9150,200,60.1108,199.4955,95.7514,50.8019,3.8557,5.7224,0.0041,0.0430,Population structure converged. Difference: 0.0458
6,7,60.0851,53.3713,Warrior,89.3711,69.5005,38.7589,1.3906,0.9789,1.9150,200,60.1108,126.7797,61.9805,28.4095,3.2793,3.9700,0.0008,0.0430,Population structure converged. Difference: 0.0458
6,8,60.1108,54.2741,Warrior,89.4043,69.5263,38.7733,1.3911,0.9049,1.9150,200,60.1108,76.6952,44.0087,22.7016,4.2535,4.8634,0.0003,0.0430,Population structure converged. Difference: 0.0458
6,9,60.1108,55.2031,Warrior,89.4043,69.5263,38.7733,1.3911,0.9049,1.9150,200,60.1108,45.1137,29.5162,21.9512,6.4036,5.1377,0.0002,0.0430,Population structure converged. Difference: 0.0458
6,10,60.1108,56.2624,Warrior,89.4043,69.5263,38.7733,1.3911,0.9049,1.9150,200,60.1108,33.2511,20.2472,34.4793,10.0418,6.6054,0.0001,0.0430,Population structure converged. Difference: 0.0458
6,11,60.1108,57.4764,Warrior,89.4043,69.5263,38.7733,1.3911,0.9049,1.9150,200,60.1108,21.8343,20.3025,36.8269,10.2172,6.9566,0.0001,0.0430,Population structure converged. Difference: 0.0458
7,0,42.9588,30.1772,Warrior,87.7562,50.4005,33.3838,2.2293,26.2302,1.4219,200,53.6864,376.5079,311.3971,391.4580,304.0242,376.1766,0.0402,0.0398,Population structure converged. Difference: 0.0411
7,1,44.0587,34.2596,Warrior,60.3623,60.0261,37.4589,18.5981,23.5545,1.8838,200,53.6864,236.0330,203.8975,266.9179,285.1700,191.4651,0.0404,0.0398,Population structure converged. Difference: 0.0411
7,2,44.1123,37.1423,Warrior,81.7925,53.6224,37.8502,2.2873,24.4476,1.4219,200,53.6864,204.2000,138.0627,137.9465,156.8878,125.2264,0.0308,0.0398,Population structure converged. Difference: 0.0411
7,3,49.0927,39.1545,Warrior,65.5825,65.2173,41.1235,2.4851,25.5915,1.8838,200,53.6864,152.7154,99.5909,111.9168,120.7329,112.6753,0.0288,0.0398,Population structure converged. Difference: 0.0411
7,4,49.0927,41.3155,Warrior,65.5825,65.2173,41.1235,2.4851,25.5915,1.8838,200,53.6864,138.8339,89.3272,85.4334,74.9024,87.7689,0.0364,0.0398,Population structure converged. Difference: 0.0411
7,5,51.0426,43.4253,Warrior,78.9979,58.7084,37.0192,2.2371,23.0374,1.8838,200,53.6864,131.6723,86.9738,56.4694,69.5695,59.0040,0.0368,0.0398,Population structure converged. Difference: 0.0411
7,6,50.8976,45.1157,Warrior,78.8167,58.5738,36.9344,2.6906,22.9846,1.8838,200,53.6864,129.2982,90.2750,28.8864,50.9015,18.2740,0.0305,0.0398,Population structure converged. Difference: 0.0411
7,7,50.8976,46.6813,Warrior,78.8167,58.5738,36.9344,2.6906,22.9846,1.8838,200,53.6864,119.0473,78.6130,14.5114,31.9599,9.6683,0.0171,0.0398,Population structure converged. Difference: 0.0411
7,8,53.6864,47.9323,Warrior,77.2768,72.2171,30.1833,2.0804,18.2424,1.9280,200,53.6864,93.7472,71.6156,12.2606,17.2781,6.7581,0.0071,0.0398,Population structure converged. Difference: 0.0411
7,9,53.6864,49.0962,Warrior,77.2768,72.2171,30.1833,2.0804,18.2424,1.9280,200,53.6864,70.3949,64.9576,9.9420,11.6235,7.7259,0.0037,0.0398,Population structure converged. Difference: 0.0411
7,10,53.6864,50.1268,Warrior,77.2768,72.2171,30.1833,2.0804,18.2424,1.9280,200,53.6864,58.7859,72.1175,9.8816,0.0555,7.0946,0.0010,0.0398,Population structure converged. Difference: 0.0411
7,11,53.6864,50.7541,Warrior,77.2768,72.2171,30.1833,2.0804,18.2424,1.9280,200,53.6864,44.2419,62.6748,9.6874,0.0620,6.1195,0.0008,0.0398,Population structure converged. Difference: 0.0411
7,12,53.6864,51.5682,Warrior,77.2768,72.2171,30.1833,2.0804,18.2424,1.9280,200,53.6864,25.6294,53.2981,11.8244,0.0675,6.3353,0.0006,0.0398,Population structure converged. Difference: 0.0411
8,0,51.3929,32.9371,Warrior,63.1389,75.6317,43.6566,8.5935,8.9794,1.8978,200,58.9541,354.1252,564.2491,376.9680,436.8139,355.5819,0.0459,0.0252,Population structure converged. Difference: 0.0412
8,1,53.7757,37.8947,Warrior,65.8112,72.7296,50.0711,1.8667,9.5214,1.8978,200,58.9541,283.8565,571.4184,395.1591,334.5103,273.7307,0.0483,0.0252,Population structure converged. Difference: 0.0412
8,2,55.2901,41.2959,Warrior,72.4696,69.1208,47.5866,1.7741,9.0490,1.9365,200,58.9541,233.9989,475.0070,363.2009,220.7701,179.3693,0.0424,0.0252,Population structure converged. Difference: 0.0412
8,3,58.7796,45.1457,Warrior,89.0868,94.5817,11.9589,1.9242,2.4483,1.8978,200,58.9541,111.5865,319.7930,322.9651,162.9838,123.6526,0.0360,0.0252,Population structure converged. Difference: 0.0412
