Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,53.2034,32.3116,Warrior,98.5634,81.7825,2.0979,11.4483,6.1079,1.9262,200,57.4421,370.1038,540.6036,453.7019,325.9096,362.7532,0.0465,0.0432,Population structure converged. Difference: 0.0071
1,1,53.2034,37.9996,Warrior,98.5634,81.7825,2.0979,11.4483,6.1079,1.9262,200,57.4421,393.6014,634.4767,449.6523,186.8058,309.6118,0.0539,0.0432,Population structure converged. Difference: 0.0071
1,2,55.1917,43.6963,Warrior,101.8158,84.4812,2.1671,2.6275,8.9082,1.9262,200,57.4421,408.0164,417.8070,422.8663,52.6959,170.5725,0.0500,0.0432,Population structure converged. Difference: 0.0071
1,3,56.0244,49.2243,Warrior,98.6538,81.8576,8.1625,2.6945,8.6316,1.9262,200,57.4421,221.8106,275.7718,304.7075,32.1558,44.3526,0.0219,0.0432,Population structure converged. Difference: 0.0071
1,4,56.0397,51.8269,Warrior,98.8526,82.0225,7.9249,2.5511,8.6490,1.9262,200,57.4421,100.4272,177.7352,177.4825,22.9846,17.4343,0.0112,0.0432,Population structure converged. Difference: 0.0071
1,5,56.8547,53.4094,Warrior,99.8687,82.9417,8.2706,2.7302,6.1888,1.9262,200,57.4421,58.6962,126.0710,84.2520,24.8091,4.3872,0.0031,0.0432,Population structure converged. Difference: 0.0071
1,6,57.2942,54.4363,Warrior,96.0797,88.7626,6.9625,2.2412,5.9540,1.9262,200,57.4421,49.2185,67.2115,40.2978,21.2514,2.8088,0.0028,0.0432,Population structure converged. Difference: 0.0071
1,7,57.2942,55.5092,Warrior,96.0797,88.7626,6.9625,2.2412,5.9540,1.9262,200,57.4421,33.9911,39.5204,25.2148,11.0580,2.6615,0.0001,0.0432,Population structure converged. Difference: 0.0071
1,8,57.2942,56.3348,Warrior,96.0797,88.7626,6.9625,2.2412,5.9540,1.9262,200,57.4421,18.8101,18.2070,6.1032,3.1024,1.4898,0.0000,0.0432,Population structure converged. Difference: 0.0071
1,9,57.4421,56.7154,Warrior,95.4553,88.1858,8.2169,2.2267,5.9153,1.9262,200,57.4421,12.7450,12.0426,2.1708,2.2870,0.9635,0.0000,0.0432,Population structure converged. Difference: 0.0071
1,10,57.4421,57.0347,Warrior,95.4553,88.1858,8.2169,2.2267,5.9153,1.9262,200,57.4421,7.4637,7.1900,0.9639,0.7781,0.6844,0.0000,0.0432,Population structure converged. Difference: 0.0071
2,0,52.9957,32.1286,Warrior,103.7296,76.7647,6.2940,0.9918,12.2199,1.9586,200,58.8314,594.6733,529.9533,660.2701,487.0200,416.9329,0.0407,0.0523,Population structure converged. Difference: 0.0100
2,1,49.4985,37.0462,Warrior,114.4065,64.0801,6.9418,1.0939,13.4776,1.9586,200,58.8314,342.7418,365.0388,909.6351,275.1022,260.3353,0.0309,0.0523,Population structure converged. Difference: 0.0100
2,2,51.7515,40.5480,Warrior,67.2431,58.0737,59.5026,1.1396,14.0410,1.9372,200,58.8314,377.0844,440.1209,1221.1949,124.7858,157.5285,0.0244,0.0523,Population structure converged. Difference: 0.0100
2,3,54.1823,44.1118,Warrior,74.6100,60.1142,52.0073,0.9961,12.2723,1.9372,200,58.8314,321.4806,344.3538,1105.5853,77.1476,112.4631,0.0142,0.0523,Population structure converged. Difference: 0.0100
2,4,54.5548,47.6674,Warrior,75.0410,60.4614,52.3077,0.9151,11.2748,1.9372,200,58.8314,402.8993,197.7330,789.6084,53.5258,49.8359,0.0009,0.0523,Population structure converged. Difference: 0.0100
2,5,55.0329,49.6351,Warrior,87.1105,54.9262,46.0757,0.8825,11.0051,1.9372,200,58.8314,374.2065,117.4644,679.5554,50.6863,35.9340,0.0006,0.0523,Population structure converged. Difference: 0.0100
2,6,55.2743,51.9902,Warrior,82.2574,57.0929,49.3935,0.8641,10.3920,1.9372,200,58.8314,248.0620,98.5147,520.0093,22.2977,15.1982,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,7,56.5005,53.4213,Warrior,77.6909,68.8867,48.1680,0.5093,4.7451,1.9586,200,58.8314,131.6357,91.5926,323.8895,9.5524,7.5353,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,8,56.7592,54.3173,Warrior,86.4848,64.0027,39.3581,0.7538,9.4006,1.9372,200,58.8314,74.0452,80.9336,211.8438,0.0338,7.1020,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,9,57.5318,55.0295,Warrior,80.0880,64.5278,49.9368,0.5280,4.9193,1.9372,200,58.8314,48.0424,99.7844,215.8659,0.0612,9.1721,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,10,58.2528,55.8686,Warrior,84.6945,67.6840,41.6219,0.7972,5.2023,1.9372,200,58.8314,26.4517,82.8063,170.2857,0.0787,8.6644,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,11,58.3007,56.3322,Warrior,88.3319,65.3696,40.5331,0.5588,5.2066,1.9372,200,58.8314,26.0559,45.9923,96.6653,0.0659,6.0481,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,12,58.8139,56.7575,Warrior,82.0995,76.5265,36.2137,0.8854,4.2748,1.9372,200,58.8314,23.2090,30.0790,69.1461,0.0595,4.9493,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,13,58.8139,57.4167,Warrior,82.0995,76.5265,36.2137,0.8854,4.2748,1.9372,200,58.8314,14.8744,25.5799,49.6119,0.0420,3.7500,0.0001,0.0523,Population structure converged. Difference: 0.0100
2,14,58.8139,57.9202,Warrior,82.0995,76.5265,36.2137,0.8854,4.2748,1.9372,200,58.8314,10.6227,17.6505,24.3493,0.0377,2.1075,0.0000,0.0523,Population structure converged. Difference: 0.0100
2,15,58.8314,58.2491,Warrior,82.2887,76.4037,36.1556,0.8840,4.2680,1.9372,200,58.8314,9.0814,20.8096,11.9680,0.0282,1.4693,0.0000,0.0523,Population structure converged. Difference: 0.0100
3,0,50.4496,31.1383,Warrior,61.6058,89.5242,30.1964,11.7491,6.9245,1.9021,200,58.1523,349.7178,471.3585,430.0243,333.7690,515.3484,0.0352,0.0480,Population structure converged. Difference: 0.0096
3,1,51.6511,37.0219,Warrior,66.5884,80.5891,32.6386,12.6994,7.4845,1.9021,200,58.1523,204.6511,394.8344,317.8138,202.5788,356.6284,0.0351,0.0480,Population structure converged. Difference: 0.0096
3,2,51.6511,42.2046,Warrior,66.5884,80.5891,32.6386,12.6994,7.4845,1.9021,200,58.1523,105.9389,396.3608,217.1929,94.9597,269.5366,0.0259,0.0480,Population structure converged. Difference: 0.0096
3,3,52.4053,46.8136,Warrior,59.6896,86.7396,46.3448,7.0900,0.1360,1.9021,200,58.1523,46.1109,274.5839,136.9438,31.5707,120.3207,0.0188,0.0480,Population structure converged. Difference: 0.0096
3,4,54.1345,49.4184,Warrior,65.2658,94.8428,31.9903,7.7524,0.1487,1.9021,200,58.1523,26.0211,123.4993,68.3506,6.7759,48.8775,0.0117,0.0480,Population structure converged. Difference: 0.0096
3,5,55.3228,51.0426,Warrior,68.5984,87.7962,35.5575,7.8964,0.1514,1.9021,200,58.1523,11.0171,86.0938,42.4966,6.4569,45.2107,0.0056,0.0480,Population structure converged. Difference: 0.0096
3,6,56.0187,52.4109,Warrior,76.5850,65.4710,50.1281,7.6688,0.1471,1.8975,200,58.1523,17.0873,39.6231,37.4631,5.6238,12.7730,0.0018,0.0480,Population structure converged. Difference: 0.0096
3,7,57.2184,53.3129,Warrior,82.5006,70.5282,38.3046,8.5065,0.1602,1.9021,200,58.1523,19.8156,63.2397,39.4240,4.9473,12.4942,0.0018,0.0480,Population structure converged. Difference: 0.0096
3,8,57.7569,54.2704,Warrior,83.0425,70.9914,38.5562,7.2535,0.1565,1.9021,200,58.1523,25.7271,97.0390,47.1165,3.0346,9.9883,0.0000,0.0480,Population structure converged. Difference: 0.0096
3,9,57.7569,55.3097,Warrior,83.0425,70.9914,38.5562,7.2535,0.1565,1.9021,200,58.1523,25.2223,94.3706,53.7632,1.4283,5.0001,0.0000,0.0480,Population structure converged. Difference: 0.0096
3,10,57.8758,56.1413,Warrior,80.6948,79.0443,32.8261,7.2778,0.1570,1.9021,200,58.1523,23.9826,69.5478,42.2322,0.7819,2.3083,0.0000,0.0480,Population structure converged. Difference: 0.0096
3,11,57.9809,56.8366,Warrior,85.4809,73.0760,33.7900,7.4915,0.1616,1.9021,200,58.1523,21.7041,49.6207,25.2548,0.3964,0.4267,0.0000,0.0480,Population structure converged. Difference: 0.0096
3,12,58.0945,57.2892,Warrior,85.9892,73.5105,33.0213,7.3211,0.1580,1.9021,200,58.1523,15.8834,35.0419,13.3864,0.1886,0.0000,0.0000,0.0480,Population structure converged. Difference: 0.0096
3,13,58.1523,57.5979,Warrior,86.5953,75.2253,30.6039,7.4164,0.1591,1.9021,200,58.1523,11.2415,19.9939,8.2081,0.1085,0.0000,0.0000,0.0480,Population structure converged. Difference: 0.0096
4,0,46.6349,30.5239,Warrior,66.4200,61.1075,56.4425,15.5159,0.5141,1.8155,200,53.3102,522.3232,467.2586,310.3523,325.4021,439.5794,0.0429,0.0543,Population structure converged. Difference: 0.0099
4,1,48.6385,36.5208,Warrior,74.8589,93.0660,14.0084,17.4873,0.5794,1.8155,200,53.3102,303.9761,399.3959,220.2249,251.6454,308.2072,0.0354,0.0543,Population structure converged. Difference: 0.0099
4,2,50.2250,41.6813,Warrior,79.9992,58.5260,46.5167,14.4298,0.5283,1.9783,200,53.3102,178.3044,247.5297,233.8130,112.9685,155.0647,0.0220,0.0543,Population structure converged. Difference: 0.0099
4,3,50.2250,44.8944,Warrior,79.9992,58.5260,46.5167,14.4298,0.5283,1.9783,200,53.3102,103.4302,263.9163,267.4807,45.8367,119.3007,0.0095,0.0543,Population structure converged. Difference: 0.0099
4,4,50.2250,47.0564,Warrior,79.9992,58.5260,46.5167,14.4298,0.5283,1.9783,200,53.3102,66.8444,301.9646,310.1901,26.7599,61.8425,0.0063,0.0543,Population structure converged. Difference: 0.0099
4,5,50.7301,48.4012,Warrior,90.6025,74.9720,17.6549,16.2328,0.5379,1.8251,200,53.3102,44.1206,284.2649,278.4593,8.4130,54.6060,0.0066,0.0543,Population structure converged. Difference: 0.0099
4,6,52.2124,49.4691,Warrior,92.3555,76.4225,18.4128,12.2610,0.5483,1.8251,200,53.3102,45.8282,178.1195,206.0695,8.1797,10.6632,0.0059,0.0543,Population structure converged. Difference: 0.0099
4,7,52.2124,49.9795,Warrior,92.3555,76.4225,18.4128,12.2610,0.5483,1.8251,200,53.3102,50.7149,124.3832,175.9653,3.5165,7.5953,0.0051,0.0543,Population structure converged. Difference: 0.0099
4,8,52.6158,50.5066,Warrior,92.3798,76.4426,18.4176,12.2643,0.4956,1.9783,200,53.3102,64.7410,106.0447,163.8307,2.3979,6.0349,0.0051,0.0543,Population structure converged. Difference: 0.0099
4,9,52.6158,51.1066,Warrior,92.3798,76.4426,18.4176,12.2643,0.4956,1.9783,200,53.3102,62.6566,108.7595,176.9600,2.6601,0.0049,0.0061,0.0543,Population structure converged. Difference: 0.0099
4,10,52.6741,51.6524,Warrior,92.6339,76.6529,18.1382,12.0782,0.4969,1.9783,200,53.3102,46.1153,71.6756,128.8730,1.5390,0.0037,0.0056,0.0543,Population structure converged. Difference: 0.0099
4,11,52.6914,52.0983,Warrior,92.4797,76.5253,18.4376,12.0612,0.4962,1.9783,200,53.3102,20.8141,31.8480,49.9174,1.1173,0.0042,0.0059,0.0543,Population structure converged. Difference: 0.0099
4,12,53.2268,52.4158,Warrior,93.1818,77.1266,18.5824,10.6702,0.4389,1.9783,200,53.3102,11.5490,16.0254,32.7511,0.2424,0.0017,0.0056,0.0543,Population structure converged. Difference: 0.0099
4,13,53.2268,52.6144,Warrior,93.1818,77.1266,18.5824,10.6702,0.4389,1.9783,200,53.3102,10.5978,16.2945,30.0552,0.4526,0.0011,0.0045,0.0543,Population structure converged. Difference: 0.0099
4,14,53.3102,52.7889,Warrior,90.3414,81.3422,17.1382,10.6934,0.4848,1.9783,200,53.3102,9.3108,13.3158,16.2910,0.6545,0.0011,0.0041,0.0543,Population structure converged. Difference: 0.0099
5,0,50.5708,32.0337,Warrior,87.8198,75.4027,10.7436,12.1456,13.8883,1.9509,200,56.3604,547.8185,457.5431,421.0906,375.4055,497.5500,0.0408,0.0642,Population structure converged. Difference: 0.0089
5,1,50.5708,37.8528,Warrior,87.8198,75.4027,10.7436,12.1456,13.8883,1.9509,200,56.3604,512.8077,325.6259,392.0990,203.7096,309.0028,0.0302,0.0642,Population structure converged. Difference: 0.0089
5,2,51.3267,43.3525,Warrior,77.0726,66.1751,32.5307,9.0888,15.1327,1.9509,200,56.3604,282.4194,259.6584,299.3344,89.5302,99.5493,0.0166,0.0642,Population structure converged. Difference: 0.0089
5,3,51.6190,46.7152,Warrior,81.7319,62.0697,30.5126,9.6382,16.0476,1.9166,200,56.3604,196.3493,230.6347,348.2052,29.3509,47.6293,0.0065,0.0642,Population structure converged. Difference: 0.0089
5,4,52.7153,49.1343,Warrior,80.0469,68.7289,27.8119,8.7852,14.6272,1.9166,200,56.3604,89.7606,135.3292,216.4264,12.6670,8.6835,0.0031,0.0642,Population structure converged. Difference: 0.0089
5,5,53.3430,50.4119,Warrior,81.9036,70.3230,25.9383,8.1933,13.6418,1.9166,200,56.3604,59.5070,67.8214,169.0923,4.7663,6.4763,0.0008,0.0642,Population structure converged. Difference: 0.0089
5,6,54.4609,51.4395,Warrior,85.9306,73.7807,24.2486,7.6596,8.3805,1.9509,200,56.3604,33.1033,45.5461,150.0361,2.8509,8.0286,0.0004,0.0642,Population structure converged. Difference: 0.0089
5,7,55.2286,52.2414,Warrior,82.4731,76.0170,24.9836,7.8918,8.6345,1.9166,200,56.3604,29.5410,42.8880,117.6960,2.8928,9.1124,0.0003,0.0642,Population structure converged. Difference: 0.0089
5,8,55.2286,52.9960,Warrior,82.4731,76.0170,24.9836,7.8918,8.6345,1.9166,200,56.3604,23.3816,28.1585,87.3505,2.1678,9.5986,0.0003,0.0642,Population structure converged. Difference: 0.0089
5,9,55.8806,53.7266,Warrior,84.9264,75.3995,24.9418,7.8188,6.9136,1.9166,200,56.3604,16.4293,25.9441,63.4895,1.2754,7.9934,0.0003,0.0642,Population structure converged. Difference: 0.0089
5,10,55.8713,54.2562,Warrior,84.6166,75.7397,24.8924,7.8630,6.8883,1.9166,200,56.3604,9.4262,27.8053,46.8279,0.8102,5.3425,0.0003,0.0642,Population structure converged. Difference: 0.0089
5,11,55.8731,54.7944,Warrior,84.5780,75.7052,24.9722,7.8594,6.8852,1.9166,200,56.3604,5.6635,23.7365,30.4515,0.4976,2.9181,0.0001,0.0642,Population structure converged. Difference: 0.0089
5,12,55.8783,55.1482,Warrior,84.4994,75.9117,24.8580,7.8521,6.8788,1.9166,200,56.3604,2.7334,16.5999,16.4454,0.1946,1.5065,0.0001,0.0642,Population structure converged. Difference: 0.0089
5,13,56.1963,55.4361,Warrior,82.3692,73.7280,30.3219,6.8755,6.7054,1.9166,200,56.3604,2.3987,2.2896,4.6227,0.1648,0.8932,0.0000,0.0642,Population structure converged. Difference: 0.0089
5,14,56.3033,55.6940,Warrior,85.6345,75.8052,24.9140,6.9086,6.7377,1.9166,200,56.3604,1.6491,0.9724,4.3107,0.1120,0.6226,0.0000,0.0642,Population structure converged. Difference: 0.0089
5,15,56.3604,55.8613,Warrior,83.3933,73.8213,29.5284,6.6956,6.5613,1.9166,200,56.3604,1.3767,1.0254,5.2023,0.1754,0.4009,0.0000,0.0642,Population structure converged. Difference: 0.0089
6,0,43.9777,30.6678,Warrior,59.1107,61.4228,40.8161,7.7917,30.8586,1.8549,200,51.2577,336.2048,456.6568,456.2719,381.4119,297.3461,0.0349,0.0771,Population structure converged. Difference: 0.0094
6,1,47.5514,35.8727,Warrior,74.4234,51.1644,44.4195,19.3335,10.6591,1.9455,200,51.2577,281.0776,280.7135,353.1739,203.3986,164.7630,0.0280,0.0771,Population structure converged. Difference: 0.0094
