Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.6215,30.8323,Warrior,65.4291,55.3041,59.0047,12.4415,7.8205,1.9483,200,56.2708,275.4532,392.0719,509.4218,263.0213,359.2843,0.0420,0.0332,Population structure converged. Difference: 0.0441
1,1,51.8290,35.8062,Warrior,88.8516,67.3878,21.2005,13.8525,8.7075,1.9470,200,56.2708,237.8357,327.7522,407.5428,256.9993,205.7223,0.0368,0.0332,Population structure converged. Difference: 0.0441
1,2,51.8290,40.1638,Warrior,88.8516,67.3878,21.2005,13.8525,8.7075,1.9470,200,56.2708,214.9283,236.1714,290.1947,135.6518,127.4893,0.0344,0.0332,Population structure converged. Difference: 0.0441
1,3,51.8290,44.0872,Warrior,88.8516,67.3878,21.2005,13.8525,8.7075,1.9470,200,56.2708,212.9489,176.9935,223.6921,77.1855,70.0519,0.0143,0.0332,Population structure converged. Difference: 0.0441
1,4,51.8290,47.9573,Warrior,88.8516,67.3878,21.2005,13.8525,8.7075,1.9470,200,56.2708,148.5126,114.1920,245.8405,16.8712,48.0723,0.0044,0.0332,Population structure converged. Difference: 0.0441
1,5,55.3895,50.0870,Warrior,92.9751,71.4823,22.4887,4.9745,8.0794,1.9483,200,56.2708,103.4680,105.5242,246.5295,11.3339,22.6011,0.0013,0.0332,Population structure converged. Difference: 0.0441
1,6,55.4152,50.9641,Warrior,84.1037,77.4076,24.3528,5.3869,8.7491,1.9470,200,56.2708,60.7898,68.3587,187.4651,9.9657,14.5530,0.0007,0.0332,Population structure converged. Difference: 0.0441
1,7,55.6398,51.6896,Warrior,93.9481,71.2532,22.4166,4.3343,8.0478,1.9470,200,56.2708,44.7845,35.7266,134.4950,9.5260,5.6285,0.0004,0.0332,Population structure converged. Difference: 0.0441
1,8,56.0182,52.4329,Warrior,84.8404,78.0857,24.5661,4.3577,8.1501,1.9470,200,56.2708,29.3020,51.2889,126.5528,19.6202,8.8869,0.0003,0.0332,Population structure converged. Difference: 0.0441
1,9,56.2708,53.8915,Warrior,90.3330,74.7672,23.5221,3.9827,7.3950,1.9483,200,56.2708,24.2672,58.3667,166.1337,19.3722,0.4910,0.0000,0.0332,Population structure converged. Difference: 0.0441
2,0,53.6169,31.1245,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.9804,200,58.4116,447.8411,381.4261,399.5399,423.5021,386.9055,0.0339,0.0332,Population structure converged. Difference: 0.0373
2,1,53.6169,37.4225,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.9804,200,58.4116,332.9983,309.2262,402.3836,232.5856,269.9301,0.0371,0.0332,Population structure converged. Difference: 0.0373
2,2,53.6169,42.9545,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.9804,200,58.4116,246.8832,286.2744,378.8167,115.7262,149.8756,0.0318,0.0332,Population structure converged. Difference: 0.0373
2,3,53.6169,46.7070,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.9804,200,58.4116,238.6588,332.4568,466.7298,84.8117,108.1966,0.0223,0.0332,Population structure converged. Difference: 0.0373
2,4,56.5693,49.8920,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.8782,200,58.4116,195.6231,302.8610,437.5169,37.3231,50.9482,0.0177,0.0332,Population structure converged. Difference: 0.0373
2,5,56.5693,51.7515,Warrior,93.0890,92.7014,6.2265,3.9639,4.0192,1.8782,200,58.4116,134.8062,206.0952,317.8837,21.4616,9.9720,0.0158,0.0332,Population structure converged. Difference: 0.0373
2,6,57.5341,53.1418,Warrior,95.7671,66.4039,31.6073,2.3407,3.8810,1.8782,200,58.4116,92.0268,150.7726,244.0699,4.7821,4.5258,0.0051,0.0332,Population structure converged. Difference: 0.0373
2,7,57.7229,54.0861,Warrior,87.9134,83.0202,21.5566,2.8253,4.6845,1.8782,200,58.4116,100.3671,101.9066,195.2512,3.5516,3.8448,0.0039,0.0332,Population structure converged. Difference: 0.0373
2,8,58.4116,55.5649,Warrior,82.0942,82.3670,30.6674,2.3700,2.5013,1.8782,200,58.4116,69.2363,67.2787,126.7334,1.1207,2.8870,0.0022,0.0332,Population structure converged. Difference: 0.0373
2,9,58.4116,56.3134,Warrior,82.0942,82.3670,30.6674,2.3700,2.5013,1.8782,200,58.4116,45.6980,80.9875,139.3750,0.9439,2.2700,0.0012,0.0332,Population structure converged. Difference: 0.0373
3,0,49.7152,32.0247,Warrior,73.3176,58.9852,50.8099,5.1270,11.7602,1.8255,200,58.8532,420.6035,386.6368,351.7289,299.9262,450.4570,0.0372,0.0351,Population structure converged. Difference: 0.0263
3,1,50.2470,38.3190,Warrior,81.9357,43.2643,57.9757,12.8898,3.9345,1.9248,200,58.8532,176.6333,333.6980,258.7435,194.8052,346.1423,0.0342,0.0351,Population structure converged. Difference: 0.0263
3,2,52.0181,43.1211,Warrior,66.2810,64.3101,52.5773,5.1101,11.7215,1.9248,200,58.8532,149.1062,218.2525,247.8367,131.3028,160.9721,0.0338,0.0351,Population structure converged. Difference: 0.0263
3,3,52.9894,47.6831,Warrior,73.3563,77.7453,43.9134,4.4311,0.5538,1.9858,200,58.8532,65.3017,157.4821,293.6121,45.6241,35.2560,0.0227,0.0351,Population structure converged. Difference: 0.0263
3,4,56.6700,49.1592,Warrior,78.1340,61.3263,55.2858,4.6702,0.5837,1.9248,200,58.8532,59.7382,179.6121,249.8304,34.4018,37.1916,0.0134,0.0351,Population structure converged. Difference: 0.0263
3,5,57.6622,50.8107,Warrior,75.8620,73.6063,45.1832,4.7543,0.5942,1.9248,200,58.8532,52.8955,172.4451,186.0875,16.0105,24.8976,0.0072,0.0351,Population structure converged. Difference: 0.0263
3,6,58.7349,52.1288,Warrior,93.4389,70.1705,30.7447,5.1012,0.5448,1.9248,200,58.8532,61.8630,141.4112,172.5034,15.2989,23.7402,0.0043,0.0351,Population structure converged. Difference: 0.0263
3,7,58.8162,53.6257,Warrior,87.2359,74.2053,32.5125,5.3946,0.6517,1.9248,200,58.8532,52.2504,111.8637,134.8813,15.9963,24.6943,0.0018,0.0351,Population structure converged. Difference: 0.0263
3,8,58.8517,55.7043,Warrior,87.2825,74.2450,32.5299,5.3974,0.5451,1.9248,200,58.8532,56.2746,57.6990,131.5890,10.7187,19.0515,0.0009,0.0351,Population structure converged. Difference: 0.0263
3,9,58.8532,57.3437,Warrior,87.2914,74.2526,32.5158,5.3951,0.5451,1.9248,200,58.8532,54.3956,32.8720,73.9467,5.7390,9.6067,0.0003,0.0351,Population structure converged. Difference: 0.0263
4,0,55.3499,31.4868,Warrior,85.6343,61.7549,40.5567,5.3218,6.7323,1.8815,200,56.2650,411.8481,491.1310,521.8662,360.6963,298.1543,0.0363,0.0203,Population structure converged. Difference: 0.0421
4,1,55.3499,36.4239,Warrior,85.6343,61.7549,40.5567,5.3218,6.7323,1.8815,200,56.2650,378.6646,496.6805,432.3363,287.2992,274.9897,0.0410,0.0203,Population structure converged. Difference: 0.0421
4,2,55.3499,42.2411,Warrior,85.6343,61.7549,40.5567,5.3218,6.7323,1.8815,200,56.2650,358.6795,583.4127,363.9685,221.1634,210.2176,0.0244,0.0203,Population structure converged. Difference: 0.0421
4,3,55.4958,48.4776,Warrior,95.8672,69.1344,21.7133,5.8653,7.4199,1.8953,200,56.2650,212.2919,425.3099,210.0563,58.0006,114.3059,0.0108,0.0203,Population structure converged. Difference: 0.0421
4,4,55.6279,52.2577,Warrior,90.6269,73.1308,22.9684,6.2044,7.0695,1.8815,200,56.2650,116.3137,164.2098,68.0162,30.6038,50.7377,0.0038,0.0203,Population structure converged. Difference: 0.0421
4,5,56.2650,53.9897,Warrior,84.4167,68.1196,36.5236,4.8300,6.1102,1.8815,200,56.2650,87.4137,90.2921,50.3105,1.3393,23.4789,0.0001,0.0203,Population structure converged. Difference: 0.0421
