Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.5386,30.0089,Warrior,71.7787,81.1363,8.6297,22.2720,16.1833,1.8904,200,55.2903,313.3357,458.2953,396.9575,525.8605,447.8472,0.0373,0.0542,Population structure converged. Difference: 0.0085
1,1,47.0044,33.9433,Warrior,59.8567,59.3435,67.8893,9.0502,3.8603,1.8451,200,55.2903,297.4049,345.6123,419.2234,417.2335,395.8642,0.0337,0.0542,Population structure converged. Difference: 0.0085
1,2,50.7521,38.3696,Warrior,73.6548,99.8396,10.6190,11.1364,4.7501,1.8451,200,55.2903,157.6866,379.4819,453.1276,221.5811,399.7624,0.0318,0.0542,Population structure converged. Difference: 0.0085
1,3,50.7521,42.9497,Warrior,73.6548,99.8396,10.6190,11.1364,4.7501,1.8451,200,55.2903,129.3607,361.6822,558.8255,49.2753,224.7190,0.0185,0.0542,Population structure converged. Difference: 0.0085
1,4,52.4484,45.0807,Warrior,72.4584,100.7850,10.7196,11.2419,4.7951,1.8904,200,55.2903,106.7377,349.7741,544.5177,46.0821,147.3043,0.0186,0.0542,Population structure converged. Difference: 0.0085
1,5,52.6346,47.6419,Warrior,72.6951,101.1144,10.7546,11.2786,4.1573,1.8904,200,55.2903,93.5728,359.1036,503.4734,43.3359,71.8594,0.0106,0.0542,Population structure converged. Difference: 0.0085
1,6,53.2113,49.4031,Warrior,74.9071,99.3574,10.5678,11.0826,4.0851,1.8904,200,55.2903,69.8672,242.2096,334.4744,31.7686,43.9460,0.0029,0.0542,Population structure converged. Difference: 0.0085
1,7,54.3043,50.8424,Warrior,81.0427,90.5962,12.9064,13.4045,2.0502,1.8904,200,55.2903,30.5535,188.9628,165.9344,22.2784,25.7408,0.0017,0.0542,Population structure converged. Difference: 0.0085
1,8,54.3043,51.7253,Warrior,81.0427,90.5962,12.9064,13.4045,2.0502,1.8904,200,55.2903,20.6077,102.1898,67.2591,10.1319,13.0853,0.0004,0.0542,Population structure converged. Difference: 0.0085
1,9,54.6059,52.4876,Warrior,81.9582,93.7570,9.9721,10.4579,3.8548,1.8904,200,55.2903,11.7896,44.1457,9.4912,5.9159,9.2023,0.0001,0.0542,Population structure converged. Difference: 0.0085
