Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.6748,33.3534,Warrior,61.0116,71.3798,53.0523,4.9952,9.5611,1.4347,200,47.0777,226.0137,492.7751,524.9319,347.0384,351.8574,0.0313,0.0218,Population structure converged. Difference: 0.0413
1,1,46.0063,39.1878,Warrior,84.9206,85.3365,12.6614,5.8618,11.2197,1.3970,200,47.0777,85.4917,348.1307,372.6548,165.6399,187.3369,0.0188,0.0218,Population structure converged. Difference: 0.0413
1,2,46.0063,41.9395,Warrior,84.9206,85.3365,12.6614,5.8618,11.2197,1.3970,200,47.0777,44.1982,125.5450,167.3581,56.9827,55.0499,0.0076,0.0218,Population structure converged. Difference: 0.0413
1,3,46.5995,43.4951,Warrior,86.5014,86.9251,11.8386,5.0565,9.6784,1.3970,200,47.0777,40.4612,85.1790,140.2746,6.1180,14.3048,0.0056,0.0218,Population structure converged. Difference: 0.0413
1,4,46.5995,44.0807,Warrior,86.5014,86.9251,11.8386,5.0565,9.6784,1.3970,200,47.0777,53.3726,55.8121,187.0846,0.4782,1.9206,0.0037,0.0218,Population structure converged. Difference: 0.0413
1,5,47.0777,44.6280,Warrior,83.0829,83.4898,19.3421,4.7893,9.2959,1.3970,200,47.0777,69.8336,86.1651,273.3163,0.8420,0.7739,0.0036,0.0218,Population structure converged. Difference: 0.0413
1,6,47.0777,45.2124,Warrior,83.0829,83.4898,19.3421,4.7893,9.2959,1.3970,200,47.0777,66.5648,101.0751,282.7679,0.7419,1.0474,0.0036,0.0218,Population structure converged. Difference: 0.0413
2,0,48.9267,36.3572,Warrior,59.2067,87.5363,36.3358,7.7816,9.1396,1.8582,200,49.0714,307.4497,801.8307,237.7827,454.2812,396.6450,0.0379,0.0100,Population structure converged. Difference: 0.0260
2,1,49.0552,45.4843,Warrior,58.4198,86.3729,39.8348,6.3543,9.0182,1.8582,200,49.0714,48.1677,321.2400,43.0810,182.9193,172.8064,0.0152,0.0100,Population structure converged. Difference: 0.0260
2,2,49.0714,47.8282,Warrior,58.4372,86.3985,39.8466,6.3562,8.9615,1.8582,200,49.0714,7.1598,81.0936,6.4147,50.3332,16.3041,0.0094,0.0100,Population structure converged. Difference: 0.0260
