Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.5354,33.3897,Warrior,72.4544,60.0860,21.5108,25.6809,20.2679,1.9123,200,53.7905,400.2017,275.3369,272.5483,271.8424,347.1375,0.0366,0.0468,Population structure converged. Difference: 0.0079
1,1,49.6758,40.4578,Warrior,90.0315,54.2698,27.8112,2.7028,25.1848,1.9123,200,53.7905,179.0211,77.1412,189.5663,97.2679,133.1320,0.0237,0.0468,Population structure converged. Difference: 0.0079
1,2,50.4558,44.4599,Warrior,87.2173,56.5750,28.9925,2.8176,24.3976,1.9123,200,53.7905,106.0448,37.6116,119.1576,117.8774,48.0844,0.0018,0.0468,Population structure converged. Difference: 0.0079
1,3,51.1155,46.8930,Warrior,92.1242,55.5313,28.4577,2.7656,21.1212,1.9123,200,53.7905,80.5142,27.8240,86.6796,130.0086,17.4196,0.0006,0.0468,Population structure converged. Difference: 0.0079
1,4,51.9633,48.8245,Warrior,78.9185,66.6301,28.9317,3.4435,22.0762,1.9123,200,53.7905,40.4644,25.8625,50.8927,70.4330,8.5755,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,5,52.5668,49.9915,Warrior,86.6767,61.3471,29.2603,2.8436,19.8723,1.9123,200,53.7905,24.6374,21.5015,38.0318,25.1034,4.5173,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,6,52.5668,50.6063,Warrior,86.6767,61.3471,29.2603,2.8436,19.8723,1.9123,200,53.7905,26.7008,19.4056,30.0983,20.0893,4.4317,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,7,52.8238,51.0540,Warrior,85.9193,63.8172,27.7103,2.8546,19.6986,1.9123,200,53.7905,25.5010,28.8729,31.8969,19.9361,3.4821,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,8,52.8942,51.6536,Warrior,80.2170,67.7264,29.0164,2.8199,20.2203,1.9123,200,53.7905,19.5152,23.5091,22.7596,10.1664,2.3798,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,9,53.6132,52.1062,Warrior,86.1510,65.0402,28.2413,2.8666,17.7009,1.9123,200,53.7905,13.7376,18.8838,15.4105,0.1798,1.3637,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,10,53.6132,52.4291,Warrior,86.1510,65.0402,28.2413,2.8666,17.7009,1.9123,200,53.7905,7.7522,13.2140,6.4477,0.0422,0.9305,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,11,53.6132,52.5795,Warrior,86.1510,65.0402,28.2413,2.8666,17.7009,1.9123,200,53.7905,8.6013,11.8188,4.0320,0.0350,0.9298,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,12,53.6294,52.8407,Warrior,81.0395,68.4209,29.4878,2.8657,18.1860,1.9123,200,53.7905,7.0911,5.7914,0.8366,0.0309,0.8615,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,13,53.7905,53.1587,Warrior,81.2366,68.5872,29.5595,2.8727,17.7440,1.9123,200,53.7905,5.0890,3.1175,0.4899,0.0119,1.2149,0.0000,0.0468,Population structure converged. Difference: 0.0079
1,14,53.7905,53.3667,Warrior,81.2366,68.5872,29.5595,2.8727,17.7440,1.9123,200,53.7905,4.9260,2.3403,0.3436,0.0024,1.0257,0.0000,0.0468,Population structure converged. Difference: 0.0079
2,0,54.1387,40.4807,Warrior,73.3737,83.0861,31.8924,8.7611,2.8867,1.9586,200,54.2191,437.1964,648.7773,203.4395,369.9011,519.2032,0.0425,0.0132,Population structure converged. Difference: 0.0058
2,1,54.2191,50.0846,Warrior,74.1049,83.9141,30.2171,8.8484,2.9155,1.9586,200,54.2191,130.9508,281.5655,34.6042,110.3734,257.9718,0.0148,0.0132,Population structure converged. Difference: 0.0058
2,2,54.2191,52.7652,Warrior,74.1049,83.9141,30.2171,8.8484,2.9155,1.9586,200,54.2191,52.1486,119.5202,23.9387,44.6170,56.2864,0.0050,0.0132,Population structure converged. Difference: 0.0058
2,3,54.2191,53.9069,Warrior,74.1049,83.9141,30.2171,8.8484,2.9155,1.9586,200,54.2191,1.8431,29.5890,0.9320,21.2926,1.5413,0.0000,0.0132,Population structure converged. Difference: 0.0058
3,0,49.8744,33.1574,Warrior,75.4852,55.0282,40.9979,8.0954,20.3933,1.9097,200,52.0054,383.9214,257.5424,218.8736,239.6327,392.4841,0.0376,0.0438,Population structure converged. Difference: 0.0087
3,1,50.6924,40.9984,Warrior,76.5418,55.7985,41.5718,8.2087,17.8793,1.9097,200,52.0054,186.7893,123.8975,104.4561,214.5022,225.2433,0.0148,0.0438,Population structure converged. Difference: 0.0087
3,2,51.1069,46.4684,Warrior,77.7138,56.6529,40.3267,7.9629,17.3438,1.9097,200,52.0054,47.2290,59.6501,68.8017,109.4957,89.1235,0.0136,0.0438,Population structure converged. Difference: 0.0087
3,3,51.2000,49.2533,Warrior,78.9315,61.2933,33.0359,8.4136,18.3256,1.9097,200,52.0054,11.3655,18.1698,22.2607,22.4722,36.1909,0.0052,0.0438,Population structure converged. Difference: 0.0087
3,4,51.2690,50.0400,Warrior,77.4705,61.8067,34.2849,8.3083,18.1296,1.9097,200,52.0054,7.5328,8.2492,13.9706,5.3862,20.7638,0.0026,0.0438,Population structure converged. Difference: 0.0087
3,5,51.4929,50.4974,Warrior,76.9664,58.9824,39.3546,7.7709,16.9257,1.9097,200,52.0054,5.3070,5.0324,10.3262,5.3327,1.9817,0.0000,0.0438,Population structure converged. Difference: 0.0087
3,6,51.4986,50.8425,Warrior,77.0334,58.9503,39.3331,7.7667,16.9165,1.9097,200,52.0054,4.2559,4.4160,12.6006,0.2154,1.4143,0.0000,0.0438,Population structure converged. Difference: 0.0087
