Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.1758,35.5837,Warrior,81.1954,66.1536,42.4062,9.1890,1.0558,1.9295,200,56.5198,417.4548,439.3740,363.9017,353.4808,470.4891,0.0263,0.0217,Population structure converged. Difference: 0.0383
1,1,56.3693,45.7988,Warrior,85.4635,63.7245,40.8491,8.8516,1.1113,1.9295,200,56.5198,161.3309,165.6059,52.4432,130.0999,153.9196,0.0153,0.0217,Population structure converged. Difference: 0.0383
1,2,56.3856,51.5215,Warrior,82.6825,67.3652,39.5199,9.3573,1.0751,1.9295,200,56.5198,51.7307,12.7505,8.7984,9.8523,102.8075,0.0002,0.0217,Population structure converged. Difference: 0.0383
1,3,56.5198,54.4370,Warrior,82.3435,67.0889,40.6816,8.8153,1.0707,1.9295,200,56.5198,13.8664,6.3278,4.1601,2.7566,58.1764,0.0000,0.0217,Population structure converged. Difference: 0.0383
2,0,46.1696,33.3414,Warrior,64.7380,58.5512,51.9054,17.2381,7.5673,1.8400,200,55.5173,297.9988,305.0066,477.5619,327.4749,447.4224,0.0458,0.0363,Population structure converged. Difference: 0.0435
2,1,48.2838,38.6613,Warrior,68.7898,56.0220,56.3297,18.7075,0.1510,1.8613,200,55.5173,210.1200,238.1910,421.6661,177.2069,278.2401,0.0317,0.0363,Population structure converged. Difference: 0.0435
2,2,52.8280,42.7737,Warrior,81.0193,73.2765,30.2331,6.0006,9.4704,1.8400,200,55.5173,162.4031,186.8512,389.6532,165.1491,31.7166,0.0096,0.0363,Population structure converged. Difference: 0.0435
2,3,53.5281,45.9026,Warrior,81.9766,74.1423,30.5904,6.0715,7.2192,1.8400,200,55.5173,117.1813,107.6669,305.7171,113.8280,14.2030,0.0039,0.0363,Population structure converged. Difference: 0.0435
2,4,54.5126,49.0217,Warrior,77.0194,58.8905,59.2140,4.7256,0.1505,1.8613,200,55.5173,93.9118,65.9662,290.1844,58.3541,22.8084,0.0020,0.0363,Population structure converged. Difference: 0.0435
2,5,54.7476,51.9893,Warrior,81.9766,74.1423,30.5904,6.0715,7.2192,1.8613,200,55.5173,57.8753,55.8232,240.3303,11.5877,17.9479,0.0005,0.0363,Population structure converged. Difference: 0.0435
2,6,55.5173,53.2051,Warrior,83.1568,63.1075,46.6860,6.9022,0.1475,1.8613,200,55.5173,32.5220,42.3497,182.2570,4.1944,15.5400,0.0001,0.0363,Population structure converged. Difference: 0.0435
3,0,54.3679,35.7438,Warrior,75.0267,73.7054,33.5386,3.8006,13.9287,1.9095,200,54.3679,407.1743,583.7523,333.7910,573.3362,480.2476,0.0401,0.0162,Population structure converged. Difference: 0.0308
3,1,54.3679,47.6327,Warrior,75.0267,73.7054,33.5386,3.8006,13.9287,1.9095,200,54.3679,216.3774,292.4637,162.0607,243.9771,135.3193,0.0266,0.0162,Population structure converged. Difference: 0.0308
3,2,54.3679,52.7433,Warrior,75.0267,73.7054,33.5386,3.8006,13.9287,1.9095,200,54.3679,51.3813,77.6869,15.4647,103.3209,45.2792,0.0091,0.0162,Population structure converged. Difference: 0.0308
4,0,43.1433,30.9464,Warrior,73.7910,71.8120,22.0802,1.2904,31.0263,1.7700,200,45.2989,316.9480,555.4027,383.1782,567.7634,278.1151,0.0295,0.0169,Population structure converged. Difference: 0.0443
4,1,43.3982,38.1215,Warrior,74.2650,72.2733,22.2221,0.0139,31.2257,1.7700,200,45.2989,184.1274,351.7944,176.3838,296.8053,96.7299,0.0140,0.0169,Population structure converged. Difference: 0.0443
4,2,45.2989,42.0336,Warrior,74.2800,72.2879,21.6886,1.2675,30.4760,1.8056,200,45.2989,48.1043,43.8543,47.1742,65.5367,41.5795,0.0048,0.0169,Population structure converged. Difference: 0.0443
4,3,45.2989,43.1354,Warrior,74.2800,72.2879,21.6886,1.2675,30.4760,1.8056,200,45.2989,3.0131,6.4077,3.2827,5.9219,8.8280,0.0008,0.0169,Population structure converged. Difference: 0.0443
4,4,45.2989,43.3792,Warrior,74.2800,72.2879,21.6886,1.2675,30.4760,1.8056,200,45.2989,0.2815,0.2794,0.7396,6.2786,6.1912,0.0001,0.0169,Population structure converged. Difference: 0.0443
