Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,45.3442,32.3755,Warrior,72.8078,59.9275,55.1552,7.5374,4.5721,1.3984,200,58.4449,389.5672,453.9586,378.5443,415.5208,313.4938,0.0380,0.0243,Population structure converged. Difference: 0.0170
1,1,50.0427,38.8460,Warrior,74.4253,70.5788,26.1622,1.0376,27.7961,1.8815,200,58.4449,248.6576,200.3707,474.3018,185.0336,188.1409,0.0311,0.0243,Population structure converged. Difference: 0.0170
1,2,50.0427,43.2497,Warrior,74.4253,70.5788,26.1622,1.0376,27.7961,1.8815,200,58.4449,171.3750,145.7699,379.3017,66.6697,94.0898,0.0343,0.0243,Population structure converged. Difference: 0.0170
1,3,55.1237,46.1600,Warrior,80.4949,76.3347,28.8852,8.8916,5.3935,1.8815,200,58.4449,134.1635,153.8535,237.1240,30.1265,98.7003,0.0431,0.0243,Population structure converged. Difference: 0.0170
1,4,58.1809,48.6025,Warrior,80.2727,83.2516,30.8598,1.2240,4.3919,1.8815,200,58.4449,105.6438,107.6618,159.1803,28.0467,92.2506,0.0457,0.0243,Population structure converged. Difference: 0.0170
1,5,58.3973,52.2990,Warrior,83.1484,79.0693,31.9653,1.2678,4.5492,1.8815,200,58.4449,57.3448,68.9508,85.6507,20.6331,69.3027,0.0313,0.0243,Population structure converged. Difference: 0.0170
1,6,58.3973,55.5101,Warrior,83.1484,79.0693,31.9653,1.2678,4.5492,1.8815,200,58.4449,25.3661,39.0706,45.9727,8.5451,33.4591,0.0176,0.0243,Population structure converged. Difference: 0.0170
1,7,58.4449,57.4681,Warrior,83.6963,79.5903,30.9083,1.2259,4.5792,1.8815,200,58.4449,8.4879,14.5950,20.0213,2.6602,3.5174,0.0062,0.0243,Population structure converged. Difference: 0.0170
2,0,56.1870,36.2178,Warrior,96.2412,54.8093,40.4326,0.4476,8.0693,1.9128,200,58.0845,835.9020,321.8022,299.0812,492.6096,479.8908,0.0554,0.0153,Population structure converged. Difference: 0.0445
2,1,56.8013,46.5016,Warrior,86.0653,79.3896,21.9354,0.6626,11.9470,1.9128,200,58.0845,758.1550,167.7182,212.0096,227.6412,275.1542,0.0300,0.0153,Population structure converged. Difference: 0.0445
2,2,56.8013,53.7626,Warrior,86.0653,79.3896,21.9354,0.6626,11.9470,1.9128,200,58.0845,238.9000,36.5030,145.0038,9.4893,11.1009,0.0002,0.0153,Population structure converged. Difference: 0.0445
2,3,57.5241,54.7575,Warrior,89.4657,82.5262,17.7846,0.5373,9.6863,1.9128,200,58.0845,173.8781,53.5899,141.7866,1.8540,3.3419,0.0000,0.0153,Population structure converged. Difference: 0.0445
2,4,58.0845,55.6108,Warrior,90.1949,83.1989,17.9295,0.5416,8.1351,1.9128,200,58.0845,105.6248,85.7459,121.1479,0.7231,2.2414,0.0000,0.0153,Population structure converged. Difference: 0.0445
