Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.3600,34.6463,Warrior,61.7720,62.5759,62.9803,7.8792,4.7926,1.9360,200,52.2250,265.2512,530.3873,344.5700,603.9345,412.0189,0.0365,0.0164,Population structure converged. Difference: 0.0483
1,1,51.3614,43.4950,Warrior,60.2515,74.1010,54.6514,6.8372,4.1588,1.9360,200,52.2250,106.1916,293.8509,218.5738,155.9101,174.8017,0.0242,0.0164,Population structure converged. Difference: 0.0483
1,2,52.2898,48.2622,Warrior,67.7397,60.7088,59.5243,7.4784,4.5488,1.9360,200,52.2250,59.6438,134.7633,78.1394,23.4922,80.6245,0.0072,0.0164,Population structure converged. Difference: 0.0483
1,3,52.2250,49.8207,Warrior,67.6605,60.6378,59.4547,7.4697,4.7774,1.9360,200,52.2250,11.4402,52.0258,25.2859,7.8433,33.8513,0.0043,0.0164,Population structure converged. Difference: 0.0483
2,0,47.3943,33.5616,Warrior,60.4493,82.8730,49.0501,0.6036,7.0241,1.7884,200,51.9955,497.7516,486.1243,320.1414,563.1576,572.7473,0.0294,0.0325,Population structure converged. Difference: 0.0327
2,1,51.8086,42.1675,Warrior,83.3363,70.3407,41.6326,0.5123,4.1781,1.7788,200,51.9955,197.2130,331.4062,172.2959,287.2384,251.6276,0.0147,0.0325,Population structure converged. Difference: 0.0327
2,2,51.9955,46.8903,Warrior,82.6119,69.7116,41.2602,0.5077,5.9086,1.7884,200,51.9955,117.0067,98.6343,55.2167,31.7039,12.8454,0.0012,0.0325,Population structure converged. Difference: 0.0327
2,3,51.9955,47.8615,Warrior,82.6119,69.7116,41.2602,0.5077,5.9086,1.7884,200,51.9955,81.7822,53.0871,15.4392,9.4476,0.7762,0.0000,0.0325,Population structure converged. Difference: 0.0327
2,4,51.9955,48.9065,Warrior,82.6119,69.7116,41.2602,0.5077,5.9086,1.7884,200,51.9955,98.0696,51.2865,16.1737,0.0088,1.4599,0.0000,0.0325,Population structure converged. Difference: 0.0327
2,5,51.9955,50.3475,Warrior,82.6119,69.7116,41.2602,0.5077,5.9086,1.7884,200,51.9955,81.2680,43.7346,13.4792,0.0017,0.3803,0.0000,0.0325,Population structure converged. Difference: 0.0327
3,0,46.1133,31.8262,Warrior,53.2271,90.5851,43.2552,10.8828,2.0498,1.9697,200,56.1614,213.4763,568.9155,402.9488,379.9245,386.8595,0.0467,0.0348,Population structure converged. Difference: 0.0454
3,1,49.4163,38.1439,Warrior,60.6136,86.0263,41.0783,10.3351,1.9467,1.9697,200,56.1614,82.9671,309.6010,255.8126,147.9854,289.1108,0.0415,0.0348,Population structure converged. Difference: 0.0454
3,2,52.0068,43.2979,Warrior,65.7610,73.1926,53.4408,5.0731,2.5325,1.9697,200,56.1614,48.1992,179.4289,181.6407,43.5823,202.5535,0.0155,0.0348,Population structure converged. Difference: 0.0454
3,3,54.6059,46.9811,Warrior,76.6214,85.2804,29.2365,5.9110,2.9508,1.9697,200,56.1614,40.0003,85.5515,104.9607,22.8001,119.9776,0.0027,0.0348,Population structure converged. Difference: 0.0454
3,4,55.8345,49.5793,Warrior,76.7820,85.4591,29.2978,5.9234,2.5378,1.8652,200,56.1614,42.2090,61.4667,84.1183,19.3725,65.0467,0.0024,0.0348,Population structure converged. Difference: 0.0454
3,5,55.8444,52.1493,Warrior,76.8506,85.3566,29.3240,5.9287,2.5401,1.8652,200,56.1614,43.9603,39.2320,75.0638,10.4679,9.7272,0.0023,0.0348,Population structure converged. Difference: 0.0454
3,6,56.1614,53.7219,Warrior,77.1118,85.8262,29.4236,5.0949,2.5434,1.8652,200,56.1614,24.4170,27.0535,61.3468,7.3370,0.1240,0.0022,0.0348,Population structure converged. Difference: 0.0454
4,0,44.2945,32.1142,Warrior,65.0875,58.2633,30.9757,10.5676,35.1059,1.9100,200,52.6314,306.1510,302.1253,454.7773,500.7433,312.9401,0.0461,0.0198,Population structure converged. Difference: 0.0372
4,1,50.9568,37.1876,Warrior,72.9702,65.3195,34.7271,8.6202,18.3630,1.9100,200,52.6314,172.6445,179.1835,357.1346,210.4446,250.8319,0.0382,0.0198,Population structure converged. Difference: 0.0372
4,2,51.4560,42.1800,Warrior,73.3049,66.3954,35.2991,12.0426,12.9579,1.9165,200,52.6314,127.2439,180.0760,328.0401,100.1851,180.1088,0.0135,0.0198,Population structure converged. Difference: 0.0372
4,3,52.4540,46.8626,Warrior,74.6135,66.7905,35.5092,4.3103,18.7765,1.9100,200,52.6314,71.3756,105.7152,120.6741,59.0473,109.8220,0.0028,0.0198,Population structure converged. Difference: 0.0372
4,4,52.6314,50.0673,Warrior,74.3497,67.6507,35.9665,8.8302,13.2029,1.9165,200,52.6314,24.7462,20.4663,14.9703,13.9232,19.7140,0.0011,0.0198,Population structure converged. Difference: 0.0372
4,5,52.6314,50.7422,Warrior,74.3497,67.6507,35.9665,8.8302,13.2029,1.9165,200,52.6314,17.7290,10.7160,12.9067,8.1886,10.9416,0.0011,0.0198,Population structure converged. Difference: 0.0372
5,0,50.0842,34.6239,Warrior,63.0176,85.0518,43.3977,3.5923,4.9406,1.8218,200,57.1203,385.5534,472.9697,433.2848,313.7078,484.4622,0.0384,0.0251,Population structure converged. Difference: 0.0495
5,1,51.3572,41.6173,Warrior,68.7969,74.5099,47.3777,3.9218,5.3937,1.8218,200,57.1203,208.3829,323.0528,437.8438,221.8100,215.6344,0.0235,0.0251,Population structure converged. Difference: 0.0495
5,2,55.1693,46.4535,Warrior,69.8263,69.5173,53.0189,2.9362,4.7013,1.8901,200,57.1203,109.9771,165.3927,242.6715,95.7435,39.6577,0.0103,0.0251,Population structure converged. Difference: 0.0495
5,3,56.7310,49.5797,Warrior,75.2284,74.8955,41.6477,3.1634,5.0650,1.8901,200,57.1203,79.6315,95.9087,76.6089,59.3988,16.8725,0.0053,0.0251,Population structure converged. Difference: 0.0495
5,4,56.8797,52.3904,Warrior,76.1134,73.6994,42.1377,3.0946,4.9550,1.8901,200,57.1203,52.6053,53.6136,58.6607,36.6261,7.6560,0.0023,0.0251,Population structure converged. Difference: 0.0495
5,5,57.1203,54.4276,Warrior,75.9426,74.7358,42.0431,2.7981,4.4803,1.8901,200,57.1203,31.0966,38.5530,84.6752,27.8681,6.3517,0.0009,0.0251,Population structure converged. Difference: 0.0495
6,0,49.5005,32.5996,Warrior,76.2102,56.2467,37.3759,8.0363,22.1309,1.9292,200,51.3048,497.2302,430.7020,355.1350,367.5263,347.8156,0.0356,0.0160,Population structure converged. Difference: 0.0277
6,1,51.1343,39.2237,Warrior,78.3502,57.8261,38.4254,8.5276,16.8707,1.9292,200,51.3048,338.4606,253.8154,150.9418,186.4607,208.3579,0.0295,0.0160,Population structure converged. Difference: 0.0277
6,2,51.2208,45.8876,Warrior,78.4501,57.8999,38.4744,8.2835,16.8922,1.9292,200,51.3048,164.8839,53.2785,50.9716,31.2206,49.7228,0.0209,0.0160,Population structure converged. Difference: 0.0277
6,3,51.3048,48.4745,Warrior,78.5472,57.9715,38.5220,8.0462,16.9131,1.9292,200,51.3048,73.6742,31.4872,25.8904,9.5594,17.1895,0.0096,0.0160,Population structure converged. Difference: 0.0277
6,4,51.3048,49.9243,Warrior,78.5472,57.9715,38.5220,8.0462,16.9131,1.9292,200,51.3048,22.8568,10.7627,8.7311,3.9563,9.4536,0.0054,0.0160,Population structure converged. Difference: 0.0277
7,0,45.5356,32.4877,Warrior,71.8820,52.4008,35.4908,13.0450,27.1814,1.8811,200,50.9026,352.4763,490.2017,275.5350,336.9155,363.0356,0.0472,0.0287,Population structure converged. Difference: 0.0398
7,1,46.7500,38.9282,Warrior,63.7585,69.0812,31.4799,11.5708,24.1096,1.8811,200,50.9026,174.8344,326.0619,159.6745,150.6089,183.5625,0.0329,0.0287,Population structure converged. Difference: 0.0398
7,2,46.7500,42.9015,Warrior,63.7585,69.0812,31.4799,11.5708,24.1096,1.8811,200,50.9026,58.3976,171.6574,92.8949,47.1192,46.0045,0.0112,0.0287,Population structure converged. Difference: 0.0398
7,3,47.9231,45.0127,Warrior,67.0098,70.0419,29.5056,10.8451,22.5976,1.8811,200,50.9026,17.9487,84.6911,39.5233,7.4659,3.6926,0.0014,0.0287,Population structure converged. Difference: 0.0398
7,4,49.2126,45.4831,Warrior,64.2809,74.7102,34.0450,0.0761,26.8878,1.8811,200,50.9026,20.8737,57.4152,30.3374,5.9009,3.5269,0.0010,0.0287,Population structure converged. Difference: 0.0398
7,5,49.6938,46.2472,Warrior,66.0811,73.7192,33.5934,0.0751,26.5312,1.8811,200,50.9026,13.8641,38.4872,24.8600,6.1829,3.0284,0.0005,0.0287,Population structure converged. Difference: 0.0398
7,6,50.0754,47.0481,Warrior,65.1529,75.7236,34.5068,0.0771,24.5396,1.8811,200,50.9026,9.4960,28.9927,12.6080,17.0378,2.5080,0.0001,0.0287,Population structure converged. Difference: 0.0398
7,7,50.7043,48.0814,Warrior,65.7917,76.4661,34.8451,0.0779,22.8192,1.8811,200,50.9026,5.3530,20.6762,11.3083,32.9274,2.7821,0.0001,0.0287,Population structure converged. Difference: 0.0398
