Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,52.4217,36.7199,Warrior,78.1616,58.2638,46.4626,16.8842,0.2278,1.9258,200,58.3246,231.7448,341.3134,269.7525,261.9433,463.5165,0.0469,0.0189,Population structure converged. Difference: 0.0166
1,1,55.1999,48.8271,Warrior,101.4402,47.2735,47.1082,3.8824,0.2956,1.9258,200,58.3246,108.3203,108.4911,62.8078,27.0338,212.1646,0.0140,0.0189,Population structure converged. Difference: 0.0166
1,2,57.8883,52.5123,Warrior,83.5658,62.2922,49.6751,4.1509,0.3161,1.9258,200,58.3246,13.7199,4.4427,0.1617,4.9038,0.0002,0.0000,0.0189,Population structure converged. Difference: 0.0166
1,3,58.1638,53.3996,Warrior,84.9300,63.3091,47.2211,4.2186,0.3212,1.9258,200,58.3246,42.8236,13.8992,1.9668,28.0585,0.0012,0.0000,0.0189,Population structure converged. Difference: 0.0166
1,4,58.3246,55.4471,Warrior,85.8428,63.9896,45.5790,4.2640,0.3247,1.9258,200,58.3246,54.1777,26.3114,3.8561,37.1760,0.0018,0.0000,0.0189,Population structure converged. Difference: 0.0166
1,5,58.3246,57.3726,Warrior,85.8428,63.9896,45.5790,4.2640,0.3247,1.9258,200,58.3246,16.2875,12.1673,3.2264,9.8005,0.0011,0.0000,0.0189,Population structure converged. Difference: 0.0166
2,0,44.8528,33.6803,Warrior,72.8019,54.0538,35.5062,31.0523,6.5858,1.8790,200,45.7558,365.3549,350.7260,349.7058,329.5701,491.6048,0.0480,0.0095,Population structure converged. Difference: 0.0216
2,1,45.7558,41.6315,Warrior,57.7443,57.0373,53.4432,8.4032,23.3720,1.9015,200,45.7558,89.3508,193.4684,120.6526,83.4308,124.9941,0.0168,0.0095,Population structure converged. Difference: 0.0216
2,2,45.7558,44.7885,Warrior,57.7443,57.0373,53.4432,8.4032,23.3720,1.9015,200,45.7558,4.8482,7.0700,11.6108,10.4612,5.5808,0.0000,0.0095,Population structure converged. Difference: 0.0216
3,0,49.9869,36.8223,Warrior,69.0790,82.2519,33.5739,12.4933,2.6020,1.9809,200,51.4046,255.1532,286.3524,445.8783,262.0429,347.4484,0.0476,0.0124,Population structure converged. Difference: 0.0342
3,1,51.4046,45.4567,Warrior,74.0370,79.8794,32.6055,11.1550,2.3232,1.9809,200,51.4046,60.6203,94.5087,195.6631,67.2222,165.7288,0.0322,0.0124,Population structure converged. Difference: 0.0342
3,2,51.4046,48.7384,Warrior,74.0370,79.8794,32.6055,11.1550,2.3232,1.9809,200,51.4046,12.9898,124.7314,96.7096,4.6845,1.2394,0.0028,0.0124,Population structure converged. Difference: 0.0342
3,3,51.4046,49.7026,Warrior,74.0370,79.8794,32.6055,11.1550,2.3232,1.9809,200,51.4046,9.9924,203.2731,149.6841,0.2113,0.0092,0.0000,0.0124,Population structure converged. Difference: 0.0342
4,0,56.1420,36.7792,Warrior,83.3340,82.6920,26.3363,0.5766,7.0611,1.8491,200,58.6188,212.7312,382.0677,425.3324,377.8896,322.2523,0.0439,0.0125,Population structure converged. Difference: 0.0395
4,1,57.5974,47.5511,Warrior,77.3661,81.1493,34.7053,0.7599,6.0194,1.9428,200,58.6188,130.4870,254.9241,358.3530,156.5682,168.6091,0.0126,0.0125,Population structure converged. Difference: 0.0395
