Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,56.6994,40.4521,Warrior,81.3140,77.9789,28.8021,3.8986,8.0064,1.8985,200,57.0135,452.6026,352.9045,283.0249,459.8108,517.1116,0.0389,0.0095,Population structure converged. Difference: 0.0405
1,1,56.9724,51.4135,Warrior,80.9308,76.4891,31.6558,3.8802,7.0441,1.8985,200,57.0135,49.5967,134.6924,110.7745,196.3666,93.5325,0.0180,0.0095,Population structure converged. Difference: 0.0405
1,2,57.0135,54.7966,Warrior,79.0767,78.0945,32.3202,3.4413,7.0673,1.9286,200,57.0135,18.6430,27.6907,69.4733,20.1332,12.6093,0.0028,0.0095,Population structure converged. Difference: 0.0405
2,0,43.2710,30.5476,Warrior,67.4828,71.2364,40.1745,20.3983,0.7079,1.4160,200,59.0475,370.3987,466.4968,448.8554,287.4624,523.7478,0.0367,0.0381,Population structure converged. Difference: 0.0476
2,1,45.8782,36.6151,Warrior,70.4494,78.0202,31.3942,1.8363,18.2998,1.4202,200,59.0475,209.1152,264.6731,278.4935,155.6425,274.9752,0.0409,0.0381,Population structure converged. Difference: 0.0476
2,2,48.3179,39.2277,Warrior,53.0758,97.2698,39.1400,2.2894,8.2251,1.8777,200,59.0475,113.2950,256.0845,276.1928,131.6106,105.6139,0.0359,0.0381,Population structure converged. Difference: 0.0476
2,3,52.2841,42.5953,Warrior,70.4494,78.0202,31.3942,1.8363,18.2998,1.8777,200,59.0475,108.8906,275.3754,150.3277,118.2856,60.0749,0.0263,0.0381,Population structure converged. Difference: 0.0476
2,4,54.3121,45.7656,Warrior,69.9205,73.8098,44.6183,2.5369,9.1145,1.8777,200,59.0475,100.7756,247.2338,115.9341,87.5969,53.5861,0.0386,0.0381,Population structure converged. Difference: 0.0476
2,5,55.8174,48.8050,Warrior,77.8380,77.2822,32.9997,1.9302,9.9500,1.8777,200,59.0475,52.8895,139.3678,44.1414,35.5919,51.2525,0.0520,0.0381,Population structure converged. Difference: 0.0476
2,6,56.8589,52.3271,Warrior,70.3294,87.4544,39.6363,1.8815,0.6985,1.8777,200,59.0475,32.8128,62.9451,39.5722,12.3559,32.6319,0.0344,0.0381,Population structure converged. Difference: 0.0476
