Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.6063,33.8700,Warrior,66.4044,70.5658,52.6793,6.4265,3.9241,1.9679,200,56.4956,630.7173,313.9477,368.4116,325.6804,332.8619,0.0454,0.0256,Population structure converged. Difference: 0.0343
1,1,52.1940,41.8669,Warrior,87.9855,57.3942,36.9710,15.3602,2.2892,1.8762,200,56.4956,446.5402,194.0802,131.8546,134.0302,260.6070,0.0358,0.0256,Population structure converged. Difference: 0.0343
1,2,53.3272,46.5155,Warrior,66.8497,71.0390,53.0326,6.4696,2.6092,1.8762,200,56.4956,288.8569,167.4127,62.5381,43.5490,103.7573,0.0073,0.0256,Population structure converged. Difference: 0.0343
1,3,53.3322,49.8207,Warrior,66.8555,71.0452,53.0372,6.4701,2.5920,1.8762,200,56.4956,224.2187,207.0634,43.8812,26.5829,1.9009,0.0020,0.0256,Population structure converged. Difference: 0.0343
1,4,56.1352,51.4262,Warrior,85.9216,60.8637,45.4364,5.5429,2.2355,1.8762,200,56.4956,155.5083,117.2080,52.2209,23.6926,0.5854,0.0019,0.0256,Population structure converged. Difference: 0.0343
1,5,56.1352,52.3905,Warrior,85.9216,60.8637,45.4364,5.5429,2.2355,1.8762,200,56.4956,127.9121,79.7873,55.5439,21.2010,0.4398,0.0012,0.0256,Population structure converged. Difference: 0.0343
1,6,56.4956,53.4621,Warrior,89.4146,63.3381,39.1527,5.7682,2.3264,1.8762,200,56.4956,108.2318,55.3020,51.0165,16.8263,0.2611,0.0006,0.0256,Population structure converged. Difference: 0.0343
1,7,56.4956,54.6218,Warrior,89.4146,63.3381,39.1527,5.7682,2.3264,1.8762,200,56.4956,72.7620,36.2482,38.8001,8.4959,0.2025,0.0003,0.0256,Population structure converged. Difference: 0.0343
2,0,48.3450,35.5978,Warrior,61.8359,54.3712,69.5438,4.4305,9.8186,1.8663,200,52.5204,267.0466,339.0324,457.8411,356.3047,424.5392,0.0421,0.0194,Population structure converged. Difference: 0.0452
2,1,51.8413,43.6245,Warrior,70.5626,62.0444,51.1330,5.0558,11.2043,1.8663,200,52.5204,55.9335,90.4968,279.6555,157.8659,227.0880,0.0189,0.0194,Population structure converged. Difference: 0.0452
2,2,51.8413,47.4630,Warrior,70.5626,62.0444,51.1330,5.0558,11.2043,1.8663,200,52.5204,21.0889,11.2368,138.1883,46.7671,66.5729,0.0030,0.0194,Population structure converged. Difference: 0.0452
2,3,51.8413,48.6919,Warrior,70.5626,62.0444,51.1330,5.0558,11.2043,1.8663,200,52.5204,9.4608,6.0950,29.3560,2.3157,0.4468,0.0002,0.0194,Population structure converged. Difference: 0.0452
2,4,52.4777,49.1753,Warrior,71.2793,62.6746,51.6523,4.4755,9.9183,1.8663,200,52.5204,15.5148,11.8335,50.7200,2.3328,0.5792,0.0003,0.0194,Population structure converged. Difference: 0.0452
2,5,52.5204,50.2511,Warrior,68.5345,60.2612,56.6722,4.5185,10.0136,1.9008,200,52.5204,20.3256,16.0556,70.1589,0.1291,0.5768,0.0002,0.0194,Population structure converged. Difference: 0.0452
3,0,49.2492,34.0668,Warrior,82.3288,69.5657,15.3206,8.0595,24.7254,1.9226,200,51.4549,513.1453,470.8289,403.9157,383.3998,328.8114,0.0447,0.0119,Population structure converged. Difference: 0.0387
3,1,51.3752,44.2479,Warrior,82.1436,50.9203,44.3739,0.5305,22.0316,1.9010,200,51.4549,252.8077,181.9132,278.7361,134.2639,87.9027,0.0245,0.0119,Population structure converged. Difference: 0.0387
3,2,51.3957,48.0613,Warrior,85.5493,72.2869,15.9199,0.5513,25.6926,1.9226,200,51.4549,68.8923,80.8249,122.2232,39.3392,26.2970,0.0063,0.0119,Population structure converged. Difference: 0.0387
3,3,51.4549,49.5377,Warrior,83.1350,50.4920,44.0007,0.5261,21.8462,1.9226,200,51.4549,6.6381,14.1191,48.3108,5.5595,1.0116,0.0000,0.0119,Population structure converged. Difference: 0.0387
4,0,45.4851,33.6035,Warrior,61.2472,51.6095,57.3977,14.4200,15.3256,1.8782,200,50.8633,195.1045,377.1038,427.3528,353.0971,282.2394,0.0372,0.0292,Population structure converged. Difference: 0.0426
4,1,46.9781,40.2187,Warrior,77.7717,65.5337,18.9235,18.3106,19.4605,1.8782,200,50.8633,121.0280,206.8655,396.2559,220.9135,199.2346,0.0258,0.0292,Population structure converged. Difference: 0.0426
4,2,46.9781,43.8099,Warrior,77.7717,65.5337,18.9235,18.3106,19.4605,1.8782,200,50.8633,29.9362,94.8189,265.5778,58.4960,62.6732,0.0074,0.0292,Population structure converged. Difference: 0.0426
4,3,48.1304,45.2756,Warrior,79.3146,66.8338,19.2989,14.7061,19.8466,1.8782,200,50.8633,14.6034,70.2292,181.6694,0.1977,28.9751,0.0002,0.0292,Population structure converged. Difference: 0.0426
4,4,49.3913,45.5571,Warrior,81.1490,68.3795,19.7452,15.0462,15.6801,1.8782,200,50.8633,12.2457,31.4377,140.7028,0.0718,16.3918,0.0002,0.0292,Population structure converged. Difference: 0.0426
4,5,49.3913,45.8831,Warrior,81.1490,68.3795,19.7452,15.0462,15.6801,1.8782,200,50.8633,25.4484,29.1020,114.2890,0.3184,3.9981,0.0001,0.0292,Population structure converged. Difference: 0.0426
4,6,50.3526,46.6081,Warrior,82.4766,69.4982,20.0683,13.7525,14.2043,1.8782,200,50.8633,53.9524,59.8328,212.5085,0.9896,3.7232,0.0002,0.0292,Population structure converged. Difference: 0.0426
4,7,50.3526,47.7923,Warrior,82.4766,69.4982,20.0683,13.7525,14.2043,1.8782,200,50.8633,64.7981,81.8363,276.4172,1.7923,4.4929,0.0001,0.0292,Population structure converged. Difference: 0.0426
4,8,50.8633,48.7856,Warrior,83.1735,70.0854,20.2378,12.9783,13.5250,1.8782,200,50.8633,56.4953,74.3261,231.8482,2.0459,2.5292,0.0002,0.0292,Population structure converged. Difference: 0.0426
5,0,51.2707,37.1343,Warrior,73.8423,67.9585,40.3498,5.9200,11.9293,1.8402,200,56.0506,305.9434,396.7852,334.7184,283.8588,426.2522,0.0424,0.0195,Population structure converged. Difference: 0.0247
5,1,56.0136,45.4322,Warrior,93.2638,86.5270,13.6897,2.7471,3.7724,1.8467,200,56.0506,140.8029,195.1752,129.2825,124.2841,248.5106,0.0277,0.0195,Population structure converged. Difference: 0.0247
5,2,56.0136,50.0809,Warrior,93.2638,86.5270,13.6897,2.7471,3.7724,1.8467,200,56.0506,67.6735,44.4707,52.2473,30.2897,30.9840,0.0085,0.0195,Population structure converged. Difference: 0.0247
5,3,56.0136,51.9479,Warrior,93.2638,86.5270,13.6897,2.7471,3.7724,1.8467,200,56.0506,47.7459,48.5469,90.9299,3.3718,12.9478,0.0000,0.0195,Population structure converged. Difference: 0.0247
5,4,56.0136,53.2463,Warrior,93.2638,86.5270,13.6897,2.7471,3.7724,1.8467,200,56.0506,78.8372,83.7211,186.8552,2.7068,16.7470,0.0000,0.0195,Population structure converged. Difference: 0.0247
5,5,56.0506,54.7012,Warrior,93.0313,86.3113,14.1542,2.7403,3.7630,1.8467,200,56.0506,69.9653,63.2180,177.4878,2.2797,9.6852,0.0000,0.0195,Population structure converged. Difference: 0.0247
6,0,49.6521,34.1283,Warrior,79.4693,46.0228,55.2117,9.7821,9.5142,1.8695,200,54.5879,457.9333,343.1801,473.8596,318.7475,427.1050,0.0400,0.0181,Population structure converged. Difference: 0.0486
6,1,52.7869,42.8665,Warrior,78.1711,68.3515,34.4964,9.6223,9.3587,1.8695,200,54.5879,300.3705,174.5642,279.0548,151.0183,257.7864,0.0218,0.0181,Population structure converged. Difference: 0.0486
6,2,52.7869,47.5618,Warrior,78.1711,68.3515,34.4964,9.6223,9.3587,1.8695,200,54.5879,53.8553,113.4311,142.5343,32.9179,65.1520,0.0072,0.0181,Population structure converged. Difference: 0.0486
6,3,54.5879,48.9031,Warrior,82.3748,68.4324,34.5372,4.7936,9.8620,1.8695,200,54.5879,39.5177,148.2711,182.4893,21.6395,34.7878,0.0055,0.0181,Population structure converged. Difference: 0.0486
6,4,54.5879,50.8108,Warrior,82.3748,68.4324,34.5372,4.7936,9.8620,1.8695,200,54.5879,21.1397,190.7200,193.5943,2.1459,1.2255,0.0025,0.0181,Population structure converged. Difference: 0.0486
6,5,54.5879,52.0580,Warrior,82.3748,68.4324,34.5372,4.7936,9.8620,1.8695,200,54.5879,9.1918,126.5347,119.7170,2.7914,0.2764,0.0000,0.0181,Population structure converged. Difference: 0.0486
7,0,52.4098,32.0675,Warrior,79.3357,70.0064,27.4523,12.6626,10.5429,1.9333,200,56.5999,359.9277,381.3974,321.5562,380.0700,412.2274,0.0307,0.0274,Population structure converged. Difference: 0.0321
7,1,52.4098,39.9826,Warrior,79.3357,70.0064,27.4523,12.6626,10.5429,1.9333,200,56.5999,370.7798,221.0442,258.9879,279.5162,262.6197,0.0227,0.0274,Population structure converged. Difference: 0.0321
7,2,52.8005,46.4736,Warrior,91.7896,55.0442,37.0587,1.3321,14.7753,1.8679,200,56.5999,206.9079,98.8572,123.3549,81.7917,79.9921,0.0202,0.0274,Population structure converged. Difference: 0.0321
7,3,52.8005,50.2758,Warrior,91.7896,55.0442,37.0587,1.3321,14.7753,1.8679,200,56.5999,75.6093,67.5490,70.6324,49.5812,22.5278,0.0083,0.0274,Population structure converged. Difference: 0.0321
7,4,56.5849,51.3339,Warrior,84.1002,74.2106,29.1010,1.4121,11.1760,1.9333,200,56.5999,32.2101,15.0898,43.8639,30.9077,21.6155,0.0061,0.0274,Population structure converged. Difference: 0.0321
7,5,56.5849,52.3238,Warrior,84.1002,74.2106,29.1010,1.4121,11.1760,1.9333,200,56.5999,3.2258,3.4787,14.3763,8.5154,1.2303,0.0016,0.0274,Population structure converged. Difference: 0.0321
7,6,56.5999,52.7012,Warrior,81.5363,76.2690,29.9081,1.4513,10.8353,1.9333,200,56.5999,2.0754,4.2080,15.4839,11.7583,0.6302,0.0002,0.0274,Population structure converged. Difference: 0.0321
7,7,56.5999,53.4805,Warrior,81.5363,76.2690,29.9081,1.4513,10.8353,1.9333,200,56.5999,3.6509,8.0926,21.6621,24.2033,0.6881,0.0000,0.0274,Population structure converged. Difference: 0.0321
7,8,56.5999,54.8369,Warrior,81.5363,76.2690,29.9081,1.4513,10.8353,1.9333,200,56.5999,6.5945,11.6992,19.7718,26.5604,0.6162,0.0000,0.0274,Population structure converged. Difference: 0.0321
8,0,45.8562,31.4428,Warrior,95.7262,79.7764,17.4116,0.8586,6.2271,1.6104,200,55.9747,299.4437,437.6929,372.2262,346.6121,308.7645,0.0408,0.0329,Population structure converged. Difference: 0.0193
8,1,45.8562,37.6521,Warrior,95.7262,79.7764,17.4116,0.8586,6.2271,1.6104,200,55.9747,274.1946,311.4031,335.5779,133.0781,215.4903,0.0373,0.0329,Population structure converged. Difference: 0.0193
8,2,46.7640,41.2628,Warrior,77.2919,71.9439,16.1812,10.8028,23.7803,1.9705,200,55.9747,241.8421,196.7865,249.2045,79.8838,150.0243,0.0303,0.0329,Population structure converged. Difference: 0.0193
8,3,48.3343,44.2324,Warrior,92.3220,76.9394,16.7925,0.8280,13.1181,1.4316,200,55.9747,226.0023,84.3418,175.9648,50.5524,131.7000,0.0219,0.0329,Population structure converged. Difference: 0.0193
8,4,50.3851,45.2569,Warrior,95.7262,79.7764,17.4116,0.8586,6.2271,1.4603,200,55.9747,182.2367,76.3752,168.4629,36.7492,87.4215,0.0234,0.0329,Population structure converged. Difference: 0.0193
8,5,53.0509,46.1654,Warrior,94.9848,74.0189,16.6479,0.8519,13.4965,1.9705,200,55.9747,140.5405,67.4017,194.3668,18.2948,71.4045,0.0339,0.0329,Population structure converged. Difference: 0.0193
8,6,55.7801,47.7271,Warrior,95.7262,79.7764,17.4116,0.8586,6.2271,1.9705,200,55.9747,112.6292,63.5782,152.3223,9.3067,55.6491,0.0534,0.0329,Population structure converged. Difference: 0.0193
8,7,55.9360,50.0240,Warrior,91.7468,83.6268,17.5034,0.8631,6.2599,1.9705,200,55.9747,83.5662,47.2078,120.3781,6.6229,36.7703,0.0653,0.0329,Population structure converged. Difference: 0.0193
8,8,55.9747,52.6563,Warrior,94.3202,78.6046,20.0936,0.8460,6.1357,1.9705,200,55.9747,43.2337,25.9795,50.8796,3.6889,22.6336,0.0475,0.0329,Population structure converged. Difference: 0.0193
8,9,55.9747,54.9123,Warrior,94.3202,78.6046,20.0936,0.8460,6.1357,1.9705,200,55.9747,12.2532,13.1071,10.2745,1.0136,9.7664,0.0104,0.0329,Population structure converged. Difference: 0.0193
