Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.1624,34.7550,Warrior,66.1522,77.8600,49.8003,5.6215,0.5661,1.9896,200,59.0212,184.5536,351.1464,394.1066,259.3956,360.0724,0.0440,0.0272,Population structure converged. Difference: 0.0067
1,1,55.8405,42.0583,Warrior,69.0239,76.0792,48.6613,5.4929,0.7427,1.9063,200,59.0212,102.9747,356.0295,670.1776,179.9632,116.0881,0.0272,0.0272,Population structure converged. Difference: 0.0067
1,2,55.8405,47.1138,Warrior,69.0239,76.0792,48.6613,5.4929,0.7427,1.9063,200,59.0212,117.1531,345.5670,949.6685,91.1943,35.1483,0.0029,0.0272,Population structure converged. Difference: 0.0067
1,3,56.0633,49.6198,Warrior,70.2855,74.4244,49.1796,5.5514,0.5590,1.9026,200,59.0212,52.5211,132.8762,517.6898,79.1585,13.0590,0.0015,0.0272,Population structure converged. Difference: 0.0067
1,4,57.7051,52.9775,Warrior,77.2865,85.1864,30.5450,6.1504,0.8316,1.9063,200,59.0212,31.3854,61.6966,282.7184,33.4441,5.8448,0.0016,0.0272,Population structure converged. Difference: 0.0067
1,5,58.3617,55.9673,Warrior,77.9463,85.9137,30.8058,4.8462,0.4880,1.9063,200,59.0212,15.9232,20.5707,77.4894,0.1281,0.0065,0.0000,0.0272,Population structure converged. Difference: 0.0067
1,6,58.7697,56.2870,Warrior,81.9322,74.3596,38.4827,4.3439,0.8816,1.9063,200,59.0212,41.0532,65.8829,217.7055,0.4557,0.0195,0.0000,0.0272,Population structure converged. Difference: 0.0067
1,7,59.0212,57.1100,Warrior,85.1545,77.2841,32.0174,5.0368,0.5072,1.9063,200,59.0212,45.0217,60.5769,218.4592,0.7616,0.0307,0.0000,0.0272,Population structure converged. Difference: 0.0067
1,8,59.0212,58.0857,Warrior,85.1545,77.2841,32.0174,5.0368,0.5072,1.9063,200,59.0212,9.8435,24.2278,31.9787,0.6510,0.0305,0.0000,0.0272,Population structure converged. Difference: 0.0067
1,9,59.0212,58.6304,Warrior,85.1545,77.2841,32.0174,5.0368,0.5072,1.9063,200,59.0212,7.3026,27.3001,14.6021,0.1365,0.0377,0.0000,0.0272,Population structure converged. Difference: 0.0067
2,0,56.5289,33.3660,Warrior,82.0866,77.7423,32.3021,4.7517,3.1173,1.8616,200,56.8515,236.3957,468.7931,350.8862,234.1237,353.9023,0.0436,0.0143,Population structure converged. Difference: 0.0080
2,1,56.5289,40.4851,Warrior,82.0866,77.7423,32.3021,4.7517,3.1173,1.8616,200,56.8515,173.1430,423.4987,315.8668,138.6169,369.7393,0.0425,0.0143,Population structure converged. Difference: 0.0080
2,2,56.5289,48.1501,Warrior,82.0866,77.7423,32.3021,4.7517,3.1173,1.8616,200,56.8515,76.9765,234.4422,153.0746,80.6454,185.1102,0.0222,0.0143,Population structure converged. Difference: 0.0080
