Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,48.1346,30.8219,Warrior,71.1415,52.2329,47.2429,1.7487,27.6340,1.9519,200,54.9119,225.0277,283.4608,271.3102,322.3875,394.1094,0.0286,0.0291,Population structure converged. Difference: 0.0454
1,1,49.1751,34.6771,Warrior,71.3919,58.7302,53.1195,5.1933,11.5650,1.8227,200,54.9119,143.5089,217.7216,202.3064,230.1883,247.3772,0.0277,0.0291,Population structure converged. Difference: 0.0454
1,2,50.5752,38.6974,Warrior,78.5232,67.2917,35.7527,5.7121,12.7203,1.8227,200,54.9119,113.2975,174.0835,122.3172,135.9879,117.0857,0.0208,0.0291,Population structure converged. Difference: 0.0454
1,3,50.5752,43.1597,Warrior,78.5232,67.2917,35.7527,5.7121,12.7203,1.8227,200,54.9119,95.7153,181.5930,134.3900,104.0698,98.7635,0.0184,0.0291,Population structure converged. Difference: 0.0454
1,4,50.6127,46.7343,Warrior,83.3367,63.7394,37.6119,4.7451,10.5669,1.8096,200,54.9119,63.2458,138.7479,89.5711,30.1547,76.9935,0.0107,0.0291,Population structure converged. Difference: 0.0454
1,5,52.1106,48.9754,Warrior,88.5936,51.7827,42.3733,5.3458,11.9046,1.9519,200,54.9119,26.7236,60.2510,43.5061,9.0618,49.7988,0.0042,0.0291,Population structure converged. Difference: 0.0454
1,6,53.5642,50.0737,Warrior,73.2033,72.4280,38.4817,4.9233,10.9637,1.9519,200,54.9119,20.8005,48.8255,35.6560,1.4811,16.9758,0.0030,0.0291,Population structure converged. Difference: 0.0454
1,7,53.5642,50.6719,Warrior,73.2033,72.4280,38.4817,4.9233,10.9637,1.9519,200,54.9119,19.6143,41.3529,27.4902,1.1679,2.7126,0.0032,0.0291,Population structure converged. Difference: 0.0454
1,8,54.6639,51.5126,Warrior,78.3300,68.4979,38.9904,1.9087,12.2730,1.9519,200,54.9119,18.7399,31.8057,12.6014,1.9409,0.6044,0.0036,0.0291,Population structure converged. Difference: 0.0454
1,9,54.9119,52.5250,Warrior,86.0290,60.6945,40.6686,1.9670,10.6408,1.9519,200,54.9119,28.3688,36.9758,8.0293,1.9401,0.4316,0.0040,0.0291,Population structure converged. Difference: 0.0454
2,0,55.1687,32.5349,Warrior,110.2820,54.9934,30.1619,4.1641,0.3985,1.9348,200,59.9724,450.0990,637.0736,468.7344,459.0618,532.7353,0.0456,0.0211,Population structure converged. Difference: 0.0285
2,1,55.8598,40.8409,Warrior,90.4157,74.8764,21.6601,11.2305,1.8173,1.9348,200,59.9724,324.1077,779.4897,564.4758,245.5548,299.3860,0.0340,0.0211,Population structure converged. Difference: 0.0285
2,2,57.4650,47.9372,Warrior,75.5814,77.5809,41.0364,5.2946,0.5067,1.9345,200,59.9724,305.5970,520.5002,383.1364,178.4763,85.5997,0.0143,0.0211,Population structure converged. Difference: 0.0285
2,3,59.5153,51.4344,Warrior,88.5027,90.8441,17.5651,2.6061,0.4820,1.9345,200,59.9724,242.6015,349.7898,242.2347,68.4722,61.0025,0.0119,0.0211,Population structure converged. Difference: 0.0285
2,4,59.5368,54.8817,Warrior,88.9549,90.4756,17.4939,2.5955,0.4800,1.9348,200,59.9724,114.2575,158.2432,107.9675,20.7627,29.5109,0.0045,0.0211,Population structure converged. Difference: 0.0285
2,5,59.6530,56.5612,Warrior,87.9958,91.0366,18.2315,2.1275,0.6086,1.9345,200,59.9724,83.8398,109.1319,68.0383,9.8236,24.0835,0.0011,0.0211,Population structure converged. Difference: 0.0285
2,6,59.9724,58.3116,Warrior,95.4476,78.7219,23.3007,1.8900,0.6399,1.9348,200,59.9724,42.0174,74.3951,48.3583,2.2953,12.6490,0.0006,0.0211,Population structure converged. Difference: 0.0285
3,0,49.4343,30.8232,Warrior,70.6128,45.4233,70.0879,10.1160,3.7600,1.9310,200,56.8412,314.1683,270.3316,326.5906,370.8396,341.4404,0.0416,0.0233,Population structure converged. Difference: 0.0476
3,1,49.4343,36.1455,Warrior,70.6128,45.4233,70.0879,10.1160,3.7600,1.9310,200,56.8412,170.0517,134.9827,212.9086,207.6215,279.5266,0.0519,0.0233,Population structure converged. Difference: 0.0476
3,2,54.0277,40.4802,Warrior,87.6448,63.9735,31.1587,12.5560,4.6670,1.9310,200,56.8412,97.7826,85.9277,251.4051,125.2677,190.3686,0.0563,0.0233,Population structure converged. Difference: 0.0476
3,3,54.0277,43.7574,Warrior,87.6448,63.9735,31.1587,12.5560,4.6670,1.9310,200,56.8412,60.7548,72.6876,332.5128,50.0471,195.2634,0.0510,0.0233,Population structure converged. Difference: 0.0476
3,4,55.1970,46.9420,Warrior,89.6083,59.1697,38.5476,7.7765,4.8979,1.9310,200,56.8412,69.7780,108.9773,366.0106,10.3501,177.7896,0.0370,0.0233,Population structure converged. Difference: 0.0476
3,5,56.1288,49.7659,Warrior,90.6957,59.8876,39.0153,5.4440,4.9574,1.9310,200,56.8412,60.8632,129.0924,327.1863,5.2264,74.9601,0.0103,0.0233,Population structure converged. Difference: 0.0476
