Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.6260,31.0069,Warrior,90.0522,73.4459,6.1055,4.2651,26.1312,1.9923,200,55.1460,350.7097,401.7432,313.8715,317.1273,345.9029,0.0351,0.0725,Population structure converged. Difference: 0.0483
1,1,46.8223,34.9168,Warrior,58.1186,77.3756,39.3010,13.1839,12.0209,1.9603,200,55.1460,285.5324,416.3835,298.4467,223.8832,223.6035,0.0453,0.0725,Population structure converged. Difference: 0.0483
1,2,46.0982,38.5233,Warrior,64.6348,53.7419,47.7078,12.0480,21.8675,1.8756,200,55.1460,266.1808,216.4293,318.6824,100.9213,138.1505,0.0552,0.0725,Population structure converged. Difference: 0.0483
1,3,47.7131,41.4220,Warrior,89.6450,73.1138,6.0779,19.6143,11.5489,1.9603,200,55.1460,246.6184,128.4053,317.1479,63.3534,97.9710,0.0535,0.0725,Population structure converged. Difference: 0.0483
1,4,50.1031,43.3494,Warrior,72.9057,97.0622,8.8031,6.1496,15.0794,1.9603,200,55.1460,234.2827,139.8371,312.7995,50.1998,86.1111,0.0356,0.0725,Population structure converged. Difference: 0.0483
1,5,51.3535,45.5876,Warrior,76.6017,62.4758,40.6081,10.6259,9.6885,1.9603,200,55.1460,188.9433,148.9415,347.8171,35.0224,49.3744,0.0180,0.0725,Population structure converged. Difference: 0.0483
1,6,52.8364,47.4754,Warrior,96.8213,78.9667,6.5644,4.5857,13.0619,1.8756,200,55.1460,141.7247,175.2885,380.9109,28.8870,36.7126,0.0074,0.0725,Population structure converged. Difference: 0.0483
1,7,52.8364,49.3997,Warrior,96.8213,78.9667,6.5644,4.5857,13.0619,1.8756,200,55.1460,121.2126,192.2027,343.1449,16.8079,17.2756,0.0026,0.0725,Population structure converged. Difference: 0.0483
1,8,53.7515,50.7118,Warrior,86.9875,90.4992,8.2079,5.7482,8.5572,1.9603,200,55.1460,110.8662,175.6325,320.0496,7.7475,11.1251,0.0008,0.0725,Population structure converged. Difference: 0.0483
1,9,54.7419,51.8427,Warrior,84.8358,69.1915,30.5097,4.0181,11.4449,1.8756,200,55.1460,77.2923,107.3492,198.1259,4.7313,7.3600,0.0013,0.0725,Population structure converged. Difference: 0.0483
