Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,40.4453,28.8229,Warrior,60.2065,60.5929,29.0803,12.4962,37.6242,1.8282,200,53.4381,405.7298,515.7793,624.6220,323.6964,402.1785,0.0442,0.0541,Population structure converged. Difference: 0.0086
1,1,42.6521,32.8819,Warrior,60.4687,60.8569,29.2069,23.3963,26.0712,1.9234,200,53.4381,232.7012,327.3727,641.0271,213.1974,266.0945,0.0379,0.0541,Population structure converged. Difference: 0.0086
1,2,43.0186,35.0588,Warrior,63.9528,59.3373,28.4776,22.8121,25.4202,1.8813,200,53.4381,153.3457,227.7533,391.0438,169.1628,213.7918,0.0250,0.0541,Population structure converged. Difference: 0.0086
1,3,44.1455,37.5761,Warrior,73.3571,58.3203,32.2489,28.4896,7.5842,1.8340,200,53.4381,77.7874,180.6778,282.2795,93.0801,194.8055,0.0184,0.0541,Population structure converged. Difference: 0.0086
1,4,47.6221,39.3046,Warrior,64.8597,64.5608,49.6723,12.5428,8.3644,1.8340,200,53.4381,63.2561,101.3304,235.5645,49.5651,128.6863,0.0153,0.0541,Population structure converged. Difference: 0.0086
1,5,50.5647,40.7690,Warrior,72.2321,75.0013,28.9037,14.3160,9.5469,1.8656,200,53.4381,49.7442,74.7057,167.8942,20.3341,93.4984,0.0168,0.0541,Population structure converged. Difference: 0.0086
1,6,50.5647,41.9229,Warrior,72.2321,75.0013,28.9037,14.3160,9.5469,1.8656,200,53.4381,37.3751,79.3415,158.5874,20.0395,98.0517,0.0183,0.0541,Population structure converged. Difference: 0.0086
1,7,50.5647,43.4667,Warrior,72.2321,75.0013,28.9037,14.3160,9.5469,1.8656,200,53.4381,31.8827,69.9720,148.4831,31.9881,115.4966,0.0126,0.0541,Population structure converged. Difference: 0.0086
1,8,52.1462,45.0087,Warrior,74.7264,74.9793,28.8953,14.3118,7.0872,1.8813,200,53.4381,34.8281,55.5885,118.0852,39.6815,81.6336,0.0032,0.0541,Population structure converged. Difference: 0.0086
1,9,52.1460,46.3318,Warrior,74.7150,74.9899,28.8993,14.3097,7.0861,1.8813,200,53.4381,24.1395,42.1859,97.1948,47.5985,40.9658,0.0010,0.0541,Population structure converged. Difference: 0.0086
1,10,52.1460,47.5532,Warrior,74.7150,74.9899,28.8993,14.3097,7.0861,1.8813,200,53.4381,20.3591,35.0097,94.9546,33.0746,16.4759,0.0012,0.0541,Population structure converged. Difference: 0.0086
1,11,52.1045,48.3340,Warrior,74.4101,75.1990,28.9799,14.3538,7.0572,1.8813,200,53.4381,21.9575,25.9260,95.4505,13.2409,9.6060,0.0007,0.0541,Population structure converged. Difference: 0.0086
1,12,52.3134,49.1573,Warrior,74.0600,75.7640,29.1977,12.5855,8.3928,1.8813,200,53.4381,21.0544,27.1549,95.8225,5.2996,6.7285,0.0004,0.0541,Population structure converged. Difference: 0.0086
1,13,52.3585,50.2052,Warrior,74.5714,75.3621,29.0428,12.6127,8.4110,1.8813,200,53.4381,16.7058,26.4770,70.9147,2.8495,3.8980,0.0003,0.0541,Population structure converged. Difference: 0.0086
1,14,52.7355,50.9102,Warrior,74.7298,75.9255,29.2599,11.1823,8.9025,1.8813,200,53.4381,10.4783,17.8254,43.5336,1.0637,1.1551,0.0002,0.0541,Population structure converged. Difference: 0.0086
