Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,42.5247,28.8491,Warrior,101.5403,51.3072,36.9961,7.7397,2.4167,1.6015,200,58.5440,422.0477,368.8179,350.7921,364.8769,551.3763,0.0389,0.0318,Population structure converged. Difference: 0.0351
1,1,51.4273,32.2335,Warrior,93.0477,53.7787,38.8177,10.9400,3.4160,1.8478,200,58.5440,393.4174,348.8652,259.8900,272.8658,484.0497,0.0362,0.0318,Population structure converged. Difference: 0.0351
1,2,51.4273,35.1661,Warrior,93.0477,53.7787,38.8177,10.9400,3.4160,1.8478,200,58.5440,354.2886,377.9897,233.5778,244.3394,434.8998,0.0301,0.0318,Population structure converged. Difference: 0.0351
1,3,53.7360,39.0426,Warrior,63.8963,77.0946,55.2557,3.2740,0.4794,1.9524,200,58.5440,244.1705,369.4928,222.3705,204.4169,324.4761,0.0267,0.0318,Population structure converged. Difference: 0.0351
1,4,55.5812,42.9769,Warrior,87.6676,71.9831,28.1844,7.7901,4.3748,1.9524,200,58.5440,205.5286,209.2993,138.5969,106.9118,187.6541,0.0324,0.0318,Population structure converged. Difference: 0.0351
1,5,56.3813,45.7222,Warrior,74.9227,70.1169,50.5593,3.8390,0.5621,1.9524,200,58.5440,169.4546,177.6211,114.6204,79.4023,95.2938,0.0399,0.0318,Population structure converged. Difference: 0.0351
1,6,57.8218,48.8870,Warrior,84.1539,68.2261,43.5953,3.5106,0.5140,1.9524,200,58.5440,143.0132,95.9152,80.8037,82.2696,47.7548,0.0413,0.0318,Population structure converged. Difference: 0.0351
1,7,57.8218,51.0814,Warrior,84.1539,68.2261,43.5953,3.5106,0.5140,1.9524,200,58.5440,106.6749,85.4386,58.1210,77.7209,31.9769,0.0292,0.0318,Population structure converged. Difference: 0.0351
1,8,58.3343,52.9481,Warrior,91.0080,73.7830,30.6949,4.2361,0.2780,1.9524,200,58.5440,74.8527,65.0284,65.3477,43.6496,12.1737,0.0179,0.0318,Population structure converged. Difference: 0.0351
1,9,58.3343,54.7994,Warrior,91.0080,73.7830,30.6949,4.2361,0.2780,1.9524,200,58.5440,42.1851,26.0225,49.5731,35.0730,3.5872,0.0123,0.0318,Population structure converged. Difference: 0.0351
1,10,58.5440,56.5593,Warrior,88.6549,69.4451,38.7613,2.8826,0.2561,1.9524,200,58.5440,30.1437,18.0097,46.6533,5.1904,0.4328,0.0034,0.0318,Population structure converged. Difference: 0.0351
