Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.4728,30.7873,Warrior,74.7041,78.8743,14.3629,22.9935,9.0652,1.8007,200,53.7127,270.0251,237.1875,373.9009,336.5094,312.8286,0.0500,0.0423,Population structure converged. Difference: 0.0078
1,1,44.4728,35.1955,Warrior,74.7041,78.8743,14.3629,22.9935,9.0652,1.8007,200,53.7127,194.3398,306.0324,359.8420,242.2970,221.6159,0.0470,0.0423,Population structure converged. Difference: 0.0078
1,2,44.7374,39.6395,Warrior,64.8130,72.3932,21.1720,9.9075,31.7143,1.8680,200,53.7127,137.5035,355.1527,258.3986,117.5758,112.1553,0.0415,0.0423,Population structure converged. Difference: 0.0078
1,3,48.1533,41.8824,Warrior,73.0472,77.2762,18.3291,22.4835,8.8641,1.8680,200,53.7127,34.2298,135.0887,163.3719,55.6222,106.5703,0.0393,0.0423,Population structure converged. Difference: 0.0078
1,4,48.7611,43.8722,Warrior,80.4180,84.9072,15.4615,9.4426,9.7707,1.8007,200,53.7127,25.2629,65.3754,146.9488,49.5474,81.3747,0.0264,0.0423,Population structure converged. Difference: 0.0078
1,5,48.8712,45.0924,Warrior,75.8181,80.0504,14.5770,21.1974,8.3571,1.8680,200,53.7127,21.1861,21.0276,46.9371,39.6279,82.2508,0.0089,0.0423,Population structure converged. Difference: 0.0078
1,6,52.7277,46.3965,Warrior,80.4180,84.9072,15.4615,9.4426,9.7707,1.8680,200,53.7127,40.2619,27.7841,55.8338,40.9400,110.9083,0.0028,0.0423,Population structure converged. Difference: 0.0078
1,7,53.3333,48.1696,Warrior,80.2867,84.9349,17.3046,9.0347,8.4391,1.8680,200,53.7127,25.4464,21.4190,40.4142,40.3716,26.6098,0.0011,0.0423,Population structure converged. Difference: 0.0078
1,8,53.5506,49.1798,Warrior,79.0702,83.4841,20.5150,8.4317,8.4991,1.8680,200,53.7127,13.2442,11.1708,16.8221,23.8722,5.1818,0.0010,0.0423,Population structure converged. Difference: 0.0078
1,9,53.5506,50.1199,Warrior,79.0702,83.4841,20.5150,8.4317,8.4991,1.8680,200,53.7127,8.8149,6.7411,8.7009,19.2367,10.0865,0.0011,0.0423,Population structure converged. Difference: 0.0078
1,10,53.6505,51.8001,Warrior,79.8173,82.9683,20.3882,8.3796,8.4466,1.8680,200,53.7127,6.1089,3.7132,11.9069,11.5609,0.3070,0.0007,0.0423,Population structure converged. Difference: 0.0078
1,11,53.6505,52.9656,Warrior,79.8173,82.9683,20.3882,8.3796,8.4466,1.8680,200,53.7127,2.9912,2.0659,8.4744,0.1180,0.3290,0.0001,0.0423,Population structure converged. Difference: 0.0078
1,12,53.7127,53.2964,Warrior,78.5034,81.6026,23.3448,8.2416,8.3075,1.8680,200,53.7127,0.7421,1.6454,3.2969,0.0422,0.4171,0.0000,0.0423,Population structure converged. Difference: 0.0078
2,0,45.6550,33.4145,Warrior,61.0904,53.7181,49.5610,7.6411,27.9894,1.9278,200,55.3987,369.0712,333.0669,378.3079,323.9490,272.1066,0.0499,0.0359,Population structure converged. Difference: 0.0073
2,1,49.8070,38.9794,Warrior,59.8666,70.6894,48.1887,1.2767,19.9786,1.9043,200,55.3987,261.0824,376.1480,420.4447,131.4865,122.5655,0.0360,0.0359,Population structure converged. Difference: 0.0073
2,2,53.4714,42.8487,Warrior,63.2237,72.4682,56.2389,2.2939,5.7754,1.9020,200,55.3987,123.9733,270.2015,387.1686,91.6944,55.7104,0.0177,0.0359,Population structure converged. Difference: 0.0073
2,3,53.4714,45.4920,Warrior,63.2237,72.4682,56.2389,2.2939,5.7754,1.9020,200,55.3987,23.9990,94.2927,154.2849,38.2849,42.9763,0.0087,0.0359,Population structure converged. Difference: 0.0073
2,4,54.8463,47.6170,Warrior,72.4328,61.5426,56.7800,2.6280,6.6166,1.9020,200,55.3987,36.7786,61.7642,29.1620,16.4844,63.4398,0.0010,0.0359,Population structure converged. Difference: 0.0073
2,5,54.8463,50.5921,Warrior,72.4328,61.5426,56.7800,2.6280,6.6166,1.9020,200,55.3987,49.7652,97.1299,27.1337,5.1120,86.9842,0.0004,0.0359,Population structure converged. Difference: 0.0073
2,6,54.8463,52.9700,Warrior,72.4328,61.5426,56.7800,2.6280,6.6166,1.9020,200,55.3987,9.3125,26.0968,7.1631,1.1964,33.1845,0.0001,0.0359,Population structure converged. Difference: 0.0073
2,7,55.1082,53.6336,Warrior,72.7387,61.8026,57.0198,2.6391,5.7998,1.9020,200,55.3987,13.3825,21.7956,1.9404,0.2709,6.4955,0.0000,0.0359,Population structure converged. Difference: 0.0073
2,8,55.3987,54.2454,Warrior,72.3289,64.9005,53.8489,2.5362,6.3855,1.9043,200,55.3987,20.7699,29.5275,0.6978,0.0270,0.1692,0.0000,0.0359,Population structure converged. Difference: 0.0073
2,9,55.3987,54.7988,Warrior,72.3289,64.9005,53.8489,2.5362,6.3855,1.9043,200,55.3987,6.5058,8.8181,0.3735,0.0095,0.1294,0.0000,0.0359,Population structure converged. Difference: 0.0073
2,10,55.3987,54.9998,Warrior,72.3289,64.9005,53.8489,2.5362,6.3855,1.9043,200,55.3987,1.8005,2.9282,0.7210,0.0082,0.1535,0.0000,0.0359,Population structure converged. Difference: 0.0073
3,0,45.4608,29.2083,Warrior,57.0059,55.6501,55.4117,5.8451,26.0872,1.9234,200,56.8746,167.8912,455.9521,430.1383,503.7465,396.4657,0.0457,0.0409,Population structure converged. Difference: 0.0062
3,1,45.4608,34.5579,Warrior,57.0059,55.6501,55.4117,5.8451,26.0872,1.9234,200,56.8746,118.7115,357.4065,318.4310,294.0400,329.5213,0.0474,0.0409,Population structure converged. Difference: 0.0062
3,2,50.0299,39.1494,Warrior,63.4684,59.8029,64.7369,9.0856,2.9062,1.9480,200,56.8746,41.6460,212.7405,234.7139,142.3482,286.6848,0.0253,0.0409,Population structure converged. Difference: 0.0062
3,3,52.8155,43.1977,Warrior,70.6418,65.7399,50.2711,10.1125,3.2347,1.9480,200,56.8746,47.3450,158.8058,259.3093,37.8213,158.6001,0.0216,0.0409,Population structure converged. Difference: 0.0062
3,4,53.6245,46.1097,Warrior,74.0544,58.3386,58.0886,6.1275,3.3910,1.9480,200,56.8746,41.6817,48.4087,90.1108,6.3098,67.0011,0.0116,0.0409,Population structure converged. Difference: 0.0062
3,5,56.6008,48.1059,Warrior,83.4190,61.1112,46.7316,5.3914,3.3468,1.9234,200,56.8746,40.2008,33.6210,80.6182,2.4908,107.4881,0.0161,0.0409,Population structure converged. Difference: 0.0062
3,6,56.6008,50.8559,Warrior,83.4190,61.1112,46.7316,5.3914,3.3468,1.9234,200,56.8746,31.6293,25.6038,87.9062,3.4044,81.9467,0.0094,0.0409,Population structure converged. Difference: 0.0062
3,7,56.6008,52.6903,Warrior,83.4190,61.1112,46.7316,5.3914,3.3468,1.9234,200,56.8746,20.0725,13.5737,38.9431,4.1625,33.4303,0.0048,0.0409,Population structure converged. Difference: 0.0062
