Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,51.9576,30.0568,Warrior,67.8113,103.2617,16.1319,8.4367,4.3584,1.8754,200,56.3008,421.3648,410.1870,587.2742,338.5739,496.9169,0.0443,0.1129,Population structure converged. Difference: 0.0087
1,1,51.9576,36.0799,Warrior,67.8113,103.2617,16.1319,8.4367,4.3584,1.8754,200,56.3008,235.0339,721.5788,430.0419,240.6064,426.2967,0.0423,0.1129,Population structure converged. Difference: 0.0087
1,2,53.6187,41.4297,Warrior,80.6280,79.0094,22.5092,11.7720,6.0814,1.8754,200,56.3008,131.2755,938.9812,460.4466,153.8963,275.7262,0.0294,0.1129,Population structure converged. Difference: 0.0087
1,3,53.6187,45.2258,Warrior,80.6280,79.0094,22.5092,11.7720,6.0814,1.8754,200,56.3008,127.8459,807.2310,375.7222,107.3875,267.0619,0.0215,0.1129,Population structure converged. Difference: 0.0087
1,4,54.2151,48.6684,Warrior,75.7722,97.0429,15.1603,7.9286,4.0960,1.8754,200,56.3008,109.1192,476.0611,224.1524,82.8979,81.8228,0.0130,0.1129,Population structure converged. Difference: 0.0087
1,5,54.5184,50.6309,Warrior,90.1221,75.2545,19.3086,10.0981,5.2167,1.8754,200,56.3008,138.9784,283.0625,61.8928,49.5292,14.9077,0.0080,0.1129,Population structure converged. Difference: 0.0087
1,6,55.2954,52.0742,Warrior,82.6252,80.9666,23.0668,8.6354,4.7061,1.8754,200,56.3008,106.8969,217.9669,35.9694,17.2358,0.7182,0.0001,0.1129,Population structure converged. Difference: 0.0087
1,7,55.3655,52.9156,Warrior,82.7201,81.0595,23.0932,8.6557,4.4715,1.8754,200,56.3008,78.8617,124.7819,7.5067,2.0261,0.5742,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,8,55.3655,53.4930,Warrior,82.7201,81.0595,23.0932,8.6557,4.4715,1.8754,200,56.3008,29.2171,65.4814,8.5527,2.0304,0.5813,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,9,55.4747,53.8592,Warrior,86.6179,84.8791,15.8489,7.7206,4.9335,1.8754,200,56.3008,26.0391,52.1658,7.9362,1.4456,0.5706,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,10,56.0423,54.1338,Warrior,85.7620,79.9237,22.7697,7.6122,3.9325,1.8754,200,56.3008,25.3240,49.5918,9.7665,1.3152,0.4151,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,11,56.0423,54.6010,Warrior,85.7620,79.9237,22.7697,7.6122,3.9325,1.8754,200,56.3008,21.7331,28.6192,10.1497,1.1380,0.3300,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,12,55.8600,54.8394,Warrior,80.6846,87.0327,21.4216,7.1615,3.6996,1.8754,200,56.3008,17.3717,25.2162,11.7898,0.7011,0.1985,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,13,55.8746,55.0547,Warrior,80.1345,86.4394,22.6390,7.1127,3.6744,1.8754,200,56.3008,11.8774,20.4695,11.5117,0.4254,0.1562,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,14,56.1844,55.1746,Warrior,85.5181,81.5700,21.8391,7.3011,3.7717,1.8754,200,56.3008,11.6474,22.3109,10.4429,0.5063,0.2014,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,15,56.1903,55.4040,Warrior,83.4298,85.0303,20.9287,6.9967,3.6145,1.8754,200,56.3008,6.8726,13.6924,8.3419,0.4953,0.2428,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,16,56.1844,55.5499,Warrior,85.5181,81.5700,21.8391,7.3011,3.7717,1.8754,200,56.3008,4.5950,9.8555,6.7304,0.5114,0.2704,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,17,56.1806,55.6195,Warrior,84.5368,82.8398,21.6785,7.2009,3.7440,1.8754,200,56.3008,3.8704,8.6576,5.2546,0.4359,0.2820,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,18,56.3008,55.6886,Warrior,84.5879,84.2148,20.7013,6.9207,3.5752,1.8754,200,56.3008,3.7457,7.5400,5.3640,0.3805,0.2633,0.0000,0.1129,Population structure converged. Difference: 0.0087
1,19,56.3008,55.8178,Warrior,84.5879,84.2148,20.7013,6.9207,3.5752,1.8754,200,56.3008,3.2369,6.8338,3.7037,0.2051,0.2771,0.0000,0.1129,Population structure converged. Difference: 0.0087
2,0,49.0860,31.3570,Warrior,84.9981,45.8518,59.9624,0.3943,8.7935,1.8032,200,57.4863,522.8132,460.6306,465.4881,442.6653,350.0378,0.0402,0.0679,Population structure converged. Difference: 0.0080
2,1,51.9849,37.8892,Warrior,85.8022,62.9932,41.9299,0.3980,8.8767,1.8032,200,57.4863,369.2884,198.1847,328.4005,373.5064,328.1946,0.0326,0.0679,Population structure converged. Difference: 0.0080
2,2,51.9849,44.1353,Warrior,85.8022,62.9932,41.9299,0.3980,8.8767,1.8032,200,57.4863,261.0904,104.4841,151.2648,155.6207,170.4683,0.0180,0.0679,Population structure converged. Difference: 0.0080
2,3,53.3100,47.7541,Warrior,84.3686,45.5122,59.5183,0.3914,10.2095,1.9337,200,57.4863,122.1695,80.4763,76.2139,12.6201,44.0358,0.0092,0.0679,Population structure converged. Difference: 0.0080
2,4,54.1079,48.9280,Warrior,87.7862,47.3558,54.8000,0.4316,9.6264,1.9337,200,57.4863,71.6849,32.0350,58.0060,2.8452,38.5476,0.0023,0.0679,Population structure converged. Difference: 0.0080
2,5,54.7837,50.1165,Warrior,89.2716,48.1571,54.2577,0.3568,7.9569,1.9337,200,57.4863,30.7183,22.0210,27.4415,0.0007,1.9818,0.0025,0.0679,Population structure converged. Difference: 0.0080
2,6,55.6463,51.1259,Warrior,77.8378,58.2351,55.4332,0.3645,8.1293,1.9337,200,57.4863,37.3756,25.6555,29.7409,0.0011,0.4645,0.0040,0.0679,Population structure converged. Difference: 0.0080
2,7,55.8650,52.1530,Warrior,81.9913,55.7614,53.9767,0.3549,7.9157,1.9337,200,57.4863,31.4958,24.5562,21.6911,0.0014,0.5842,0.0043,0.0679,Population structure converged. Difference: 0.0080
2,8,56.7500,53.1603,Warrior,86.5873,62.1340,41.3581,0.4257,9.4949,1.9337,200,57.4863,35.2951,26.4225,22.1779,0.0015,0.7434,0.0036,0.0679,Population structure converged. Difference: 0.0080
2,9,56.7500,54.2123,Warrior,86.5873,62.1340,41.3581,0.4257,9.4949,1.9337,200,57.4863,24.7409,22.8543,26.1242,0.0015,0.7668,0.0018,0.0679,Population structure converged. Difference: 0.0080
2,10,56.7500,54.6812,Warrior,86.5873,62.1340,41.3581,0.4257,9.4949,1.9337,200,57.4863,16.2479,24.8080,34.2375,0.0016,0.8531,0.0011,0.0679,Population structure converged. Difference: 0.0080
2,11,57.3691,55.1037,Warrior,86.2552,63.3257,42.1513,0.3964,7.8714,1.9337,200,57.4863,14.5575,23.0484,39.6319,0.0016,0.8700,0.0007,0.0679,Population structure converged. Difference: 0.0080
2,12,57.3560,55.5855,Warrior,85.1066,63.9652,42.5769,0.4004,7.9509,1.9337,200,57.4863,14.1841,21.3914,41.3490,0.0014,0.7682,0.0000,0.0679,Population structure converged. Difference: 0.0080
2,13,57.3560,55.9691,Warrior,85.1066,63.9652,42.5769,0.4004,7.9509,1.9337,200,57.4863,12.0291,19.5683,46.4969,0.0013,0.7419,0.0000,0.0679,Population structure converged. Difference: 0.0080
2,14,57.3560,56.3212,Warrior,85.1066,63.9652,42.5769,0.4004,7.9509,1.9337,200,57.4863,10.0978,14.9915,37.5344,0.0013,0.7972,0.0000,0.0679,Population structure converged. Difference: 0.0080
2,15,57.4863,56.6487,Warrior,85.6831,63.8423,42.4951,0.3424,7.6370,1.9337,200,57.4863,7.6833,8.6199,24.9185,0.0010,0.7950,0.0000,0.0679,Population structure converged. Difference: 0.0080
2,16,57.4863,56.8916,Warrior,85.6831,63.8423,42.4951,0.3424,7.6370,1.9337,200,57.4863,5.5629,2.9357,12.0767,0.0011,0.6207,0.0000,0.0679,Population structure converged. Difference: 0.0080
2,17,57.4863,57.0292,Warrior,85.6831,63.8423,42.4951,0.3424,7.6370,1.9337,200,57.4863,3.3192,2.0506,3.5012,0.0011,0.5537,0.0000,0.0679,Population structure converged. Difference: 0.0080
3,0,49.3231,30.1947,Warrior,74.4184,76.6695,42.3963,4.1155,2.4002,1.4701,200,59.2517,406.8650,768.7834,516.4756,613.6486,328.2206,0.0528,0.0705,Population structure converged. Difference: 0.0078
