Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,50.7172,31.2459,Warrior,75.3401,78.6031,42.9584,1.0692,2.0291,1.7687,200,58.0538,500.7218,448.6079,409.3522,370.4907,372.5313,0.0349,0.0284,Population structure converged. Difference: 0.0432
1,1,52.7255,38.4647,Warrior,70.3929,72.7971,39.7853,0.9903,16.0343,1.9552,200,58.0538,390.5364,272.1720,262.1325,208.9313,255.7907,0.0402,0.0284,Population structure converged. Difference: 0.0432
1,2,52.7255,43.9691,Warrior,70.3929,72.7971,39.7853,0.9903,16.0343,1.9552,200,58.0538,236.3084,142.0432,104.9248,125.1359,105.6671,0.0202,0.0284,Population structure converged. Difference: 0.0432
1,3,52.7255,47.7194,Warrior,70.3929,72.7971,39.7853,0.9903,16.0343,1.9552,200,58.0538,43.2634,79.1797,45.2316,75.4802,53.5709,0.0087,0.0284,Population structure converged. Difference: 0.0432
1,4,57.6086,49.8148,Warrior,76.4321,79.7424,40.4900,1.2769,2.0586,1.9552,200,58.0538,59.2192,64.7253,36.1035,53.4517,57.0452,0.0070,0.0284,Population structure converged. Difference: 0.0432
1,5,57.6642,51.8036,Warrior,84.9183,64.3024,47.5424,0.9912,2.2457,1.9552,200,58.0538,45.4361,43.2295,17.5352,30.8068,44.1790,0.0062,0.0284,Population structure converged. Difference: 0.0432
1,6,57.9028,54.0527,Warrior,78.0216,80.6863,37.8367,0.9418,2.5136,1.9552,200,58.0538,32.2151,35.4120,14.6915,8.7416,47.9944,0.0032,0.0284,Population structure converged. Difference: 0.0432
1,7,58.0538,55.6522,Warrior,87.8943,66.5559,42.0006,1.2248,2.3244,1.9552,200,58.0538,25.3503,31.2657,13.7850,0.0174,40.8666,0.0013,0.0284,Population structure converged. Difference: 0.0432
2,0,48.1840,30.4779,Warrior,64.2010,82.8003,34.7252,11.1166,7.1568,1.8238,200,56.5808,392.3796,411.5199,381.8625,427.9666,559.0580,0.0437,0.0244,Population structure converged. Difference: 0.0327
2,1,51.9787,36.7662,Warrior,73.7103,45.4722,73.7431,1.7440,5.3304,1.9312,200,56.5808,196.9031,256.5480,343.7951,260.8703,472.0081,0.0400,0.0244,Population structure converged. Difference: 0.0327
2,2,51.9787,40.9949,Warrior,73.7103,45.4722,73.7431,1.7440,5.3304,1.9312,200,56.5808,149.6256,156.0124,279.4748,230.2800,271.9680,0.0311,0.0244,Population structure converged. Difference: 0.0327
2,3,56.3321,46.1961,Warrior,81.3681,58.5225,52.3001,1.9252,5.8842,1.9312,200,56.5808,59.7214,73.8289,131.8289,92.4961,60.4369,0.0077,0.0244,Population structure converged. Difference: 0.0327
2,4,56.3321,49.6627,Warrior,81.3681,58.5225,52.3001,1.9252,5.8842,1.9312,200,56.5808,40.4427,75.8408,126.9159,100.0670,16.6869,0.0037,0.0244,Population structure converged. Difference: 0.0327
2,5,56.4045,52.9000,Warrior,81.4419,58.5755,52.3475,1.7456,5.8895,1.9312,200,56.5808,33.0861,56.5223,89.2389,40.4297,11.0421,0.0003,0.0244,Population structure converged. Difference: 0.0327
2,6,56.5808,54.7918,Warrior,81.6847,58.7502,52.5036,1.9327,5.1289,1.9312,200,56.5808,15.8497,29.4410,47.7927,15.0784,0.0975,0.0000,0.0244,Population structure converged. Difference: 0.0327
3,0,44.2637,30.6441,Warrior,67.0013,70.3477,59.7325,2.7978,0.1207,1.5734,200,55.5116,395.7310,474.5734,401.9543,415.6725,504.6893,0.0368,0.0393,Population structure converged. Difference: 0.0469
3,1,47.4402,36.6637,Warrior,49.2623,79.7305,67.6995,3.1709,0.1368,1.9147,200,55.5116,202.0859,425.3742,344.8843,341.8751,412.4262,0.0323,0.0393,Population structure converged. Difference: 0.0469
3,2,47.4402,40.6159,Warrior,49.2623,79.7305,67.6995,3.1709,0.1368,1.9147,200,55.5116,123.6669,214.8684,283.6986,205.3068,249.8333,0.0230,0.0393,Population structure converged. Difference: 0.0469
3,3,55.5110,43.8223,Warrior,67.0013,70.3477,59.7325,2.7978,0.1207,1.9147,200,55.5116,80.0173,108.2661,171.8036,70.4012,68.0128,0.0261,0.0393,Population structure converged. Difference: 0.0469
3,4,55.5110,47.0653,Warrior,67.0013,70.3477,59.7325,2.7978,0.1207,1.9147,200,55.5116,59.3828,66.3675,55.4598,28.8432,53.9739,0.0330,0.0393,Population structure converged. Difference: 0.0469
3,5,55.5110,50.6135,Warrior,67.0013,70.3477,59.7325,2.7978,0.1207,1.9147,200,55.5116,36.6761,31.2831,8.7032,0.0286,25.7897,0.0226,0.0393,Population structure converged. Difference: 0.0469
3,6,55.5116,53.0244,Warrior,67.0033,70.3466,59.7315,2.7979,0.1207,1.9147,200,55.5116,18.7971,14.7653,5.3645,0.0269,8.0376,0.0115,0.0393,Population structure converged. Difference: 0.0469
4,0,44.0655,30.8344,Warrior,67.2294,73.1437,16.1494,37.2335,6.2440,1.9209,200,56.1286,429.9574,514.1832,405.3641,452.6040,374.5383,0.0477,0.0224,Population structure converged. Difference: 0.0407
4,1,55.3005,36.8043,Warrior,79.4672,86.4582,19.0892,7.6048,7.3806,1.9209,200,56.1286,277.2689,453.2860,458.9576,316.3791,395.5461,0.0468,0.0224,Population structure converged. Difference: 0.0407
4,2,55.7165,42.6707,Warrior,79.9353,86.9675,19.2016,6.4716,7.4241,1.9209,200,56.1286,128.7950,377.0813,413.8364,249.3418,144.2125,0.0496,0.0224,Population structure converged. Difference: 0.0407
4,3,55.7165,47.2315,Warrior,79.9353,86.9675,19.2016,6.4716,7.4241,1.9209,200,56.1286,78.6159,299.2340,275.6756,206.7119,75.7162,0.0372,0.0224,Population structure converged. Difference: 0.0407
4,4,55.7218,51.1014,Warrior,82.7888,84.0757,18.5631,7.3952,7.1772,1.9209,200,56.1286,49.3876,127.8534,84.6137,145.3048,22.4427,0.0171,0.0224,Population structure converged. Difference: 0.0407
4,5,56.1286,53.9310,Warrior,86.0637,79.2153,20.6737,6.5422,7.5051,1.9209,200,56.1286,21.9737,72.8590,37.3955,47.0270,5.9521,0.0111,0.0224,Population structure converged. Difference: 0.0407
5,0,44.6940,30.0736,Warrior,66.2182,50.0479,56.4154,0.3642,26.9543,1.8097,200,54.3779,328.0035,300.0714,394.9338,376.1057,383.0388,0.0410,0.0372,Population structure converged. Difference: 0.0467
5,1,44.6940,34.3679,Warrior,66.2182,50.0479,56.4154,0.3642,26.9543,1.8097,200,54.3779,232.3565,195.5896,310.6190,341.7859,320.3022,0.0258,0.0372,Population structure converged. Difference: 0.0467
5,2,44.7502,38.0175,Warrior,66.4699,50.2381,55.8697,0.3656,27.0567,1.8097,200,54.3779,94.9944,152.2910,188.6487,225.9713,226.2655,0.0146,0.0372,Population structure converged. Difference: 0.0467
5,3,47.8608,41.3131,Warrior,66.2182,50.0479,56.4154,0.3642,26.9543,1.8873,200,54.3779,50.0798,85.5044,134.0340,128.0811,105.5749,0.0096,0.0372,Population structure converged. Difference: 0.0467
5,4,49.7364,43.4000,Warrior,63.1034,64.5219,53.8190,0.4020,18.1537,1.9596,200,54.3779,31.4391,52.6295,83.4005,92.7002,69.3877,0.0048,0.0372,Population structure converged. Difference: 0.0467
5,5,50.6822,44.6499,Warrior,70.5195,53.6610,59.6764,0.3905,15.7527,1.9596,200,54.3779,16.0887,53.3784,84.4299,53.2869,48.2225,0.0038,0.0372,Population structure converged. Difference: 0.0467
5,6,50.6822,46.2653,Warrior,70.5195,53.6610,59.6764,0.3905,15.7527,1.9596,200,54.3779,9.0643,53.6142,72.7442,26.9207,32.3987,0.0046,0.0372,Population structure converged. Difference: 0.0467
5,7,52.5964,47.3996,Warrior,78.2046,68.1891,34.1548,0.4214,19.0300,1.9596,200,54.3779,11.6383,51.4310,84.3602,24.9524,37.8096,0.0047,0.0372,Population structure converged. Difference: 0.0467
5,8,53.3451,48.8885,Warrior,79.1077,68.9765,34.5493,0.4201,16.9464,1.9596,200,54.3779,19.0490,56.8666,75.9167,19.6126,27.5369,0.0037,0.0372,Population structure converged. Difference: 0.0467
5,9,53.3451,50.1617,Warrior,79.1077,68.9765,34.5493,0.4201,16.9464,1.9596,200,54.3779,25.0691,51.3094,89.0845,10.5131,17.6590,0.0020,0.0372,Population structure converged. Difference: 0.0467
5,10,54.5856,51.3492,Warrior,80.6151,70.2908,35.2076,0.3359,13.5507,1.9596,200,54.3779,37.7229,34.8885,98.0792,6.6883,8.1909,0.0004,0.0372,Population structure converged. Difference: 0.0467
5,11,54.3779,51.9498,Warrior,79.1077,68.9765,34.5493,0.4201,16.9464,1.8873,200,54.3779,32.7667,27.6710,75.5658,6.6857,5.0633,0.0003,0.0372,Population structure converged. Difference: 0.0467
6,0,44.5505,31.0871,Warrior,73.6466,54.5294,61.7509,8.6171,1.4559,1.7447,200,51.9924,419.0823,316.5369,437.2893,424.3137,500.6366,0.0416,0.0220,Population structure converged. Difference: 0.0452
6,1,50.4687,36.6531,Warrior,72.4642,63.2158,52.5774,10.0454,1.6972,1.8270,200,51.9924,184.4421,180.6802,281.0708,326.9590,368.2874,0.0346,0.0220,Population structure converged. Difference: 0.0452
6,2,50.4687,40.9690,Warrior,72.4642,63.2158,52.5774,10.0454,1.6972,1.8270,200,51.9924,129.1050,70.7804,153.2520,146.8568,185.8026,0.0195,0.0220,Population structure converged. Difference: 0.0452
6,3,51.0111,44.5564,Warrior,72.9854,63.6705,52.9556,8.6791,1.7095,1.8270,200,51.9924,56.6461,54.5126,107.3312,72.3557,81.5570,0.0070,0.0220,Population structure converged. Difference: 0.0452
6,4,51.4258,46.7705,Warrior,73.3017,62.9197,52.3312,9.9983,1.4491,1.8391,200,51.9924,32.0809,32.9647,104.4645,22.1420,24.5634,0.0046,0.0220,Population structure converged. Difference: 0.0452
6,5,51.4258,48.5212,Warrior,73.3017,62.9197,52.3312,9.9983,1.4491,1.8391,200,51.9924,14.5134,29.2283,67.6306,1.4067,19.0571,0.0011,0.0220,Population structure converged. Difference: 0.0452
6,6,51.9924,49.7433,Warrior,73.8169,63.3619,52.6990,8.4566,1.6656,1.8391,200,51.9924,9.4056,13.8877,35.7358,1.1969,8.5926,0.0005,0.0220,Population structure converged. Difference: 0.0452
7,0,43.7832,30.2899,Warrior,111.7056,46.2118,32.2794,1.6596,8.1437,1.7525,200,57.8931,520.1035,477.4723,631.1700,375.8101,395.6632,0.0373,0.0415,Population structure converged. Difference: 0.0462
7,1,46.7711,34.9750,Warrior,88.8105,48.1530,55.2425,1.3194,6.4746,1.7525,200,57.8931,496.0730,378.2336,629.2857,313.9042,313.3743,0.0354,0.0415,Population structure converged. Difference: 0.0462
7,2,47.8508,38.9002,Warrior,71.5402,35.9508,77.6575,1.8548,12.9966,1.9133,200,57.8931,499.6201,193.9676,541.7850,186.4882,271.7900,0.0308,0.0415,Population structure converged. Difference: 0.0462
7,3,52.7815,42.1922,Warrior,105.7668,61.4723,17.9121,2.5137,12.3351,1.9325,200,57.8931,358.0562,129.0595,349.4702,66.1373,136.8840,0.0205,0.0415,Population structure converged. Difference: 0.0462
