Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,47.6681,32.6866,Warrior,80.0535,42.2039,52.6179,14.6445,10.4802,1.9448,200,50.3660,459.3451,581.6601,453.9125,322.9366,347.7356,0.0376,0.0150,Population structure converged. Difference: 0.0450
1,1,49.1964,40.9799,Warrior,82.0615,49.9577,42.2259,15.0118,10.7431,1.9448,200,50.3660,205.4728,379.1672,355.9218,165.5894,173.8156,0.0272,0.0150,Population structure converged. Difference: 0.0450
1,2,49.1964,45.9607,Warrior,82.0615,49.9577,42.2259,15.0118,10.7431,1.9448,200,50.3660,53.5013,175.2176,198.5308,35.7430,21.7235,0.0084,0.0150,Population structure converged. Difference: 0.0450
1,3,49.8678,47.4469,Warrior,82.9598,50.5046,42.6882,13.8999,9.9474,1.9448,200,50.3660,31.5971,132.3105,113.1730,4.5396,0.8405,0.0006,0.0150,Population structure converged. Difference: 0.0450
1,4,50.3660,48.1949,Warrior,79.7574,52.7391,44.5768,13.3634,9.5634,1.9448,200,50.3660,31.1534,70.2821,98.3321,2.5474,0.6528,0.0000,0.0150,Population structure converged. Difference: 0.0450
2,0,46.7041,34.2250,Warrior,87.1420,55.0172,26.0781,7.7820,23.9808,1.8453,200,52.6388,386.3708,346.8573,314.1500,287.8486,343.0057,0.0376,0.0214,Population structure converged. Difference: 0.0406
2,1,48.1849,41.7469,Warrior,81.6469,76.6302,11.9630,7.2912,22.4686,1.8453,200,52.6388,297.4601,103.5218,189.2658,121.1802,109.2331,0.0215,0.0214,Population structure converged. Difference: 0.0406
2,2,50.9266,46.4690,Warrior,94.2035,59.4754,28.1913,10.0025,8.1272,1.8453,200,52.6388,48.7014,27.1991,37.7802,9.8439,17.3702,0.0010,0.0214,Population structure converged. Difference: 0.0406
2,3,50.9266,47.1084,Warrior,94.2035,59.4754,28.1913,10.0025,8.1272,1.8453,200,52.6388,14.6531,25.2424,16.4472,0.4079,14.0485,0.0000,0.0214,Population structure converged. Difference: 0.0406
2,4,51.2789,47.8307,Warrior,94.6442,59.7537,28.3232,8.4519,8.8269,1.8453,200,52.6388,29.9396,37.9623,26.2832,0.9922,36.5130,0.0000,0.0214,Population structure converged. Difference: 0.0406
