Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,43.8044,33.1369,Warrior,62.2004,43.3178,56.6860,10.4013,27.3946,1.9333,200,55.7631,185.3315,358.0202,339.8671,268.3328,331.0325,0.0414,0.0247,Population structure converged. Difference: 0.0485
1,1,45.1931,37.1625,Warrior,53.1900,67.0297,49.2001,9.0277,21.5526,1.9099,200,55.7631,168.9325,273.1552,281.3836,134.4680,189.9211,0.0460,0.0247,Population structure converged. Difference: 0.0485
1,2,47.2391,40.5430,Warrior,91.8685,61.2556,13.1808,4.2667,29.4284,1.9333,200,55.7631,109.9785,214.9780,277.2893,87.6813,130.4459,0.0350,0.0247,Population structure converged. Difference: 0.0485
1,3,53.1791,43.1270,Warrior,71.5257,59.2462,58.2906,10.6957,0.2418,1.9122,200,55.7631,95.5923,123.9717,220.9953,61.4221,68.4012,0.0138,0.0247,Population structure converged. Difference: 0.0485
1,4,53.1791,44.9970,Warrior,71.5257,59.2462,58.2906,10.6957,0.2418,1.9122,200,55.7631,77.6418,66.0899,144.2464,30.8892,56.9109,0.0077,0.0247,Population structure converged. Difference: 0.0485
1,5,53.1791,47.0016,Warrior,71.5257,59.2462,58.2906,10.6957,0.2418,1.9122,200,55.7631,137.3166,47.1390,197.5008,8.6926,68.0835,0.0001,0.0247,Population structure converged. Difference: 0.0485
1,6,53.5030,49.0457,Warrior,70.5871,66.5829,50.0779,12.4703,0.2819,1.9122,200,55.7631,142.8040,31.1815,227.8155,7.6376,95.4744,0.0001,0.0247,Population structure converged. Difference: 0.0485
1,7,54.9039,51.4881,Warrior,71.8087,67.7352,50.9446,9.2392,0.2723,1.9122,200,55.7631,86.4796,34.4945,234.3266,5.4869,86.3061,0.0001,0.0247,Population structure converged. Difference: 0.0485
1,8,55.7631,53.1852,Warrior,89.3058,79.7531,17.1611,13.4753,0.3047,1.9122,200,55.7631,41.7764,29.0449,98.3876,2.4483,16.9693,0.0000,0.0247,Population structure converged. Difference: 0.0485
2,0,46.0137,31.4740,Warrior,65.3849,81.7856,36.0531,0.8846,15.8918,1.4497,200,58.1705,244.6476,322.0485,394.1564,224.9381,308.5582,0.0353,0.0250,Population structure converged. Difference: 0.0332
2,1,46.0137,35.5184,Warrior,65.3849,81.7856,36.0531,0.8846,15.8918,1.4497,200,58.1705,168.0970,177.0460,248.9186,189.5281,290.7256,0.0301,0.0250,Population structure converged. Difference: 0.0332
