Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,46.1371,30.8347,Warrior,87.4842,63.2464,41.5373,1.7263,6.0059,1.5806,200,59.2626,404.8725,384.3296,361.5182,341.6722,359.5219,0.0310,0.0721,Population structure converged. Difference: 0.0248
1,1,46.5314,33.8598,Warrior,73.6871,53.7800,61.1498,2.5414,8.8416,1.4493,200,59.2626,362.1560,317.9395,323.9335,281.5981,331.8013,0.0312,0.0721,Population structure converged. Difference: 0.0248
1,2,48.6634,37.2076,Warrior,85.0999,82.2276,23.9609,7.7013,1.0104,1.7491,200,59.2626,337.5514,239.1683,282.3956,240.1717,312.5043,0.0279,0.0721,Population structure converged. Difference: 0.0248
1,3,48.6634,40.4788,Warrior,85.0999,82.2276,23.9609,7.7013,1.0104,1.7491,200,59.2626,295.5522,161.3292,229.9078,180.5887,317.5962,0.0302,0.0721,Population structure converged. Difference: 0.0248
1,4,55.5269,43.6684,Warrior,78.5463,84.8510,30.3943,5.1279,1.0805,1.8438,200,59.2626,206.0749,144.2957,191.7930,113.6693,247.0265,0.0284,0.0721,Population structure converged. Difference: 0.0248
1,5,57.1728,46.3291,Warrior,78.7705,67.8567,46.6501,5.3085,1.4143,1.8972,200,59.2626,130.5910,115.4500,124.7043,69.0643,210.9012,0.0305,0.0721,Population structure converged. Difference: 0.0248
1,6,58.2247,49.7965,Warrior,76.8478,75.5493,42.0389,1.7471,3.8169,1.9196,200,59.2626,97.8898,98.2271,122.8851,16.3607,120.1703,0.0255,0.0721,Population structure converged. Difference: 0.0248
1,7,59.1890,52.5056,Warrior,89.6645,64.8227,42.5725,1.7693,1.1710,1.8972,200,59.2626,78.8336,86.4795,103.4173,13.7858,60.0724,0.0174,0.0721,Population structure converged. Difference: 0.0248
1,8,59.1890,55.1712,Warrior,89.6645,64.8227,42.5725,1.7693,1.1710,1.8972,200,59.2626,51.9773,71.8197,61.9987,4.7121,20.6506,0.0068,0.0721,Population structure converged. Difference: 0.0248
1,9,59.1890,56.1777,Warrior,89.6645,64.8227,42.5725,1.7693,1.1710,1.8972,200,59.2626,40.6931,63.0116,64.0671,4.3360,17.5792,0.0078,0.0721,Population structure converged. Difference: 0.0248
1,10,59.2626,57.8273,Warrior,80.4081,79.3060,36.2451,2.8352,1.2056,1.9196,200,59.2626,38.1823,30.7479,39.4744,2.5067,4.7063,0.0003,0.0721,Population structure converged. Difference: 0.0248
