Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,37.6297,27.5468,Warrior,67.7862,60.5779,13.4945,4.7309,53.4105,1.9757,200,56.9025,351.5099,457.7431,546.5183,402.9656,486.0604,0.0486,0.0897,Population structure converged. Difference: 0.0082
1,1,37.6297,28.5413,Warrior,67.7862,60.5779,13.4945,4.7309,53.4105,1.9757,200,56.9025,309.8012,355.2632,478.3770,361.1439,416.1523,0.0541,0.0897,Population structure converged. Difference: 0.0082
1,2,39.6445,29.9110,Warrior,55.4688,49.5703,47.3845,3.8713,43.7053,1.9757,200,56.9025,286.4688,299.3663,391.4308,298.6723,337.1565,0.0500,0.0897,Population structure converged. Difference: 0.0082
1,3,53.4425,31.4157,Warrior,89.5386,80.0171,17.8248,6.2491,6.3704,1.9757,200,56.9025,234.7352,209.8788,396.9369,309.7178,253.8712,0.0578,0.0897,Population structure converged. Difference: 0.0082
1,4,44.0280,33.1923,Warrior,59.3447,67.7088,42.7056,22.2187,8.0222,1.9757,200,56.9025,203.9150,187.9790,318.8573,268.3183,214.2095,0.0559,0.0897,Population structure converged. Difference: 0.0082
1,5,44.4761,34.8555,Warrior,64.7116,62.7508,27.9895,4.9006,39.6475,1.9074,200,56.9025,113.4090,158.4142,302.6889,194.9909,148.9761,0.0584,0.0897,Population structure converged. Difference: 0.0082
1,6,55.2242,36.6202,Warrior,76.8662,74.5372,33.2466,5.8211,9.5289,1.9074,200,56.9025,89.5512,153.0434,257.3415,146.7059,124.1236,0.0520,0.0897,Population structure converged. Difference: 0.0082
1,7,54.4378,38.0996,Warrior,84.7925,61.5997,36.6750,6.4214,10.5115,1.9074,200,56.9025,87.8005,151.7445,228.6204,94.1963,102.3261,0.0376,0.0897,Population structure converged. Difference: 0.0082
1,8,54.4378,39.6919,Warrior,84.7925,61.5997,36.6750,6.4214,10.5115,1.9074,200,56.9025,71.5598,120.0334,180.8048,88.5335,122.4528,0.0316,0.0897,Population structure converged. Difference: 0.0082
1,9,54.4378,41.3610,Warrior,84.7925,61.5997,36.6750,6.4214,10.5115,1.9074,200,56.9025,69.8455,107.0730,150.0968,80.9693,116.2726,0.0095,0.0897,Population structure converged. Difference: 0.0082
1,10,54.9802,42.7462,Warrior,81.3844,59.1238,45.6715,3.7313,10.0890,1.9074,200,56.9025,68.0326,76.9049,117.2635,76.6074,118.0867,0.0038,0.0897,Population structure converged. Difference: 0.0082
