Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,38.6965,31.1252,Warrior,59.5914,50.0687,59.1121,3.2867,27.9410,1.7116,200,52.1385,297.1703,368.0623,469.7070,413.4873,407.2738,0.0284,0.0358,Population structure converged. Difference: 0.0082
1,1,43.9306,34.9479,Warrior,65.0141,58.2460,59.9620,3.3340,13.4439,1.7554,200,52.1385,188.1844,178.4056,204.0452,181.6513,307.9969,0.0229,0.0358,Population structure converged. Difference: 0.0082
1,2,45.5723,37.6476,Warrior,69.1378,43.9297,56.4925,7.4077,23.0323,1.8568,200,52.1385,91.8102,141.5361,179.3214,142.1775,183.7164,0.0150,0.0358,Population structure converged. Difference: 0.0082
1,3,50.8995,41.1731,Warrior,80.9868,51.4584,48.8317,3.7205,15.0026,1.8568,200,52.1385,41.3704,103.9004,102.3195,79.6562,45.5851,0.0105,0.0358,Population structure converged. Difference: 0.0082
1,4,50.8995,44.8260,Warrior,80.9868,51.4584,48.8317,3.7205,15.0026,1.8568,200,52.1385,56.1000,48.9100,45.8413,23.1297,24.3246,0.0079,0.0358,Population structure converged. Difference: 0.0082
1,5,51.3465,48.4878,Warrior,81.6229,51.8626,49.2152,3.7498,13.5495,1.8568,200,52.1385,48.2917,17.9736,28.1020,7.0107,10.6818,0.0023,0.0358,Population structure converged. Difference: 0.0082
1,6,51.7955,50.2163,Warrior,79.9981,54.8115,48.2355,3.6751,13.2798,1.8568,200,52.1385,18.3196,6.4291,11.7544,1.9807,3.8474,0.0010,0.0358,Population structure converged. Difference: 0.0082
1,7,51.7955,50.7010,Warrior,79.9981,54.8115,48.2355,3.6751,13.2798,1.8568,200,52.1385,9.7369,3.5889,8.0511,1.6682,1.2457,0.0001,0.0358,Population structure converged. Difference: 0.0082
1,8,51.7955,51.0319,Warrior,79.9981,54.8115,48.2355,3.6751,13.2798,1.8568,200,52.1385,1.7697,1.3512,1.7081,0.0173,0.4567,0.0000,0.0358,Population structure converged. Difference: 0.0082
1,9,51.8342,51.1271,Warrior,80.8404,54.4267,47.8970,3.6493,13.1866,1.8568,200,52.1385,0.7011,1.6172,0.9176,0.0171,0.5524,0.0000,0.0358,Population structure converged. Difference: 0.0082
1,10,51.8420,51.2228,Warrior,80.5505,55.1900,47.0901,3.7980,13.3715,1.8568,200,52.1385,0.9007,1.6974,1.0869,0.0171,0.7757,0.0000,0.0358,Population structure converged. Difference: 0.0082
1,11,51.9441,51.3742,Warrior,79.5698,54.7533,49.6151,3.7802,12.2816,1.8568,200,52.1385,0.9937,1.9725,1.0070,0.0120,0.9070,0.0000,0.0358,Population structure converged. Difference: 0.0082
1,12,52.1028,51.5641,Warrior,81.2963,54.6347,48.0800,3.6633,12.3257,1.8568,200,52.1385,1.1060,1.8280,0.9836,0.0120,0.9953,0.0000,0.0358,Population structure converged. Difference: 0.0082
1,13,52.1385,51.7141,Warrior,79.8363,55.9075,48.1406,3.7929,12.3227,1.8568,200,52.1385,0.9367,1.4518,0.7336,0.0036,0.7075,0.0000,0.0358,Population structure converged. Difference: 0.0082
2,0,46.7877,34.3699,Warrior,75.2926,61.4701,29.0246,33.0487,1.1641,1.9028,200,58.2499,439.0435,569.6014,302.7811,330.7728,474.0725,0.0391,0.0230,Population structure converged. Difference: 0.0069
2,1,56.6783,41.8714,Warrior,91.0164,74.3073,23.3131,9.9560,1.4072,1.9028,200,58.2499,223.8884,193.6407,185.2281,90.0055,305.9075,0.0279,0.0230,Population structure converged. Difference: 0.0069
2,2,57.9032,48.5882,Warrior,87.1761,71.1720,33.6055,6.6986,1.3478,1.9028,200,58.2499,89.2952,135.9435,180.9064,138.1849,50.1152,0.0097,0.0230,Population structure converged. Difference: 0.0069
