Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.6480,28.8570,Warrior,72.3224,50.2253,40.7011,2.4112,34.3401,1.8377,200,55.0514,300.1258,560.7062,407.4274,522.3275,417.6101,0.0381,0.0346,Population structure converged. Difference: 0.0412
1,1,44.6480,32.1123,Warrior,72.3224,50.2253,40.7011,2.4112,34.3401,1.8377,200,55.0514,212.8285,577.4738,340.3390,404.8167,335.1040,0.0361,0.0346,Population structure converged. Difference: 0.0412
1,2,49.6860,36.2768,Warrior,63.7427,88.3890,23.4539,11.5044,12.9101,1.9015,200,55.0514,210.7285,526.9496,252.3295,314.8625,274.0709,0.0314,0.0346,Population structure converged. Difference: 0.0412
1,3,49.6860,39.6742,Warrior,63.7427,88.3890,23.4539,11.5044,12.9101,1.9015,200,55.0514,162.5858,389.4496,191.3214,125.1127,224.3593,0.0214,0.0346,Population structure converged. Difference: 0.0412
1,4,49.6860,42.4721,Warrior,63.7427,88.3890,23.4539,11.5044,12.9101,1.9015,200,55.0514,86.5165,305.2898,157.3732,39.3511,149.3141,0.0167,0.0346,Population structure converged. Difference: 0.0412
1,5,53.1106,44.6740,Warrior,74.4373,59.4533,48.1792,2.8542,15.0761,1.9015,200,55.0514,49.2156,243.4328,144.1375,26.2004,118.0704,0.0125,0.0346,Population structure converged. Difference: 0.0412
1,6,53.1106,46.9599,Warrior,74.4373,59.4533,48.1792,2.8542,15.0761,1.9015,200,55.0514,44.7870,239.9779,139.3408,20.7084,74.6871,0.0063,0.0346,Population structure converged. Difference: 0.0412
1,7,53.8303,49.0688,Warrior,73.3571,86.1207,22.8521,2.8127,14.8573,1.9015,200,55.0514,60.9778,212.8170,129.9823,19.2004,26.7793,0.0025,0.0346,Population structure converged. Difference: 0.0412
1,8,54.6479,50.6650,Warrior,72.8593,74.3815,37.2450,2.4696,13.0446,1.9015,200,55.0514,51.7936,170.2619,116.7671,16.6725,15.9370,0.0015,0.0346,Population structure converged. Difference: 0.0412
1,9,55.2032,52.0826,Warrior,80.3740,64.1949,40.6040,2.4054,12.4218,1.9015,200,55.0514,50.5906,128.2362,88.0085,9.4656,2.5233,0.0010,0.0346,Population structure converged. Difference: 0.0412
1,10,55.0514,52.8737,Warrior,80.1891,64.0472,40.5106,2.3999,12.8532,1.9015,200,55.0514,34.4583,104.0266,91.4828,7.0699,2.1370,0.0007,0.0346,Population structure converged. Difference: 0.0412
2,0,42.4667,29.3704,Warrior,76.8278,28.5506,75.6737,13.2881,5.6599,1.8395,200,54.5103,330.2789,396.0468,359.0302,420.3681,474.8605,0.0403,0.0315,Population structure converged. Difference: 0.0401
2,1,44.8627,32.5786,Warrior,60.5595,72.3513,55.0647,7.0469,4.9775,1.7728,200,54.5103,342.2204,328.7505,426.9548,382.9802,422.3956,0.0395,0.0315,Population structure converged. Difference: 0.0401
2,2,50.3885,35.2110,Warrior,64.1459,81.1703,34.0977,6.5446,14.0416,1.9533,200,54.5103,301.2235,297.1756,442.3173,220.5557,364.9022,0.0339,0.0315,Population structure converged. Difference: 0.0401
2,3,50.8455,39.2128,Warrior,81.5013,69.2908,29.1073,14.0964,6.0042,1.8395,200,54.5103,243.0021,286.5298,455.8134,128.1828,280.8446,0.0319,0.0315,Population structure converged. Difference: 0.0401
2,4,52.0767,42.2722,Warrior,79.3909,54.7662,55.5785,4.4157,5.8487,1.8395,200,54.5103,214.9608,333.4292,448.2355,77.4487,195.9910,0.0226,0.0315,Population structure converged. Difference: 0.0401
2,5,52.8617,45.0328,Warrior,73.1473,66.6613,50.7342,4.0684,5.3888,1.8395,200,54.5103,166.5161,307.1998,304.4172,35.6890,118.1867,0.0163,0.0315,Population structure converged. Difference: 0.0401
2,6,53.2240,47.8132,Warrior,80.9359,61.7787,47.0181,6.0172,4.2501,1.8395,200,54.5103,129.0199,192.9464,195.1339,16.3639,27.6861,0.0207,0.0315,Population structure converged. Difference: 0.0401
2,7,53.6233,49.4735,Warrior,73.3339,69.0610,45.4497,6.7530,5.4025,1.8619,200,54.5103,95.9007,135.0218,130.2672,11.8742,6.6272,0.0107,0.0315,Population structure converged. Difference: 0.0401
2,8,54.8243,51.2223,Warrior,74.7376,79.7394,33.4966,6.4292,5.5972,1.9533,200,54.5103,59.3386,97.7977,138.0555,12.5690,5.4915,0.0055,0.0315,Population structure converged. Difference: 0.0401
2,9,54.5103,52.4062,Warrior,74.4471,79.4295,33.3664,7.4762,5.2807,1.9533,200,54.5103,29.9583,101.6846,123.6272,3.5803,5.3192,0.0027,0.0315,Population structure converged. Difference: 0.0401
3,0,45.8095,31.2465,Warrior,70.0531,75.4707,20.5778,24.3092,9.5893,1.8403,200,59.3768,377.5335,495.5552,521.4317,310.4141,439.4424,0.0365,0.0408,Population structure converged. Difference: 0.0433
3,1,46.9925,35.8258,Warrior,66.9775,51.6661,73.4913,1.5061,6.3590,1.8037,200,59.3768,265.9721,297.4610,299.0152,229.3345,312.3919,0.0300,0.0408,Population structure converged. Difference: 0.0433
3,2,51.5534,40.2728,Warrior,76.6552,82.5835,22.5171,7.7512,10.4930,1.8403,200,59.3768,144.4515,217.7722,278.6907,149.7883,216.5341,0.0256,0.0408,Population structure converged. Difference: 0.0433
3,3,51.7319,43.1796,Warrior,72.9614,77.4822,25.1038,13.6367,10.8159,1.9210,200,59.3768,74.1636,181.8889,320.5422,144.6070,110.4037,0.0198,0.0408,Population structure converged. Difference: 0.0433
3,4,51.8165,45.6612,Warrior,77.0032,82.9584,22.6193,7.7863,9.6328,1.8403,200,59.3768,54.2880,138.0741,286.9829,112.4829,69.3624,0.0172,0.0408,Population structure converged. Difference: 0.0433
3,5,56.5770,47.9805,Warrior,84.4361,78.0403,25.0674,8.6290,3.8272,1.9210,200,59.3768,43.4365,98.7230,192.0208,77.3846,41.6005,0.0162,0.0408,Population structure converged. Difference: 0.0433
3,6,56.5770,50.1277,Warrior,84.4361,78.0403,25.0674,8.6290,3.8272,1.9210,200,59.3768,38.5858,75.3875,93.2597,45.3927,19.5867,0.0071,0.0408,Population structure converged. Difference: 0.0433
3,7,56.5775,51.7105,Warrior,84.4207,78.0261,25.0992,8.6275,3.8265,1.9210,200,59.3768,34.7989,56.0303,89.1808,23.1846,21.5687,0.0016,0.0408,Population structure converged. Difference: 0.0433
3,8,56.8019,53.0834,Warrior,80.7696,70.1329,37.5555,1.2183,10.3236,1.9210,200,59.3768,42.3387,56.5097,88.4403,19.0389,9.2287,0.0016,0.0408,Population structure converged. Difference: 0.0433
3,9,57.7201,54.4304,Warrior,85.8308,62.7941,44.0696,1.5365,5.7690,1.9210,200,59.3768,38.1941,59.1687,65.8552,12.9509,10.5054,0.0015,0.0408,Population structure converged. Difference: 0.0433
3,10,59.3768,55.5641,Warrior,86.4337,79.8866,28.2309,1.5310,3.9177,1.9210,200,59.3768,23.4483,51.1341,55.7852,13.8440,11.5952,0.0007,0.0408,Population structure converged. Difference: 0.0433
3,11,59.3768,56.3326,Warrior,86.4337,79.8866,28.2309,1.5310,3.9177,1.9210,200,59.3768,17.8936,51.3100,58.9599,14.3364,7.9914,0.0003,0.0408,Population structure converged. Difference: 0.0433
3,12,59.3768,56.9149,Warrior,86.4337,79.8866,28.2309,1.5310,3.9177,1.9210,200,59.3768,19.1619,49.6353,58.3768,14.2911,5.1660,0.0002,0.0408,Population structure converged. Difference: 0.0433
4,0,43.8073,29.3395,Warrior,71.3269,60.1825,59.5007,6.5747,2.4152,1.5572,200,55.3169,333.0840,412.6428,362.6149,510.2199,371.5392,0.0394,0.0351,Population structure converged. Difference: 0.0445
4,1,48.1831,32.6997,Warrior,83.2847,70.2720,43.3190,0.3042,2.8201,1.5572,200,55.3169,256.4231,408.4958,322.5746,311.6406,335.0065,0.0502,0.0351,Population structure converged. Difference: 0.0445
4,2,45.9154,37.4522,Warrior,69.6647,48.6626,48.6773,9.7452,23.2503,1.9623,200,55.3169,84.9771,480.3320,288.6861,148.7061,232.8773,0.0503,0.0351,Population structure converged. Difference: 0.0445
4,3,47.6297,39.7281,Warrior,67.7419,99.4100,20.6536,8.9183,3.2762,1.9966,200,55.3169,83.0820,345.0982,299.4459,101.9856,183.5539,0.0503,0.0351,Population structure converged. Difference: 0.0445
4,4,48.4107,42.3636,Warrior,60.4202,75.7962,42.2178,8.4520,13.1137,1.9623,200,55.3169,89.6506,229.5130,256.4645,35.8453,132.2178,0.0443,0.0351,Population structure converged. Difference: 0.0445
4,5,53.6644,44.5719,Warrior,75.6448,94.8953,17.9088,8.4477,3.1033,1.9623,200,55.3169,78.8545,261.8422,225.3047,25.4202,73.8344,0.0409,0.0351,Population structure converged. Difference: 0.0445
4,6,53.7902,46.8872,Warrior,92.7612,71.1130,21.9611,10.3592,3.8055,1.9623,200,55.3169,70.1063,150.0786,198.5088,13.3431,40.1947,0.0194,0.0351,Population structure converged. Difference: 0.0445
4,7,54.5410,48.1890,Warrior,73.5080,73.7743,43.8912,5.9131,2.9134,1.9623,200,55.3169,68.0153,124.1504,182.1594,9.2698,33.9311,0.0122,0.0351,Population structure converged. Difference: 0.0445
4,8,54.6645,49.7560,Warrior,80.0330,80.3231,27.6455,8.7749,3.2235,1.9623,200,55.3169,66.6133,132.3769,202.8743,4.4193,27.1897,0.0042,0.0351,Population structure converged. Difference: 0.0445
4,9,55.3128,51.6215,Warrior,80.3272,80.6183,28.7866,7.0325,3.2354,1.9623,200,55.3169,72.5108,105.3351,170.0004,3.8052,17.8418,0.0001,0.0351,Population structure converged. Difference: 0.0445
4,10,55.3169,52.9615,Warrior,80.4291,80.7205,28.5696,7.0414,3.2395,1.9623,200,55.3169,54.7482,65.9167,106.2523,3.0668,13.0301,0.0000,0.0351,Population structure converged. Difference: 0.0445
5,0,47.1512,31.4117,Warrior,61.8559,72.7799,34.4207,3.3536,27.5899,1.9559,200,54.2933,174.2570,699.7664,389.2047,369.5485,435.9196,0.0461,0.0288,Population structure converged. Difference: 0.0490
5,1,49.1394,35.3616,Warrior,79.7225,90.0664,6.3891,4.2678,19.5541,1.9725,200,54.2933,95.1867,590.5046,237.8766,173.5142,378.3841,0.0458,0.0288,Population structure converged. Difference: 0.0490
5,2,50.2353,39.3480,Warrior,72.4799,81.8840,23.9783,3.8801,17.7777,1.9725,200,54.2933,55.0145,441.4706,270.8467,124.1390,215.0751,0.0395,0.0288,Population structure converged. Difference: 0.0490
5,3,53.0966,42.8802,Warrior,71.3438,83.9434,29.0101,4.6248,11.0778,1.9559,200,54.2933,65.1979,324.0668,166.6009,111.8005,60.3029,0.0387,0.0288,Population structure converged. Difference: 0.0490
5,4,53.0966,45.5195,Warrior,71.3438,83.9434,29.0101,4.6248,11.0778,1.9559,200,54.2933,67.1001,151.5836,114.2757,71.3125,45.0566,0.0287,0.0288,Population structure converged. Difference: 0.0490
5,5,53.3710,47.7657,Warrior,70.0262,82.3931,33.4480,3.2589,10.8738,1.9559,200,54.2933,51.3467,102.5196,91.6720,34.7221,40.4161,0.0153,0.0288,Population structure converged. Difference: 0.0490
5,6,53.3710,49.3584,Warrior,70.0262,82.3931,33.4480,3.2589,10.8738,1.9559,200,54.2933,31.1860,36.4199,60.8469,13.0870,27.5601,0.0041,0.0288,Population structure converged. Difference: 0.0490
5,7,54.2933,50.7821,Warrior,81.7317,78.7248,23.8128,4.6331,11.0976,1.9559,200,54.2933,27.6351,20.8269,53.9965,3.0284,20.3606,0.0008,0.0288,Population structure converged. Difference: 0.0490
