Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,44.0564,28.8297,Warrior,76.9288,69.9450,27.3850,22.3571,3.3842,1.4375,200,50.2322,322.0813,346.9768,382.3786,376.2486,307.2718,0.0452,0.0535,Population structure converged. Difference: 0.0423
1,1,42.8908,30.8126,Warrior,71.3190,64.8444,37.2148,23.4843,3.1374,1.4375,200,50.2322,230.4345,299.6305,349.3769,228.8888,245.9981,0.0467,0.0535,Population structure converged. Difference: 0.0423
1,2,41.8746,32.3996,Warrior,79.4019,64.3608,15.7037,22.9468,17.5867,1.9972,200,50.2322,173.1750,232.4761,286.7154,221.4332,142.7752,0.0452,0.0535,Population structure converged. Difference: 0.0423
1,3,43.8990,34.7052,Warrior,65.3568,55.7604,36.1721,10.3000,32.4108,1.8580,200,50.2322,116.6035,222.3515,183.0491,182.4709,90.6665,0.0368,0.0535,Population structure converged. Difference: 0.0423
1,4,43.8990,36.1829,Warrior,65.3568,55.7604,36.1721,10.3000,32.4108,1.8580,200,50.2322,85.1818,199.7511,144.8316,170.5194,82.0655,0.0202,0.0535,Population structure converged. Difference: 0.0423
1,5,43.8990,37.5455,Warrior,65.3568,55.7604,36.1721,10.3000,32.4108,1.8580,200,50.2322,71.4188,193.1309,137.7374,92.8710,75.8504,0.0145,0.0535,Population structure converged. Difference: 0.0423
1,6,44.8393,38.5970,Warrior,66.5794,56.8035,36.8488,6.7513,33.0171,1.8580,200,50.2322,72.9051,156.9852,137.7044,86.7987,65.8040,0.0106,0.0535,Population structure converged. Difference: 0.0423
1,7,45.7667,39.6498,Warrior,74.1292,53.5892,34.7636,6.3692,31.1488,1.8580,200,50.2322,60.9474,116.1810,148.5613,89.5375,61.8790,0.0066,0.0535,Population structure converged. Difference: 0.0423
1,8,49.1703,40.8045,Warrior,69.4441,63.4557,41.1641,8.3417,17.5944,1.8580,200,50.2322,48.1446,77.8758,136.5581,73.9653,62.5949,0.0057,0.0535,Population structure converged. Difference: 0.0423
1,9,49.1703,41.7607,Warrior,69.4441,63.4557,41.1641,8.3417,17.5944,1.8580,200,50.2322,48.0188,74.7826,131.6844,50.2461,66.6607,0.0050,0.0535,Population structure converged. Difference: 0.0423
1,10,49.1796,42.7145,Warrior,69.4538,63.4647,41.1699,8.3121,17.5994,1.8580,200,50.2322,41.5338,38.2793,101.7499,29.6333,51.2142,0.0041,0.0535,Population structure converged. Difference: 0.0423
1,11,49.1779,44.3743,Warrior,71.9554,61.3901,39.6596,7.0488,19.9461,1.8580,200,50.2322,39.9189,31.4609,102.6132,2.5014,44.7257,0.0029,0.0535,Population structure converged. Difference: 0.0423
1,12,49.2704,45.6203,Warrior,72.0718,61.4894,39.7238,7.0602,19.6548,1.8580,200,50.2322,44.7269,37.9297,83.5642,1.6278,41.8516,0.0015,0.0535,Population structure converged. Difference: 0.0423
1,13,50.9517,46.1696,Warrior,76.9486,61.2464,39.7310,7.0811,14.9929,1.8580,200,50.2322,53.0984,27.8133,78.7929,1.4715,38.7908,0.0010,0.0535,Population structure converged. Difference: 0.0423
1,14,49.8051,47.0989,Warrior,72.4846,59.3138,44.4216,7.4072,16.3728,1.8580,200,50.2322,47.7886,29.8881,69.3937,1.2976,24.4796,0.0001,0.0535,Population structure converged. Difference: 0.0423
1,15,50.2044,47.6791,Warrior,72.9824,59.7211,44.7267,7.1900,15.3797,1.8580,200,50.2322,41.6829,27.1048,61.2892,1.1406,15.4446,0.0000,0.0535,Population structure converged. Difference: 0.0423
1,16,50.2322,48.1940,Warrior,76.1789,57.5954,43.1347,7.1926,15.8984,1.8580,200,50.2322,22.0483,12.2535,34.2932,0.9056,9.8417,0.0000,0.0535,Population structure converged. Difference: 0.0423
2,0,44.7283,27.2989,Warrior,67.0555,51.1365,65.4744,3.0324,13.3012,1.7794,200,58.1457,525.5715,492.7141,572.6886,467.3313,486.5693,0.0443,0.0600,Population structure converged. Difference: 0.0446
2,1,40.3892,29.8069,Warrior,72.9936,66.9503,45.4978,10.7605,3.7977,1.3502,200,58.1457,342.9306,319.2842,393.8669,368.2212,396.1470,0.0444,0.0600,Population structure converged. Difference: 0.0446
2,2,41.9393,32.0200,Warrior,52.1468,58.9381,56.1662,26.8756,5.8733,1.9196,200,58.1457,276.9449,224.6503,317.2339,252.4345,308.7225,0.0436,0.0600,Population structure converged. Difference: 0.0446
2,3,41.9393,33.3711,Warrior,52.1468,58.9381,56.1662,26.8756,5.8733,1.9196,200,58.1457,205.3954,255.9215,284.6987,183.3824,272.3541,0.0332,0.0600,Population structure converged. Difference: 0.0446
2,4,44.2689,34.1297,Warrior,59.1563,66.8604,36.8324,30.4881,6.6628,1.9196,200,58.1457,159.0042,187.2977,262.7528,148.7767,281.7473,0.0260,0.0600,Population structure converged. Difference: 0.0446
2,5,50.0134,35.6033,Warrior,60.4346,72.1396,49.0244,11.5946,6.8068,1.9196,200,58.1457,104.0249,80.0678,205.4771,82.3714,255.4294,0.0278,0.0600,Population structure converged. Difference: 0.0446
2,6,50.0134,36.3385,Warrior,60.4346,72.1396,49.0244,11.5946,6.8068,1.9196,200,58.1457,81.7093,84.7127,183.2519,69.8334,230.1484,0.0253,0.0600,Population structure converged. Difference: 0.0446
2,7,50.2680,37.3257,Warrior,66.7070,58.2273,55.4888,12.3353,7.2416,1.9196,200,58.1457,68.6917,95.4135,154.4566,67.5557,198.1213,0.0291,0.0600,Population structure converged. Difference: 0.0446
2,8,51.9210,39.2026,Warrior,72.9704,63.6945,41.9200,13.4935,7.9216,1.9196,200,58.1457,67.3325,83.1838,174.3068,79.2338,222.6390,0.0303,0.0600,Population structure converged. Difference: 0.0446
2,9,51.9210,41.0195,Warrior,72.9704,63.6945,41.9200,13.4935,7.9216,1.9196,200,58.1457,73.6051,75.4760,167.4238,88.3964,218.7992,0.0177,0.0600,Population structure converged. Difference: 0.0446
2,10,53.6395,42.8408,Warrior,65.9200,90.1128,31.0264,3.8889,9.0519,1.9196,200,58.1457,61.7723,68.9006,172.9424,96.9347,177.4572,0.0215,0.0600,Population structure converged. Difference: 0.0446
2,11,57.1478,45.2267,Warrior,82.7381,81.2023,24.7791,2.9258,8.3547,1.9196,200,58.1457,57.9272,70.6169,155.5683,93.0926,171.2682,0.0159,0.0600,Population structure converged. Difference: 0.0446
2,12,57.1478,47.4063,Warrior,82.7381,81.2023,24.7791,2.9258,8.3547,1.9196,200,58.1457,57.8830,82.7884,122.1761,92.5527,115.7463,0.0103,0.0600,Population structure converged. Difference: 0.0446
2,13,57.1478,49.1311,Warrior,82.7381,81.2023,24.7791,2.9258,8.3547,1.9196,200,58.1457,52.7411,72.2038,94.3000,73.1175,46.2266,0.0074,0.0600,Population structure converged. Difference: 0.0446
2,14,57.1478,50.0311,Warrior,82.7381,81.2023,24.7791,2.9258,8.3547,1.9196,200,58.1457,52.1474,54.5020,94.5852,45.3365,33.3220,0.0091,0.0600,Population structure converged. Difference: 0.0446
2,15,57.1478,51.8319,Warrior,82.7381,81.2023,24.7791,2.9258,8.3547,1.9196,200,58.1457,50.1490,59.7544,93.5083,28.3135,30.4843,0.0081,0.0600,Population structure converged. Difference: 0.0446
2,16,58.0986,53.3388,Warrior,85.3386,74.3138,31.6600,3.2700,5.4176,1.9196,200,58.1457,56.5889,62.5060,74.1385,19.1958,2.0024,0.0019,0.0600,Population structure converged. Difference: 0.0446
2,17,58.0986,54.7442,Warrior,85.3386,74.3138,31.6600,3.2700,5.4176,1.9196,200,58.1457,59.6288,61.1328,69.8603,12.8638,2.4775,0.0008,0.0600,Population structure converged. Difference: 0.0446
