Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance,v_strength,v_agility,v_expertise,v_endurance,v_health,v_height,Time Taken,Stop Reason
1,0,49.8602,29.1874,Warrior,82.2013,56.3687,35.2352,0.0878,26.1071,1.8652,200,56.3184,407.3607,396.1074,448.7664,417.3795,309.0638,0.0364,0.0525,Population structure converged. Difference: 0.0436
1,1,49.8602,33.2818,Warrior,82.2013,56.3687,35.2352,0.0878,26.1071,1.8652,200,56.3184,280.4314,356.5589,447.4509,378.6315,264.4953,0.0329,0.0525,Population structure converged. Difference: 0.0436
1,2,50.1667,34.8805,Warrior,83.0162,56.9275,35.5845,12.2264,12.2454,1.8652,200,56.3184,245.7088,232.5832,435.3765,380.5825,258.3708,0.0260,0.0525,Population structure converged. Difference: 0.0436
1,3,53.7256,38.2982,Warrior,94.0022,54.2465,36.8756,0.0919,14.7838,1.9392,200,56.3184,238.6583,189.3626,400.8458,316.7543,200.9618,0.0254,0.0525,Population structure converged. Difference: 0.0436
1,4,56.0925,41.0269,Warrior,84.5438,71.0320,30.8421,0.1261,13.4560,1.8917,200,56.3184,207.9150,169.1699,348.2179,275.1701,168.9638,0.0211,0.0525,Population structure converged. Difference: 0.0436
1,5,56.0925,44.8738,Warrior,84.5438,71.0320,30.8421,0.1261,13.4560,1.8917,200,56.3184,138.4905,127.8492,244.3834,186.2823,106.5640,0.0059,0.0525,Population structure converged. Difference: 0.0436
1,6,56.0925,47.0746,Warrior,84.5438,71.0320,30.8421,0.1261,13.4560,1.8917,200,56.3184,90.5763,79.5896,152.7157,126.5215,94.9137,0.0037,0.0525,Population structure converged. Difference: 0.0436
1,7,57.8507,48.8116,Warrior,91.4768,57.2832,49.1454,0.0866,2.0080,1.8789,200,56.3184,56.6851,57.8206,106.0415,68.4709,65.4227,0.0013,0.0525,Population structure converged. Difference: 0.0436
1,8,55.9469,49.7410,Warrior,87.0346,68.2282,31.0594,0.1270,13.5508,1.8917,200,56.3184,49.2428,58.6820,95.6175,55.7974,48.6881,0.0008,0.0525,Population structure converged. Difference: 0.0436
1,9,55.9469,50.4652,Warrior,87.0346,68.2282,31.0594,0.1270,13.5508,1.8917,200,56.3184,46.3169,46.0722,87.4527,46.9001,41.5888,0.0009,0.0525,Population structure converged. Difference: 0.0436
1,10,56.1917,51.2916,Warrior,89.8431,75.1926,21.8288,0.1024,13.0331,1.8917,200,56.3184,35.4883,51.2991,86.2730,46.3393,29.7971,0.0007,0.0525,Population structure converged. Difference: 0.0436
1,11,56.6312,51.7244,Warrior,80.3198,72.7915,35.6912,0.1043,11.0933,1.9392,200,56.3184,34.3836,47.7886,101.7676,39.4349,26.8274,0.0006,0.0525,Population structure converged. Difference: 0.0436
1,12,56.7500,52.5674,Warrior,80.4587,72.9174,35.7530,0.1045,10.7665,1.9392,200,56.3184,35.7381,43.5502,103.9797,34.3486,16.9663,0.0004,0.0525,Population structure converged. Difference: 0.0436
1,13,56.2971,53.4105,Warrior,88.4309,70.9063,27.7474,0.0871,12.8283,1.8917,200,56.3184,42.2984,35.0685,99.1357,27.8192,8.1149,0.0003,0.0525,Population structure converged. Difference: 0.0436
1,14,56.3184,53.9646,Warrior,88.2628,71.1517,27.6947,0.0870,12.8039,1.8917,200,56.3184,36.6624,39.6087,112.8891,23.2099,3.1927,0.0003,0.0525,Population structure converged. Difference: 0.0436
2,0,44.5304,29.5562,Warrior,75.6201,41.1721,50.7835,20.0499,12.3744,1.9602,200,53.6798,404.4216,467.7544,523.7861,486.6113,425.6919,0.0423,0.0658,Population structure converged. Difference: 0.0494
2,1,46.6714,32.0294,Warrior,64.2496,49.1595,56.4906,6.1463,23.9540,1.9378,200,53.6798,307.9470,296.7720,489.3183,406.2586,406.6258,0.0452,0.0658,Population structure converged. Difference: 0.0494
2,2,49.3922,34.2116,Warrior,64.6809,53.3324,63.3485,2.6090,16.0292,1.9424,200,53.6798,209.2504,211.8071,353.0423,248.4558,387.3202,0.0438,0.0658,Population structure converged. Difference: 0.0494
2,3,49.3922,36.1240,Warrior,64.6809,53.3324,63.3485,2.6090,16.0292,1.9424,200,53.6798,132.1733,173.3164,202.5157,218.7571,284.7822,0.0500,0.0658,Population structure converged. Difference: 0.0494
2,4,49.3922,37.0692,Warrior,64.6809,53.3324,63.3485,2.6090,16.0292,1.9424,200,53.6798,87.4960,157.7601,223.0041,213.6250,187.2721,0.0527,0.0658,Population structure converged. Difference: 0.0494
2,5,49.3922,38.3909,Warrior,64.6809,53.3324,63.3485,2.6090,16.0292,1.9424,200,53.6798,85.5635,106.7631,164.9281,211.2367,130.9705,0.0529,0.0658,Population structure converged. Difference: 0.0494
2,6,49.3922,40.0156,Warrior,64.6809,53.3324,63.3485,2.6090,16.0292,1.9424,200,53.6798,65.6456,101.9697,140.9447,147.6757,98.7892,0.0474,0.0658,Population structure converged. Difference: 0.0494
2,7,50.2133,42.0328,Warrior,72.3950,64.1530,35.8453,8.3237,19.2830,1.9424,200,53.6798,64.0305,68.5697,137.4143,94.8061,67.6877,0.0402,0.0658,Population structure converged. Difference: 0.0494
2,8,51.9285,43.2007,Warrior,72.0474,60.9336,46.6613,2.8497,17.5080,1.9424,200,53.6798,60.1686,58.9093,112.3745,101.9284,63.7652,0.0196,0.0658,Population structure converged. Difference: 0.0494
2,9,51.9285,44.7895,Warrior,72.0474,60.9336,46.6613,2.8497,17.5080,1.9424,200,53.6798,55.0213,46.3856,127.1905,67.7618,51.0699,0.0128,0.0658,Population structure converged. Difference: 0.0494
2,10,51.9285,44.8643,Warrior,72.0474,60.9336,46.6613,2.8497,17.5080,1.9424,200,53.6798,61.5176,48.0644,128.9115,69.1911,50.8291,0.0111,0.0658,Population structure converged. Difference: 0.0494
2,11,53.0128,45.8396,Warrior,77.4724,65.5217,36.6100,2.8550,17.5409,1.9424,200,53.6798,61.2251,53.4304,123.3503,47.7790,33.4608,0.0082,0.0658,Population structure converged. Difference: 0.0494
2,12,53.0128,46.5715,Warrior,77.4724,65.5217,36.6100,2.8550,17.5409,1.9424,200,53.6798,53.0151,46.6434,137.5000,45.1951,31.7487,0.0028,0.0658,Population structure converged. Difference: 0.0494
2,13,53.0665,47.2951,Warrior,76.9293,66.4643,36.3534,2.8350,17.4180,1.9424,200,53.6798,48.9408,53.0014,131.1234,36.8834,29.0410,0.0001,0.0658,Population structure converged. Difference: 0.0494
2,14,53.0679,48.2632,Warrior,77.6321,65.5147,36.6061,2.9798,17.2674,1.9424,200,53.6798,40.4448,53.7517,130.4931,25.1224,20.8835,0.0001,0.0658,Population structure converged. Difference: 0.0494
2,15,53.6163,49.1875,Warrior,83.7885,69.3211,27.1020,3.0851,16.7034,1.9424,200,53.6798,40.1799,50.9594,137.2158,11.7661,16.3459,0.0001,0.0658,Population structure converged. Difference: 0.0494
2,16,53.7004,50.0141,Warrior,80.3660,66.4896,34.1642,2.9591,16.0211,1.9424,200,53.6798,33.9261,46.9623,136.6360,9.0562,11.6265,0.0001,0.0658,Population structure converged. Difference: 0.0494
2,17,53.7004,50.7619,Warrior,80.3660,66.4896,34.1642,2.9591,16.0211,1.9424,200,53.6798,24.3627,36.7935,105.4708,9.2202,6.4928,0.0001,0.0658,Population structure converged. Difference: 0.0494
2,18,53.6798,51.1541,Warrior,80.3420,66.4697,34.1540,3.0180,16.0163,1.9424,200,53.6798,16.3466,33.8010,86.4368,8.9214,6.0078,0.0001,0.0658,Population structure converged. Difference: 0.0494
3,0,46.8940,28.0749,Warrior,81.7163,65.3316,13.7868,12.4860,26.6793,1.9196,200,51.8787,444.2399,322.9676,371.0195,409.1770,370.2506,0.0391,0.0740,Population structure converged. Difference: 0.0485
3,1,41.5556,29.8241,Warrior,66.1523,40.4557,46.4522,25.1425,21.7974,1.9282,200,51.8787,280.2140,377.0165,323.0592,363.3425,270.0106,0.0411,0.0740,Population structure converged. Difference: 0.0485
3,2,42.5340,32.3205,Warrior,62.7891,56.5271,46.5118,14.4461,19.7259,1.9942,200,51.8787,196.6521,360.2079,335.4964,316.8305,266.5610,0.0422,0.0740,Population structure converged. Difference: 0.0485
3,3,45.5278,34.5128,Warrior,73.1355,44.7263,44.2853,13.7545,24.0984,1.9282,200,51.8787,118.4956,247.1593,293.1690,295.2383,214.7626,0.0478,0.0740,Population structure converged. Difference: 0.0485
3,4,49.7774,35.5428,Warrior,70.1589,56.5543,52.1472,15.7572,5.3824,1.8852,200,51.8787,93.2412,201.1969,251.2943,213.5198,194.1004,0.0429,0.0740,Population structure converged. Difference: 0.0485
3,5,49.7774,37.4621,Warrior,70.1589,56.5543,52.1472,15.7572,5.3824,1.8852,200,51.8787,90.9388,163.2330,182.0803,138.5711,165.1339,0.0286,0.0740,Population structure converged. Difference: 0.0485
3,6,46.6089,37.9906,Warrior,69.1531,58.2820,34.0016,15.7771,22.7861,1.9282,200,51.8787,93.2205,149.2032,143.6997,140.0692,154.2925,0.0299,0.0740,Population structure converged. Difference: 0.0485
3,7,50.1717,39.7693,Warrior,85.6446,47.3781,46.6944,14.5028,5.7800,1.8852,200,51.8787,65.6361,111.5393,104.6383,60.9272,111.2326,0.0259,0.0740,Population structure converged. Difference: 0.0485
3,8,48.4269,40.8351,Warrior,67.8693,54.4321,54.1690,16.8243,6.7052,1.8852,200,51.8787,71.9333,128.3638,117.5567,32.8634,87.9777,0.0179,0.0740,Population structure converged. Difference: 0.0485
